token_,count
 ,5405
dieu ,98
diable ,54
 p,52
p ,50
second ,49
sorciers ,48
 sorciers,38
hommes ,37
 bien,36
 dieu,36
 diable,32
 quand,31
 second,30
 faire,26
 faut,24
mort ,24
 an,23
 quoy,23
corps ,22
 lequel,22
 f,22
 non,21
an ,20
 homme,20
sathan ,20
dire ,19
f ,19
 neantmoins,18
chap ,18
homme ,18
 pourquoy,17
paroles ,17
 ains,17
dict ,17
 esprit,16
 come,16
 hommes,16
 cela,16
faire ,15
 difoit,15
 quil,15
 ans,15
 foit,15
 dict,15
bien ,14
 veu,14
com ,14
quel ,14
 elles,14
 sorcier,14
chose ,13
mots ,13
 corps,13
 dire,13
enfans ,13
 plusieurs,13
 quel,13
 lifons,13
diables ,13
 quelquesfois,13
ans ,13
sorciere ,13
esprits ,12
 fin,12
fin ,12
moyen ,12
lieu ,12
 chap,12
 entre,11
sorcier ,11
cas pareil,11
 ame,11
quil ,11
quand ,11
plusieurs ,11
femme ,11
 ec,11
 autant,11
mourir ,11
 sathan,11
 h,11
 caril,11
 aage,11
bouc ,11
 rien,10
malins esprits,10
 combien,10
 quia,10
rien ,10
difoit ,10
 hiftoire,10
 z,10
 efcript,10
 forte,10
sorcieres ,10
 cy,9
dicu ,9
grand ,9
tou ,9
 com,9
choses ,9
 ap,9
 quant,9
quoy ,9
 moins,9
 moyen,9
pa ,9
cela ,9
 depuis,9
nui ,9
humain ,9
 con,9
con ,9
croire ,9
 grand,9
 alors,9
veu ,9
 euft,9
religion ,9
 trouua,9
 fignifie,8
 void,8
 accord,8
 ens,8
 là,8
 tou,8
 iufques,8
caracteres ,8
ap ,8
 eftant,8
pro ,8
 où,8
 eten,8
efcript ,8
permet ,8
celuy ,8
 cas,8
 femme,8
verité ,8
al ,8
fr ,8
peuple ,8
esprit ,8
z ,8
ame ,8
it ,8
perfonne ,8
cy ,8
voir ,8
 lors,8
procés ,8
 eftoyent,8
 sorciere,8
 aprez,8
humaine ,8
poudres ,8
beftes ,8
 pr,8
 impieté,7
ho ,7
 vray,7
mot ,7
 diables,7
ciel ,7
maiftre ,7
nombre ,7
charmes ,7
vie ,7
fort ,7
 appelle,7
fois ,7
là ,7
 ge,7
celle ,7
 faict,7
 ure,7
 chose,7
roy ,7
 celuy,7
trou ,7
 recite,7
 vns,7
 ila,7
cha ,7
 choses,7
bouche ,7
vi ,7
 auons,7
 efcripture,7
 fort,7
ve ,7
 veut,7
toute ,7
àl ,7
afne ,7
vray ,7
 toute,7
 appelloit,7
plu ,7
h ,7
 quelques,7
 eftoient,6
payens ,6
paris ,6
 ilauoit,6
ll ,6
 dequoy,6
 poffible,6
 mal,6
monde ,6
accord ,6
anges ,6
creatures ,6
 toutesfois,6
icy ,6
 quife,6
deuant ,6
femble ,6
propos ,6
 faifoit,6
 ges,6
outre ,6
 difent,6
 eau,6
 air,6
em ,6
perfonnes ,6
moins ,6
hebrieux ,6
 lu,6
ex ,6
voix ,6
nature ,6
 clle,6
loy ,6
animaux ,6
fain ,6
 mettre,6
 che,6
efcripture ,6
bien fort,6
foit ,6
 trois,6
augustin ,6
porte ,6
 ls,6
 da,6
 lieu,6
feu ,6
 it,6
maladies ,6
peur ,6
 perfonne,6
 die,6
die ,6
ec ,6
 peuples,6
forme ,6
saul ,6
 hoftie,6
certaine ,6
nd ,6
 aller,6
foy ,6
 tre,6
femmes ,6
elles ,6
to ,6
 tantoft,6
 fr,6
 fouuent,6
 lesautres,6
raifon ,6
 procés,6
 poudres,6
puiflance ,6
loups ,6
pm ,6
 chapitre,5
naturelles ,5
 carles,5
 pline,5
 parle,5
 ad,5
 quien,5
 vouloir,5
cícript ,5
 ray,5
ray ,5
 té,5
 malins,5
 aufli,5
 mons,5
dieux ,5
 demy,5
femblables ,5
 ques,5
feulement ,5
 lay,5
doigt ,5
iuges ,5
 mefmement,5
heure ,5
faut ,5
 femble,5
 monftrer,5
 nc,5
da ,5
quant ,5
 pro,5
air ,5
 em,5
 cr,5
quelques paroles,5
icelle ,5
per ,5
 dont,5
ad ,5
grec ,5
 ur,5
mary ,5
noter ,5
manger ,5
medecins ,5
 trou,5
 auoient,5
 ex,5
maladie ,5
 sil,5
