token_,count
 ,4168
dieu ,74
mort ,51
sorciers ,50
 faut,46
 f,39
f ,39
 bien,34
con ,28
 quand,26
 p,25
 sorciers,25
quatriesme ,23
p ,23
diable ,23
ff ,23
 non,23
crime ,22
 celuy,22
preuve ,22
com ,21
 ff,21
 elles,21
cap ,21
sathan ,20
verité ,19
 dieu,19
 autant,19
 ains,17
 com,17
 foit,17
 loy,17
 faire,16
mourir ,16
 bald,16
 quatriesme,15
sorcier ,15
 doibt,15
bald ,15
 cap,15
bien ,14
 cas,14
 aduis,14
coll ,14
nature ,14
ap ,13
 ad,13
 auons,13
faut ,13
 crime,13
perfonnes ,13
 lib,13
lib ,13
loy dieu,12
 cela,12
faire ,12
pa ,12
 sorcier,12
 combien,12
 neantmoins,12
 ex,12
crimes ,11
quand ,11
 oit,11
 tion,11
 veu,11
pere ,11
 diable,11
droit ,11
 coll,11
 pourquoy,11
 con,11
loy ,11
 an,11
 ap,10
 res,10
 preuve,10
quel ,10
pro ,10
iu ,10
per ,10
sorciere ,10
 ur,10
confil ,10
fine ,10
enfant ,10
h ,10
 contre,10
 ibi,10
 tres,10
ad ,10
 peine,10
 doit,10
peine ,10
 quoy,9
at ,9
peuple ,9
 ment,9
 ec,9
 rien,9
ex ,9
dire ,9
queftion ,9
 é,9
 el,9
 verité,9
 fs,9
reproche ,9
fu ,9
an ,9
presomptions ,9
cod ,9
el ,8
 chose,8
deffus ,8
yeux ,8
 toutesfois,8
 depuis,8
 is,8
 fera,8
 cy,8
cy ,8
 pro,8
 sorciere,8
 commeil,8
 dire,8
 ac,8
ac ,8
 mort,8
 confil,8
 fine,8
cela ,8
 ca,8
ca ,8
pu ,8
g ,8
veut ,8
 ceftuy,8
deuant ,8
 effe,8
effe ,8
 cod,8
fouuent ,7
 appelle,7
 at,7
 it,7
autant ,7
faict ,7
 ft,7
 euft,7
non ,7
 presomption,7
contre ,7
 fin,7
vie ,7
 lesautres,7
combien ,7
 per,7
eod ,7
 bié,7
forte ,7
homicide ,7
droi ,7
 lequel,7
cas ,7
 file,7
 moins,7
 nu,7
nu ,7
bartol ,7
 h,7
 g,7
 fo,7
 deuant,7
 enfant,7
laloy ,7
im ,6
 sil,6
 fçauoir,6
do ,6
moins ,6
hommes ,6
 vray,6
 pa,6
auons monftré,6
 forte,6
humaine ,6
partie ,6
 plusieurs,6
 hoftie,6
iuges ,6
dessus ,6
 lieu,6
lieu ,6
 moyen,6
aduis ,6
 caril,6
latorture ,6
rien ,6
accu ,6
question ,6
 eod,6
faut donc,6
 faict,6
cy deffus,6
iugement ,6
prefom ,6
claire ,6
permanent ,6
 celle,6
ib ,6
fl ,6
ibi ,6
ye ,6
tel ,6
 attendu,6
preu ,6
 uoir,6
 come,6
 nc,6
 diét,6
 teflib,6
teflib ,6
 pu,6
lesautres ,6
 mar,6
fils ,6
 accord,6
 empereur,6
 quia,6
humaines ,6
 faiét,6
celuy ,6
puny ,6
 cum,6
ceftuy ,6
mefchans ,6
 laloy,6
 merite,6
 fuit,5
qvatriesm ,5
dire verité,5
 cl,5
 cs,5
hs ,5
no ,5
 ts,5
fçauoir ,5
 ti,5
ti ,5
 cít,5
enfans ,5
mef ,5
vray ,5
 quelque,5
complices ,5
nom ,5
 quant,5
 iuges,5
 oril,5
 ic,5
 proceder,5
euidente ,5
edi ,5
indices ,5
presomption ,5
 mm,5
 mis,5
 tenir,5
 opinion,5
 alors,5
fille ,5
cy dessus,5
 uges,5
toufiours ,5
 peu,5
sorcie ,5
 aufli,5
preuenu ,5
femblables ,5
violente ,5
tefmoings ,5
neantmoins ,5
condamné ,5
be ,5
 arrefter,5
 couftume,5
 ib,5
ji ,5
 lexand,5
 enla,5
 fion,5
ain ,5
iuge ,5
 do,5
 bartol,5
 honneur,5
 crimes,5
qua ,5
 im,5
it ,5
 iu,5
neceflaire ,5
quoy ,5
ae ,5
contraire ,5
to ,5
 autrement,5
ennemy ,5
 quelques,5
vns ,5
z ,5
 ure,5
 homme,5
 ve,5
ver ,5
parricides ,5
toute ,5
 eftla,5
 ll,5
 quis,5
 pr,5
fo ,5
é ,5
procés ,5
 ilne,5
sor ,5
mere ,5
 no,5
 ye,5
 procés,5
viue ,5
 feroit,5
corporelle ,5
quis ,5
ge ,5
dict ,5
 attirer,5
vif ,5
princes ,5
 fer,5
diaboliques ,5
preftres ,5
 qvatriesm,4
 ut,4
 z,4
homme ,4
 hs,4
 ls,4
 sn,4
 rir,4
ville laon,4
 fr,4
 mourir,4
 elt,4
ho ,4
tou ,4
troif ,4
 eftoyent,4
marqués ,4
quelques vns,4
cas pareil,4
sorcelleries ,4
paris ,4
ds ,4
tenir ,4
pur ,4
 tousles,4
luge ,4
fer ,4
 der,4
der ,4
impunité ,4
 iagoit,4
moyen ,4
sorcieres ,4
temps ,4
sorcic ,4
 queftion,4
 mere,4
doibt ,4
pays ,4
grande ,4
 spranger,4
fois ,4
 maisil,4
poffible ,4
col ,4
vifue ,4
faire mourir,4
 voit,4
faut faire,4
 choses,4
 accu,4
 lent,4
 met,4
ru ,4
femmes ,4
 fit,4
 té,4
 quod,4
mo ,4
 tué,4
mou ,4
 condamné,4
 caufe,4
 hommes,4
 hi,4
 docteurs,4
couftume ,4
 ji,4
cor ,4
 lex,4
fil ,4
 dict,4
 bal,4
bal ,4
 euidence,4
rece ,4
 trouue,4
 mains,4
 ain,4
 notoire,4
certaine ,4
 eftant,4
 quil,4
quil ,4
 confeffion,4
mis mort,4
beftes ,4
 files,4
 fu,4
 accufé,4
diét ,4
 entre,4
 qua,4
 ch,4
and ,4
eo ,4
 inl,4
inl ,4
tef ,4
 raifon,4
 veut,4
 mefmement,4
 allemaigne,4
és crimes,4
poifon ,4
mm ,4
sil ,4
doit ,4
crime lefe,4
diuine ,4
mar ,4
os ,4
 eo,4
 ques,4
 face,4
confeffion ,4
difent ,4
honneur ,4
 tit,4
tit ,4
volontaire ,4
 ans,4
celle ,4
 ver,4
 humaines,4
 quin,4
quin ,4
 mo,4
accord ,4
brufler ,4
mary ,4
plusieurs ,4
 eurs,4
là ,4
 auquel,4
violentes ,4
monftré ,4
 fuft,4
parricide ,4
grand ,4
 etla,4
celuy quia,4
tor ,4
 mi,4
minore ,4
felin ,4
mi ,4
 sorcicre,4
 fent,4
 ilauoit,4
 nd,4
ve ,4
main ,4
 sathan,4
is ,4
leg ,4
 peuuent,4
frui ,4
puni ,4
sain ,4
ordinaire ,4
 quam,4
pra ,4
femme ,4
 male,4
choses ,4
qi ,4
premiere fois,4
 puny,4
 effort,4
 prince,4
bien fouuent,3
 uons,3
feruice ,3
feu ,3
cl ,3
res ,3
 vs,3
 us,3
da ,3
ains ,3
 if,3
if ,3
 ire,3
ire dieu,3
veulét ,3
 sorcieres,3
 quieft,3
 lee,3
nombre ,3
deteftables ,3
 mef,3
elt ,3
princes sorciers,3
faiét mourir,3
peu ,3
 œil,3
œil ,3
 rer,3
 accuser,3
 nom,3
 faifoit,3
jamais ,3
ic ,3
 né,3
oy ,3
 bie,3
 fouuent,3
 pourueu,3
pourueu ,3
proceder ,3
bien fort,3
 quel,3
 fuyuant,3
 edi,3
dic ,3
 cel,3
cel ,3
 neceflaire,3
 ayt,3
 let,3
 nó,3
 trc,3
aage ,3
bié ,3
certain ,3
condam ,3
 trouué,3
trouué ,3
 impunité,3
 temps,3
 dont,3
 tions,3
confeflions ,3
veu ,3
 prife,3
 qi,3
filles ,3
fuit ,3
ra ,3
 cauoir,3
prendre garde,3
 telles,3
propos ,3
 ent,3
 iamais,3
dece ,3
caril ,3
bieure ,3
 combié,3
elles ,3
 meurent,3
ob ,3
mefchanceté ,3
 quien,3
cause ,3
 ha,3
 ets,3
torture ,3
opinion ,3
 parce,3
 out,3
ia ,3
met ,3
merite ,3
 em,3
autrement ,3
ment ,3
té ,3
 innocent,3
innocent ,3
 ceft,3
 ena,3
 table,3
dessorciers ,3
 difons,3
 feconde,3
faiét ,3
 femblables,3
 ptions,3
 voire,3
parle ,3
 homicide,3
 ul,3
 rité,3
 foldat,3
caufe ,3
 be,3
 trois,3
hi ,3
arrefter ,3
 luge,3
docteurs ,3
 cad,3
 cor,3
 fl,3
ot ,3
 ylt,3
ylt ,3
 fil,3
lexand ,3
receuable ,3
enla loy,3
crapaux ,3
 tel,3
attendu ,3
 void,3
bruit ,3
doibt proceder,3
trouue ,3
 carl,3
carl ,3
mai ,3
 of,3
of ,3
faits ,3
 auf,3
parolles ,3
remarqué ,3
 quad,3
foit mis,3
tref ,3
 ang,3
ang ,3
 claire,3
dif ,3
actes ,3
 qualiter,3
 fair,3
 fomption,3
confeflion ,3
peines ,3
pr ,3
 pourle,3
 ob,3
alex ,3
ciuil ,3
teímoings ,3
balde ,3
foy ,3
 mement,3
 punition,3
cas ciuil,3
 prefom,3
 ter,3
 ru,3
alexand ,3
teft ,3
hb ,3
reproches ,3
 iniure,3
porte ,3
 peur,3
peur ,3
royaume ,3
 toute,3
 difent,3
 beaucoup,3
 droi,3
non feulement,3
conucincu ,3
 quine,3
 perfonne,3
 aufh,3
 rent,3
 fils,3
 loix,3
loix ,3
 pere,3
veau ,3
 benedi,3
benedi ,3
venger ,3
termes ,3
droict ,3
 ainsau,3
 os,3
 ez,3
ez ,3
 lo,3
femblable ,3
 quelle,3
fuf ,3
 droit,3
difoit ,3
 to,3
mott ,3
 loir,3
dir ,3
tué pere,3
 fila,3
faux ,3
quia ,3
 efté,3
diuifer ,3
pri ,3
 apparence,3
 ae,3
 clle,3
 ge,3
peine capitale,3
capitale ,3
confef ,3
 ons,3
 cx,3
 ed,3
 tenu,3
 cores,3
 pes,3
fion ,3
contre nature,3
diuines ,3
 veritable,3
veritable ,3
naturelle ,3
ciel ,3
 beftes,3
 efcripture,3
 ble,3
ble ,3
iln ,3
faber ,3
pourquoy ,3
 he,3
he ,3
eurs ,3
 rum,3
 là,3
 pra,3
um ,3
 rats,3
 accusé,3
meurent ,3
 ms,3
tuer ,3
 pouuoit,3
presomption droit,3
 voulu,3
ferment ,3
presomption droi,3
 bruflee,3
bruflee ,3
 fort,3
rai ,3
 lon,3
lon ,3
 ila,3
preuuc ,3
có ,3
 felin,3
num ,3
 fed,3
 panorm,3
panorm ,3
 età,3
sorcicre ,3
 carc,3
carc ,3
pieds ,3
 delaquelle,3
ofter ,3
capita ,3
ges ,3
mont ,3
fortileges ,3
 duquel,3
ja ,3
 carle,3
 violente,3
 lm,3
lm ,3
accusé ,3
pal ,3
 brufler,3
 question,3
 ieune,3
fem ,3
 ordonnance,3
af ,3
 dé,3
dedieu ,3
 ordonnances,3
tefmoing reproche,3
 foubz,3
majefté ,3
ed ,3
authent ,3
 voir,3
 las,3
crimes atroces,3
atroces ,3
 mefmemét,3
tm ,3
 eau,3
eau ,3
presomptions violentes,3
 penfent,3
directement contre,3
contre majefté,3
majefté dieu,3
homicides ,3
vi ,3
tion ,3
 esprit,3
exprefle ,3
 vengeance,3
rigeur ,3
 premiere,3
renier dieu,3
religion ,3
dedicu ,3
 tre,3
outre ,3
 double,3
 idolatrie,3
 ordinaire,3
fort ,3
deteftable ,3
merite mort,3
an mil,3
mil cinq,3
verifié ,3
iuftice ,3
quela peine,3
 nature,3
ts ,3
 did,3
cour ,3
 lifons,3
male ,3
 pourauoir,3
pen ,3
ans ,3
 bles,3
 epi,3
epi ,3
violétes ,3
 puisapres,3
 iufques,3
peine corporelle,3
fic ,3
 main,3
 amende,3
coulpable ,3
capitalement ,3
effect ,3
 feront,3
pecuniaires ,3
 nommé,3
magiftrats ,3
 blables,3
pardon ,3
glo ,3
 obeir,3
obeir ,3
 ftant,2
veritables ,2
depit ,2
rs ,2
 chapitre,2
esprits ,2
appelle ,2
doux ,2
prendre ,2
 parties,2
 eit,2
eit ,2
 pres,2
 ns,2
vs ,2
 ct,2
ct ,2
 cce,2
cce ,2
 ln,2
ln ,2
ut ,2
 ame,2
 dii,2
difant ,2
ps ,2
nc ,2
 cut,2
cut ,2
cs ,2
 ement,2
 mme,2
ch ,2
 í,2
í ,2
 og,2
sn ,2
rir ,2
 veulét,2
 minuer,2
 conferuerles,2
fort falutaire,2
corps ,2
 republique,2
 punir,2
 autrementil,2
laon ,2
 vnc,2
 peuple,2
 auril,2
ha ,2
 ho,2
 uent,2
 than,2
than ,2
 lessorciers,2
cachees ,2
difficile ,2
perfon ,2
 nes,2
 nousauos,2
gés bien,2
 roy,2
 complices,2
ft ,2
 cognoiffoit,2
 ouautre,2
eftoyent ,2
entre yeux,2
 urir,2
 cftre,2
cftre ,2
 partie,2
penfe ,2
compli ,2
plusieurs fois,2
hoftie confacree,2
roy charles,2
neuftefme ,2
 jamais,2
roy henry,2
œuures ,2
proceder punition,2
iuges ordinaires,2
ordinaires ,2
sm ,2
parlement ,2
 rendu,2
 ja,2
né ,2
 titi,2
 left,2
 oing,2
parties ,2
bie ,2
ll ,2
 gens,2
pou ,2
 va,2
va ,2
 quiles,2
 quatriefme,2
 oy,2
 plein,2
fuyuant ,2
ecd ,2
 tc,2
craignent ,2
mettre ,2
proce ,2
promettre impunité,2
 accufateur,2
 ilfe,2
conuaincre ,2
empor ,2
 eftat,2
 eur,2
cognoiflance ,2
bien certain,2
 crainte,2
 su,2
 roit,2
parce moyen,2
faut prendre,2
meres ,2
 aage,2
chafteau ,2
men ,2
 fonnes,2
trois ,2
 perfonnes,2
efcrire ,2
em ,2
 fitoft,2
 confeffe,2
force ,2
 cher,2
cher ,2
 ss,2
pafle ,2
 gref,2
gref ,2
 ona,2
ieanne haruillier,2
 bruflée,2
ieu ,2
 lefecond,2
place ,2
vnlieu ,2
quand elles,2
 prendre,2
age ,2
 propos,2
presomption bien,2
 paul,2
ent ,2
maisil faut,2
 poffible,2
interro ,2
prifonniere ,2
 ler,2
prifon ,2
 faifoyent,2
fçeu ,2
 adam,2
adam martin,2
sorciere bieure,2
tuges ,2
bourreau ,2
net ,2
repentent ,2
 mettent,2
 faute,2
faute preuve,2
fufhzante ,2
 ccluy,2
doibt neantmoins,2
 indices,2
inimitié contre,2
fufpecte ,2
 inimitié,2
 cause,2
 ger,2
ets ,2
 prions,2
prions ,2
cord ,2
 pourront,2
 cnt,2
verite ,2
 pliquer,2
frayeur ,2
quelqu ,2
 ner,2
foudain ,2
 perdu,2
accufé ,2
rien dire,2
prifonniers ,2
pourfe venger,2
 cp,2
 gypte,2
 vouloit,2
 penfe,2
infinis ,2
pourquoy platon,2
platon ,2
difons donc,2
telles mefchancetés,2
mefchancetés ,2
crime sorcelerie,2
 clericis,2
clericis ,2
 cb,2
cb ,2
 bat,2
bat ,2
 indubitables,2
indubitables ,2
verité faict,2
quant àla,2
notoire ,2
 permanant,2
permanant ,2
 notorieté,2
trou ,2
aucun clgard,2
tions ,2
 sen,2
volótaire ,2
auons exemple,2
foubs ombre,2
foldat ,2
 nonobftant,2
centenier ,2
 execute,2
 mou,2
 doc,2
doc ,2
 permanent,2
iamais ,2
 receuë,2
receuë ,2
 edict,2
 probat,2
probat ,2
pt ,2
cad ,2
al ,2
nuit ,2
cu ,2
h p,2
 dem,2
 roma,2
roma ,2
 repe,2
repe ,2
ro ,2
forte raifon,2
 uable,2
uable ,2
 parainsi,2
poifons ,2
faite ,2
coffre ,2
 offre,2
offre ,2
euident ,2
 permanét,2
accufee ,2
 hofties,2
hofties ,2
hu ,2
mains ,2
cas pa,2
 nent,2
 charme,2
voix ,2
 abfence,2
 confrontations,2
confrontations ,2
denié ,2
 paction,2
 plusforte,2
choses fenfibles,2
fila sorciere,2
parle diable,2
beaucoup certaine,2
veuë ,2
absente ,2
 mai,2
exemples cy,2
 alexa,2
 cóme,2
preuve euidente,2
quad ,2
 certaine,2
 fufhfante,2
paction expreffe,2
 air,2
air ,2
plusieurs tefmoings,2
 depofent,2
luges ,2
 ouautres,2
feulemét ,2
 telle,2
destefmoings ,2
 collat,2
collat ,2
 id,2
 yerbo,2
yerbo ,2
 obligat,2
obligat ,2
 nemy,2
nemy ,2
 ileft,2
fomption ,2
 confeflion,2
peuples ,2
pourle moins,2
ret ,2
 inter,2
 alex,2
 grand,2
ayde ,2
punition ,2
 porelle,2
 receuable,2
cho ,2
 ng,2
ng ,2
 entend,2
 ues,2
 cle,2
jf ,2
 adultere,2
adultere ,2
 vit,2
vit ,2
addit ,2
ad spe,2
ffo ,2
 vio,2
conf ,2
 hb,2
 oc,2
 pratique,2
pratique ,2
 infamie,2
infamie ,2
 aid,2
aid ,2
 cat,2
 bu,2
condamnés ,2
 pat,2
 jacoit,2
 porte,2
droit canon,2
canon ,2
regard ,2
 jaçoit,2
 mulier,2
mulier ,2
 tefmoings,2
tels ,2
infames ,2
doéteurs ,2
 carles,2
impunis ,2
raifon fort,2
confiderable ,2
 ilfaut,2
beaucoup grande,2
contre sorciers,2
 enait,2
 plices,2
meímes ,2
 ui,2
 ges,2
 fat,2
execute ,2
confesseur ,2
confefleur ,2
 da,2
 cet,2
 quo,2
salic ,2
 pme,2
pme ,2
 ortoutainsi,2
 sor,2
 oyent,2
id ,2
 cf,2
cf ,2
 ée,2
accufe ,2
 etnefaut,2
clgard ,2
ceftuy cy,2
ordinairement ,2
depuis trois,2
toute vifue,2
 lessorcieres,2
lefe maicfté,2
 tue,2
tue ,2
patrie ,2
 commelaloy,2
 mefchanceté,2
 lege,2
 rece,2
 moings,2
table ,2
 moyfe,2
ple ,2
 veau,2
 aufquels,2
 tuer,2
dem ,2
