token_,count
 ,2540
dieu ,144
 dieu,59
premier ,45
 quand,42
bien ,34
dire ,31
esprits ,28
 premier,28
 bien,27
sorciers ,25
hommes ,25
anges ,24
chose ,23
 non,22
 homme,22
 faut,21
 esprit,21
 pourquoy,21
 combien,20
 efcripture,19
monde ,19
 entre,19
 void,18
 dire,18
 p,18
fort ,18
dict ,18
choses ,18
 neantmoins,17
hebrieux ,17
lib ,17
nature ,17
 celuy,17
 faire,17
quelque chose,16
 foit,16
 dict,16
p ,15
bons ,15
 ment,15
 sorciers,15
com ,15
malins esprits,15
 lib,14
cap ,14
mal ,14
 quoy,14
 celà,14
quel ,14
 elles,14
 mot,13
efcripture ,13
celeftes ,13
 appelle,13
 fin,13
 ange,13
lune ,13
 fignifie,13
diaboliques ,12
sorcier ,12
 mauuais,12
 cap,12
 lequel,12
 com,12
 toutesfois,12
esprit ,12
prophetie ,12
naturelles ,12
con ,11
 fort,11
mort ,11
temps ,11
fin ,11
 hebrieux,11
faire ,11
prophetes ,11
illicites ,11
 chapitre,10
 moyens,10
quand ,10
ciel ,10
 h,10
 f,10
 hommes,10
diables ,10
 eftà,10
hom ,10
 faifoit,10
 cy,10
an ,10
mauuais ,10
diable ,10
 impieté,10
void ,9
 quant,9
sathan ,9
 plusieurs,9
poin ,9
 fçauoir,9
celle ,9
 quel,9
plantes ,9
celà ,9
 alors,9
 samuel,9
fonges ,9
roy ,9
 chose,9
impieté ,9
mot ,8
 ila,8
 ains,8
 bons,8
 g,8
 opinion,8
 grand,8
grand ,8
chapitre ,8
h ,8
f ,8
 où,8
 lesautres,8
 toufiours,8
diabolique ,8
foy ,8
 ame,8
pierres ,8
corps ,8
 moyen,8
 ges,8
ex ,8
 diét,8
feu ,8
diét ,8
diuine ,8
entre ,8
 là,8
samuel ,8
 quad,8
 toute,8
 vifions,8
soleil ,8
 feroit,8
nes ,8
moyen ,8
naturelle ,8
vifion ,8
 choses,8
non ,7
 salomon,7
quil ,7
g ,7
anciens ,7
vns ,7
cho ,7
 quela,7
eftà dire,7
 latins,7
fain ,7
 come,7
 nes,7
cy ,7
puiflance ,7
fçauoir ,7
 iamais,7
terre ,7
theologiens ,7
oy ,7
moyfe ,7
 eau,7
rien ,7
ans ,7
vifions ,7
 rien,7
ve ,7
 tion,7
prophe ,7
dauid ,7
ca ,7
plusieurs ,7
 autant,7
 roy,7
matiere ,7
telles choses,7
definition ,6
 ques,6
moyens diaboliques,6
 esprits,6
 ariftote,6
 entend,6
dzmons ,6
opinion ,6
 anciens,6
pourl ,6
 elt,6
pere ,6
chap ,6
 ex,6
ment ,6
 voyla,6
 quelle,6
 met,6
 oracle,6
force ,6
nez ,6
 caufe,6
difoit ,6
face ,6
 ge,6
quoy ,6
mer ,6
œuures dieu,6
 caril,6
mm ,6
 fera,6
nombres ,6
 air,6
air ,6
 foubs,6
 plantes,6
 moins,6
dicu ,6
grecs ,6
cela ,6
 honneur,6
combien ,6
humaines ,6
veillant ,6
 quil,6
 depuis,6
 forte,6
 vray,6
dormant ,6
longe ,6
saul ,6
mourir ,6
 auons,6
 lune,6
 grecs,6
pays ,6
neceffité ,6
œuures ,6
loy dieu,6
 thummim,6
 herbe,6
neantmoins ,5
 premierement,5
fois ,5
lieu ,5
 parce,5
 accord,5
ariftote ,5
corps celeftes,5
demons ,5
platon ,5
 plutarque,5
plutarque ,5
toufiours ,5
 dzmons,5
 auoient,5
 grace,5
payens ,5
 anges,5
appelle ,5
ij ,5
pro ,5
 temps,5
conseil dieu,5
met ,5
pa ,5
 mort,5
voix ,5
 difent,5
 pa,5
 nature,5
 quine,5
 he,5
 maisil,5
 celle,5
 mal,5
 malins,5
certain ,5
quin ,5
dæmons ,5
 ble,5
 animaux,5
moyens ,5
 oy,5
 tre,5
hebrieu ,5
 parla,5
ges ,5
dextre ,5
vie ,5
 libro,5
libro ,5
homme ,5
desautres ,5
 tour,5
 dirons,5
ange dieu,5
 lifons,5
 parle,5
ange ,5
 euft,5
bible ,5
entier ,5
diuines ,5
 oril,5
 ec,5
 ler,5
verité ,5
 prophetes,5
 idolatrie,5
prieres ,5
 dieux,5
 ca,5
 ure,5
faut donc,5
 facrifices,5
hieremie ,5
ennemis ,5
autant ,5
occultes ,5
difent ,5
 vifion,5
prophete ,5
peuple ,5
thummim ,5
 galen,5
naturels ,5
 matiere,5
creatures ,5
fang ,5
é ,4
 ainsauffi,4
 quia,4
donc ,4
 commeil,4
 qué,4
 mis,4
ques ,4
vertueux ,4
humain ,4
salomon ,4
 iamblique,4
 platon,4
grace ,4
 vns,4
dragon ,4
 ciel,4
chreftiens ,4
dieu parle,4
parle ,4
he ,4
prendre ,4
pharaon ,4
 toutainsi,4
elementaire ,4
 ileft,4
 diables,4
 iceux,4
oracle ,4
ru ,4
 auquel,4
 defquels,4
foit ,4
 difoit,4
 augustin,4
 tres,4
deteftables ,4
 jamais,4
jamais ,4
veu ,4
 bon,4
 cs,4
faire chose,4
 em,4
cieux ,4
augustin ,4
aage ,4
 mm,4
mai ,4
 quin,4
mefchans ,4
contraires ,4
beftes ,4
 hom,4
 quelques,4
 pris,4
mot hebrieu,4
 neluy,4
 peu,4
 vie,4
 al,4
àl ,4
bien mal,4
mots ,4
veritable ,4
ame ,4
femble ,4
vertu ,4
peu ,4
 oit,4
 cela,4
eau ,4
claire ,4
celuy ,4
 entendu,4
 uoir,4
toute ,4
 fortes,4
 faiét,4
 vneautre,4
 quatre,4
cueur ,4
 fentoit,4
croire ,4
ordinaire ,4
rouge ,4
nui ,4
 numeri,4
 ur,4
 dauid,4
futures ,4
 difference,4
paruenir quelque,4
pieté ,4
fouuent ,4
appel ,4
 diable,4
 res,4
penitence ,4
 parler,4
honneur ,4
maiftre ,4
 oi,4
 voir,4
facrifices ,4
 ap,4
ap ,4
lettres ,4
malade ,4
 ray,4
fortileges ,4
 iln,4
cas pareil,4
auons ,4
venir ,4
miracles ,4
 parles,4
parle moyen,4
rim ,4
voir ,4
predictions ,4
predi ,4
deuins ,4
face face,4
 imagination,4
imagination ,4
alors ,4
quec ,4
haut ,4
 ans,4
iours ,4
vrim ,4
 pierres,4
moyens naturels,4
 an,4
 ordre,4
 us,4
 autrement,4
 horofcope,4
cours nature,4
ge ,4
caracteres ,4
recite ,4
moyens illicites,4
 miracles,4
 é,3
 sciemment,3
sciemment ,3
 tellement,3
 iufte,3
grec ,3
 monde,3
fainéte ,3
 mét,3
accord ,3
 demons,3
 porphyre,3
iamblique ,3
 dir,3
 malings,3
malings esprits,3
tiennent ,3
 aduis,3
 quieft,3
neceffaire ,3
impicté ,3
quant ,3
 origine,3
origine ,3
dir ,3
 rois,3
 tousles,3
 con,3
 dragon,3
nombre ,3
eftoilles ,3
 cest,3
aduis ,3
 appellant,3
chef ,3
 ceft,3
 té,3
 ij,3
iob ,3
deftruire ,3
 deuoit,3
maiftre sorcier,3
pfalme ,3
grand leuiathan,3
deluy ,3
 lance,3
ezechicl ,3
leuiathan ,3
moy ,3
 beaux,3
 iefaye,3
im ,3
 voyons,3
vers ,3
 lon,3
 defaict,3
 ru,3
 fain,3
humaine ,3
 nez,3
 donné,3
quien ,3
 donc,3
monde elementaire,3
per ,3
toutesfois ,3
 prend,3
garde ,3
 maladies,3
 tué,3
 trouué,3
 mefchant,3
gloire ,3
damnables ,3
 veu,3
 poin,3
exemples ,3
 duquel,3
efcripture faincte,3
 cen,3
cen ,3
 terre,3
cicl ,3
 ily,3
 peuuent,3
 lu,3
empires ,3
republiques ,3
 tirer,3
 aufh,3
iamais ,3
 feift,3
 unt,3
 fouuent,3
eo ,3
academiques ,3
 fcauoir,3
fcauoir ,3
region ,3
caux ,3
moyés diaboliques,3
 fainéts,3
 entreles,3
 maisily,3
 ac,3
 files,3
 figne,3
 yn,3
 mineraux,3
mineraux ,3
 ra,3
ra ,3
 eaux,3
 ter,3
ter ,3
 mc,3
phi ,3
pfalmes ,3
interpre ,3
tour ,3
moins ,3
pourquoy ,3
ab ,3
al ,3
laloy dieu,3
 dequoy,3
eaux ,3
 trouue,3
grande ,3
 contraire,3
contraire ,3
prefence ,3
 socrate,3
forte ,3
aprez ,3
iceux ,3
 predictions,3
 dic,3
 era,3
part ,3
 cores,3
fou ,3
mil ,3
lesautres ,3
où ,3
fix cens,3
 demandoit,3
 table,3
 affociation,3
homme bien,3
danger ,3
entendu ,3
matin ,3
faut faire,3
là ,3
sacrifices ,3
 fonges,3
 quesfois,3
 ilne,3
iour ,3
bien fort,3
 rité,3
 oreille,3
 ileftoit,3
 doibt,3
tion ,3
 loy,3
 toft,3
 maladie,3
 cut,3
cheuaux ,3
refponfe ,3
feul ,3
 horfmis,3
for ,3
 illuy,3
 od,3
did ,3
 tel,3
bons esprits,3
esprit dieu,3
numeri ,3
 prit,3
 pat,3
 parauant,3
 ail,3
parl ,3
 mauuaife,3
choses futures,3
 helie,3
mauuais esprits,3
 efforce,3
religio ,3
 loient,3
prefent ,3
idolatrie ,3
oracles ,3
dieux ,3
idoles ,3
 difoient,3
 uant,3
 peuples,3
bahal ,3
 seigneur,3
 veut,3
eftrange ,3
 aufli,3
foubs ,3
temple ,3
 ifrael,3
ifrael ,3
atheniens ,3
 empereur,3
ila efté,3
 monftrer,3
parlé ,3
 caracteres,3
no ,3
ec ,3
 anw,3
anw ,3
iln ,3
befoin ,3
 force,3
 face,3
peuples ,3
enchanteurs ,3
vray ,3
bo ,3
 k,3
 mefmesles,3
 pluftoft,3
ruinez ,3
 hieremie,3
daniel ,3
noir ,3
 mercure,3
mercure ,3
 attendu,3
delaloy dieu,3
 paruenir,3
choses occultes,3
elt dire,3
quatre ,3
prediction ,3
animaux ,3
 diabolique,3
caufes naturelles,3
 prophete,3
humains ,3
louër dieu,3
 quien,3
 tiennent,3
 parfonge,3
parfonge ,3
maladies ,3
 nathan,3
 femblables,3
femblables ,3
quece ,3
veoir ,3
quand void,3
 fixieme,3
 lay,3
 veoir,3
babylone ,3
