token_,count
 ,627
sorciers ,32
dieu ,24
 sorciers,10
corps ,10
sorcieres ,10
lib ,10
 faut,10
 faire,9
 lieu,9
lieu ,9
esprits ,9
monde ,9
 voit,9
 où,8
 homme,8
ariftote ,8
cieux ,8
 lib,8
choses ,8
 bien,7
 ariftote,7
dire ,7
 veu,7
 dict,6
dict ,6
noir ,6
diable ,6
forme ,6
mort ,6
 fin,6
 depuis,6
caufe ,6
nature ,6
 aristote,6
plutarque ,6
f ,6
 dieu,6
 choses,6
 elles,6
peu ,6
 quand,6
hommes ,5
 combien,5
 ge,5
 diable,5
 autant,5
 non,5
italie ,5
 chose,5
contre sorciers,5
peuples ,5
 quia,5
intelligences ,5
 g,5
g ,5
 neantmoins,5
 accord,5
raifon ,5
 celuy,5
 loix,5
 plusieurs,5
malings esprits,5
 sorcieres,5
bien ,4
ans ,4
 auoient,4
auoient veu,4
impoffible ,4
 aduis,4
 femble,4
faire ,4
 esprits,4
 italie,4
 rien,4
 ila,4
 entre,4
charmes ,4
tou ,4
 quoy,4
efcript ,4
 dirons,4
 ains,4
 ges,4
sain ,4
 actions,4
intelle ,4
 pourquoy,4
 esprit,4
humain ,4
 caufe,4
ignorance ,4
verité ,4
choses naturelles,4
naturelles ,4
veu ,4
mer ,4
terre ,4
p ,4
 sorcelleries,4
sorcelleries ,4
 preface,4
preface ,4
elles ,4
 dire,4
mil cinq,3
cinq cens,3
 faiét,3
fois ,3
 lors,3
lors ,3
 forme,3
 fort,3
 voyant,3
lieu où,3
 tre,3
aduis ,3
iour ,3
 prince,3
 feroit,3
 é,3
cy ,3
 forte,3
forte ,3
 cóme,3
ge ,3
 trois,3
 lequel,3
 tres,3
quel ,3
homme ,3
sathan ,3
entre ,3
 moyen,3
temps ,3
loy ,3
 foit,3
 plutarque,3
academiques ,3
 intelligences,3
mouvement ,3
anges ,3
 mou,3
mou ,3
 toutesfois,3
 f,3
 ment,3
prince mirande,3
femmes ,3
deuant ,3
pro ,3
 auantage,3
dirons ,3
voit ,3
 academiques,3
rendre raifon,3
 feul,3
comprendre ,3
 eternité,3
 ignorance,3
 met,3
tre ,3
haut ,3
fin ,3
choses fupernaturelles,3
fupernaturelles ,3
premier ,3
 p,3
theophrafte ,3
 intelle,3
 noir,3
 quatre,3
 cens,3
 ans,3
 hiftoires,3
 allemaigne,3
allemaigne ,3
accord ,3
platon ,3
images cire,3
 voulu,3
angleterre ,3
 opinion,3
cens quarante,3
farrefter ,3
 lb,3
lb ,3
 phyficien,3
espritz ,3
 demon,2
demon ,2
tref ,2
 auril,2
cens feptante,2
feptante ,2
fem ,2
merueilles ,2
incroyable ,2
 sorciere,2
quei ,2
 ry,2
plusieurs fois,2
 mere,2
ansl ,2
 grand,2
homme noir,2
 toit,2
 nee,2
 eftuy,2
cinquante ,2
 tou,2
por ,2
voyoit ,2
combien ,2
 fuft,2
 impoffible,2
auparauant ,2
 trouué,2
 cfté,2
 ftre,2
sorciere ,2
toutesfois ,2
 beaucoup,2
mel ,2
toufiours ,2
 eftoyent,2
peines eftablies,2
loix ,2
dont ,2
 euft,2
ap ,2
 toute,2
perfonnes ,2
ennemys ,2
feroit ,2
 confelfa,2
repentit ,2
 afin,2
afin ,2
 cy,2
 than,2
 publier,2
 grands,2
eftran ,2
faire entédre,2
entédre ,2
rien ,2
 mettray,2
 do,2
 mil,2
quatre cens,2
lanui ,2
 ques,2
fois forme,2
 quelques,2
 difoit,2
croire ,2
 quad,2
 inquifiteur,2
 brufler,2
 feft,2
parlement ,2
ancien ,2
 peuples,2
poictiers ,2
 auquel,2
 fit,2
an ,2
 appel,2
pays ,2
 vray,2
vray ,2
 faifoit,2
 diét,2
diét loy,2
 mefmement,2
mort contre,2
quoy ,2
grand nombre,2
nombre ,2
 bon,2
 plufpart,2
mef ,2
 chancetez,2
 decerne,2
decerne peines,2
peines contre,2
phy ,2
 ficalement,2
quelque chose,2
po ,2
gin ,2
 ph,2
ph ,2
 préface,2
ment ,2
 mouvement,2
 corps,2
confeffer ,2
 aufli,2
meuuentles cieux,2
 efcript,2
 voir,2
perfonne ,2
lieux ,2
 malins,2
malins esprits,2
 ily,2
eftranges ,2
actions ,2
thomas ,2
 aquin,2
aquin ,2
hebrieux ,2
 arabes,2
arabes ,2
 ofter,2
 mens,2
mens ,2
 porté,2
non toutesfois,2
dzmons ,2
 toutainsi,2
toutainsi ,2
 comprendre,2
celuy ,2
autant ,2
 grandeur,2
grandeur ,2
infinie ,2
 anges,2
elprits ,2
confefle ,2
esprit humain,2
deraifon ,2
 pline,2
cas pareil,2
 verité,2
 terre,2
certain ,2
mil ,2
intelligibles ,2
 cieux,2
 aller,2
 cherche,2
met ,2
 mer,2
mirande ,2
perpetuel ,2
 eau,2
 pruina,2
merueilles dieu,2
demóftration ,2
opinion ,2
pla ,2
 efte,2
 philopone,2
fubieét ,2
phi ,2
argumens ,2
heure ,2
 premier,2
 ame,2
raifons ,2
corruption ,2
 anciens,2
couuerte ,2
vingt ,2
quatre heures,2
h ,2
voudroit nyer,2
préface ,2
neant ,2
 moins,2
moins ,2
plusieurs ,2
 voyons,2
voyons ,2
 orphee,2
orphee ,2
cens ,2
 deuant,2
 charmes,2
 yu,2
où ,2
royne ,2
eftablies contre,2
 z,2
z ,2
ci ,2
romains ,2
 auoyent,2
grecques ,2
 pat,2
esprit ,2
 heure,2
 herodote,2
herodote ,2
 philoftrate,2
philoftrate ,2
 ions,2
procés ,2
cent cens,2
cens lieues,2
 france,2
infinis ,2
 confrontations,2
confrontations ,2
 conuictions,2
confeflions ,2
 parlé,2
 malings,2
 latins,2
incubes ,2
succubes ,2
 gaulois,2
gaulois ,2
 augustin,2
augustin ,2
guife ,2
femme ,2
dormant ,2
veillant ,2
medecins ,2
 bie,2
fort noir,2
 meíme,2
 malin,2
malin esprit,2
 commeil,2
caligula ,2
remus ,2
com ,2
hui ,2
grand ,2
faut donc,2
quand ,2
 images,2
cire ,2
 liaifons,2
 leu,2
moyen defquelles,2
 angleterre,2
telles choses,2
magie ,2
 cas,2
ignorans ,2
 foyent,2
 daníes,2
daníes ,2
so ,2
quarante ,2
 cinq,2
 fept,2
voit celà,2
 ens,2
qua ,2
fciences ,2
 fault,2
 fil,2
 meta,2
 void,2
void ,2
recours ,2
 ouy,2
auantage ,2
depuis trois,2
trois mil,2
mil ans,2
loy dieu,2
iu ,2
 file,2
 fera,2
reuoquer doubte,2
poffible ,2
certifié ,2
demonftre ,2
 metaphyficien,2
phyficien demonftre,2
for ,2
 parlent,2
 moyens,2
 dr,1
dr oaj,1
oaj oe,1
oe io,1
io per,1
per tn,1
tn bodin,1
bodin ,1
 miantex,1
miantex gontr,1
gontr ,1
 ear,1
ear ,1
 ere,1
ere br,1
br tref,1
 ace,1
ace ,1
 avthevr,1
avthevr ,1
 vgementquiaefte,1
vgementquiaefte conclud,1
conclud contre,1
contre td,1
td sorciere,1
sorciere auquel,1
auquel appellé,1
appellé dernier,1
dernier jour,1
jour ,1
auril mil,1
 huic,1
huic ,1
 donné,1
donné occafion,1
occafion mettre,1
mettre main,1
main plume,1
plume mla,1
mla elclarcir,1
elclarcir fubie,1
fubie ,1
sorciers fem,1
 vue,1
vue ble,1
ble routes,1
routes perfonnes,1
perfonnes eftrangeà,1
eftrangeà merueilles,1
 sek,1
sek plufreurs,1
plufreurs incroyable,1
sorciere quei,1
 fappelloit,1
fappelloit leanne,1
leanne haruillier,1
haruillier ,1
 natifuéde,1
natifuéde verbe,1
verbe ,1
ry pres,1
pres compiegne,1
compiegne ,1
 accufee,1
accufee ,1
faiét mourir,1
mourir plusieurs,1
plusieurs hommes,1
 belles,1
belles confefla,1
confefla queftion,1
queftion ,1
 torture,1
torture ,1
combien prime,1
prime face,1
face euft,1
euft denie,1
denie opiniaftrement,1
opiniaftrement ,1
 varié,1
varié plusieurs,1
 confeífa,1
confeífa ,1
mere dés,1
dés ,1
 aage,1
aage douze,1
douze ansl,1
 prefen,1
prefen ,1
 tee,1
tee diableenguife,1
diableenguife ,1
grand homme,1
 outre,1
outre ftature,1
ftature hommes,1
 veftu,1
veftu drap,1
drap noir,1
 nt,1
nt ,1
 ellelauoit,1
ellelauoit ,1
toit ,1
nee ,1
 promife,1
promife ,1
eftuy là,1
là ,1
 difoiteftrele,1
difoiteftrele diable,1
 promet,1
promet ,1
toit bien,1
bien traicter,1
traicter ,1
faire bien,1
 heureufe,1
heureufe ,1
 nonca,1
nonca dieu,1
 promiftferuirau,1
promiftferuirau diable,1
 instant,1
instant clle,1
clle copulation,1
copulation charncllementauec,1
charncllementauec diable,1
 continuant,1
continuant depuis,1
depuis ,1
ge douzeans,1
douzeans ,1
 iufques,1
iufques cinquante,1
 enuiron,1
enuiron ,1
 prife,1
prife ,1
diable prefentoit,1
prefentoit quäd,1
quäd vouloir,1
vouloir ,1
tou rours,1
rours ,1
 habit,1
habit ,1
 prefenta,1
prefenta premiere,1
premiere fois,1
fois elperonne,1
elperonne ,1
 botté,1
botté ,1
 efpeeaucofté,1
efpeeaucofté ,1
 cheual,1
