token_,count
('', 'p'),52
('second', ''),49
('', 'faut'),24
('mort', ''),24
('', 'an'),23
('', 'quoy'),23
('', 'lequel'),22
('an', ''),20
('', 'neantmoins'),18
('chap', ''),18
('', 'pourquoy'),17
('', 'ains'),17
('', 'come'),16
('', 'difoit'),15
('com', ''),14
('', 'lifons'),13
('', 'quelquesfois'),13
('cas', 'pareil'),11
('', 'ame'),11
('', 'autant'),11
('', 'caril'),11
('', 'aage'),11
('malins', 'esprits'),10
('', 'combien'),10
('', 'quia'),10
('', 'z'),10
('dicu', ''),9
('tou', ''),9
('', 'ap'),9
('', 'quant'),9
('pa', ''),9
('', 'depuis'),9
('nui', ''),9
('', 'con'),9
('', 'alors'),9
('', 'euft'),9
('religion', ''),9
('', 'fignifie'),8
('', 'accord'),8
('', 'ens'),8
('', 'tou'),8
('caracteres', ''),8
('pro', ''),8
('', 'eten'),8
('permet', ''),8
('fr', ''),8
('it', ''),8
('perfonne', ''),8
('', 'aprez'),8
('humaine', ''),8
('', 'pr'),8
('', 'impieté'),7
('ho', ''),7
('ciel', ''),7
('charmes', ''),7
('', 'appelle'),7
('', 'ure'),7
('trou', ''),7
('', 'ila'),7
('cha', ''),7
('', 'efcripture'),7
('ve', ''),7
('àl', ''),7
('afne', ''),7
('', 'appelloit'),7
('plu', ''),7
('', 'eftoient'),6
('', 'ilauoit'),6
('ll', ''),6
('', 'dequoy'),6
('', 'poffible'),6
('accord', ''),6
('anges', ''),6
('', 'toutesfois'),6
('icy', ''),6
('', 'quife'),6
('', 'ges'),6
('', 'eau'),6
('', 'air'),6
('ex', ''),6
('nature', ''),6
('animaux', ''),6
('fain', ''),6
('', 'che'),6
('bien', 'fort'),6
('augustin', ''),6
('', 'ls'),6
('', 'da'),6
('', 'it'),6
('maladies', ''),6
('', 'die'),6
('die', ''),6
('saul', ''),6
('', 'hoftie'),6
('nd', ''),6
('', 'tre'),6
('', 'tantoft'),6
('pm', ''),6
('naturelles', ''),5
('', 'carles'),5
('', 'pline'),5
('', 'quien'),5
('', 'mons'),5
('', 'demy'),5
('doigt', ''),5
('', 'mefmement'),5
('heure', ''),5
('air', ''),5
('quelques', 'paroles'),5
('icelle', ''),5
('mary', ''),5
('noter', ''),5
('manger', ''),5
('', 'auoient'),5
('', 'ex'),5
('po', ''),5
('veritable', ''),5
('', 'faiét'),5
('loy', 'dieu'),5
