token_,count
('dieu', ''),74
('mort', ''),51
('', 'faut'),46
('', 'f'),39
('f', ''),39
('con', ''),28
('', 'quand'),26
('quatriesme', ''),23
('diable', ''),23
('ff', ''),23
('', 'non'),23
('com', ''),21
('', 'ff'),21
('cap', ''),21
('sathan', ''),20
('', 'autant'),19
('', 'ains'),17
('', 'com'),17
('', 'bald'),16
('bald', ''),15
('', 'cap'),15
('', 'aduis'),14
('coll', ''),14
('nature', ''),14
('ap', ''),13
('', 'auons'),13
('perfonnes', ''),13
('', 'lib'),13
('lib', ''),13
('loy', 'dieu'),12
('pa', ''),12
('', 'combien'),12
('', 'neantmoins'),12
('', 'oit'),11
('', 'tion'),11
('droit', ''),11
('', 'coll'),11
('', 'pourquoy'),11
('', 'an'),11
('', 'ap'),10
('', 'res'),10
('quel', ''),10
('iu', ''),10
('per', ''),10
('', 'ur'),10
('confil', ''),10
('fine', ''),10
('', 'ibi'),10
('', 'tres'),10
('', 'doit'),10
('', 'quoy'),9
('at', ''),9
('peuple', ''),9
('', 'ment'),9
('', 'ec'),9
('', 'é'),9
('', 'el'),9
('', 'fs'),9
('reproche', ''),9
('fu', ''),9
('cod', ''),9
('el', ''),8
('', 'chose'),8
('deffus', ''),8
('yeux', ''),8
('', 'toutesfois'),8
('', 'is'),8
('', 'commeil'),8
('', 'confil'),8
('', 'fine'),8
('', 'ca'),8
('ca', ''),8
('pu', ''),8
('g', ''),8
('', 'ceftuy'),8
('', 'effe'),8
('effe', ''),8
('', 'cod'),8
('fouuent', ''),7
('', 'appelle'),7
('', 'it'),7
('', 'euft'),7
('', 'fin'),7
('eod', ''),7
('', 'bié'),7
('homicide', ''),7
('droi', ''),7
('', 'lequel'),7
('', 'file'),7
('', 'nu'),7
('nu', ''),7
('bartol', ''),7
('', 'g'),7
('', 'fo'),7
('', 'fçauoir'),6
('auons', 'monftré'),6
('humaine', ''),6
('partie', ''),6
('', 'hoftie'),6
('dessus', ''),6
('', 'caril'),6
('latorture', ''),6
('accu', ''),6
('question', ''),6
('', 'eod'),6
('faut', 'donc'),6
('cy', 'deffus'),6
('iugement', ''),6
('prefom', ''),6
('claire', ''),6
('permanent', ''),6
('ib', ''),6
('fl', ''),6
('ye', ''),6
('', 'attendu'),6
('preu', ''),6
('', 'uoir'),6
('', 'teflib'),6
('teflib', ''),6
('', 'mar'),6
('', 'accord'),6
('', 'empereur'),6
('humaines', ''),6
('', 'cum'),6
('mefchans', ''),6
('', 'fuit'),5
('qvatriesm', ''),5
('dire', 'verité'),5
('', 'cl'),5
('', 'cs'),5
('hs', ''),5
('', 'ts'),5
('fçauoir', ''),5
('', 'ti'),5
('ti', ''),5
('mef', ''),5
('complices', ''),5
('', 'quant'),5
('', 'oril'),5
('', 'ic'),5
('euidente', ''),5
('edi', ''),5
('indices', ''),5
('', 'mm'),5
('', 'tenir'),5
('', 'opinion'),5
('', 'alors'),5
('cy', 'dessus'),5
('', 'uges'),5
('toufiours', ''),5
('sorcie', ''),5
('preuenu', ''),5
('femblables', ''),5
('violente', ''),5
('be', ''),5
('', 'arrefter'),5
('', 'ib'),5
('ji', ''),5
('', 'lexand'),5
('', 'fion'),5
('ain', ''),5
('', 'bartol'),5
('', 'honneur'),5
('neceflaire', ''),5
('contraire', ''),5
('to', ''),5
('', 'autrement'),5
('z', ''),5
('', 'ure'),5
('ver', ''),5
('parricides', ''),5
('', 'll'),5
('fo', ''),5
('', 'ilne'),5
('sor', ''),5
('', 'ye'),5
('viue', ''),5
('', 'feroit'),5
('corporelle', ''),5
('dict', ''),5
('', 'attirer'),5
('vif', ''),5
('', 'fer'),5
('diaboliques', ''),5
('preftres', ''),5
('', 'qvatriesm'),4
('', 'ut'),4
('', 'z'),4
('', 'hs'),4
('', 'sn'),4
('', 'rir'),4
('ville', 'laon'),4
('', 'fr'),4
('ho', ''),4
('tou', ''),4
('troif', ''),4
('', 'eftoyent'),4
('marqués', ''),4
('quelques', 'vns'),4
('cas', 'pareil'),4
('sorcelleries', ''),4
('paris', ''),4
