token_,count
('premier', ''),45
('', 'quand'),42
('dire', ''),31
('esprits', ''),28
('anges', ''),24
('', 'non'),22
('', 'homme'),22
('', 'faut'),21
('', 'esprit'),21
('', 'pourquoy'),21
('', 'combien'),20
('', 'efcripture'),19
('', 'void'),18
('', 'p'),18
('', 'neantmoins'),17
('lib', ''),17
('quelque', 'chose'),16
('', 'foit'),16
('p', ''),15
('bons', ''),15
('', 'ment'),15
('com', ''),15
('malins', 'esprits'),15
('', 'lib'),14
('cap', ''),14
('mal', ''),14
('', 'quoy'),14
('', 'celà'),14
('quel', ''),14
('', 'elles'),14
('celeftes', ''),13
('', 'appelle'),13
('', 'ange'),13
('lune', ''),13
('diaboliques', ''),12
('sorcier', ''),12
('', 'mauuais'),12
('', 'cap'),12
('', 'lequel'),12
('', 'com'),12
('', 'toutesfois'),12
('prophetie', ''),12
('naturelles', ''),12
('con', ''),11
('mort', ''),11
('prophetes', ''),11
('illicites', ''),11
('', 'chapitre'),10
('', 'h'),10
('', 'f'),10
('diables', ''),10
('', 'eftà'),10
('hom', ''),10
('', 'faifoit'),10
('an', ''),10
('mauuais', ''),10
('', 'impieté'),10
('', 'quant'),9
('poin', ''),9
('plantes', ''),9
('', 'alors'),9
('', 'samuel'),9
('impieté', ''),9
('', 'ila'),8
('', 'ains'),8
('', 'g'),8
('', 'opinion'),8
('f', ''),8
('', 'où'),8
('', 'lesautres'),8
('diabolique', ''),8
('foy', ''),8
('pierres', ''),8
('', 'ges'),8
('ex', ''),8
('diuine', ''),8
('', 'là'),8
('samuel', ''),8
('', 'quad'),8
('', 'vifions'),8
('', 'feroit'),8
('nes', ''),8
('', 'salomon'),7
('cho', ''),7
('', 'quela'),7
('eftà', 'dire'),7
('', 'latins'),7
('fain', ''),7
('', 'come'),7
('', 'nes'),7
('theologiens', ''),7
('oy', ''),7
('moyfe', ''),7
('', 'eau'),7
('ans', ''),7
('vifions', ''),7
('ve', ''),7
('', 'tion'),7
('prophe', ''),7
('dauid', ''),7
('ca', ''),7
('', 'autant'),7
('telles', 'choses'),7
('', 'ques'),6
('moyens', 'diaboliques'),6
('', 'ariftote'),6
('', 'entend'),6
('dzmons', ''),6
('pourl', ''),6
('', 'elt'),6
('pere', ''),6
('chap', ''),6
('', 'voyla'),6
('', 'quelle'),6
('', 'met'),6
('', 'oracle'),6
('nez', ''),6
('', 'caufe'),6
('', 'ge'),6
('œuures', 'dieu'),6
('', 'caril'),6
('mm', ''),6
('', 'fera'),6
('nombres', ''),6
('', 'air'),6
('air', ''),6
('', 'honneur'),6
('humaines', ''),6
('', 'forte'),6
('longe', ''),6
('saul', ''),6
('pays', ''),6
('neceffité', ''),6
('loy', 'dieu'),6
('', 'thummim'),6
('', 'herbe'),6
('', 'premierement'),5
('', 'parce'),5
('', 'accord'),5
('corps', 'celeftes'),5
('demons', ''),5
('platon', ''),5
('', 'plutarque'),5
('plutarque', ''),5
('', 'dzmons'),5
('payens', ''),5
('ij', ''),5
('pro', ''),5
('conseil', 'dieu'),5
('met', ''),5
('', 'he'),5
('', 'maisil'),5
('quin', ''),5
('dæmons', ''),5
('', 'ble'),5
('', 'animaux'),5
('', 'oy'),5
('', 'tre'),5
('ges', ''),5
('dextre', ''),5
('', 'libro'),5
('libro', ''),5
('desautres', ''),5
('', 'tour'),5
('', 'dirons'),5
('ange', 'dieu'),5
('', 'euft'),5
('bible', ''),5
('entier', ''),5
('diuines', ''),5
('', 'oril'),5
('', 'ec'),5
('', 'ler'),5
('verité', ''),5
('', 'idolatrie'),5
('prieres', ''),5
('', 'ca'),5
('', 'ure'),5
('faut', 'donc'),5
('', 'facrifices'),5
('hieremie', ''),5
('ennemis', ''),5
('autant', ''),5
('occultes', ''),5
('thummim', ''),5
('', 'galen'),5
('naturels', ''),5
('creatures', ''),5
('fang', ''),5
('é', ''),4
('', 'ainsauffi'),4
('', 'quia'),4
('', 'commeil'),4
('', 'qué'),4
('ques', ''),4
('vertueux', ''),4
('humain', ''),4
('', 'iamblique'),4
('dragon', ''),4
('chreftiens', ''),4
('dieu', 'parle'),4
('prendre', ''),4
('', 'toutainsi'),4
('elementaire', ''),4
('', 'ileft'),4
('', 'iceux'),4
('oracle', ''),4
('ru', ''),4
('', 'auquel'),4
('', 'defquels'),4
('', 'augustin'),4
('', 'tres'),4
('deteftables', ''),4
('', 'cs'),4
('faire', 'chose'),4
('', 'em'),4
('cieux', ''),4
('augustin', ''),4
('aage', ''),4
('mai', ''),4
('', 'quin'),4
('contraires', ''),4
('mot', 'hebrieu'),4
('', 'neluy'),4
('', 'al'),4
('àl', ''),4
('bien', 'mal'),4
('mots', ''),4
('veritable', ''),4
('femble', ''),4
('vertu', ''),4
('', 'oit'),4
('claire', ''),4
('', 'uoir'),4
('', 'faiét'),4
('', 'vneautre'),4
('cueur', ''),4
('', 'fentoit'),4
('croire', ''),4
('rouge', ''),4
('nui', ''),4
('', 'numeri'),4
('', 'ur'),4
('futures', ''),4
('paruenir', 'quelque'),4
('pieté', ''),4
('appel', ''),4
('', 'res'),4
('penitence', ''),4
('', 'parler'),4
('', 'oi'),4
('facrifices', ''),4
('', 'ap'),4
('ap', ''),4
('lettres', ''),4
('', 'ray'),4
('fortileges', ''),4
('', 'iln'),4
('cas', 'pareil'),4
('parle', 'moyen'),4
('rim', ''),4
('predi', ''),4
('deuins', ''),4
('face', 'face'),4
('', 'imagination'),4
('imagination', ''),4
('quec', ''),4
('vrim', ''),4
('moyens', 'naturels'),4
('', 'ordre'),4
('', 'us'),4
('', 'autrement'),4
('', 'horofcope'),4
('cours', 'nature'),4
('ge', ''),4
('caracteres', ''),4
('recite', ''),4
('moyens', 'illicites'),4
('', 'sciemment'),3
('sciemment', ''),3
('', 'tellement'),3
('', 'iufte'),3
('grec', ''),3
('', 'mét'),3
('', 'porphyre'),3
('iamblique', ''),3
('malings', 'esprits'),3
('', 'aduis'),3
('', 'quieft'),3
('neceffaire', ''),3
('impicté', ''),3
('', 'origine'),3
('origine', ''),3
('', 'rois'),3
('', 'dragon'),3
('nombre', ''),3
('eftoilles', ''),3
('', 'cest'),3
('aduis', ''),3
('', 'appellant'),3
('chef', ''),3
('', 'ceft'),3
('', 'té'),3
('iob', ''),3
('deftruire', ''),3
('maiftre', 'sorcier'),3
('pfalme', ''),3
('grand', 'leuiathan'),3
('deluy', ''),3
('', 'lance'),3
('ezechicl', ''),3
('leuiathan', ''),3
('', 'beaux'),3
('', 'iefaye'),3
('', 'voyons'),3
('vers', ''),3
('', 'lon'),3
('', 'defaict'),3
('', 'ru'),3
('humaine', ''),3
('', 'donné'),3
('monde', 'elementaire'),3
('', 'tué'),3
('', 'trouué'),3
('', 'mefchant'),3
('damnables', ''),3
('exemples', ''),3
('efcripture', 'faincte'),3
('', 'cen'),3
('cen', ''),3
('cicl', ''),3
('', 'ily'),3
('', 'peuuent'),3
('', 'lu'),3
('empires', ''),3
('republiques', ''),3
('', 'tirer'),3
('', 'aufh'),3
('', 'unt'),3
('eo', ''),3
('academiques', ''),3
('', 'fcauoir'),3
('fcauoir', ''),3
('caux', ''),3
('moyés', 'diaboliques'),3
('', 'fainéts'),3
('', 'maisily'),3
('', 'ac'),3
('', 'files'),3
('', 'figne'),3
('', 'yn'),3
('', 'mineraux'),3
('mineraux', ''),3
('', 'ra'),3
('ra', ''),3
('', 'ter'),3
('ter', ''),3
('', 'mc'),3
('phi', ''),3
('pfalmes', ''),3
('interpre', ''),3
('ab', ''),3
('al', ''),3
('laloy', 'dieu'),3
('', 'dequoy'),3
('', 'trouue'),3
('aprez', ''),3
('', 'dic'),3
('', 'era'),3
('part', ''),3
