token_,count
('', ''),627
('sorciers', ''),32
('dieu', ''),24
('', 'sorciers'),10
('corps', ''),10
('sorcieres', ''),10
('lib', ''),10
('', 'faut'),10
('', 'faire'),9
('', 'lieu'),9
('lieu', ''),9
('esprits', ''),9
('monde', ''),9
('', 'voit'),9
('', 'où'),8
('', 'homme'),8
('ariftote', ''),8
('cieux', ''),8
('', 'lib'),8
('choses', ''),8
('', 'bien'),7
('', 'ariftote'),7
('dire', ''),7
('', 'veu'),7
('', 'dict'),6
('dict', ''),6
('noir', ''),6
('diable', ''),6
('forme', ''),6
('mort', ''),6
('', 'fin'),6
('', 'depuis'),6
('caufe', ''),6
('nature', ''),6
('', 'aristote'),6
('plutarque', ''),6
('f', ''),6
('', 'dieu'),6
('', 'choses'),6
('', 'elles'),6
('peu', ''),6
('', 'quand'),6
('hommes', ''),5
('', 'combien'),5
('', 'ge'),5
('', 'diable'),5
('', 'autant'),5
('', 'non'),5
('italie', ''),5
('', 'chose'),5
('contre', 'sorciers'),5
('peuples', ''),5
('', 'quia'),5
('intelligences', ''),5
('', 'g'),5
('g', ''),5
('', 'neantmoins'),5
('', 'accord'),5
('raifon', ''),5
('', 'celuy'),5
('', 'loix'),5
('', 'plusieurs'),5
('malings', 'esprits'),5
('', 'sorcieres'),5
('bien', ''),4
('ans', ''),4
('', 'auoient'),4
('auoient', 'veu'),4
('impoffible', ''),4
('', 'aduis'),4
('', 'femble'),4
('faire', ''),4
('', 'esprits'),4
('', 'italie'),4
('', 'rien'),4
('', 'ila'),4
('', 'entre'),4
('charmes', ''),4
('tou', ''),4
('', 'quoy'),4
('efcript', ''),4
('', 'dirons'),4
('', 'ains'),4
('', 'ges'),4
('sain', ''),4
('', 'actions'),4
('intelle', ''),4
('', 'pourquoy'),4
('', 'esprit'),4
('humain', ''),4
('', 'caufe'),4
('ignorance', ''),4
('verité', ''),4
('choses', 'naturelles'),4
('naturelles', ''),4
('veu', ''),4
('mer', ''),4
('terre', ''),4
('p', ''),4
('', 'sorcelleries'),4
('sorcelleries', ''),4
('', 'preface'),4
('preface', ''),4
('elles', ''),4
('', 'dire'),4
('mil', 'cinq'),3
('cinq', 'cens'),3
('', 'faiét'),3
('fois', ''),3
('', 'lors'),3
('lors', ''),3
('', 'forme'),3
('', 'fort'),3
('', 'voyant'),3
('lieu', 'où'),3
('', 'tre'),3
('aduis', ''),3
('iour', ''),3
('', 'prince'),3
('', 'feroit'),3
('', 'é'),3
('cy', ''),3
('', 'forte'),3
('forte', ''),3
('', 'cóme'),3
('ge', ''),3
('', 'trois'),3
('', 'lequel'),3
('', 'tres'),3
('quel', ''),3
('homme', ''),3
('sathan', ''),3
('entre', ''),3
('', 'moyen'),3
('temps', ''),3
('loy', ''),3
('', 'foit'),3
('', 'plutarque'),3
('academiques', ''),3
('', 'intelligences'),3
('anges', ''),3
('', 'mou'),3
('mou', ''),3
('', 'toutesfois'),3
('', 'f'),3
('', 'ment'),3
('prince', 'mirande'),3
('femmes', ''),3
('deuant', ''),3
('pro', ''),3
('', 'auantage'),3
('dirons', ''),3
('voit', ''),3
('', 'academiques'),3
('rendre', 'raifon'),3
('', 'feul'),3
('comprendre', ''),3
('', 'eternité'),3
('', 'ignorance'),3
('', 'met'),3
('tre', ''),3
('haut', ''),3
('fin', ''),3
('choses', 'fupernaturelles'),3
('fupernaturelles', ''),3
('premier', ''),3
('', 'p'),3
('theophrafte', ''),3
('', 'intelle'),3
('', 'noir'),3
('', 'quatre'),3
('', 'cens'),3
('', 'ans'),3
('', 'hiftoires'),3
('', 'allemaigne'),3
('allemaigne', ''),3
('accord', ''),3
('platon', ''),3
('images', 'cire'),3
('', 'voulu'),3
('angleterre', ''),3
('', 'opinion'),3
('cens', 'quarante'),3
('farrefter', ''),3
('', 'lb'),3
('lb', ''),3
('', 'phyficien'),3
('espritz', ''),3
