token_,count
('', '', ''),596
('dieu', '', ''),25
('sathan', '', ''),12
('', 'fin', ''),11
('', 'ame', ''),10
('', 'sorciers', ''),10
('', 'depuis', ''),10
('dire', '', ''),9
('', '', 'autant'),9
('', 'an', 'mil'),9
('', 'an', ''),9
('malings', 'esprits', ''),8
('', 'f', ''),8
('', 'com', ''),7
('', '', 'pourquoy'),7
('', '', 'faut'),7
('', 'sain', ''),7
('', '', 'diable'),6
('', 'void', ''),6
('sorciers', '', ''),6
('', 'troisieme', ''),6
('an', 'mil', 'cinq'),6
('an', '', ''),6
('', '', 'sorciers'),6
('', 'chap', ''),6
('', '', 'troisieme'),6
('', 'lib', ''),6
('corps', '', ''),5
('malins', 'esprits', ''),5
('', 'accord', ''),5
('', 'allemaigne', ''),5
('mal', '', ''),5
('', 'faut', ''),5
('', 'offencer', ''),5
('f', '', ''),5
('', 'autant', ''),5
('', '', 'dieu'),5
('', 'charmes', ''),5
('mal', 'caduc', ''),5
('', '', 'esprit'),5
('', '', 'f'),4
('', '', 'tres'),4
('', 'plusieurs', ''),4
('', 'eod', ''),4
('eod', '', ''),4
('', 'ex', ''),4
('', 'ques', ''),4
('', 'alors', ''),4
('', '', 'void'),4
('loy', 'dieu', ''),4
('', 'hommes', ''),4
('', 'cela', ''),4
('', 'veu', ''),4
('', 'euefque', ''),4
('demeurent', '', 'accord'),4
('', 'p', ''),4
('p', '', ''),4
('', 'lieu', ''),4
('', '', 'depuis'),4
('ans', '', ''),4
('', 'non', ''),4
('mil', 'cinq', 'cens'),4
('gens', 'bien', ''),4
('', '', 'eftà'),4
('', '', 'plusieurs'),4
('', 'quel', ''),4
('cy', 'dessus', ''),4
('mourut', '', ''),4
('', 'sorciere', ''),4
('', '', 'euft'),4
('', 'homme', ''),4
('', '', 'non'),4
('', 'eau', ''),4
('prieres', '', ''),4
('bien', '', ''),4
('', '', 'quand'),4
('', 'difant', ''),4
('malin', 'esprit', ''),4
('', 'contre', ''),4
('lib', '', ''),4
('', '', 'moyen'),4
('maling', 'esprit', ''),4
('esprit', '', ''),4
('', 'esprit', 'dieu'),4
('', 'egypte', ''),3
('', 'troisiesme', ''),3
('', 'at', ''),3
('', '', 'lifons'),3
('', 'auons', ''),3
('cy', 'deffus', ''),3
('', 'beftes', ''),3
('hommes', '', ''),3
('', 'hiftoire', ''),3
('', '', 'el'),3
('vray', 'dire', ''),3
('', '', 'rien'),3
('', 'foit', ''),3
('', '', 'trouue'),3
('', '', 'sorcier'),3
('', '', 'tel'),3
('', 'maison', ''),3
('plusieurs', '', ''),3
('', '', 'celuy'),3
('hom', '', ''),3
('', '', 'p'),3
('ca', '', ''),3
('', 'bien', ''),3
('', '', 'faire'),3
('nui', '', ''),3
('general', '', ''),3
('vie', '', ''),3
('', 'ds', ''),3
('', 'ftes', ''),3
('sathan', '', 'sorciers'),3
('', 'dieu', ''),3
('iuftice', '', ''),3
('mefchans', '', ''),3
('', '', 'ap'),3
('', '', 'oit'),3
('', '', 'euefque'),3
('euefque', '', ''),3
('monde', '', ''),3
('', '', 'entre'),3
('', 'nui', ''),3
('repos', '', ''),3
('', 'fan', ''),3
('mieux', 'dire', ''),3
('dedieu', '', ''),3
('', 'sathan', ''),3
('', 'confeffa', ''),3
('maladie', '', ''),3
('', '', 'cauoir'),3
('ame', '', ''),3
('malefice', '', ''),3
('', 'mains', ''),3
('', 'ge', ''),3
('', 'res', ''),3
('k', '', ''),3
('', 'ls', ''),3
('ls', '', ''),3
('charmes', '', ''),3
('', 'là', ''),3
('fortir', '', ''),3
('', 'certaine', ''),3
('', 'có', ''),3
('pape', '', ''),3
('confeffa', '', ''),3
('', 'honneur', ''),3
('', '', 'quoy'),3
('', 'diable', ''),3
('', 'long', 'temps'),3
('', 'hom', ''),3
('prier', 'dieu', ''),3
('', 'mettray', ''),3
('faire', '', ''),3
('diable', '', ''),3
('', 'ad', ''),3
('', '', 'quelque'),3
('allemaigne', '', ''),3
('', 'fer', ''),3
('peur', '', ''),3
('', '', 'lib'),3
('', '', 'opinion'),3
('chap', '', ''),3
('', 'vnsorcier', ''),3
('', 'maladies', ''),3
('', 'idolatrie', ''),3
('contre', '', 'charmes'),3
('', '', 'foudain'),3
('', '', 'mettray'),3
('difant', 'mots', ''),3
('veu', '', ''),3
('', '', 'ila'),3
('esprits', '', ''),3
('', '', 'toit'),3
('', 'maling', 'esprit'),3
('', 'cet', ''),3
