token_,count
  ,596
dieu  ,25
sathan  ,12
 fin ,11
 ame ,10
 sorciers ,10
 depuis ,10
dire  ,9
  autant,9
 an mil,9
 an ,9
malings esprits ,8
 f ,8
 com ,7
  pourquoy,7
  faut,7
 sain ,7
  diable,6
 void ,6
sorciers  ,6
 troisieme ,6
an mil cinq,6
an  ,6
  sorciers,6
 chap ,6
  troisieme,6
 lib ,6
corps  ,5
malins esprits ,5
 accord ,5
 allemaigne ,5
mal  ,5
 faut ,5
 offencer ,5
f  ,5
 autant ,5
  dieu,5
 charmes ,5
mal caduc ,5
  esprit,5
  f,4
  tres,4
 plusieurs ,4
 eod ,4
eod  ,4
 ex ,4
 ques ,4
 alors ,4
  void,4
loy dieu ,4
 hommes ,4
 cela ,4
 veu ,4
 euefque ,4
demeurent  accord,4
 p ,4
p  ,4
 lieu ,4
  depuis,4
ans  ,4
 non ,4
mil cinq cens,4
gens bien ,4
  eftà,4
  plusieurs,4
 quel ,4
cy dessus ,4
mourut  ,4
 sorciere ,4
  euft,4
 homme ,4
  non,4
 eau ,4
prieres  ,4
bien  ,4
  quand,4
 difant ,4
malin esprit ,4
 contre ,4
lib  ,4
  moyen,4
maling esprit ,4
esprit  ,4
 esprit dieu,4
 egypte ,3
 troisiesme ,3
 at ,3
  lifons,3
 auons ,3
cy deffus ,3
 beftes ,3
hommes  ,3
 hiftoire ,3
  el,3
vray dire ,3
  rien,3
 foit ,3
  trouue,3
  sorcier,3
  tel,3
 maison ,3
plusieurs  ,3
  celuy,3
hom  ,3
  p,3
ca  ,3
 bien ,3
  faire,3
nui  ,3
general  ,3
vie  ,3
 ds ,3
 ftes ,3
sathan  sorciers,3
 dieu ,3
iuftice  ,3
mefchans  ,3
  ap,3
  oit,3
  euefque,3
euefque  ,3
monde  ,3
  entre,3
 nui ,3
repos  ,3
 fan ,3
mieux dire ,3
dedieu  ,3
 sathan ,3
 confeffa ,3
maladie  ,3
  cauoir,3
ame  ,3
malefice  ,3
 mains ,3
 ge ,3
 res ,3
k  ,3
 ls ,3
ls  ,3
charmes  ,3
 là ,3
fortir  ,3
 certaine ,3
 có ,3
pape  ,3
confeffa  ,3
 honneur ,3
  quoy,3
 diable ,3
 long temps,3
 hom ,3
prier dieu ,3
 mettray ,3
faire  ,3
diable  ,3
 ad ,3
  quelque,3
allemaigne  ,3
 fer ,3
peur  ,3
  lib,3
  opinion,3
chap  ,3
 vnsorcier ,3
 maladies ,3
 idolatrie ,3
contre  charmes,3
  foudain,3
  mettray,3
difant mots ,3
veu  ,3
  ila,3
esprits  ,3
  toit,3
 maling esprit,3
 cet ,3
 ains contraire,2
 ot ,2
 corps ,2
beftail  ,2
  nemo,2
peine vie ,2
 arufpices ,2
arufpices  ,2
 loy dieu,2
 quad ,2
 trosiesme ,2
 infe ,2
 tres ,2
 histoire ,2
hiftoire  ,2
 allemai ,2
ventre  ,2
 ila ,2
  ileft,2
besoin  ,2
  defai,2
 defai ,2
 ia ,2
  fin,2
 parricides ,2
  donner,2
 foudain ,2
 ment ,2
foudain  ,2
 ré ,2
 eres ,2
diables  sorciers,2
moyen chafler ,2
 sorcelleries ,2
sorcelleries  ,2
 guerres ,2
quelques vns ,2
 air ,2
terre  ,2
directement contre ,2
vfe  ,2
 iamais ,2
grand def ,2
faire amende honorable,2
  pendu,2
eme  ,2
  ca,2
 ca ,2
  he,2
 he ,2
 lessorciers ,2
cela  ,2
 loir ,2
 prince ,2
  hit,2
cens cinquante ,2
  ilfe,2
 recite ,2
 milles ,2
 auf ,2
bien  mal,2
 rc ,2
 tuer ,2
 be ,2
be  ftes,2
 ennemys ,2
 pourueu ,2
 faut bien,2
 uent ,2
fort  ,2
  ailleurs,2
 aumofne ,2
deus  ,2
dict  ,2
 mefchans ,2
maladies  ,2
fiebure quarte ,2
main  ,2
  eftois,2
  homme,2
iour  ,2
vendredy  samedy,2
 cha ,2
decalogue  dieu,2
 el ,2
el  ,2
 nuit ,2
 maisil ,2
ww  ,2
 eftà fçauoir,2
  accord,2
 pere ,2
fuyuant  ,2
  parla,2
soleil couché ,2
depofoyent  ,2
 har ,2
 trente ,2
troisieme  ,2
  appelle,2
  peine,2
 vi ,2
 honorez ,2
honorez  ,2
  nc,2
puif  ,2
mefprifez  ,2
 richeffes ,2
filets sathan ,2
maiftre  ,2
 aduis ,2
malade  extremité,2
 extremité ,2
 où ,2
contre nature ,2
  maladies,2
medecines naturelles ,2
cas pareil ,2
 maladie ,2
plein  eau,2
  certain,2
pourle guerir ,2
  sorciere,2
 do ,2
plusieurs sorciers ,2
paris  an,2
  beftes,2
difoit  ,2
  pendant,2
 pendant ,2
 maladie tombera,2
gueritle corps ,2
 tue ,2
tue  ame,2
  reciteray,2
 quei ,2
 entendu ,2
 orleans ,2
  quel,2
fils roy ,2
pieds  mains,2
 mourut ,2
  inquifiteur,2
  faifant,2
 poudres ,2
 iet ,2
feu  ,2
quelques parolles ,2
 faifant quelques,2
 ains feulement,2
vns  ,2
troisiesme  ,2
 al ,2
faueur  ,2
  beauté,2
 beauté ,2
femmes  ,2
 plaifirs ,2
  noir,2
  beau,2
  ls,2
ges  ,2
 amour ,2
pieds  ,2
  enforcelé,2
 enforcelé ,2
voir  ,2
 bonne grace,2
  neluy,2
diuine  ,2
 sorcier ,2
 ac ,2
  ha,2
 ha ,2
  bris,2
auons  cy,2
  eftla,2
com  bien,2
 icy dira,2
sylueftre fecond ,2
 non sathan,2
  neantmoins,2
 onl ,2
 neantmoins ,2
  ot,2
 puiflance ,2
cinq cens cinquante,2
parle moyen ,2
 lors ,2
long temps ,2
  preftre,2
  für,2
maifon  ,2
 loy ,2
 autruy ,2
 combien ,2
 malings esprits,2
 mieux dire,2
entre  ,2
  art,2
double fens ,2
 prier dieu,2
  sathan,2
  sain,2
bas  ,2
lens  ,2
  faifoit,2
  lieu,2
con  ,2
 faire ,2
 eftat ,2
 famine ,2
 famines ,2
breuiaire  ,2
  era,2
 pres ,2
 affrique ,2
allemai  gne,2
 gne ,2
pays  là,2
diables  ,2
sorciers  ena,2
 feruis ,2
feruis  ,2
 thomas ,2
images cire ,2
 nemys ,2
officiers iuftice ,2
iuges  ,2
mains iuftice ,2
  pouuoit,2
 iuges ,2
iugement dieu ,2
  mefines,2
  difent,2
 nic ,2
contre sorciers ,2
dæmon  quia,2
  face,2
  mifericorde,2
 difons maintenant,2
quelqu  ,2
  ns,2
 pr ,2
  oo,2
  ad,2
 didt ,2
thomas  aquin,2
 damnable ,2
  ds,2
 st ,2
craigne  ,2
  fuperftition,2
  prieres,2
chafler malins esprits,2
