token_,count
  ,164
sorciers  ,13
 lib ,8
 ariftote ,7
dieu  ,7
 lieu ,6
corps  ,6
  lib,6
 dict ,5
 sorciers ,5
contre sorciers ,5
caufe  ,5
 g ,5
monde  ,5
 dieu ,5
 auoient veu,4
  sorciers,4
 italie ,4
lib  ,4
  dieu,4
  pourquoy,4
 sorcelleries ,4
 preface ,4
  dire,4
mil cinq cens,3
  faire,3
 lors ,3
  autant,3
 aduis ,3
 ge ,3
  rien,3
  fin,3
  depuis,3
cieux  ,3
 intelligences ,3
 mou ,3
 f ,3
 dirons ,3
 voit ,3
comprendre  ,3
 choses ,3
  faut,3
  caufe,3
  bien,3
 p ,3
 intelle ,3
malings esprits ,3
sorcelleries  ,3
 allemaigne ,3
 elles ,3
 accord ,3
 dire ,3
 sorcieres ,3
angleterre  ,3
 lb ,3
 demon ,2
cens feptante ,2
homme noir ,2
 forme ,2
por  ,2
 combien ,2
impoffible  ,2
diable  ,2
ennemys  ,2
 feroit ,2
  non,2
 afin ,2
 cy ,2
 esprits ,2
esprits  ,2
faire entédre ,2
 rien ,2
homme  ,2
  ila,2
 entre ,2
 peuples ,2
 vray ,2
charmes  ,2
  faifoit,2
 diét loy,2
diét loy ,2
  quia,2
 quoy ,2
 decerne peines,2
decerne peines contre,2
peines contre sorciers,2
 homme ,2
phy  ficalement,2
 ph ,2
  corps,2
confeffer  ,2
meuuentles cieux ,2
 malins esprits,2
  ariftote,2
dirons  lieu,2
thomas  aquin,2
 aquin ,2
 academiques ,2
 arabes ,2
  ofter,2
 mens ,2
 non toutesfois,2
 toutainsi ,2
 celuy ,2
 autant ,2
 grandeur ,2
 esprit humain,2
dict  ,2
 caufe ,2
  voit,2
 verité ,2
 ignorance ,2
choses naturelles ,2
intelligibles  ,2
  choses,2
 veu ,2
 tre ,2
haut  ,2
 fin ,2
  met,2
 met ,2
choses fupernaturelles ,2
 mer ,2
 prince mirande,2
prince mirande ,2
entre  ,2
 plutarque ,2
  p,2
heure  ,2
p  ,2
vingt  quatre,2
 quatre heures,2
fupernaturelles  ,2
humain  ,2
  plusieurs,2
 plusieurs ,2
 orphee ,2
orphee  ,2
 cens ,2
cens  ans,2
 ans ,2
ans  deuant,2
 deuant ,2
 charmes ,2
  yu,2
  sorcelleries,2
terre  ,2
 z ,2
peu  heure,2
 herodote ,2
 philoftrate ,2
  hiftoires,2
cent cens lieues,2
allemaigne  france,2
 confrontations ,2
elles  elles,2
 gaulois ,2
 augustin ,2
guife  homme,2
 fort noir,2
fort noir ,2
 malin esprit,2
forme  homme,2
caligula  ,2
  quand,2
 images cire,2
images cire ,2
 angleterre ,2
telles choses ,2
 daníes ,2
  actions,2
cens quarante ,2
quarante  cinq,2
 voit celà,2
fciences  ,2
 auantage ,2
depuis trois mil,2
trois mil ans,2
loy dieu ,2
certifié  ,2
demonftre  ,2
 phyficien demonftre,2
  parlent,2
espritz  ,2
 dr oaj,1
dr oaj oe,1
oaj oe io,1
oe io per,1
io per tn,1
per tn bodin,1
tn bodin ,1
bodin  demon,1
demon  miantex,1
 miantex gontr,1
miantex gontr ,1
gontr  ,1
  ear,1
 ear ,1
ear  ,1
  ere,1
 ere br,1
ere br tref,1
br tref ,1
tref  ace,1
 ace ,1
ace  avthevr,1
 avthevr ,1
avthevr  vgementquiaefte,1
 vgementquiaefte conclud,1
vgementquiaefte conclud contre,1
conclud contre td,1
contre td sorciere,1
td sorciere auquel,1
sorciere auquel appellé,1
auquel appellé dernier,1
appellé dernier jour,1
dernier jour ,1
jour  ,1
  auril,1
 auril mil,1
auril mil cinq,1
cinq cens feptante,1
feptante  huic,1
 huic ,1
huic  ,1
  donné,1
 donné occafion,1
donné occafion mettre,1
occafion mettre main,1
mettre main plume,1
main plume mla,1
plume mla elclarcir,1
mla elclarcir fubie,1
elclarcir fubie ,1
fubie  sorciers,1
 sorciers fem,1
sorciers fem ,1
fem  vue,1
 vue ble,1
vue ble routes,1
ble routes perfonnes,1
routes perfonnes eftrangeà,1
perfonnes eftrangeà merueilles,1
eftrangeà merueilles ,1
merueilles  sek,1
 sek plufreurs,1
sek plufreurs incroyable,1
plufreurs incroyable ,1
incroyable  sorciere,1
 sorciere quei,1
sorciere quei ,1
quei  dict,1
dict  fappelloit,1
 fappelloit leanne,1
fappelloit leanne haruillier,1
leanne haruillier ,1
haruillier  natifuéde,1
 natifuéde verbe,1
natifuéde verbe ,1
verbe  ry,1
 ry pres,1
ry pres compiegne,1
pres compiegne ,1
compiegne  accufee,1
 accufee ,1
accufee  faiét,1
 faiét mourir,1
faiét mourir plusieurs,1
mourir plusieurs hommes,1
plusieurs hommes ,1
hommes  belles,1
 belles confefla,1
belles confefla queftion,1
confefla queftion ,1
queftion  torture,1
 torture ,1
torture  combien,1
 combien prime,1
combien prime face,1
prime face euft,1
face euft denie,1
euft denie opiniaftrement,1
denie opiniaftrement ,1
opiniaftrement  ,1
  varié,1
 varié plusieurs,1
varié plusieurs fois,1
plusieurs fois ,1
fois  confeífa,1
 confeífa ,1
confeífa  mere,1
 mere dés,1
mere dés ,1
dés  aage,1
 aage douze,1
aage douze ansl,1
douze ansl ,1
ansl  prefen,1
 prefen ,1
prefen  tee,1
 tee diableenguife,1
tee diableenguife ,1
diableenguife  grand,1
 grand homme,1
grand homme noir,1
noir  outre,1
