token_,count
,13497
dieu,161
sorciers,101
diable,94
bien,82
p,67
faire,62
hommes,52
corps,51
second,50
quand,44
sathan,42
plusieurs,40
dire,37
chose,34
homme,34
dict,32
f,31
grand,31
non,30
faut,30
veu,30
mort,30
ans,30
fort,29
esprit,28
cela,28
quil,27
paroles,27
choses,26
sorciere,26
sorcier,25
an,25
toute,25
lieu,25
elles,25
diables,24
quelques,24
mourir,24
lequel,24
moyen,23
quoy,23
foit,23
rien,22
fin,22
pourquoy,22
sorcieres,22
enfans,21
femme,21
mot,20
quelque,20
quel,20
chap,20
trois,20
come,20
entre,19
difoit,19
procés,19
neantmoins,18
parle,18
cas,18
mots,18
efcript,18
celuy,18
efté,17
malins,17
esprits,17
moins,17
cy,17
loy,17
là,17
iufques,17
faifoit,17
forme,17
ains,17
voir,17
bouc,17
mal,16
maiftre,16
telles,16
com,16
telle,16
lifons,16
parties,16
hebrieux,16
h,16
deuant,15
partie,15
auons,15
fois,15
parles,15
ec,15
roy,15
fouuent,15
quelquesfois,15
hiftoire,15
vray,14
vie,14
mettre,14
forte,14
où,14
bouche,14
peuples,14
aage,14
ad,13
ame,13
aufli,13
eftant,13
humain,13
voix,13
trouua,13
croire,13
femblable,13
nom,13
z,13
void,12
nombre,12
temps,12
difent,12
parlant,12
celle,12
ja,12
con,12
vns,12
verité,12
contre,12
clle,12
figure,12
peur,12
raifon,12
alors,12
mere,12
poudres,12
loups,12
payens,11
pareil,11
puiffance,11
faict,11
aller,11
combien,11
tel,11
nc,11
ap,11
lors,11
autant,11
pa,11
recite,11
certain,11
al,11
caril,11
foudain,11
peuple,11
beftes,11
peu,11
religion,11
puiflance,11
ville,11
eftoyent,11
confeffa,11
premier,10
lan,10
facrifices,10
dicu,10
pres,10
feulement,10
grands,10
tou,10
caracteres,10
femble,10
quia,10
ge,10
fuft,10
tousles,10
ic,10
veut,10
depuis,10
ventre,10
fille,10
nui,10
vi,10
marque,10
caufe,10
euft,10
perfonne,10
grande,10
femmes,10
aprez,10
humaine,10
pr,10
impieté,9
fignifie,9
bons,9
paris,9
dé,9
foubs,9
malin,9
parce,9
pierre,9
charmes,9
ens,9
és,9
propos,9
quant,9
ve,9
pro,9
per,9
cs,9
perfonnes,9
iour,9
lu,9
sil,9
no,9
fr,9
certaine,9
efcripture,9
porte,9
afne,9
ordinairement,9
foubz,9
lesautres,9
eftoient,8
um,8
vertu,8
france,8
voulu,8
beaux,8
bon,8
ciel,8
monde,8
accord,8
iamais,8
quelle,8
anges,8
femblables,8
creatures,8
quife,8
lay,8
celles,8
toutesfois,8
defendu,8
anciens,8
appelle,8
da,8
dauid,8
donner,8
outre,8
ieune,8
laloy,8
celà,8
em,8
eten,8
cr,8
permet,8
difant,8
grec,8
ila,8
foy,8
cha,8
tuer,8
he,8
chair,8
oit,8
moyfe,8
poinét,8
feu,8
it,8
ps,8
tué,8
long,8
to,8
dedans,8
compagnie,8
nuict,8
we,8
fit,8
pays,8
chapitre,7
magie,7
ho,7
nez,7
toufiours,7
hi,7
vouloir,7
cícript,7
ray,7
té,7
ll,7
forceleries,7
beaucoup,7
dieux,7
hebrieu,7
ques,7
cens,7
garder,7
iuges,7
procez,7
ij,7
pris,7
disant,7
monftrer,7
force,7
ena,7
appellent,7
eau,7
ure,7
bois,7
cinq,7
pat,7
eftrange,7
dont,7
do,7
ur,7
medecins,7
trou,7
va,7
duquel,7
maladie,7
animaux,7
cueur,7
parler,7
voyant,7
ls,7
filles,7
toft,7
àl,7
maladies,7
die,7
