token_,count
,11060
dieu,99
sorciers,91
bien,71
mort,70
faut,62
f,55
faire,55
preuve,45
peine,45
loy,44
crime,44
celuy,44
p,40
foit,39
cas,37
contre,37
quand,36
doibt,35
diable,34
sorcier,33
quatriesme,32
non,32
elles,32
crimes,31
con,30
verité,29
mourir,29
sathan,28
dire,27
cy,26
ff,25
ad,24
plusieurs,24
deuant,23
com,22
cap,22
sorciere,21
autant,20
presomption,20
faict,19
cela,18
ains,18
auons,18
iuges,18
veu,18
toute,18
ex,18
moyen,17
pere,17
rien,17
h,17
bald,17
enfant,17
nature,17
puny,17
moins,16
pourquoy,16
forte,16
proceder,16
droit,16
lieu,16
perfonnes,16
donc,16
presomptions,16
res,15
neantmoins,15
pro,15
aduis,15
queftion,15
efté,15
veut,15
an,15
ap,14
vie,14
pa,14
quelque,14
fera,14
quel,14
mere,14
ac,14
celle,14
coll,14
peines,14
doit,14
laloy,14
choses,13
peuple,13
fort,13
depuis,13
faiét,13
vns,13
mis,13
combien,13
lib,13
quia,13
ge,13
at,12
chose,12
raifon,12
ft,12
temps,12
per,12
telles,12
ibi,12
iuge,12
im,11
grand,11
el,11
no,11
vray,11
princes,11
peu,11
ment,11
roy,11
fuft,11
punition,11
oit,11
is,11
luge,11
tion,11
lesautres,11
parle,11
couftume,11
quis,11
fs,11
fu,11
tres,11
effe,11
sil,10
fouuent,10
prendre,10
pres,10
homme,10
ville,10
merite,10
aufli,10
toutesfois,10
quelques,10
jamais,10
iu,10
fille,10
trois,10
procés,10
confeflion,10
é,10
femme,10
tefmoings,10
ur,10
confil,10
fine,10
quela,10
file,10
quil,10
come,10
reproche,10
pr,10
diét,10
nc,9
quoy,9
do,9
cít,9
bié,9
sorcieres,9
enfans,9
hommes,9
nombre,9
elt,9
voulu,9
monftré,9
fois,9
deffus,9
tel,9
entre,9
yeux,9
ec,9
pays,9
eftla,9
grande,9
fin,9
met,9
confeffion,9
àla,9
homicide,9
droi,9
enla,9
ca,9
pu,9
qua,9
difent,9
feulement,9
fils,9
ceftuy,9
ae,9
cod,9
appelle,8
us,8
vnc,8
it,8
foy,8
nom,8
partie,8
euft,8
ds,8
trouue,8
mefchanceté,8
commeil,8
condamné,8
question,8
difoit,8
femmes,8
tué,8
fit,8
iugement,8
prefom,8
claire,8
lequel,8
docteurs,8
void,8
ennemy,8
beaucoup,8
nu,8
és,8
g,8
loix,8
ans,8
brufler,8
ve,8
fuit,7
premier,7
files,7
cs,7
ts,7
ls,7
fçauoir,7
punir,7
magiftrats,7
complices,7
quant,7
iamais,7
meímes,7
tenir,7
tousles,7
neceflaire,7
feront,7
toufiours,7
dessus,7
filles,7
trouué,7
alors,7
face,7
qi,7
ordinaire,7
caril,7
propos,7
hors,7
eod,7
autrement,7
preuves,7
depofition,7
violente,7
mo,7
be,7
ib,7
fl,7
ye,7
dict,7
fila,7
bartol,7
tefmoing,7
honneur,7
fo,7
mar,7
perfonne,7
poifon,7
tuer,7
contraire,7
empereur,7
premiere,7
accusé,7
là,7
cum,7
majefté,7
prince,7
id,6
cl,6
z,6
if,6
ire,6
rir,6
parles,6
humaine,6
eftoyent,6
hoftie,6
ic,6
cens,6
ll,6
royaume,6
garde,6
commun,6
ent,6
mm,6
mettre,6
ble,6
fer,6
impunité,6
opinion,6
preuenu,6
certain,6
dont,6
em,6
fent,6
sorcie,6
quad,6
col,6
ob,6
latorture,6
telle,6
violentes,6
accu,6
femblable,6
venger,6
té,6
um,6
quod,6
permanent,6
caufe,6
cinq,6
mains,6
faits,6
attendu,6
preu,6
certaine,6
eftant,6
remarqué,6
uoir,6
teflib,6
pat,6
eo,6
sor,6
accord,6
fang,6
iufques,6
to,6
main,6
veritable,6
parricides,6
humaines,6
foubz,6
bruflee,6
mi,6
sorcellerie,6
corporelle,6
peuuent,6
mefchans,6
dif,5
qvatriesm,5
feu,5
ut,5
hs,5
donner,5
ch,5
ti,5
sn,5
ul,5
sorcelleries,5
fr,5
mef,5
troif,5
conucincu,5
charge,5
pareil,5
oril,5
ordinaires,5
outre,5
mil,5
ja,5
euidente,5
edi,5
dic,5
indices,5
deteftable,5
der,5
droiét,5
plufteurs,5
uges,5
force,5
pafle,5
dessorciers,5
ra,5
vi,5
maisil,5
tref,5
vifue,5
faite,5
cause,5
accufé,5
sain,5
foyent,5
pourauoir,5
pourle,5
iuftice,5
volontaire,5
femblables,5
notoire,5
preuuc,5
exemple,5
notable,5
mou,5
arrefter,5
ji,5
cor,5
lex,5
fil,5
cu,5
lexand,5
bal,5
fion,5
ain,5
bruit,5
paction,5
actes,5
ciuil,5
ter,5
tit,5
and,5
loir,5
tels,5
peur,5
allemaigne,5
mille,5
dre,5
termes,5
os,5
lo,5
ques,5
quelle,5
glo,5
dir,5
ii,5
pri,5
ure,5
capitale,5
ver,5
esprit,5
he,5
mary,5
ferment,5
pra,5
ilne,5
voir,5
prefumer,5
ila,5
male,5
sorcicre,5
pen,5
viue,5
feroit,5
doiuent,5
exprefle,5
attirer,5
chair,5
verifié,5
vif,5
diaboliques,5
preftres,5
preftre,5
moyens,4
crainte,4
parties,4
vs,4
corps,4
laon,4
quieft,4
lee,4
fçeu,4
ha,4
ho,4
lessorciers,4
nes,4
tou,4
rer,4
lors,4
faifoit,4
quien,4
marqués,4
cftre,4
pendus,4
charles,4
paris,4
né,4
ner,4
oy,4
va,4
pourueu,4
quiles,4
pur,4
ayt,4
nó,4
aage,4
iagoit,4
dé,4
parce,4
meres,4
sorcic,4
prife,4
toft,4
ant,4
cit,4
paul,4
spranger,4
poffible,4
faifoyent,4
meurent,4
mettent,4
voit,4
perdu,4
ke,4
fic,4
foudain,4
auff,4
lent,4
croire,4
auguftin,4
long,4
ru,4
innocent,4
cad,4
voire,4
confeffions,4
juge,4
clgard,4
plain,4
hi,4
al,4
ei,4
euident,4
receuable,4
euidence,4
rece,4
crapaux,4
charme,4
plusforte,4
veuë,4
auf,4
expreffe,4
beftes,4
feulemét,4
procede,4
teímoings,4
jf,4
pratique,4
iniure,4
porte,4
inl,4
tef,4
droict,4
mefmement,4
ges,4
quine,4
coupable,4
na,4
aufh,4
mr,4
defquels,4
dei,4
rent,4
lefe,4
diuine,4
lcs,4
qualité,4
nt,4
pluficurs,4
ieune,4
vraye,4
faux,4
á,4
clle,4
lieux,4
ed,4
tenu,4
po,4
bon,4
cents,4
quin,4
mieux,4
eurs,4
auquel,4
pouuoit,4
parricide,4
etla,4
lon,4
tor,4
raison,4
ofter,4
minore,4
felin,4
nousauons,4
ilauoit,4
nd,4
pene,4
lm,4
nommé,4
fem,4
ordonnance,4
leg,4
af,4
vont,4
tm,4
moindre,4
frui,4
mots,4
puni,4
mefchancetez,4
cour,4
defaire,4
double,4
tre,4
ancienneté,4
parlaloy,4
ri,4
quam,4
punis,4
lifons,4
amende,4
meritent,4
léfe,4
effort,4
capitalement,4
enuers,4
dy,3
rs,3
sd,3
malings,3
esprits,3
uons,3
feruice,3
iquer,3
ns,3
ct,3
lement,3
da,3
ps,3
faic,3
cut,3
ir,3
ement,3
mme,3
ui,3
ci,3
í,3
veulét,3
doncques,3
republique,3
mois,3
deteftables,3
horribles,3
infinies,3
uent,3
fuiets,3
œil,3
nousauos,3
gés,3
coupables,3
accuser,3
pardonner,3
donna,3
humain,3
penfe,3
pendu,3
cent,3
cinquante,3
ona,3
foubs,3
œuures,3
ij,3
ies,3
parlement,3
den,3
fecond,3
bie,3
permis,3
particulier,3
cis,3
quatriefme,3
plein,3
fuyuant,3
cel,3
tc,3
fauxbourgs,3
dedans,3
craignent,3
age,3
let,3
trc,3
mer,3
donne,3
our,3
loyer,3
eur,3
donné,3
condam,3
bailly,3
men,3
tions,3
confeflions,3
confeffe,3
ss,3
doubte,3
lus,3
ieanne,3
cauoir,3
lessorcieres,3
feul,3
feule,3
dece,3
prifon,3
adam,3
martin,3
bieure,3
combié,3
bourreau,3
faute,3
ccluy,3
inimitié,3
ets,3
torture,3
voix,3
prifonniers,3
out,3
ia,3
meurtrier,3
vouloit,3
contra,3
ceft,3
mefchancetés,3
ena,3
table,3
difons,3
sorcelerie,3
ers,3
feconde,3
ptions,3
fft,3
rité,3
foldat,3
proconful,3
execute,3
pt,3
ot,3
dem,3
ylt,3
ro,3
aucune,3
matiere,3
faictes,3
carl,3
mai,3
exemples,3
of,3
iugemét,3
parolles,3
ang,3
depofent,3
qualiter,3
fair,3
ileft,3
difhculté,3
fomption,3
felon,3
alex,3
balde,3
mement,3
oi,3
cr,3
alexand,3
teft,3
teímoing,3
hb,3
infamie,3
regard,3
reproches,3
cat,3
cm,3
latins,3
demeurent,3
enait,3
commis,3
pierre,3
demeure,3
ciers,3
accufe,3
ordinairement,3
tue,3
ple,3
veau,3
moy,3
pren,3
benedi,3
wi,3
ouyr,3
nefaut,3
atrefter,3
ainsau,3
kd,3
ordre,3
diff,3
ez,3
pratiqué,3
fuf,3
proba,3
entendu,3
chreftiens,3
mott,3
sorcicres,3
jugement,3
faicts,3
diuifer,3
apparence,3
tio,3
yn,3
fage,3
confef,3
ons,3
pied,3
cx,3
cores,3
pes,3
cours,3
diuin,3
mefchant,3
home,3
diuines,3
ncantmoins,3
grandes,3
naturelle,3
ciel,3
elf,3
inuocation,3
efcripture,3
iln,3
faber,3
entendre,3
france,3
ber,3
nir,3
rum,3
uu,3
rats,3
ms,3
era,3
rai,3
pie,3
dis,3
prefque,3
quelcun,3
mel,3
có,3
quando,3
art,3
num,3
fed,3
panorm,3
età,3
carc,3
pieds,3
trop,3
plutarque,3
delaquelle,3
capita,3
lé,3
mont,3
fortileges,3
duquel,3
portes,3
carle,3
nie,3
cri,3
allegue,3
pal,3
garder,3
pei,3
dedieu,3
ordonnances,3
authent,3
las,3
atroces,3
mefmemét,3
br,3
eau,3
ba,3
biens,3
penfent,3
tiens,3
directement,3
homicides,3
diminuer,3
rigueur,3
blafphemes,3
vengeance,3
rigeur,3
hebrieux,3
renier,3
religion,3
quiconque,3
dedicu,3
delaloy,3
foient,3
idolatrie,3
noter,3
fix,3
condemnation,3
meftier,3
bo,3
did,3
pefte,3
caracala,3
bles,3
eec,3
epi,3
iy,3
violétes,3
amendes,3
puisapres,3
pend,3
condamner,3
punie,3
mn,3
coulpable,3
fortes,3
mariage,3
effect,3
pecuniaires,3
erreur,3
blables,3
magiftrat,3
curé,3
pardon,3
maiftre,3
obeir,3
attentat,3
ftant,2
meffes,2
veritables,2
depit,2
oe,2
cie,2
chapitre,2
parlé,2
pelle,2
doux,2
medecines,2
lt,2
eit,2
cce,2
ln,2
peinc,2
dt,2
rene,2
pius,2
longuement,2
quife,2
ame,2
dua,2
rue,2
fà,2
mift,2
dii,2
difant,2
pla,2
og,2
gi,2
lll,2
aic,2
core,2
amener,2
jou,2
minuer,2
conferuerles,2
falutaire,2
autrementil,2
aflifter,2
diffamee,2
auril,2
proces,2
che,2
quile,2
rend,2
maladies,2
chaftier,2
contreles,2
than,2
nuict,2
marques,2
cachees,2
difficile,2
empefche,2
perfon,2
vncrime,2
neles,2
defcouurir,2
efchelles,2
infinité,2
grace,2
cognoiffoit,2
noir,2
regarder,2
ouautre,2
fup,2
urir,2
honte,2
delateur,2
quinze,2
compli,2
defe,2
confacree,2
ouuert,2
neuftefme,2
auparauant,2
henry,2
prefidét,2
sm,2
gl,2
rendu,2
pi,2
titi,2
left,2
oing,2
procureurs,2
facent,2
uc,2
neo,2
gens,2
nefe,2
pou,2
publique,2
tours,2
contrains,2
ecd,2
parluy,2
prefence,2
procureur,2
mt,2
proce,2
voye,2
contraindre,2
promettre,2
accufateur,2
ilfe,2
grands,2
receuables,2
conuaincre,2
empor,2
eftat,2
parauant,2
moyé,2
cognoiflance,2
cogneu,2
su,2
roit,2
dictcy,2
aller,2
chafteau,2
fceut,2
mereauoit,2
defcouuertes,2
fonnes,2
cacher,2
efcrire,2
fitoft,2
cher,2
prison,2
dignes,2
gref,2
meltier,2
haruillier,2
trouua,2
condamnee,2
bruflée,2
heruillier,2
ieu,2
nées,2
familier,2
lefecond,2
changé,2
place,2
vnlieu,2
perfones,2
interrogatoire,2
interro,2
detoutesles,2
petit,2
dia,2
prifonniere,2
promet,2
aduient,2
ler,2
executer,2
hor,2
tuges,2
net,2
repentent,2
fufhzante,2
fufpecte,2
celles,2
ger,2
prions,2
cord,2
pourront,2
cnt,2
douleur,2
verite,2
voudroys,2
charmes,2
pliquer,2
inftruments,2
frayeur,2
entrer,2
chambre,2
quelqu,2
pendre,2
tirer,2
illuy,2
pourfe,2
cp,2
mentir,2
gypte,2
cherche,2
métir,2
abraham,2
sara,2
efl,2
infinis,2
damnable,2
platon,2
petits,2
mefchäcetés,2
monde,2
clericis,2
cb,2
bat,2
lefquelles,2
indubitables,2
jii,2
permanant,2
notorieté,2
accufez,2
trou,2
aucun,2
àleur,2
sen,2
rapporté,2
volótaire,2
laconfeflion,2
pilon,2
ombre,2
nonobftant,2
commande,2
centenier,2
executé,2
seneque,2
doc,2
receu,2
receuë,2
edict,2
probat,2
nuit,2
teffib,2
roma,2
repe,2
hn,2
uable,2
parainsi,2
poifons,2
coffre,2
offre,2
permanét,2
accufee,2
hofties,2
membres,2
hu,2
images,2
xv,2
ris,2
gorge,2
furle,2
cuident,2
confeffé,2
nya,2
uienne,2
eftropiat,2
maladie,2
nent,2
prieres,2
abfence,2
confrontations,2
denié,2
fenfibles,2
absente,2
fetrou,2
alexa,2
cóme,2
dusorcier,2
fufhfante,2
air,2
parler,2
quit,2
luges,2
ouautres,2
aucc,2
destefmoings,2
collat,2
pof,2
yerbo,2
obligat,2
nemy,2
ptio,2
touché,2
peuples,2
etre,2
ag,2
forme,2
anciés,2
entiere,2
ray,2
bs,2
ret,2
inter,2
qun,2
pertinente,2
general,2
fingularité,2
ayde,2
differente,2
porelle,2
criminelle,2
cho,2
ng,2
entend,2
ues,2
cle,2
adultere,2
vit,2
addit,2
spe,2
ffo,2
vio,2
conf,2
oc,2
aid,2
reçoit,2
bu,2
condamnés,2
jacoit,2
public,2
canon,2
jaçoit,2
js,2
mulier,2
ao,2
verb,2
romains,2
fragilité,2
empereurs,2
fagement,2
infames,2
doéteurs,2
auteurs,2
carles,2
impunis,2
confiderable,2
ilfaut,2
receuoir,2
plices,2
fouuient,2
lieutenant,2
criminel,2
voleurs,2
conucincus,2
tefmoignages,2
fat,2
voulant,2
confesseur,2
appeller,2
confefleur,2
gra,2
cet,2
quo,2
eff,2
salic,2
pme,2
cruelle,2
ortoutainsi,2
oyent,2
cf,2
ée,2
capital,2
part,2
etnefaut,2
cecrime,2
iugemens,2
maicfté,2
patrie,2
commelaloy,2
ence,2
pass,2
lege,2
moings,2
icy,2
moyfe,2
aufquels,2
iufquesau,2
iuger,2
voulut,2
texte,2
defence,2
fant,2
gio,2
laiffer,2
gb,2
can,2
sex,2
manda,2
bert,2
ga,2
jo,2
efcript,2
italie,2
gift,2
remarquer,2
rei,2
modo,2
alius,2
fama,2
circonstances,2
raifons,2
forcee,2
ov,2
loyent,2
cherchent,2
leu,2
ante,2
haut,2
maifons,2
voyát,2
fupplice,2
deffence,2
quelaloy,2
trouuc,2
fortir,2
pluspart,2
confefle,2
diciaire,2
voluntaire,2
interrogé,2
quelquesfois,2
bouche,2
hl,2
def,2
vis,2
denye,2
prudent,2
faifant,2
fais,2
adioufte,2
cau,2
ioin,2
feflion,2
où,2
denie,2
fol,2
laquell,2
emp,2
appert,2
laconfeffion,2
carla,2
cte,2
cendio,2
beftiail,2
teftable,2
imaginer,2
disent,2
pc,2
peché,2
carce,2
actios,2
toutesles,2
caufes,2
naturelles,2
medecins,2
conui,2
fterilité,2
lil,2
adioufter,2
confe,2
efte,2
poflible,2
merucilles,2
actions,2
quicft,2
heure,2
poinct,2
efcri,2
elprits,2
enten,2
ace,2
ü,2
bom,2
eí,2
anciens,2
grecs,2
bui,2
fafemme,2
tl,2
accufes,2
cornel,2
chef,2
alexandre,2
coli,2
sorc,2
preuenucs,2
qvatrieme,2
pue,2
aj,2
rx,2
lr,2
tol,2
angel,2
tiennent,2
miles,2
neant,2
royent,2
neceffaire,2
for,2
perfifte,2
pluftoft,2
faillent,2
cotraire,2
claude,2
efclaue,2
sx,2
vnautre,2
referer,2
recogneuft,2
quittance,2
iaçoit,2
feras,2
rme,2
ea,2
cœuures,2
voyfine,2
dele,2
tw,2
conucin,2
ftre,2
pieté,2
edilitio,2
bar,2
ale,2
canoni,2
adu,2
comun,2
celà,2
demeuré,2
mun,2
queftio,2
codemnatio,2
voifins,2
pl,2
sic,2
lea,2
decins,2
caufa,2
verf,2
nies,2
nam,2
quaft,2
confi,2
reputee,2
prend,2
fuis,2
morte,2
tenailles,2
ligne,2
condamne,2
petis,2
onl,2
quei,2
ainft,2
vt,2
marqué,2
nommee,2
bruflec,2
fetoit,2
nommec,2
quarante,2
mourirles,2
romme,2
ueincus,2
baptifte,2
mé,2
ét,2
lay,2
ures,2
deuoit,2
efcrit,2
pus,2
cer,2
od,2
dou,2
sis,2
neapo,2
fide,2
lh,2
ficut,2
dd,2
defend,2
appl,2
condemna,2
quifuft,2
ier,2
gentil,2
condamnation,2
repenti,2
inuoqué,2
regle,2
meurt,2
san,2
prima,2
alle,2
bi,2
damoyfelle,2
hat,2
soir,2
maisle,2
man,2
wes,2
tamis,2
rf,2
amp,2
jine,2
lin,2
plu,2
eflre,2
faifi,2
vo,2
fruiét,2
prennent,2
innocens,2
prier,2
doi,2
commeles,2
quon,2
larrons,2
fuffit,2
empefcher,2
tay,2
bons,2
punirles,2
mal,2
offenfer,2
empefchez,2
may,2
second,2
veux,2
principalement,2
cefler,2
majesté,2
herefie,2
femble,2
peche,2
cesteloy,2
dieux,2
crucifix,2
mw,2
fofle,2
cœur,2
deuterono,2
lxxvrrr,2
hebrieu,2
fignifient,2
adorer,2
philon,2
palle,2
diableleurs,2
eftrange,2
lesfaire,2
lefquels,2
iurer,2
etle,2
ddd,2
deutero,2
ert,2
onques,2
sorcicrs,2
moin,2
iniures,2
bonne,2
corp,2
ordinai,2
rement,2
cornelia,2
auroit,2
verbo,2
