token_,count
 ,3992
magistrats ,133
 bien,91
senat ,84
corps ,82
 estat,78
peuple ,77
puissance ,72
 non,67
 puissance,65
 magistrats,65
magistrat ,64
prince ,58
 ains,58
 quand,55
republique ,54
estat ,53
com ,51
 colleges,50
college ,50
loy ,49
 magistrat,48
commander ,48
iuftice ,47
 foit,46
colleges ,42
roy ,41
 empereur,40
 faut,39
 euft,38
 toutesfois,37
 depuis,37
 faire,37
 office,37
 combien,36
lieu ,36
loix ,36
 auoient,36
 cela,34
estats ,34
 college,34
princes ,33
 senat,33
 neantmoins,33
bien ,33
 cas,33
souverain ,33
 pourquoy,32
 autant,31
 prince,31
faire ,31
 come,31
 loy,31
office ,31
rome ,30
 aduis,29
aduis ,29
 doibt,29
troisiesme ,29
public ,29
con ,28
 quoy,28
 com,28
edits ,27
particuliers ,27
officiers ,26
 quant,26
 ment,26
 celte,26
charge ,26
 roy,26
quel ,25
 peuple,25
 republique,25
 où,25
commandement ,25
dire ,24
 execution,24
 charge,24
particulier ,24
sujets ,24
 tion,23
confeil ,23
cela ,23
 lieu,23
 moins,23
 honneur,23
 conseil,23
an ,23
lettres ,23
 an,23
 celuy,23
 là,22
 sil,22
 contre,22
 corps,22
romains ,21
 plusieurs,21
 aufli,21
 lequel,21
fort ,21
 fust,21
puissance commander,21
royaume ,20
 rien,20
senateurs ,20
affaires ,20
 chofe,20
 outre,20
ordinaire ,20
outre ,20
vie ,20
tribuns ,20
cap ,20
conseil ,19
cour ,19
mort ,19
 entend,19
 forte,19
 autrement,19
priué ,19
mots ,19
publiques ,19
ville ,19
confuls ,19
 eftoyent,19
temps ,18
vns ,18
publique ,18
 appelloit,18
dieu ,17
 cy,17
opinion ,17
combien ,17
 veu,17
difoit ,17
 lettres,17
guerre ,17
 file,17
 mot,17
 dire,17
 quelque,17
 cap,17
 parce,16
 vns,16
 opinion,16
priuileges ,16
 faifoit,16
commiflion ,16
commiffion ,16
 eftoient,16
force ,16
qualité ,15
 troisiesme,15
toutesfois ,15
 feroit,15
 iufques,15
 és,15
perfonnes ,15
paris ,15
forte ,15
iuges ,15
 p,15
 fçauoir,15
plusieurs ,15
 voir,15
 executer,15
 confuls,15
nature ,15
 officier,15
celuy ,15
 entre,15
quelques vns,15
 ordonnances,15
ordonnances ,15
collegues ,15
tion ,14
biens ,14
 cefte,14
 officiers,14
có ,14
contre ,14
venize ,14
liue ,14
feulement ,14
magi ,14
cas ,14
 tribuns,14
 lors,14
enfemble ,14
preteurs ,14
 auons,14
 collegues,14
 obeir,13
 mettre,13
