token_,count
 ,2038
 estat,131
 empire,62
roy ,57
estat ,55
peuple ,53
 bien,53
 empereur,48
populaire ,47
empire ,45
sujets ,36
puissance ,34
republique ,33
bien ,33
estats ,32
roys ,31
princes ,31
biens ,31
tyran ,31
 ains,30
prince ,29
souveraineté ,28
 foit,28
mort ,28
 non,26
 celuy,26
vie ,25
ariftocratique ,24
 republique,23
senat ,23
empereur ,22
estat populaire,21
 prince,21
 combien,21
 honneur,21
souverain ,20
 toutesfois,20
 quand,20
 neantmoins,20
an ,20
 peuple,19
 puissance,19
 moins,19
 dire,19
republiques ,18
magistrats ,18
 an,18
 roy,18
 où,17
force ,17
citoyens ,17
dieu ,17
 autant,16
 faut,16
foy ,16
feigneurs ,16
particulier ,16
 faire,16
 senat,16
dire ,16
vertu ,16
quel ,15
monarchie ,15
 plusieurs,15
romains ,15
 quoy,15
com ,15
loy ,15
 depuis,15
iuftice ,15
 come,14
 trois,14
 rien,14
 euft,14
honneur ,14
 princes,14
 p,13
part ,13
riches ,13
 ariftocratie,13
faire ,13
 vertu,13
populaires ,13
guerre ,13
fort ,13
moindre partie,12
 monarchie,12
ariftocratie ,12
gens bien,12
con ,12
ariftote ,12
royale ,12
 veu,12
 com,12
confeil ,12
 quelque,12
foit ,12
 cela,12
nobles ,12
nature ,12
efclaues ,12
tyrans ,12
prince souverain,11
second ,11
moins ,11
 ariftote,11
 populaire,11
affaires ,11
loix ,11
officiers ,11
 auroit,11
 ment,11
 peu,11
 roys,11
 lequel,11
 villes,11
royal ,11
 eftoyent,11
voix ,11
bien fouuent,11
 iufques,11
lieu ,11
fouucrain ,11
souveraine ,11
 sil,10
contraire ,10
 quel,10
moyen ,10
 opinion,10
 vray,10
tyrannie ,10
forte ,10
 quant,10
villes imperiales,10
 attendu,10
royaume ,10
 cy,10
 auoient,10
chef ,10
p ,10
 pourquoy,10
 biens,10
almaigne ,10
 fort,10
 loy,10
 cas,9
corps ,9
lacedemoniens ,9
feigneurie ,9
 auoyent,9
 feigneurs,9
ariftocratiques ,9
rome ,9
premier ,9
 tyran,9
contre ,9
celuy ,9
 file,9
 dix,9
nom ,9
 almaigne,9
venize ,9
imperiales ,9
 sujets,9
 celle,9
nobleffe ,9
puissance souveraine,9
prin ,9
perfonne ,9
perfonnes ,9
ennemis ,9
 vie,9
 auons,9
 grand,9
 aufli,9
trois ,8
opinion ,8
 donne,8
 quatre,8
 aduis,8
menu peuple,8
 riches,8
 fera,8
 mort,8
 nes,8
 cinq,8
 contraire,8
là ,8
 part,8
 fust,8
 ans,8
grand confeil,8
combien ,8
 hommes,8
 forte,8
paix ,8
 outre,8
 appeller,8
ment ,8
 droit,8
 magistrats,8
 offices,8
 là,8
 iufte,8
 afin,8
 alors,8
 entre,8
 vertueux,8
grand ,8
pere ,8
cas ,8
general ,7
partie peuple,7
 platon,7
 ordonnances,7
ville ,7
 quine,7
nes ,7
plutarque ,7
villes ,7
ap ,7
enfans ,7
athenes ,7
ans ,7
platon ,7
 lieu,7
veu ,7
cy deflus,7
deflus ,7
bon ,7
 voire,7
 hommage,7
angleterre ,7
 beaucoup,7
 voyant,7
pays ,7
 moindre,7
mil citoyens,7
 autrement,7
 foubs,7
liberté ,7
 royaume,7
vertueux ,7
dannemarc ,7
 foyent,7
 tyrannie,7
tuer ,7
sujet ,7
 voila,6
 icelle,6
icelle ,6
arifto ,6
 feroit,6
fou ,6
 voir,6
voir ,6
 gens,6
polybe ,6
 temps,6
 con,6
 ainsau,6
 tre,6
monarque ,6
neantmoins ,6
 souveraineté,6
peu ,6
temps ,6
 aufquels,6
 plutarque,6
 firent,6
xxx ,6
 ap,6
 femble,6
fouuent ,6
 toute,6
aduis ,6
 res,6
xx ,6
commander ,6
 voit,6
duc ,6
maiefté ,6
hommes ,6
 angleterre,6
grand nombre,6
quoy ,6
 cent,6
vray ,6
publique ,6
 iamais,6
bien fort,6
 appellent,6
 cefte,6
mots ,6
femmes ,6
mil ,6
 nefe,6
 difoit,6
 fent,6
 accord,6
 ncantmoins,6
 fçauoir,6
droit ,6
plusieurs ,6
monarchie feigneuriale,6
feigneuriale ,6
offices ,6
 nobles,6
loix nature,6
 hormis,6
 at,6
at ,6
 monftré,6
 force,6
 estats,6
france ,6
 mettre,6
monftré cy,6
 ran,6
neron ,6
 mil,6
ordonnances ,6
voye iuftice,6
 eftoient,6
afin ,6
 prefque,6
familles ,6
anciennes familles,6
 té,6
lignees ,6
forme ,5
estat ariftocratique,5
vices ,5
 chofe,5
 donc,5
ari ,5
fortes ,5
 fept,5
 mis,5
ciceron ,5
herodote ,5
 erreur,5
 parles,5
efcrit ,5
 ileft,5
 caril,5
 pourle,5
popu ,5
florence ,5
 voyons,5
 premiere,5
ps ,5
estat fera,5
ariftocra ,5
 forme,5
 met,5
femble ,5
 aucun,5
magistrat ,5
souverains ,5
 nouslifons,5
grecs ,5
 premier,5
em ,5
 conful,5
effe ,5
fin ,5
 oit,5
cy deffus,5
quelconque ,5
depuis ,5
pouuoir ,5
 fieft,5
fieft ,5
apparence ,5
imperial ,5
attendu ,5
nombre ,5
hommage ,5
non ,5
 ayt,5
entendre ,5
feigneur ,5
liure ,5
 appelloit,5
bien vray,5
 publique,5
 cust,5
 enfans,5
don ,5
 mieux,5
cela ,5
contre roy,5
charge ,5
 nobleffe,5
naturelle ,5
 eftar,5
 anciens,5
accord ,5
 carle,5
fçauoir ,5
caligula ,5
faut ,5
 plufpart,5
 mot,5
mot ,5
edits ,5
qualité ,5
autrement ,5
populairement ,5
donne estats,5
pro ,5
feigneurial ,5
heroïques ,5
peuples ,5
voleur ,5
 faifoit,5
feruir ,5
plaifir ,5
 cóme,5
romain ,5
 foy,5
monar ,5
 dre,5
barbares ,5
election ,5
couronne ,5
iuges ,5
cas pareil,5
pa ,5
 fils,5
ty ,5
iufte roy,5
 contre,5
prophete ,5
public ,5
queftion ,5
ele ,5
 sujet,5
 homme,5
partie citoyens,5
ariftocratic ,5
nuremberg ,5
communes ,5
 efté,4
matiere ,4
fortes republiques,4
pu ,4
 ge,4
chap ,4
 marques,4
 dirons,4
ve ,4
 os,4
plu ,4
monarchies ,4
 commeles,4
chofe ,4
trois estats,4
democratie ,4
 appelle,4
auons ,4
forme republique,4
 polybe,4
quatre cens,4
 difant,4
 ariftocratique,4
 vouloir,4
premiere ,4
part souveraineté,4
 officiers,4
monftré ,4
 donné,4
 furplus,4
furplus ,4
 tellement,4
ephores ,4
 feul,4
grece ,4
 athenes,4
 eftoiét,4
lieux ,4
 bles,4
 eftle,4
fei ,4
 gneurs,4
hercules ,4
estat royal,4
 fin,4
maifon ,4
ui ,4
senateurs ,4
aucun pouuoir,4
oys ,4
donc ,4
toute puissance,4
tribuns ,4
cle ,4
 parauant,4
parauant ,4
 tué,4
xenophon ,4
 onques,4
 lifons,4
lifons ,4
commandement ,4
voit ,4
moindres magistrats,4
où ,4
ad ,4
oit ,4
deffus ,4
 doubte,4
 files,4
 nom,4
 tres,4
suifles ,4
 general,4
 lant,4
 monarque,4
 grands,4
 efpaigne,4
fang ,4
 regard,4
prefent ,4
 noftre,4
tres ,4
pres ,4
 veut,4
 femmes,4
 quarante,4
toute ,4
ple ,4
quand ,4
monde ,4
aristocratique ,4
 dira,4
 face,4
trois fortes,4
 fcauoir,4
claffes ,4
 demeurant,4
 elles,4
 bié,4
 pourueu,4
cy ,4
 augufte,4
principauté ,4
diadefme ,4
po ,4
 genes,4
capitaines chef,4
 armes,4
bien toft,4
frere ,4
empire romain,4
 orient,4
 trouue,4
 gouuernemét,4
gouuer ,4
 perfonnes,4
 fuffent,4
 eten,4
nel ,4
bonne ,4
 voulut,4
 afie,4
afie ,4
 celte,4
europe ,4
 prefent,4
fils ,4
charle ,4
lieutenant ,4
 tenir,4
tyrannique ,4
 parce,4
 quifont,4
 difference,4
 lon,4
monarque royal,4
doux ,4
 ic,4
 ceft,4
pourueu ,4
 dir,4
dir ,4
droit fucceffif,4
fucceffif ,4
ordre ,4
 toft,4
 euffent,4
henry ,4
 eflire,4
fiens ,4
mot tyran,4
tref ,4
 neur,4
 impofts,4
dix mil,4
euft ,4
 mourir,4
 caufe,4
 dieu,4
 prend,4
 em,4
 donner,4
 ft,4
alors ,4
 cobien,4
imperiaux ,4
 crainte,4
valeria ,4
voye ,4
proces ,4
difoit ,4
gentils ,4
auons monftré,4
 pourroit,4
non feulement,4
prince fouucrain,4
có ,4
 mandement,4
 ariftocraties,4
ariftocraties ,4
conseil ,4
priué confeil,4
bourgeois ,4
cantons ,4
luques ,4
trois cens,4
