token_,count
 ,4532
 estat,172
 bien,115
ans ,93
peuple ,89
estat ,82
sujets ,81
 an,71
republiques ,68
roy ,62
 non,61
an ,61
 quand,60
 ains,59
 iufques,58
 foit,58
populaire ,57
 depuis,57
republique ,56
 quoy,56
 faut,55
 ans,54
 roy,54
 faire,51
estat populaire,51
bien ,47
 republique,45
 combien,43
 peu,42
prince ,42
loix ,41
 prince,41
 empire,41
 empereur,41
 neantmoins,41
puissance ,40
 où,40
magistrats ,40
p ,39
 peuple,39
princes ,39
 forte,38
 come,37
 iour,37
estats ,36
quatriesme ,36
 autant,36
 veu,36
 moins,35
romains ,34
monde ,34
 alors,33
peu ,32
 pourquoy,32
 toutesfois,31
faire ,31
rome ,31
 chofe,30
ville ,30
 p,29
 accord,28
 lequel,28
vns ,27
monarchie ,27
 fust,27
iuftice ,27
 cela,27
moins ,27
 ment,26
pays ,26
 trois,26
 magistrats,26
 puissance,26
vie ,26
populaires ,25
 plusieurs,25
dieu ,25
 afin,24
mort ,24
grand ,24
 honneur,24
mois ,24
guerre ,24
 celuy,23
changement ,23
 dire,23
 entre,23
force ,23
hommes ,23
accord ,23
quel ,23
honneur ,23
combien ,22
vertu ,22
nature ,22
ciuiles ,21
dire ,21
peuples ,21
 voit,21
 quatriesme,21
 feroit,21
soleil ,21
planettes ,21
iufques ,20
cela ,20
france ,20
ennemis ,20
premier ,20
là ,20
contre ,20
 tion,19
 elles,19
quand ,19
guerres ciuiles,19
foit ,19
 sujets,19
quoy ,19
forte ,19
perfonne ,19
iour ,19
 eftant,19
autant ,19
 changement,18
religion ,18
 ville,18
roys ,18
estats populaires,18
empire ,18
 grand,18
 grands,18
veu ,18
 fera,18
 auquel,18
 euft,18
 quelque,18
paix ,18
 là,18
public ,18
nobleffe ,18
xx ,18
italie ,18
peu peu,17
 iamais,17
 republiques,17
 cy,17
 mal,17
 nombre,17
 almaigne,17
com ,17
hebrieux ,17
empereur ,17
 rien,17
 premier,17
 tousjours,17
 europe,17
 lieu,17
 harmonie,17
con ,16
changemens ,16
iuger ,16
doux ,16
mal ,16
 fçauoir,16
armes ,16
 caril,16
 quine,16
plusieurs ,16
offices ,16
senat ,16
 aduis,16
fix ,16
charge ,16
 parce,16
cefar ,16
main ,16
maiefté ,16
temps ,16
 guerres,16
 italie,16
 opinion,16
hautes planettes,16
europe ,16
feditions ,16
prin ,15
 vray,15
 mort,15
royaume ,15
 fin,15
 ambition,15
 fix,15
 plutarque,15
 moyen,15
 loy,15
ciuile ,15
officiers ,15
 lors,15
 grande,15
 auons,15
mars ,15
septembre ,15
 contre,14
 voir,14
contraire ,14
 loix,14
 occafion,14
 estats,14
 prefque,14
corps ,14
yeux ,14
 afrique,14
souverain ,14
almaigne ,14
 com,14
ruine ,14
