token_,count
 ,7954
 empereur,184
roy ,170
an ,139
 an,137
france ,136
 bien,125
 roy,125
 empire,124
sujets ,117
peuple ,109
prince ,104
empire ,101
romains ,97
empereur ,96
princes ,95
foy ,89
 foit,88
souverain ,88
republique ,85
 prince,85
 combien,83
premier ,83
 non,82
puissance ,80
 quoy,80
pape ,78
 quand,77
 depuis,76
 republique,74
 angleterre,74
 faire,71
 ains,71
loy ,70
 premier,69
 hommage,69
loix ,68
 puissance,67
 veu,66
pays ,65
 neantmoins,64
charle ,64
enfans ,62
 estat,62
 autruy,62
prince souverain,62
 celuy,61
autruy ,61
royaume ,61
pere ,59
 honneur,59
estats ,58
droit ,58
bien ,58
souveraineté ,58
dieu ,57
 faut,56
paix ,56
efclaues ,56
 euft,56
 moins,55
 peuple,55
 come,55
honneur ,53
p ,52
 toutesfois,51
 forte,51
 auoyent,51
senat ,51
 contre,50
 eftoyent,50
vie ,49
 entre,48
 princes,48
roy france,48
 alliance,47
 quant,47
 autant,47
 loy,46
 p,46
 cela,45
sujet ,45
magistrats ,45
 rien,45
villes ,45
particulier ,44
con ,44
estat ,44
 lequel,44
roys ,44
angleterre ,44
part ,43
 où,43
mort ,43
 droit,42
contre ,42
traité ,42
com ,40
dire ,40
 plusieurs,40
 sujet,40
lieu ,39
ennemis ,39
ville ,39
 pape,39
hommage ,39
 ment,38
guerre ,37
 pourquoy,37
 enfans,37
 sujets,37
faire ,36
traitez ,36
protection ,36
rome ,35
 tion,34
citoyens ,34
 efclaue,34
celuy ,34
 dire,33
femme ,33
 cas,33
naples ,33
 fust,32
couftumes ,32
quel ,32
alliez ,32
 roys,32
 sil,31
 tousjours,31
mots ,31
 iufques,31
loüys ,31
 duc,31
foit ,30
cité ,30
forte ,30
 file,30
 auquel,29
 homme,29
 quelque,29
romain ,29
 souveraineté,29
citoyen ,28
corps ,28
ans ,28
 vray,28
 voit,28
biens ,28
charge ,28
efclaue ,28
feigneur ,28
 lors,28
 eftant,28
vns ,28
 com,27
peu ,27
mari ,27
rien ,27
 mort,27
 attendu,27
edits ,27
milan ,27
alliance ,26
souverains ,26
iuftice ,26
liberté ,26
 lieu,26
 quel,26
 parce,26
public ,26
 traité,26
 arragon,26
mains ,25
combien ,25
 elles,25
veu ,25
temps ,25
caufe ,25
 tre,25
 firent,25
prin ,25
peuples ,24
eftrangers ,24
 autrement,24
 ville,24
 peu,24
 royaume,24
 villes,24
 celte,23
nature ,23
moins ,23
fouucraineté ,23
 couftumes,23
 feroit,23
femmes ,23
 ordonnances,23
pro ,23
 duquel,23
depuis ,23
 voir,23
 alors,23
 nc,23
lettres ,23
 efpaigne,23
 chofe,22
 auons,22
quoy ,22
 amitié,22
 iamais,22
vray ,22
 aufli,22
 loix,22
 alliez,22
ordonnances ,22
 doit,22
 tenu,22
 charge,22
 cefte,22
empereur charle,22
prote ,22
peine ,21
pourueu ,21
entre ,21
cela ,21
 finon,21
 ans,21
 afin,21
 italie,21
italie ,21
naturel ,21
 peine,20
 pourueu,20
laloy ,20
autant ,20
 foubs,20
 tient,20
 fil,20
 cité,20
commun ,20
general ,20
ro ,20
 doibt,20
 peuuent,20
certain ,20
duc ,20
 senat,20
 lettres,20
maiefté ,20
arragon ,20
 laloy,19
efpaigne ,19
 part,19
 particulier,19
souveraine ,19
 outre,19
cas ,19
droits ,19
mourir ,19
àl ,19
 efclaues,19
chreftiens ,19
 eglife,19
 charle,19
magistrat ,18
vertu ,18
toutesfois ,18
 mis,18
hommes ,18
 fera,18
force ,18
 pays,18
 aduis,18
 quia,18
 voyons,18
té ,18
 romains,18
fil ,18
romaine ,18
 temps,18
em ,18
 con,18
naturelle ,18
 appelle,18
 caufe,18
non ,18
 mefmement,18
 couftume,18
françois ,18
athenes ,18
 eftranger,18
bourgeois ,18
oftages ,18
sujetion ,18
vaffal ,18
macedoine ,18
roys france,18
republiques ,17
 difoit,17
famille ,17
bien certain,17
 toute,17
 grand,17
 vertu,17
 mains,17
 dirons,17
chef ,17
 foyent,17
grand ,17
 donner,17
 fieft,17
fieft ,17
tion ,17
paris ,17
 pourle,17
maiftre ,17
 mere,17
 moyen,17
ferment ,17
couronne ,17
 arreft,17
grece ,17
 ordonnance,17
sujet naturel,17
 appel,17
 vaffal,17
 estats,17
 enuers,17
lige ,17
fief ,17
 res,16
 veut,16
 fçauoir,16
 accord,16
aduis ,16
 chose,16
 force,16
non feulement,16
 hommes,16
per ,16
 pere,16
contraire ,16
sil ,16
royaumes ,16
chofe ,16
 biens,16
 faifant,16
cause ,16
 ancienne,16
 qualité,16
plusieurs ,16
 té,16
fils ,16
iufques ,16
 fils,16
maifon ,16
parauant ,16
 uoit,16
attendu ,16
 edit,16
menu peuple,16
feigneurs ,16
appel ,16
priuileges ,16
roy françois,16
 tres,16
lafoy ,16
papes ,16
 cóme,15
amitié ,15
 trois,15
amis ,15
 enfant,15
faute ,15
 vie,15
 voila,15
perfonnes ,15
 dira,15
 em,15
 magistrats,15
particuliers ,15
 cause,15
bien fouuent,15
 femme,15
 foy,15
cas pareil,15
 cy,15
 donne,15
commander ,15
 mettre,15
 euffent,15
peres ,15
iuges ,15
tenu ,15
ge ,15
afin ,15
 athenes,15
voit ,15
 argent,15
 pris,15
 parle,15
venize ,15
 protection,15
homme lige,15
 souverain,15
acheans ,15
officiers ,15
princes souverains,15
 là,14
grace ,14
 toutainsi,14
raifon ,14
ment ,14
monde ,14
quand ,14
fouucrain ,14
nom ,14
 caril,14
 nature,14
xx ,14
 ge,14
 amour,14
 fit,14
commandement ,14
 feigneur,14
lors ,14
 vns,14
qualité ,14
neantmoins ,14
 lifons,14
al ,14
 no,14
argent ,14
ligue ,14
noy ,14
 iacoit,13
 obeiffance,13
 carle,13
armes ,13
hom ,13
 obeiflance,13
 ainsauffi,13
autrement ,13
 celle,13
 affin,13
grande ,13
terre ,13
 peuples,13
enuers ,13
là ,13
 traitez,13
 maiftre,13
 aucun,13
perfonne ,13
faire mourir,13
 pourauoir,13
 parauant,13
 pro,13
parce ,13
iu ,13
 fouuent,13
befoin ,13
fer ,13
 eftoient,13
feulement ,13
 toft,13
 vouloir,13
fu ,13
 armee,13
 loüys,13
 citoyen,13
 appelloit,13
tributaires ,13
 beaucoup,13
henry ,13
alliances ,13
 paix,13
 auftriche,13
reffort ,13
 almaigne,13
roy charle,13
 guerre,13
imperiale ,13
faut ,12
toute republique,12
 feigneurs,12
 donc,12
affaires ,12
 ame,12
ve ,12
religion ,12
trois cens,12
 tite,12
 quine,12
 dix,12
 ioint,12
 commun,12
 faifoit,12
enfemble ,12
res ,12
 anjou,12
 latins,12
 fuiuant,12
fem ,12
 femble,12
forme ,12
 efté,12
fou ,12
fois ,12
ex ,12
mer ,12
profit ,12
lesautres ,12
def ,12
 és,12
 sicile,12
prifonnier ,12
 lefquels,12
feruice ,12
empereurs ,12
femble ,12
 celà,12
cour ,12
eftranger ,12
 rent,12
roy loüys,12
 feigneurie,12
charges ,12
royne ,12
 iaçoit,12
offenfiue ,12
fráce ,12
pierre ,12
toft ,11
 trouue,11
 face,11
entre princes,11
legitimes ,11
 pouuoit,11
 côme,11
main ,11
 mil,11
vou ,11
mis ,11
 mot,11
pres ,11
diuines ,11
 opinion,11
 mal,11
 armes,11
 corps,11
 icelle,11
cy ,11
 fila,11
 voire,11
mil ,11
familles ,11
terres ,11
sauoye ,11
moyen ,11
parle ,11
 ancien,11
có ,11
edit ,11
 porte,11
 mari,11
fort ,11
 enuoya,11
 voyant,11
 tiennent,11
paternelle ,11
 quatre,11
puissance paternelle,11
