token_,count
 ,5234
 estat,180
roy ,109
peuple ,100
 argent,99
an ,89
 bien,86
 an,78
republique ,76
 foit,75
 faut,69
 roy,66
estat ,64
 quand,63
argent ,62
estat populaire,61
populaire ,60
sujets ,59
 non,59
royaume ,59
 quoy,59
 neantmoins,57
 autant,55
 depuis,54
bien ,53
 combien,52
 republique,51
 ains,51
 faire,50
sixiesme ,49
loy ,48
biens ,45
 où,45
 empereur,44
france ,43
ans ,41
 toutesfois,41
prince ,41
finances ,40
pays ,40
 trois,39
 peuple,38
 quant,37
 entre,37
domaine ,36
 veu,35
 euft,35
 moins,35
loix ,35
liures ,35
poids ,35
princes ,34
 angleterre,34
 mil,32
 pourquoy,32
quel ,32
com ,32
 celuy,32
 forte,31
couronne ,30
 fust,30
lieu ,30
 come,30
angleterre ,30
 parce,29
deniers ,29
 prince,29
 plusieurs,29
guerre ,28
 empire,28
estats ,28
 tousjours,28
 p,28
 princes,28
p ,28
nobles ,28
particulier ,27
roys ,27
 lequel,27
 ans,27
 lieu,27
vie ,27
 dire,27
dire ,27
 peu,27
 chofe,27
charle ,27
mort ,27
harmonique ,27
autant ,26
corps ,26
riches ,26
honneur ,26
puissance ,25
 voit,25
 loy,25
xx ,25
cens mil,25
pauures ,25
 honneur,25
dieu ,25
marc ,25
menu peuple,25
 aifné,25
nombre ,24
 quatre,24
faire ,24
romains ,24
 sixiesme,24
monarchie ,24
là ,23
 vray,23
 ment,23
 cas,23
combien ,23
 doibt,23
forte ,23
 afin,23
temps ,23
mil liures,23
mil efcus,23
grains ,23
aifné ,23
fort ,23
droit ,23
 auoyent,22
 là,22
 sil,22
 ordonnance,22
geometrique ,22
public ,22
iuftice ,22
 roys,22
nobleffe ,22
cuiure ,22
millions ,21
rome ,21
 quel,21
 outre,21
 attendu,21
 elles,21
 cela,21
 moyen,21
 iuftice,21
peu ,21
 aufli,21
ariftocratique ,21
enfans ,21
 proportion,21
 equité,21
 cinq,20
 celte,20
 puissance,20
 voir,20
cinq cens,20
hommes ,20
vns ,20
 feroit,20
 rien,20
 alors,20
fols ,20
 fera,20
foit ,20
efcus ,20
 almaigne,20
 droit,20
feigneurs ,20
 biens,19
 sujets,19
peine ,19
 royaume,19
peuples ,19
fois ,19
 affin,19
moins ,19
prix ,19
 aduis,19
con ,19
grand ,19
 intereft,19
fin ,19
arithmetique ,19
magistrats ,18
 parauant,18
 cy,18
 corps,18
 grands,18
grands ,18
 anciens,18
françois ,18
vertu ,18
senat ,18
beaucoup ,18
 argét,18
almaigne ,18
pro ,18
 file,18
cent ,18
entre ,18
 auons,18
monnoyes ,18
 hongrie,18
liure ,17
 grand,17
armes ,17
 eftoyent,17
mil ,17
veu ,17
moyen ,17
paix ,17
populaires ,17
roy france,17
quoy ,17
fils ,17
 equalité,17
roturiers ,17
 faifant,16
 temps,16
 italie,16
italie ,16
depuis ,16
deuant ,16
 hommes,16
 auroit,16
faut ,16
charges ,16
monde ,16
 amende,16
fages ,16
 lors,16
affaires ,16
 efpargne,16
 deniers,16
 liures,16
 fin,16
 iufques,16
forme ,16
parce ,16
celuy ,16
 caril,16
 grande,16
 quelque,16
nature ,16
 quela,16
loüys ,16
hongrie ,16
equité ,16
empereur ,15
main ,15
 athenes,15
ennemis ,15
perfonnes ,15
republiques ,15
ordonnances ,15
rien ,15
 com,15
maifon ,15
 celà,15
 beaucoup,15
 loix,15
 homme,15
partie ,15
foy ,15
 commeil,15
 raifon,15
 tre,15
monnoye ,15
 dix,15
offices ,15
 poids,15
 charges,14
villes ,14
 mefmement,14
 ayt,14
neantmoins ,14
 trouua,14
quand ,14
contre ,14
 pauures,14
raifon ,14
 quia,14
 premier,14
àl ,14
 foyent,14
cela ,14
dons ,14
 efpaigne,14
 firent,14
bien fouuent,14
dix ,14
 auquel,14
feulement ,14
royne ,14
 trouue,14
duc ,14
 nobles,14
grande ,13
difoit ,13
 fix,13
 ordonnances,13
foixante ,13
publiques ,13
parauant ,13
dessus ,13
citoyens ,13
quatre cens,13
 peine,13
pa ,13
non ,13
 contre,13
 auoient,13
 difant,13
profit ,13
matiere ,13
 difoit,13
efpaigne ,13
fouuent ,13
 peuuent,13
 finon,13
 forme,13
femblable ,13
 caufe,13
 douze,13
paris ,13
force ,13
intereft ,13
 ages,13
 fort,13
 veut,13
 exemple,13
 fils,13
souveraine ,13
magistrat ,13
proportion geometrique,13
 eftimation,12
 qualité,12
 dequoy,12
 impofts,12
impofts ,12
cenfeurs ,12
 cent,12
office ,12
ro ,12
em ,12
venize ,12
cen ,12
plusieurs ,12
 femble,12
ccc ,12
qualité ,12
ville ,12
 ec,12
 nes,12
 faifoit,12
 riches,12
ciuiles ,12
peines ,12
perfonne ,12
mefchans ,12
afin ,12
 nc,12
 domaine,12
 vertu,12
iuges ,12
 iamais,12
 mieux,12
 ble,12
ble ,12
vray ,12
difant ,12
lors ,12
 marc,12
 impoft,12
caufe ,12
où ,12
bien fort,12
pere ,12
aduis ,12
carats ,12
 autruy,12
femme ,12
souveraineté ,12
iuftice harmonique,12
chofe ,11
 vns,11
 ariftote,11
trois ,11
 iaçoit,11
 charge,11
non feulement,11
empire ,11
 em,11
nom ,11
liberté ,11
im ,11
tousjours ,11
attendu ,11
 eftoient,11
trois cens,11
grece ,11
gens bien,11
 œil,11
roy françois,11
 ques,11
 publique,11
naturelle ,11
 res,11
laloy ,11
 eftar,11
 icelle,11
 egypte,11
terre ,11
 partie,11
 iacoit,11
nes ,11
ligues ,11
anglois ,11
gros ,11
 fit,11
quatre deniers,11
per ,11
part ,11
 mal,11
toutesfois ,11
veut ,11
tyrannie ,11
 eftant,11
 face,11
chef ,11
pur ,11
 forger,11
grecs ,10
ariftote ,10
 toft,10
 aller,10
 onques,10
feul ,10
 annee,10
 xx,10
athenes ,10
ordinaires ,10
 fion,10
eftrangers ,10
prefent ,10
 efgard,10
do ,10
lesautres ,10
 guerres,10
contraire ,10
 marchans,10
 gens,10
 puiffe,10
ment ,10
prin ,10
 abus,10
sujet ,10
homme ,10
for ,10
 fois,10
danger ,10
 bles,10
icelle ,10
 ioint,10
quin ,10
 petit,10
onques ,10
 dieu,10
 charle,10
 armes,10
milan ,10
iufques ,10
royaumes ,10
 né,10
honneurs ,10
eftranger ,10
 no,10
 eftà,10
no ,10
roturier ,10
 enfans,10
guerres ciuiles,10
 autrement,10
vertueux ,10
 fuiuant,10
affin ,10
gentils ,10
 tion,10
 carats,10
cens ans,10
autruy ,10
forme republique,10
 estats,10
 ariftocratie,10
 magistrat,10
enfemble ,10
proche ,10
chois ,10
efle ,10
marie ,10
puifné ,10
 monftrer,9
 romains,9
don ,9
 liure,9
grand nombre,9
cas ,9
aage ,9
 roit,9
cinquante ,9
dix mil,9
bles ,9
 voulut,9
 pays,9
pourueu ,9
voit ,9
 chose,9
bon ,9
 quine,9
particuliers ,9
peu peu,9
 magistrats,9
naples ,9
foyent ,9
voir ,9
garde ,9
 cftoit,9
fil ,9
 vouloit,9
 efté,9
pape ,9
amende ,9
 appelloit,9
 toute,9
premier ,9
princes fang,9
fang ,9
ordonnance ,9
empereurs ,9
 quelquesfois,9
 ila,9
riche ,9
res ,9
alors ,9
milliures ,9
 pourueu,9
maiftre ,9
 mettre,9
 donner,9
 nobleffe,9
 fçauoir,9
 eftranger,9
 és,9
 vouloir,9
 celle,9
 pauure,9
lieux ,9
ruine ,9
monarque ,9
 anglois,9
cy ,9
 fols,9
celuy quia,9
 grains,9
efgale ,9
pieces ,9
equalité ,9
iugement ,9
accord ,9
vicieux ,9
 vertueux,9
 femme,9
honnorables ,9
 frere,9
belle ,8
ancien ,8
 lesautres,8
cinq ,8
 reuenu,8
 menu,8
 im,8
 faifoyent,8
deffus ,8
mil cinq,8
femmes ,8
cy deuant,8
trou ,8
 parle,8
 ccc,8
parce moyen,8
 benefices,8
feditions ,8
charge ,8
guerres ,8
vi ,8
 rc,8
rc ,8
raison ,8
meurs ,8
 donc,8
abus ,8
 fer,8
estat finances,8
famille ,8
loy dieu,8
fieft ,8
 ame,8
officiers ,8
 mis,8
 for,8
 opinion,8
 danger,8
 ena,8
 oü,8
eftar ,8
celte caufe,8
befoin ,8
perfe ,8
egypte ,8
toute ,8
monarques ,8
 certain,8
trefor ,8
parties ,8
 premiere,8
gens ,8
 hebrieux,8
hebrieux ,8
 particulier,8
 quin,8
henry ,8
cause ,8
quelconque ,8
tel ,8
feigneurie ,8
 porté,8
outre ,8
efcus couronne,8
 hormis,8
tailles ,8
 dons,8
pareille ,8
 té,8
 carle,8
 feize,8
cent mil,8
impoft ,8
 huit,8
craindre ,8
 cóme,8
 aucun,8
ducats ,8
royau ,8
 cuiure,8
femblables ,8
có ,8
 fucceffeur,8
comptes ,8
charles ,8
 philippe,8
 ftoit,8
porté ,8
 femblable,8
argét ,8
 quieft,8
 contraire,8
tyran ,8
 feront,8
yeux ,8
malles ,8
 orleans,8
 eau,8
 arragon,8
metaux ,8
 eftain,8
billon ,8
 laloy,8
 veulent,8
meilleure ,8
ariftocratie ,8
 populaire,8
mef ,8
 cofté,8
feigneurs ligues,8
effe ,8
 monarchie,8
droit fucceflif,8
souverain ,8
poulongne ,8
 ona,8
 mort,8
cas pareil,8
frere aifné,8
mari ,8
proportion arithmetique,8
 roturiers,8
nombres ,8
iuftice arithmetique,8
noble ,8
monftrer ,7
neceffaire ,7
 latins,7
celte cause,7
 office,7
ceftuy ,7
xxv ,7
dignité ,7
traian ,7
 lifons,7
 vr,7
puni ,7
 apresauoir,7
 lefquels,7
tefte ,7
coftez ,7
 troifiefme,7
fix cens,7
cens cinquante,7
vingt ,7
cens ,7
fust ,7
fucceffeur ,7
sixiesm ,7
 paye,7
 fem,7
 pouuoit,7
 generalement,7
 peines,7
amendes ,7
 ges,7
 bon,7
 met,7
marchans ,7
 jamais,7
 parles,7
 feul,7
 ordre,7
 plutarque,7
plutarque ,7
 guerre,7
 prefent,7
premiere ,7
 dont,7
tou ,7
 cens,7
 laiffe,7
dir ,7
ame ,7
 maisil,7
platon ,7
 tres,7
crainte ,7
 trouué,7
 finances,7
met ,7
 befoin,7
certain ,7
 oril,7
 aufh,7
 neantmoinsil,7
 tel,7
ains ,7
 mourut,7
quatre vingts,7
quart ,7
xv ,7
 quinze,7
 bié,7
 carles,7
poffible ,7
capitaines ,7
iacoit ,7
 tiers,7
efpaignols ,7
bas pays,7
 con,7
 iointauffi,7
romain ,7
 efcus,7
 profit,7
roy loüys,7
feu ,7
 feulement,7
payer ,7
 offices,7
fer ,7
char ,7
fils aifné,7
chambre comptes,7
 côme,7
suede ,7
 extrait,7
fept cens,7
florence ,7
foible ,7
 fair,7
pauure ,7
filles ,7
 debuoit,7
ages ,7
estats populaires,7
œil ,7
 fept,7
 fouuent,7
benefices ,7
cours ,7
 metail,7
proportion ,7
 moindre,7
difficulté ,7
pieces marc,7
 telle,7
 once,7
 perd,7
 efcu,7
grains poids,7
henri ,7
mots ,7
 royne,7
puissance souveraine,7
 accord,7
prifon ,7
gouuer ,7
degré ,7
estat ariftocratique,7
autrement ,7
factions ,7
 gouuernement,7
 couftume,7
plusieurs feigneurs,7
frere ,7
 proche,7
 mari,7
 harmonie,7
 arbitrage,7
dol ,7
cha ,6
 cores,6
 nombre,6
territoire ,6
couftume ,6
ca ,6
cenfeur ,6
neron ,6
vr ,6
 ic,6
donc ,6
 faute,6
 ofter,6
piece ,6
