token_,count
 ,45
republiques ,6
republique ,4
 estat,4
loix ,4
 faire,4
princes ,4
 moins,3
estat ,3
fois ,3
 age,3
 p,2
mieux ,2
naturels ,2
 ex,2
moins ,2
ruine republiques,2
politiques ,2
œuure ,2
 foit,2
maniement affaires,2
affaires ,2
 depuis,2
depuis ,2
public ,2
macciavel ,2
 lequel,2
 cr,2
 ur,2
 ance,2
romains ,2
terre ,2
iustice ,2
 iour,2
iour ,2
quil ,2
 estre,2
vertueux princes,2
 oit,2
 grand,2
tref ,2
 ame,2
 mieux,2
 hommes,2
faire ,2
an lise,1
lise ,1
 pm,1
pm ,1
 sat,1
sat æ,1
æ ,1
 ft,1
ft ,1
p ,1
 pretage,1
pretage uantrien,1
uantrien mieux,1
 entrepris,1
entrepris discours,1
discours republique,1
 langue,1
langue populaire,1
populaire ,1
 fources,1
fources langue,1
langue latine,1
latine ,1
 tartes,1
tartes ,1
 feicheront,1
feicheront fila,1
fila barbarie,1
barbarie caufce,1
caufce guerres,1
guerres ciuiles,1
ciuiles continue,1
continue estre,1
estre mieux,1
 tendu,1
tendu françois,1
françois naturels,1
 dy,1
dy desir,1
desir ,1
ex vouloir,1
vouloir perpetuel,1
perpetuel voir,1
voir ,1
estat royaume,1
royaume premiere,1
premiere ,1
p endeur,1
endeur fleurissant,1
fleurissant armes,1
armes loix,1
 efl,1
efl afr,1
afr ,1
 ent,1
ent onques,1
onques ,1
 ct,1
ct ,1
 iamais,1
iamais republique,1
republique ff,1
ff excelléte,1
excelléte beauté,1
beauté vicilliffe,1
vicilliffe ,1
 commesujette,1
commesujette torrét,1
torrét nature,1
nature fluide,1
fluide ,1
 ramif,1
ramif ,1
 cho,1
cho ,1
 face,1
face forte,1
forte changement,1
changement doux,1
doux ,1
 naturel,1
naturel sf,1
sf ,1
faire gr,1
gr non,1
non violent,1
violent fanglant,1
fanglant ,1
 points,1
points traiclé,1
traiclé ceft,1
ceft oeuvre,1
oeuvre ,1
 mengant,1
mengant famille,1
famille ,1
 continuant,1
continuant ordre,1
ordre ,1
 ouueraineté,1
ouueraineté ,1
 difcourant,1
difcourant membre,1
membre republique,1
 çauoir,1
çauoir prince,1
prince souverain,1
souverain fortes,1
fortes republiques,1
 senat,1
senat officiers,1
officiers ,1
 magistrats,1
magistrats corps,1
corps ,1
 colleges,1
colleges estats,1
estats ,1
 comimunantez,1
comimunantez puissance,1
puissance ,1
 debuoir,1
debuoir ,1
 remarqué,1
remarqué ,1
 origine,1
origine ,1
 accroiffement,1
accroiffement ,1
 effat,1
effat fleurissant,1
fleurissant chan,1
chan ement,1
ement decadéce,1
