token_,count
('troisiesme', ''),29
('public', ''),29
('', 'ment'),26
('', 'tion'),23
('puissance', 'commander'),21
('quelques', 'vns'),15
('tite', 'liue'),13
('cy', 'dessus'),13
('cas', 'pareil'),12
('', 'mander'),12
('prince', 'souverain'),12
('xx', ''),11
('', 'commeil'),11
('quelqu', ''),11
('', 'iaçoit'),11
('po', ''),10
('', 'nat'),10
('', 'mefmement'),10
('', 'affin'),10
('voix', 'deliberatiue'),10
('', 'accord'),10
('', 'fion'),10
('conseil', 'priué'),10
('', 'voyons'),10
('parlement', 'paris'),10
('cy', 'deffus'),10
('non', 'feulement'),9
('', 'angleterre'),9
('bien', 'fouuent'),9
('', 'maisil'),9
('', 'eftà'),9
('', 'aufquels'),9
('', 'uoir'),9
('lettres', 'iuftice'),9
('repub', ''),9
('menu', 'peuple'),8
('estat', 'populaire'),8
('puissance', 'faire'),8
('charge', 'publique'),8
('quatre', 'cens'),8
('', 'appelloyent'),8
('', 'cobien'),8
('quand', 'queftion'),8
('', 'attendu'),8
('tribun', 'peuple'),8
('pontifes', ''),8
('lettres', 'patentes'),8
('faire', 'guerre'),8
('celte', 'cause'),8
('edi', ''),8
('iurifdi', ''),8
('paffer', 'outre'),8
('toute', 'republique'),7
('doibt', 'faire'),7
('aduis', 'senat'),7
('peu', 'peu'),7
('beaucoup', 'moins'),7
('magistrat', 'doibt'),7
('', 'oril'),6
('', 'elt'),6
('és', 'estats'),6
('estats', 'populaires'),6
('', 'voire'),6
('és', 'republiques'),6
('', 'attédu'),6
('republiques', 'populaires'),6
('fou', ''),6
('ains', 'feulement'),6
('', 'ble'),6
('xxx', ''),6
('confeil', 'priué'),6
('finances', ''),6
('', 'italie'),6
('cho', ''),6
('eftar', ''),6
('', 'uant'),6
('', 'us'),6
('cours', 'souveraines'),6
('extraordinaire', ''),6
('dira', 'quelqu'),6
('toute', 'puissance'),6
('', 'carle'),6
('pouuoir', 'commander'),6
('droict', ''),6
('foubs', 'puissance'),6
('rien', 'faire'),6
('', 'vlpian'),6
('tribuns', 'peuple'),6
('faifir', ''),6
('puissance', 'magistrats'),6
('', 'giftrats'),6
('don', ''),6
('', 'ottroy'),6
('loy', 'dieu'),6
('grand', 'preuoft'),6
('', 'iln'),6
('lib', ''),6
('', 'vaut'),5
('sc', ''),5
('', 'el'),5
('', 'oules'),5
('', 'fieft'),5
('fieft', ''),5
('', 'eten'),5
('monde', ''),5
('comman', ''),5
('quand', 'dy'),5
('laiuftice', ''),5
('ordi', ''),5
('turquie', ''),5
('', 'voila'),5
('diuines', ''),5
('senat', 'romain'),5
('grandeur', ''),5
('', 'apel'),5
('', 'ouen'),5
('celte', 'caufe'),5
('', 'der'),5
('', 'ec'),5
('requefte', 'peuple'),5
('peuple', 'romain'),5
('', 'tions'),5
('', 'quine'),5
('perfonnes', 'publiques'),5
('humaines', ''),5
('fem', ''),5
('', 'ariftote'),5
('charge', 'ordinaire'),5
('charges', 'publiques'),5
('prefens', ''),5
('', 'cen'),5
('', 'cr'),5
('mort', 'prince'),5
('', 'orcs'),5
('puissance', 'condamner'),5
('bien', 'certain'),5
('', 'apoint'),5
('commandemens', ''),5
('', 'lement'),5
('grands', 'estats'),5
('àl', ''),5
('ele', ''),5
('nom', 'collectif'),5
('magistrats', 'fuperieurs'),5
('icelles', ''),5
('diftin', ''),5
('auons', 'cy'),5
('estats', 'peuple'),5
('priuile', ''),5
('', 'approcher'),5
('decommander', ''),4
('', 'ures'),4
('', 'difons'),4
('', 'carles'),4
('parle', 'moyen'),4
('cefte', 'caufe'),4
('', 'iceux'),4
('', 'tres'),4
('pourl', ''),4
('', 'auparauant'),4
('', 'routesfois'),4
('honneurs', ''),4
('cinq', 'ans'),4
('fouucraineté', ''),4
('cens', 'senateurs'),4
('trois', 'cens'),4
('anciens', 'grecs'),4
('outre', 'senat'),4
('grand', 'conseil'),4
('entr', ''),4
('conseil', 'particulier'),4
('', 'ambafladeurs'),4
('commeil', 'faifoit'),4
('', 'çauoir'),4
('', 'fé'),4
('faire', 'és'),4
('', 'principalement'),4
('outre', 'cela'),4
('', 'neant'),4
('exemples', ''),4
('parle', 'peuple'),4
('', 'trat'),4
('', 'vienne'),4
('empefchez', ''),4
('cefte', 'cause'),4
('prendre', 'cognoiflance'),4
('puissance', 'comander'),4
('monftré', 'cy'),4
('decret', 'senat'),4
('puiffan', ''),4
('aucune', 'puissance'),4
('præteurs', ''),4
('veut', 'dire'),4
('', 'orité'),4
('dif', ''),4
('', 'auétorité'),4
('moindres', 'magistrats'),4
('', 'ilauoit'),4
('bien', 'fort'),4
('', 'carla'),4
('anciens', 'pontifes'),4
('tantoft', ''),4
('edit', 'expres'),4
('come', 'auons'),4
('quefteurs', ''),4
('inftru', ''),4
('ports', ''),4
('reuoqué', ''),4
('donner', 'bataille'),4
('lettres', 'commandement'),4
('', 'rent'),4
('parlemét', 'paris'),4
('contrai', ''),4
('', 'toutainsi'),4
('iurifcon', ''),4
('puissance', 'com'),4
('particuliere', ''),4
('trois', 'fortes'),4
('denoncer', ''),4
('auons', 'monftré'),4
('maffiers', ''),4
('', 'abufent'),4
('', 'enfuit'),4
('iurif', ''),4
('auoient', 'puissance'),4
('mettre', 'prifon'),4
('docteurs', ''),4
('op', ''),4
('', 'ob'),4
('', 'iacoit'),4
('ignominie', ''),4
('pouuons', 'dire'),4
('hon', ''),4
('certains', 'citoyens'),4
('contre', 'loy'),4
('', 'aydes'),4
('aydes', ''),4
('man', ''),4
('mettre', 'mort'),4
('cefte', 'puissance'),4
('causes', 'ciuiles'),4
('princes', 'souverains'),4
('voleurs', ''),4
('', 'giftrat'),4
('puissance', 'souveraine'),4
('bour', ''),4
('files', 'magistrats'),4
('to', ''),4
('parlement', 'bourdeaux'),4
('', 'vnion'),4
('', 'euefque'),4
('euefque', ''),4
('leges', ''),4
('', 'vlt'),4
('vlt', ''),4
('barr', ''),4
('bal', ''),4
('', 'vertueux'),3
('', 'mettant'),3
('premier', 'lieu'),3
('ence', 'royaume'),3
('empereur', 'charle'),3
('comment', 'feroit'),3
('bien', 'cognoiftre'),3
('bonne', 'opinion'),3
('', 'iniuftice'),3
('', 'yn'),3
('', 'croit'),3
('', 'arien'),3
('entree', 'senat'),3
('', 'tends'),3
('', 'nion'),3
('', 'cus'),3
('plein', 'senat'),3
('faut', 'donc'),3
('', 'ambition'),3
('', 'comeil'),3
('', 'foiten'),3
('', 'ilen'),3
('', 'naire'),3
('empereur', 'augufte'),3
('ariftocratique', ''),3
('', 'eucfque'),3
('', 'fice'),3
('conseiller', ''),3
('quant', 'nombre'),3
('bien', 'vray'),3
('fix', 'cens'),3
('', 'eftoiét'),3
('', 'iagoit'),3
('', 'melmes'),3
('', 'bre'),3
('ioint', 'aufli'),3
('dion', ''),3
('és', 'corps'),3
('', 'auantage'),3
('affaires', 'fecrettes'),3
('ad', 'senatum'),3
('afie', ''),3
('', 'condamne'),3
('', 'raporte'),3
('celte', 'couftume'),3
('priué', 'confeil'),3
('', 'ileft'),3
('', 'tic'),3
('confeil', 'eftroit'),3
('conseil', 'dix'),3
('aflez', ''),3
('cas', 'femblable'),3
('', 'deliberation'),3
('', 'ccla'),3
('', 'puiffent'),3
('pourquoy', 'ciceron'),3
('criminelles', ''),3
('', 'meímes'),3
('', 'neátmoins'),3
('', 'lesauoir'),3
('quelque', 'chose'),3
('', 'angleter'),3
('angleter', ''),3
('', 'ordonance'),3
('eftà', 'fcauoir'),3
('', 'affeurans'),3
('', 'ler'),3
('voila', 'quant'),3
('caufc', ''),3
('bar', ''),3
('vaut', 'beaucoup'),3
('republique', 'foit'),3
('magistrats', 'ordinaires'),3
('', 'demens'),3
('commáder', ''),3
('', 'quiait'),3
('coman', ''),3
('file', 'roy'),3
('', 'quicft'),3
('peine', 'deleze'),3
('deleze', 'maicfté'),3
('mieux', 'gardé'),3
('bon', 'fembloit'),3
('aufli', 'voit'),3
('rien', 'commander'),3
('', 'cuft'),3
('', 'cóful'),3
('decrets', 'senat'),3
('', 'foudain'),3
('', 'oule'),3
('', 'ilfaut'),3
('condamnez', ''),3
('loix', 'facrees'),3
('difcipline', 'militaire'),3
('', 'gc'),3
('eftà', 'dire'),3
('peu', 'ple'),3
('', 'touche'),3
('', 'é'),3
('comáder', ''),3
('', 'ainsauffi'),3
('tire', 'foy'),3
('fix', 'mois'),3
('perfonne', 'publique'),3
('', 'miflaires'),3
('', 'ilappelle'),3
('quelque', 'charge'),3
('iugement', 'public'),3
('deuanteux', ''),3
