token_,count
('', 'estat'),131
('', 'empire'),62
('', 'empereur'),48
('populaire', ''),47
('biens', ''),31
('', 'ains'),30
('', 'non'),26
('ariftocratique', ''),24
('estat', 'populaire'),21
('', 'combien'),21
('', 'honneur'),21
('', 'toutesfois'),20
('', 'neantmoins'),20
('an', ''),20
('', 'an'),18
('', 'où'),17
('', 'autant'),16
('', 'faut'),16
('foy', ''),16
('particulier', ''),16
('vertu', ''),16
('romains', ''),15
('', 'quoy'),15
('com', ''),15
('', 'depuis'),15
('iuftice', ''),15
('', 'come'),14
('', 'euft'),14
('', 'ariftocratie'),13
('populaires', ''),13
('moindre', 'partie'),12
('ariftocratie', ''),12
('gens', 'bien'),12
('con', ''),12
('royale', ''),12
('', 'com'),12
('nature', ''),12
('efclaues', ''),12
('prince', 'souverain'),11
('second', ''),11
('affaires', ''),11
('officiers', ''),11
('', 'auroit'),11
('', 'ment'),11
('', 'lequel'),11
('bien', 'fouuent'),11
('fouucrain', ''),11
('', 'sil'),10
('', 'quant'),10
('villes', 'imperiales'),10
('', 'attendu'),10
('', 'pourquoy'),10
('almaigne', ''),10
('corps', ''),9
('', 'auoyent'),9
('ariftocratiques', ''),9
('', 'file'),9
('venize', ''),9
('puissance', 'souveraine'),9
('prin', ''),9
('perfonnes', ''),9
('ennemis', ''),9
('', 'aduis'),8
('menu', 'peuple'),8
('', 'nes'),8
('grand', 'confeil'),8
('paix', ''),8
('', 'offices'),8
('', 'afin'),8
('', 'alors'),8
('general', ''),7
('partie', 'peuple'),7
('', 'quine'),7
('nes', ''),7
('ap', ''),7
('athenes', ''),7
('cy', 'dessus'),7
('', 'voire'),7
('', 'hommage'),7
('angleterre', ''),7
('', 'voyant'),7
('mil', 'citoyens'),7
('dannemarc', ''),7
('', 'foyent'),7
('', 'voila'),6
('', 'icelle'),6
('icelle', ''),6
('arifto', ''),6
('fou', ''),6
('polybe', ''),6
('', 'ainsau'),6
('', 'tre'),6
('', 'aufquels'),6
('', 'firent'),6
('xxx', ''),6
('', 'ap'),6
('', 'femble'),6
('', 'res'),6
('xx', ''),6
('commander', ''),6
('', 'voit'),6
('', 'angleterre'),6
('grand', 'nombre'),6
('bien', 'fort'),6
('', 'appellent'),6
('femmes', ''),6
('', 'nefe'),6
('', 'fent'),6
('', 'accord'),6
('', 'ncantmoins'),6
('', 'fçauoir'),6
('monarchie', 'feigneuriale'),6
('loix', 'nature'),6
('', 'hormis'),6
('', 'at'),6
('at', ''),6
('monftré', 'cy'),6
('', 'ran'),6
('voye', 'iuftice'),6
('afin', ''),6
('', 'prefque'),6
('anciennes', 'familles'),6
('', 'té'),6
('estat', 'ariftocratique'),5
('vices', ''),5
('ari', ''),5
('herodote', ''),5
('efcrit', ''),5
('', 'ileft'),5
('', 'caril'),5
('popu', ''),5
('florence', ''),5
('ps', ''),5
('estat', 'fera'),5
('ariftocra', ''),5
('', 'met'),5
('', 'nouslifons'),5
('grecs', ''),5
('em', ''),5
('', 'conful'),5
('effe', ''),5
('', 'oit'),5
('cy', 'deffus'),5
('quelconque', ''),5
('', 'fieft'),5
('fieft', ''),5
('imperial', ''),5
('', 'ayt'),5
('', 'appelloit'),5
('bien', 'vray'),5
('', 'cust'),5
('don', ''),5
('contre', 'roy'),5
('naturelle', ''),5
('', 'eftar'),5
('accord', ''),5
('', 'carle'),5
('caligula', ''),5
('edits', ''),5
('populairement', ''),5
('donne', 'estats'),5
('feigneurial', ''),5
('heroïques', ''),5
