token_,count
('estat', 'populaire'),51
('', 'tion'),19
('guerres', 'ciuiles'),19
('estats', 'populaires'),18
('', 'auquel'),18
('public', ''),18
('xx', ''),18
('peu', 'peu'),17
('con', ''),16
('', 'caril'),16
('hautes', 'planettes'),16
('prin', ''),15
('', 'afrique'),14
('bien', 'fouuent'),13
('roy', 'france'),13
('guerre', 'ciuile'),13
('cy', 'deffus'),12
('trois', 'cens'),12
('', 'auril'),12
('', 'angleterre'),11
('mois', 'septembre'),11
('menu', 'peuple'),10
('non', 'feulement'),10
('', 'auantage'),10
('tire', 'foy'),10
('trois', 'hautes'),10
('', 'voyons'),9
('cens', 'ans'),9
('', 'ncantmoins'),9
('for', ''),9
('', 'toutainsi'),9
('', 'ions'),9
('quelques', 'vns'),9
('', 'cóme'),9
('fept', 'cens'),9
('', 'é'),9
('àl', ''),9
('', 'ques'),9
('tou', ''),9
('ruines', 'republiques'),9
('conion', ''),9
('', 'armec'),9
('septébre', ''),9
('có', ''),8
('peuple', 'romain'),8
('', 'arien'),8
('', 'oril'),8
('roy', 'macedoine'),8
('és', 'estats'),8
('', 'voila'),8
('cy', 'dessus'),8
('naturelles', ''),8
('creation', 'monde'),8
('', 'maisil'),8
('femelles', ''),8
('feptenaires', ''),8
('', 'affin'),8
('bien', 'certain'),7
('empire', 'romain'),7
('cens', 'cinquante'),7
('mil', 'hommes'),7
('quatre', 'cens'),7
('bien', 'toft'),7
('grands', 'feigneurs'),7
('ville', 'capitale'),7
('changemens', 'notables'),7
('premier', 'roy'),7
('nombre', 'parfait'),7
('file', 'prince'),7
('quelque', 'temps'),6
('monftré', 'cy'),6
('marc', 'antoine'),6
('an', 'p'),6
('long', 'temps'),6
('neuf', 'cens'),6
('cens', 'mil'),6
('deuant', 'yeux'),6
('venir', 'bout'),6
('cinq', 'mil'),6
('mil', 'cinq'),6
('gens', 'bien'),6
('parce', 'moyen'),6
('laloy', 'dieu'),6
('grande', 'conionction'),6
('grand', 'dieu'),6
('fin', 'monde'),6
('iour', 'septembre'),6
('dix', 'mil'),6
('doit', 'faire'),6
('deuant', 'peuple'),6
('corps', 'humain'),6
('cftat', 'populaire'),5
('puissance', 'commander'),5
('alexandrele', 'grand'),5
('ains', 'aufli'),5
('trois', 'ans'),5
('quatre', 'empereurs'),5
('plusieurs', 'lieux'),5
('cinquante', 'ans'),5
('changemens', 'republiques'),5
('force', 'main'),5
('entre', 'mains'),5
('plusieurs', 'republiques'),5
('mil', 'trois'),5
('auons', 'monftré'),5
('ona', 'veu'),5
('euft', 'efté'),5
('faire', 'mourir'),5
('philippe', 'comines'),5
('', 'alphons'),5
('prendre', 'garde'),5
('iefus', 'chrift'),5
('', 'aouft'),5
('quelque', 'chofe'),5
('', 'arliac'),5
('come', 'celuy'),5
('mil', 'ans'),5
('fix', 'ans'),5
('loy', 'dieu'),5
('print', 'ville'),5
('faire', 'entendre'),5
('iufques', 'dernier'),5
('senat', 'romain'),5
('chacune', 'republique'),5
('ains', 'contraire'),5
('toute', 'republique'),5
('force', 'loy'),5
('bien', 'fort'),5
('grand', 'nombre'),5
('alexandre', 'grand'),5
('prince', 'souverain'),5
('pitié', ''),4
('changement', 'loix'),4
('', 'fie'),4
('suiffe', ''),4
('cours', 'ordinaire'),4
('merueilles', ''),4
('', 'ainsil'),4
('prince', 'fang'),4
('populaire', 'monarchie'),4
('', 'tyrannic'),4
('syracuse', ''),4
('bien', 'faire'),4
('perfe', ''),4
('liue', ''),4
('', 'cores'),4
('failly', ''),4
('quei', ''),4
('', 'principautez'),4
('estats', 'ariftocratiques'),4
('ariftocraties', ''),4
('droi', ''),4
('', 'dannemarc'),4
('dannemarc', ''),4
('', 'commce'),4
('', 'neátmoins'),4
('empereur', 'auguste'),4
('', 'carla'),4
('domitian', ''),4
('', 'recepte'),4
('', 'dent'),4
('', 'pou'),4
('pou', ''),4
('magnifique', ''),4
('finances', ''),4
('eftran', ''),4
('court', ''),4
('fix', 'mois'),4
('', 'ner'),4
('cinq', 'ans'),4
('quoy', 'faifant'),4
('cent', 'cinquante'),4
('magistrats', 'souverains'),4
('', 'changerent'),4
('changerent', ''),4
('', 'teurs'),4
('vainqueur', ''),4
('fienne', ''),4
('crain', ''),4
('milan', ''),4
('estat', 'ariftocratique'),4
('', 'eftla'),4
('cinq', 'cens'),4
('prefens', ''),4
('habits', ''),4
('vr', ''),4
('lieu', 'monde'),4
('ioint', 'aufli'),4
('', 'tius'),4
('', 'ainsauffi'),4
('foit', 'peu'),4
('', 'accordent'),4
('cux', ''),4
('bonne', 'paix'),4
('africain', ''),4
('faut', 'faire'),4
('dix', 'ans'),4
('', 'accorde'),4
('republique', 'bien'),4
('', 'editions'),4
('', 'edition'),4
('montaignes', ''),4
('', 'comment'),4
('', 'maisle'),4
('cefte', 'monarchie'),4
('mainte', ''),4
('vou', ''),4
('defrance', ''),4
('creatures', ''),4
('toute', 'nature'),4
('mouuemens', 'celeftes'),4
('beaucoup', 'moins'),4
('ruinec', ''),4
('iulius', 'maternus'),4
('maternus', ''),4
('ccux', ''),4
('vitruue', ''),4
('horofcope', 'ville'),4
('tarnu', ''),4
('', 'efloigne'),4
('', 'ture'),4
('ture', ''),4
('', 'mefmesil'),4
('ceu', ''),4
('', 'prenantla'),4
('', 'sen'),4
('hiftoriés', ''),4
('ans', 'entiers'),4
('comte', 'flandres'),4
('douze', 'degrez'),4
('', 'reurs'),4
('infinie', ''),4
('monde', 'iufques'),4
('repvbliq', 've'),4
('eglifes', ''),4
('', 'pofer'),4
('pofer', ''),4
('deluge', 'vniuerfel'),4
('eftà', 'fcauoir'),4
('ans', 'moins'),4
('orientale', ''),4
('', 'aftrologie'),4
('aftrologie', ''),4
('ho', ''),4
('', 'dan'),4
('parthes', ''),4
('ayansles', 'yeux'),4
('frideric', ''),4
('', 'brief'),4
('dieu', 'nature'),4
