token_,count
('prince', 'souverain'),62
('roy', 'france'),48
('empereur', 'charle'),22
('roys', 'france'),18
('bien', 'certain'),17
('sujet', 'naturel'),17
('non', 'feulement'),16
('menu', 'peuple'),16
('roy', 'françois'),16
('bien', 'fouuent'),15
('cas', 'pareil'),15
('homme', 'lige'),15
('princes', 'souverains'),15
('faire', 'mourir'),13
('roy', 'charle'),13
('toute', 'republique'),12
('trois', 'cens'),12
('roy', 'loüys'),12
('entre', 'princes'),11
('puissance', 'paternelle'),11
('peu', 'peu'),11
('droit', 'bourgeoifie'),11
('tite', 'liue'),11
('prince', 'fouucrain'),11
('hommage', 'lige'),11
('toute', 'puissance'),10
('philippe', 'valois'),10
('celuy', 'quia'),10
('roy', 'macedoine'),10
('droit', 'gouuernement'),9
('celte', 'cause'),9
('puissance', 'souveraine'),9
('entre', 'mains'),9
('peuple', 'romain'),9
('lettres', 'patentes'),9
('file', 'prince'),9
('loy', 'dieu'),8
('', 'autremét'),8
('puissance', 'vie'),8
('', 'attédu'),8
('peine', 'vie'),8
('cens', 'mil'),8
('princes', 'chreftiens'),8
('cy', 'deffus'),8
('donner', 'loy'),8
('traité', 'paix'),8
('faire', 'loy'),8
('tousjours', 'efté'),7
('republique', 'bien'),7
('souverain', 'bien'),7
('enuers', 'enfans'),7
('parlement', 'paris'),7
('enfans', 'adoptez'),7
('laloy', 'dieu'),7
('quelque', 'forte'),7
('senat', 'romain'),7
('contre', 'nature'),7
('termes', 'droit'),7
('chacune', 'ville'),7
('cefte', 'caufe'),7
('long', 'temps'),7
('traité', 'entre'),7
('puissance', 'faire'),7
('plusieurs', 'princes'),7
('maifon', 'france'),7
('beaucoup', 'moins'),7
('cas', 'femblable'),7
('entrele', 'roy'),7
('parle', 'roy'),7
('entre', 'roy'),7
('capitaine', 'chef'),7
('garder', 'loix'),7
('loix', 'ciuiles'),7
('bien', 'fort'),6
('puissance', 'mari'),6
('cens', 'ans'),6
('euft', 'efté'),6
('quatre', 'cens'),6
('celte', 'puissance'),6
('deflors', 'auant'),6
('feigneurs', 'ligues'),6
('estats', 'peuple'),6
('cy', 'dessus'),6
('duché', 'milan'),6
('mil', 'efcus'),6
('duc', 'milan'),6
('royaumes', 'naples'),6
('villes', 'imperiales'),6
('puissance', 'donner'),6
('roy', 'philippe'),6
('dirons', 'lieu'),6
('couronne', 'france'),6
('estat', 'populaire'),6
('quelques', 'vns'),6
('feigneur', 'feodal'),6
('lige', 'pape'),6
('marques', 'souveraineté'),6
('marque', 'fouucraineté'),6
('fin', 'principale'),5
('ila', 'efté'),5
('homme', 'bien'),5
('ij', 'republique'),5
('quelque', 'chose'),5
('cinq', 'cens'),5
('foubs', 'puissance'),5
('quelque', 'chofe'),5
('parle', 'moyen'),5
('puissance', 'commander'),5
('pourle', 'regard'),5
('tousles', 'peuples'),5
('auquel', 'cas'),5
('loix', 'diuines'),5
('anciens', 'romains'),5
('trois', 'fois'),5
('cefte', 'puissance'),5
('', 'appella'),5
('difference', 'entre'),5
('forte', 'foit'),5
('droit', 'gens'),5
('dix', 'mil'),5
('', 'auis'),5
('roy', 'perle'),5
('file', 'roy'),5
('', 'ain'),5
('bien', 'vray'),5
('futle', 'premier'),5
('bié', 'certain'),5
('vnc', 'fois'),5
('bien', 'toft'),5
('', 'anm'),5
('franc', 'sujet'),5
('requefte', 'peuple'),5
('bourgeois', 'romains'),5
('bourgeois', 'romain'),5
('', 'autun'),5
('celte', 'qualité'),5
('apris', 'lettres'),5
('roy', 'fráce'),5
('alliance', 'egale'),5
('duc', 'sauoye'),5
('feigneur', 'naturel'),5
('roy', 'romains'),5
('faits', 'entre'),5
('cantons', 'catholiques'),5
('parles', 'estats'),5
('capitaines', 'chef'),5
('parle', 'traité'),5
('eglife', 'romaine'),5
('alliance', 'entre'),5
('faire', 'guerre'),5
('parle', 'peuple'),5
('duc', 'bourgongne'),5
('certain', 'temps'),5
('puissance', 'loix'),5
('àla', 'charge'),5
('couronne', 'imperiale'),5
('marque', 'souveraineté'),5
('marc', 'varron'),4
('mettre', 'fin'),4
('faut', 'donc'),4
('parce', 'moyen'),4
('moindre', 'partie'),4
('mil', 'citoyens'),4
('chefs', 'famille'),4
('couftumes', 'generales'),4
('anciens', 'traitez'),4
('couftumes', 'pays'),4
('', 'ainsau'),4
('puissance', 'pere'),4
('parla', 'loy'),4
('quatre', 'cas'),4
('celte', 'caufe'),4
('iufte', 'caufe'),4
('non', 'seulement'),4
('', 'ainsile'),4
('noftre', 'memoire'),4
('quia', 'efté'),4
('quelque', 'temps'),4
('empire', 'romain'),4
('puissance', 'abfolue'),4
('droit', 'fucceffif'),4
('dix', 'ans'),4
('guerre', 'ciuile'),4
('parles', 'ordonnances'),4
('empereur', 'adrian'),4
('bien', 'entendre'),4
('trouua', 'fort'),4
('trancher', 'tefte'),4
('france', 'duc'),4
('grands', 'priuileges'),4
('euft', 'peu'),4
('foixante', 'mil'),4
('mil', 'efclaues'),4
('meurtre', 'commis'),4
('peine', 'capitale'),4
('grand', 'nombre'),4
('difpofer', 'biens'),4
('celuy', 'auquel'),4
('royaume', 'naples'),4
('edits', 'faits'),4
('roy', 'henry'),4
('arreft', 'parlement'),4
('dira', 'quelqu'),4
('auons', 'monftré'),4
('definition', 'citoyen'),4
('eftoyent', 'citoyens'),4
('bien', 'grande'),4
('cinq', 'ans'),4
('citoyens', 'romains'),4
('plusieurs', 'villes'),4
('droit', 'commun'),4
('feigneurie', 'venize'),4
('contre', 'lesautres'),4
('voix', 'deliberatiue'),4
('és', 'republiques'),4
('arreft', 'senat'),4
('alliez', 'romains'),4
('peu', 'ple'),4
('cinquante', 'mil'),4
('empereur', 'auguste'),4
('droit', 'bourgcoifie'),4
('quoy', 'die'),4
('traitez', 'paix'),4
('', 'alliace'),4
('senat', 'milan'),4
('toutesles', 'villes'),4
('sujet', 'prince'),4
('bien', 'difference'),4
('faire', 'iuftice'),4
('prince', 'obligé'),4
('quand', 'dy'),4
('dessus', 'princes'),4
('roy', 'defrance'),4
('roy', 'catholique'),4
('traité', 'alliance'),4
('mil', 'ducats'),4
('fix', 'mois'),4
('pape', 'clemét'),4
('traitez', 'faits'),4
('roy', 'frâce'),4
('roy', 'charles'),4
('roy', 'nauarre'),4
('roy', 'caftille'),4
('euffent', 'efté'),4
('ducs', 'milan'),4
('amitié', 'perpetuelle'),4
('roy', 'naples'),4
('garder', 'foy'),4
('empereur', 'maximilian'),4
('voulut', 'faire'),4
('charle', 'france'),4
('henri', 'roy'),4
('alphons', 'roy'),4
('faire', 'paix'),4
('', 'ateur'),4
('puissance', 'abfoluë'),4
('', 'auffile'),4
('bon', 'femble'),4
('alors', 'roy'),4
('és', 'royaumes'),4
('sujet', 'loix'),4
('cefte', 'cause'),4
('leze', 'maiefté'),4
('sujets', 'general'),4
('tiennent', 'foy'),4
('pape', 'innocent'),4
('hommes', 'liges'),4
('eglife', 'rome'),4
('loüys', 'bauieres'),4
('', 'arles'),4
('droits', 'maiefté'),4
('auoyent', 'force'),4
('dernier', 'reflort'),4
('bien', 'ordonnee'),3
('premier', 'lieu'),3
('parle', 'menu'),3
('donner', 'foy'),3
('feigneurs', 'souverains'),3
('faire', 'hommage'),3
('faire', 'proces'),3
('telles', 'gens'),3
('vraye', 'marque'),3
('loix', 'nature'),3
('bien', 'republique'),3
('choses', 'naturelles'),3
('auquel', 'doit'),3
('elles', 'foyent'),3
('bien', 'gift'),3
('vertus', 'morales'),3
('celle', 'cy'),3
('trois', 'menages'),3
('pere', 'famille'),3
('cens', 'efclaues'),3
('etpour', 'celte'),3
('aufli', 'bien'),3
('ville', 'rome'),3
('huit', 'mil'),3
('feule', 'marque'),3
('rien', 'foit'),3
('bien', 'public'),3
('chefs', 'familles'),3
('plusieurs', 'chefs'),3
('pourle', 'droit'),3
('non', 'feulemét'),3
('quelque', 'traité'),3
('liberté', 'naturelle'),3
('pere', 'enuers'),3
('puissance', 'maritale'),3
('mari', 'femme'),3
('droit', 'ciuil'),3
('ains', 'aufsi'),3
('beu', 'vin'),3
('elles', 'eftoient'),3
('monstre', 'bien'),3
('bien', 'romains'),3
('fept', 'cens'),3
('quelaloy', 'dieu'),3
('repudier', 'femme'),3
('cinq', 'mil'),3
('bien', 'fouuentles'),3
('rien', 'grand'),3
('foubs', 'vmbre'),3
('honneur', 'dieu'),3
('tué', 'fils'),3
('telle', 'puissance'),3
('pleine', 'puissance'),3
('parles', 'loix'),3
('toutle', 'pays'),3
('vie', 'pere'),3
('mettre', 'mort'),3
('biens', 'enfans'),3
('mis', 'mort'),3
('ambafladeurs', 'france'),3
('enfans', 'legitimes'),3
('bien', 'entendu'),3
('toute', 'humilité'),3
('ancien', 'droit'),3
('auoyent', 'aucune'),3
('premiere', 'occafion'),3
('quel', 'empereur'),3
('auoyent', 'rien'),3
('depuis', 'trois'),3
('bonne', 'guerre'),3
('douze', 'tables'),3
('tousjours', 'premier'),3
('quelques', 'princes'),3
('merite', 'mort'),3
('bien', 'quelque'),3
('marc', 'antoine'),3
('roy', 'portugal'),3
('efclaues', 'chreftiens'),3
('main', 'morte'),3
('doibt', 'entendre'),3
('fansle', 'confentement'),3
('preiudice', 'droits'),3
('couftume', 'generale'),3
('empereur', 'theodofe'),3
('icy', 'dira'),3
('edit', 'general'),3
('grand', 'feigneur'),3
('trois', 'enfans'),3
('fera', 'tousjours'),3
('premiers', 'roys'),3
('temps', 'parauant'),3
('plusieurs', 'feigneurs'),3
('quelques', 'priuileges'),3
('plusieurs', 'lieux'),3
('monftre', 'bien'),3
('hors', 'ville'),3
('eftà', 'dire'),3
('fera', 'bien'),3
('cens', 'oftages'),3
('eftoyent', 'vrays'),3
('gouuerneurs', 'prouinces'),3
('bourgeoifie', 'romaine'),3
('ains', 'seulement'),3
('sujets', 'romains'),3
('donner', 'droit'),3
('traitant', 'alliance'),3
('princes', 'fouucrains'),3
('princes', 'voifins'),3
('bas', 'pays'),3
('entre', 'lefquels'),3
('roy', 'edouart'),3
('confentement', 'expres'),3
('feigneur', 'duquel'),3
('droit', 'fiefs'),3
('prince', 'foit'),3
('parles', 'couftumes'),3
('demeure', 'tousjours'),3
('pays', 'là'),3
('contre', 'prince'),3
('trois', 'estats'),3
('enuers', 'sujets'),3
('carle', 'prince'),3
('conseil', 'priué'),3
('naturel', 'sujet'),3
('tient', 'fief'),3
('pouuons', 'dire'),3
('quand', 'roy'),3
('alliance', 'faits'),3
('villes', 'maritimes'),3
('plusieurs', 'fois'),3
('telles', 'alliances'),3
('ligue', 'offenfiue'),3
('cantons', 'proteftans'),3
('toute', 'grece'),3
('efleu', 'capitaine'),3
('ligue', 'acheans'),3
('roys', 'macedoine'),3
('foubs', 'couleur'),3
('entre', 'romains'),3
('roys', 'rome'),3
('roy', 'castille'),3
('tousles', 'traitez'),3
('tousjours', 'excepté'),3
('contre', 'teneur'),3
('duc', 'bauiere'),3
('ville', 'lubec'),3
('augufte', 'roy'),3
('roy', 'depoloigne'),3
('ferdinand', 'roy'),3
('roy', 'dannemarc'),3
('plein', 'senat'),3
('fiftle', 'roy'),3
('pleine', 'liberté'),3
('mil', 'liures'),3
('és', 'monarchies'),3
('faire', 'entendre'),3
('perfeus', 'roy'),3
('mithridate', 'roy'),3
('tousles', 'estats'),3
('ducs', 'lorraine'),3
('ains', 'aush'),3
('empereur', 'sigifmond'),3
('donné', 'foy'),3
('cefte', 'opinion'),3
('empereur', 'charles'),3
('donna', 'foy'),3
('faut', 'garder'),3
('ambafladeur', 'france'),3
('loü', 'ys'),3
('eftant', 'venu'),3
('françois', 'premier'),3
('pape', 'alexandre'),3
('euft', 'ratifié'),3
('vaffal', 'lige'),3
('marquis', 'albert'),3
('chambre', 'imperiale'),3
('entre', 'charle'),3
('guerre', 'punique'),3
('puissance', 'abfolué'),3
('donne', 'puissance'),3
('delaloy', 'dieu'),3
('caril', 'bien'),3
('parle', 'droit'),3
('haute', 'chambre'),3
('prince', 'monde'),3
('confirmation', 'priuileges'),3
('faire', 'ferment'),3
('pourle', 'meurtre'),3
('affemblee', 'estats'),3
('loy', 'sujets'),3
('philippe', 'bel'),3
('loy', 'pays'),3
('tels', 'edits'),3
('quoy', 'plusieurs'),3
('vaffal', 'fimple'),3
('iean', 'roy'),3
('ducs', 'bretaigne'),3
('és', 'hiftoires'),3
('ducs', 'normandie'),3
('comment', 'pourroit'),3
('naturel', 'roy'),3
('tient', 'rien'),3
('hommage', 'procureur'),3
('couróne', 'france'),3
('regiftre', 'vatican'),3
('roys', 'naples'),3
('quelque', 'prince'),3
('quant', 'royaume'),3
('royaume', 'castille'),3
('trefor', 'france'),3
('philippele', 'bel'),3
('quant', 'duc'),3
('duc', 'florence'),3
('enfans', 'lothaire'),3
('duché', 'lorraine'),3
('fief', 'imperial'),3
('qualité', 'vicaire'),3
('faire', 'loix'),3
('chambrier', 'pape'),3
('parle', 'clergé'),3
('roys', 'tributaires'),3
('monftré', 'cy'),3
('grands', 'magistrats'),3
('force', 'an'),3
('loy', 'general'),3
('traiter', 'paix'),3
('dernier', 'reffort'),3
