token_,count
('estat', 'populaire'),61
('', 'ains'),51
('sixiesme', ''),49
('com', ''),32
('cens', 'mil'),25
('menu', 'peuple'),25
('mil', 'liures'),23
('mil', 'efcus'),23
('cinq', 'cens'),20
('roy', 'france'),17
('', 'efpargne'),16
('', 'caril'),16
('', 'commeil'),15
('bien', 'fouuent'),14
('quatre', 'cens'),13
('proportion', 'geometrique'),13
('bien', 'fort'),12
('iuftice', 'harmonique'),12
('', 'iaçoit'),11
('non', 'feulement'),11
('trois', 'cens'),11
('gens', 'bien'),11
('roy', 'françois'),11
('', 'eftar'),11
('', 'iacoit'),11
('quatre', 'deniers'),11
('prin', ''),10
('', 'ioint'),10
('', 'eftà'),10
('guerres', 'ciuiles'),10
('gentils', ''),10
('cens', 'ans'),10
('forme', 'republique'),10
('efle', ''),10
('grand', 'nombre'),9
('dix', 'mil'),9
('peu', 'peu'),9
('', 'appelloit'),9
('princes', 'fang'),9
('celuy', 'quia'),9
('mil', 'cinq'),8
('cy', 'deuant'),8
('parce', 'moyen'),8
('estat', 'finances'),8
('loy', 'dieu'),8
('fieft', ''),8
('', 'oü'),8
('celte', 'caufe'),8
('efcus', 'couronne'),8
('', 'té'),8
('', 'carle'),8
('cent', 'mil'),8
('có', ''),8
('', 'ftoit'),8
('', 'arragon'),8
('', 'eftain'),8
('feigneurs', 'ligues'),8
('droit', 'fucceflif'),8
('cas', 'pareil'),8
('frere', 'aifné'),8
('proportion', 'arithmetique'),8
('iuftice', 'arithmetique'),8
('celte', 'cause'),7
('ceftuy', ''),7
('traian', ''),7
('coftez', ''),7
('fix', 'cens'),7
('cens', 'cinquante'),7
('', 'generalement'),7
('', 'ges'),7
('', 'plutarque'),7
('plutarque', ''),7
('', 'maisil'),7
('', 'tres'),7
('', 'oril'),7
('', 'neantmoinsil'),7
('quatre', 'vingts'),7
('xv', ''),7
('', 'carles'),7
('bas', 'pays'),7
('', 'iointauffi'),7
('roy', 'loüys'),7
('fils', 'aifné'),7
('chambre', 'comptes'),7
('', 'côme'),7
('suede', ''),7
('', 'extrait'),7
('fept', 'cens'),7
('estats', 'populaires'),7
('pieces', 'marc'),7
('grains', 'poids'),7
('puissance', 'souveraine'),7
('gouuer', ''),7
('degré', ''),7
('estat', 'ariftocratique'),7
('plusieurs', 'feigneurs'),7
('', 'arbitrage'),7
('dol', ''),7
('tite', 'liue'),6
('monftré', 'cy'),6
('cy', 'dessus'),6
('cens', 'foixante'),6
('fonds', 'finances'),6
('faut', 'donc'),6
('republiques', 'populaires'),6
('empereur', 'charle'),6
('entre', 'mains'),6
('fix', 'deniers'),6
('trois', 'deniers'),6
('petit', 'fils'),6
('auons', 'monftré'),6
('douze', 'tables'),6
('grands', 'feigneurs'),6
('proportion', 'harmonique'),6
('', 'ainsauffi'),5
('', 'outesfois'),5
('mou', ''),5
('', 'uoyent'),5
('trois', 'mil'),5
('ha', ''),5
('veué', ''),5
('arrefts', ''),5
('', 'royent'),5
('', 'ler'),5
('', 'loir'),5
('', 'obeiffance'),5
('', 'brief'),5
('cheual', ''),5
('', 'autorité'),5
('non', 'feulemét'),5
('faire', 'fonds'),5
('durable', ''),5
('maifon', 'roy'),5
('cho', ''),5
('grands', 'perfonnages'),5
('entre', 'princes'),5
('quelques', 'vns'),5
('dignitez', ''),5
('ri', ''),5
('', 'oit'),5
('', 'gabelles'),5
('', 'demi'),5
('douze', 'fols'),5
('fecrettes', ''),5
('petit', 'nombre'),5
('mil', 'ducats'),5
('dix', 'fois'),5
('', 'trouuera'),5
('roy', 'charle'),5
('peu', 'pres'),5
('', 'cauoir'),5
('dix', 'liures'),5
('onze', 'deniers'),5
('caril', 'faut'),5
('roys', 'france'),5
('perfes', ''),5
('meritent', ''),5
('mai', ''),5
('és', 'republiques'),5
('treforier', ''),5
('', 'meritoit'),5
('cy', 'deffus'),5
('fraude', ''),5
('voifins', ''),5
('puif', ''),5
('plomb', ''),5
('trois', 'quars'),5
('eftà', 'dire'),5
('beaucoup', 'moins'),5
('trois', 'grains'),5
('moindre', 'partie'),5
('fei', ''),5
('entr', ''),5
('phocion', ''),5
('', 'ordónance'),5
('euft', 'efté'),5
('puiffan', ''),5
('election', ''),5
('loüys', 'roy'),5
('frideric', ''),5
('directe', ''),5
('iuftice', 'geometrique'),5
('', 'metrique'),5
('cinq', 'ans'),4
('foixante', 'mil'),4
('edits', ''),4
('fix', 'ans'),4
('prouince', ''),4
('cinquante', 'ans'),4
('infinie', ''),4
('noms', ''),4
('bien', 'certain'),4
('aller', 'loing'),4
('of', ''),4
('crai', ''),4
('nombre', 'sujets'),4
('occa', ''),4
('', 'ions'),4
('caffiodore', ''),4
('prouence', ''),4
('pecuniaires', ''),4
('maria', ''),4
('fain', ''),4
('', 'tions'),4
('mefchant', ''),4
('imaginer', ''),4
('bonnes', 'meurs'),4
('', 'lement'),4
('gou', ''),4
('habits', ''),4
('ruiné', ''),4
('', 'quäd'),4
('', 'uoir'),4
('parl', ''),4
('vaut', 'mieux'),4
('chap', ''),4
('politique', ''),4
('mil', 'citoyens'),4
('', 'deforte'),4
('pau', ''),4
('roy', 'henry'),4
('lucerne', ''),4
('', 'caron'),4
('ples', ''),4
('iiij', 'republique'),4
('', 'commeils'),4
('dix', 'ans'),4
('', 'infinis'),4
('', 'maisle'),4
('rx', ''),4
('', 'iln'),4
('iln', ''),4
('capi', ''),4
('trois', 'millions'),4
('quei', ''),4
('parle', 'moyen'),4
('che', ''),4
('', 'net'),4
('peuple', 'romain'),4
('cés', 'mil'),4
('', 'nir'),4
('roys', 'perle'),4
('pen', ''),4
('ordi', ''),4
('bien', 'difficile'),4
('temps', 'roy'),4
('ver', ''),4
('efcus', 'fol'),4
('', 'gleterre'),4
('bien', 'grande'),4
('', 'ftranger'),4
('taille', ''),4
('extraordinaire', ''),4
('meil', ''),4
('quarante', 'mil'),4
('fix', 'mil'),4
('', 'voudra'),4
('', 'ferons'),4
('millions', 'cinq'),4
('cou', ''),4
('dou', ''),4
('', 'ftat'),4
('', 'creue'),4
('cfcus', ''),4
('', 'donnant'),4
('cent', 'fols'),4
('', 'fent'),4
('horreur', ''),4
('cent', 'efcus'),4
('cinq', 'cent'),4
('dix', 'efcus'),4
('lan', ''),4
('cens', 'quarante'),4
('cens', 'quatre'),4
('indois', ''),4
('col', ''),4
('artifans', ''),4
('empereurs', 'romains'),4
('', 'uc'),4
('pauure', 'peuple'),4
('', 'yn'),4
('fang', 'sujets'),4
('bien', 'toft'),4
('adrian', ''),4
('conseil', 'priué'),4
('file', 'prince'),4
('long', 'temps'),4
('', 'infamie'),4
('normandie', ''),4
('', 'ront'),4
('princes', 'eftrangers'),4
('monoyes', ''),4
('faux', 'monnoyeurs'),4
('xxr', ''),4
('xxii', ''),4
('deniers', 'fin'),4
('deniers', 'douze'),4
('douze', 'grains'),4
('quoy', 'faifant'),4
('xl', ''),4
('deniers', 'feize'),4
('feize', 'grains'),4
('', 'pline'),4
('cccc', ''),4
('argentle', 'roy'),4
('', 'eten'),4
('xxix', ''),4
('grains', 'fin'),4
('fera', 'tousjours'),4
('pire', ''),4
('estat', 'royal'),4
('ariftocrati', ''),4
('refoudre', ''),4
('puissance', 'commander'),4
('maifon', 'france'),4
('roturiers', 'nobles'),4
('', 'nouucaux'),4
('beaucoup', 'mieux'),4
('', 'rie'),4
('guerre', 'ciuile'),4
('quelque', 'temps'),4
('ona', 'veu'),4
('tombe', 'chois'),4
('paternel', ''),4
('', 'eftoc'),4
('roys', 'droit'),4
('', 'habile'),4
('faire', 'roy'),4
('prince', 'eftranger'),4
('boheme', ''),4
('bour', ''),4
('faire', 'mourir'),4
('indiuifible', ''),4
('ligne', 'directe'),4
('', 'collaterale'),4
('saliens', ''),4
('populairement', ''),4
('harmoni', ''),4
('', 'portion'),4
('', 'metique'),4
('gentil', 'homme'),4
('deiointe', ''),4
('quinte', ''),4
('laloy', 'dieu'),4
('magi', ''),4
('charges', 'honnorables'),4
('chofe', 'belle'),3
