token_,count
('', 'empereur'),39
('', 'honneur'),35
('', 'quoy'),33
('', 'non'),31
('france', ''),31
('', 'combien'),29
('', 'où'),29
('', 'neantmoins'),28
('', 'ains'),27
('', 'ordre'),27
('', 'afrique'),24
('', 'euft'),21
('cinqviesme', ''),20
('', 'come'),20
('con', ''),19
('estat', 'populaire'),18
('peuples', 'septentrion'),16
('peuple', 'meridional'),16
('', 'afin'),16
('', 'autruy'),15
('', 'ennemi'),15
('orient', ''),14
('', 'ment'),14
('', 'lequel'),14
('com', ''),14
('', 'angleterre'),13
('', 'empire'),13
('almans', ''),13
('autruy', ''),13
('', 'euffent'),12
('', 'res'),12
('', 'italie'),12
('menu', 'peuple'),12
('', 'ordonnance'),12
('militaire', ''),12
('grece', ''),11
('', 'femble'),11
('', 'eglife'),11
('', 'maisil'),10
('', 'affin'),10
('', 'autrement'),10
('', 'voila'),10
('eftrangers', ''),10
('loy', 'dieu'),10
('voleurs', ''),10
('', 'ennemy'),10
('septentrional', ''),9
('', 'aller'),9
('terre', ''),9
('', 'hormis'),9
('guerres', 'ciuiles'),9
('ariftocratique', ''),9
('vices', ''),8
('citoyens', ''),8
('', 'egypte'),8
('', 'occident'),8
('bien', 'fort'),8
('', 'lifons'),8
('per', ''),8
('belliqueux', ''),8
('peuples', 'midy'),8
('non', 'feulement'),8
('amis', ''),8
('', 'elles'),8
('', 'ayát'),7
('perte', ''),7
('flateurs', ''),7
('', 'appelle'),7
('leon', ''),7
('bien', 'toft'),7
('chaud', ''),7
('', 'dequoy'),7
('quin', ''),7
('', 'xx'),7
('', 'parce'),7
('pa', ''),7
('italiens', ''),7
('magistrats', ''),7
('', 'dre'),7
('peu', 'peu'),7
('fruits', ''),7
('gens', 'bien'),7
('latitude', ''),6
('long', 'temps'),6
('', 'voudroit'),6
('polybe', ''),6
('fept', 'mil'),6
('có', ''),6
('', 'tions'),6
('cinquiesme', ''),6
('', 'difant'),6
('cens', 'ans'),6
('roy', 'france'),6
