token_,count
('', '', ''),303
('', 'estat', ''),49
('', 'empire', ''),45
('', '', 'estat'),32
('roy', '', ''),22
('', 'empereur', ''),21
('', 'estat', 'populaire'),20
('estat', 'populaire', ''),17
('', 'an', ''),16
('peuple', '', ''),14
('puissance', '', ''),14
('', 'com', ''),12
('estat', '', ''),12
('', 'honneur', ''),12
('', '', 'autant'),11
('', '', 'empereur'),11
('sujets', '', ''),11
('', 'bien', ''),11
('princes', '', ''),11
('an', '', ''),11
('', 'ariftocratie', ''),10
('populaire', '', ''),10
('prince', '', ''),10
('', 'vertu', ''),10
('souveraineté', '', ''),10
('prince', 'souverain', ''),9
('ariftocratique', '', ''),9
('', '', 'rien'),9
('', '', 'villes'),9
('roys', '', ''),9
('', '', 'neantmoins'),9
('', '', 'moins'),9
('', '', 'non'),9
('biens', '', ''),9
('', 'biens', ''),9
('gens', 'bien', ''),9
('', '', 'toutesfois'),9
('', 'republique', ''),8
('', 'populaire', ''),8
('feigneurs', '', ''),8
('', '', 'republique'),8
('senat', '', ''),8
('', 'combien', ''),8
('villes', 'imperiales', ''),8
('mort', '', ''),8
('', 'ment', ''),8
('', 'princes', ''),8
('republiques', '', ''),7
('', 'ariftote', ''),7
('', 'quel', ''),7
('feigneurie', '', ''),7
('', 'peuple', ''),7
('', 'feigneurs', ''),7
('', '', 'senat'),7
('', 'prince', ''),7
('', 'moins', ''),7
('vie', '', ''),7
('', 'mort', ''),7
('', '', 'dire'),7
('honneur', '', ''),7
('efclaues', '', ''),7
('', '', 'pourquoy'),7
('', 'villes', 'imperiales'),7
('foy', '', ''),7
('empire', '', ''),7
('citoyens', '', ''),7
('', '', 'faut'),6
('corps', '', ''),6
('monarchie', '', ''),6
('riches', '', ''),6
('loix', '', ''),6
('', 'nes', ''),6
('', 'ap', ''),6
('royal', '', ''),6
('', 'roy', ''),6
('', '', 'faire'),6
('', 'senat', ''),6
('', 'veu', ''),6
('', '', 'empire'),6
('', 'puissance', ''),6
('', 'angleterre', ''),6
('', 'quoy', ''),6
('', 'moindre', 'partie'),6
('menu', 'peuple', ''),6
('puissance', 'souveraine', ''),6
('', '', 'princes'),6
('estats', '', ''),6
('loix', 'nature', ''),6
('perfonnes', '', ''),6
('', '', 'biens'),6
('', '', 'depuis'),6
('', 'vie', ''),6
('', 'fort', ''),6
('', 'p', ''),6
('dieu', '', ''),6
('', 'almaigne', ''),6
('', 'afin', ''),6
('', 'icelle', ''),5
('estat', 'ariftocratique', ''),5
('', '', 'trois'),5
('trois', '', ''),5
('', '', 'plusieurs'),5
('', 'riches', ''),5
('affaires', '', 'estat'),5
('', 'peu', ''),5
('', 'estat', 'fera'),5
('', 'roys', ''),5
('', '', 'contraire'),5
('', '', 'roy'),5
('', '', 'eftoyent'),5
