token_,count
('', 'an', ''),25
('', 'honneur', ''),23
('', 'estat', ''),21
('', '', 'neantmoins'),21
('', 'afrique', ''),20
('', 'estat', 'populaire'),17
('', '', 'autant'),17
('', '', 'moins'),15
('', '', 'estat'),14
('peuple', '', ''),13
('', '', 'pourquoy'),13
('', '', 'peuples'),13
('', 'autruy', ''),13
('', 'cinqviesme', ''),12
('', '', 'empereur'),12
('', 'foit', ''),12
('sujets', '', ''),12
('', 'ordre', ''),12
('estat', 'populaire', ''),11
('', '', 'non'),11
('', '', 'rien'),11
('', 'quoy', ''),11
('france', '', ''),11
('armes', '', ''),11
('afrique', '', ''),10
('', 'italie', ''),10
('cinqviesme', '', ''),10
('paix', '', ''),10
('ennemis', '', ''),10
('', 'autant', ''),10
('populaire', '', ''),10
('princes', '', ''),10
('', 'veu', ''),9
('', 'orient', ''),9
('', '', 'peu'),9
('', 'empereur', ''),9
('an', '', ''),9
('dieu', '', ''),9
('', 'argent', ''),9
('ville', '', ''),9
('', 'loix', ''),8
('peuples', 'septentrion', ''),8
('septentrion', '', ''),8
('', 'midy', ''),8
('', 'peuples', 'septentrion'),8
('force', '', ''),8
('peuple', 'meridional', ''),8
('', 'empire', ''),8
('guerre', '', ''),8
('', '', 'euft'),8
('vns', '', ''),8
('', 'com', ''),8
('republique', '', ''),8
('', 'p', ''),8
('', 'ennemy', ''),8
('', 'ennemi', ''),8
('', 'romains', ''),7
('romains', '', ''),7
('republiques', '', ''),7
('corps', '', ''),7
('', '', 'iamais'),7
('', 'efpaigne', ''),7
('', '', 'afrique'),7
('', 'almans', ''),7
('', 'combien', ''),7
('', 'non', 'feulement'),7
('', '', 'eftoyent'),7
('estats', '', ''),7
('', '', 'republique'),7
('guerres', 'ciuiles', ''),7
('', '', 'p'),7
('loy', 'dieu', ''),7
('', 'offices', ''),7
('', 'con', ''),6
('orient', '', ''),6
('', 'occident', ''),6
('', '', 'faut'),6
('', 'tacite', ''),6
('leon', '', 'afrique'),6
('dire', '', ''),6
('grece', '', ''),6
('', 'ans', ''),6
('peuples', 'midy', ''),6
('almans', '', ''),6
('', 'neantmoins', ''),6
('', 'aufli', ''),6
('', '', 'contraire'),6
('', '', 'entre'),6
('', 'contraire', ''),6
('', 'iuftice', ''),6
('', 'voit', ''),6
('', 'moins', ''),6
('', 'angleterre', ''),6
('', 'em', ''),6
('', '', 'an'),6
('', 'eglife', ''),6
('biens', '', ''),6
('', '', 'loyers'),6
('monarchie', '', ''),6
('', '', 'honneur'),6
('honneur', '', ''),6
('', 'forte', ''),5
('', 'egypte', ''),5
('meridional', '', ''),5
('', 'fieft', ''),5
('fieft', '', ''),5
('', '', 'plusieurs'),5
('', '', 'appelle'),5
('', '', 'veu'),5
('', '', 'euffent'),5
('', '', 'italie'),5
('', 'có', ''),5
('françois', '', ''),5
('', 'euft', ''),5
('ans', '', ''),5
('', 'vray', ''),5
('meurs', '', ''),5
('grande', '', ''),5
('', 'france', ''),5
('', '', 'quoy'),5
('', 'mef', ''),5
('empereur', '', ''),5
('', 'cy', ''),5
('', 'quin', ''),5
('', 'bien', 'certain'),5
('froid', '', ''),5
('', '', 'combien'),5
('', 'ac', ''),5
('cens', 'ans', ''),5
('contraire', '', ''),5
('vertu', '', ''),5
('', 'mal', ''),5
('', '', 'mal'),5
('autant', '', ''),5
('', '', 'celuy'),5
('empire', '', ''),5
('', 'peu', 'peu'),5
('', 'enfans', ''),5
('', 'villes', ''),5
('', '', 'argent'),5
('debtes', '', ''),5
('menu', 'peuple', ''),5
('', 'estats', ''),5
('', 'empereur', 'charle'),5
('', 'mourir', ''),5
('', '', 'cinqviesme'),5
('', 'estat', 'ariftocratique'),5
('estat', 'ariftocratique', ''),5
('royaume', '', ''),5
('gens', 'bien', ''),5
('', '', 'princes'),5
('roy', 'france', ''),5
('', 'vertu', ''),5
('ordre', '', ''),5
('', 'armes', ''),5
('liures', '', ''),5
('fortifier', 'villes', ''),5
('villes', '', ''),5
('places', 'fortes', ''),5
('murailles', '', ''),5
('', 'art', 'militaire'),5
('', 'fin', ''),4
('garde', '', ''),4
('', 'f', ''),4
('flateurs', '', ''),4
('', '', 'cy'),4
('', 'quel', ''),4
('', 'plutarque', ''),4
('', 'faut', 'donc'),4
('', 'iceluy', ''),4
('', '', 'naturel'),4
('', '', 'midy'),4
('', '', 'nature'),4
('', 'force', ''),4
('pays', 'meridional', ''),4
('bien', 'dire', ''),4
('', 'come', ''),4
('', 'per', ''),4
('efpaigne', '', ''),4
('italie', '', ''),4
('', 'lors', ''),4
('vaincus', '', ''),4
('', 'chafteaux', ''),4
('', '', 'depuis'),4
('', 'europe', ''),4
('', '', 'prefque'),4
('aller', 'guerre', ''),4
('', 'maisil', ''),4
('', 'toft', ''),4
('gaulois', '', ''),4
('', 'bien', 'fort'),4
('', 'ad', ''),4
('', '', 'experience'),4
('vertueux', '', ''),4
('là', '', ''),4
('', 'afin', ''),4
('', 'parle', 'moyen'),4
('raifon', '', ''),4
('', 'tions', ''),4
('', '', 'almans'),4
('', '', 'anciens'),4
('', 'garde', ''),4
('roys', '', ''),4
('', 'foyent', ''),4
('aufli', '', ''),4
('', 'condamné', ''),4
('', '', 'toutesfois'),4
('', 'toutesfois', ''),4
('', 'tres', ''),4
('couftumes', '', ''),4
('', 'xx', ''),4
('', 'tite', 'liue'),4
('femmes', '', ''),4
('', 'dic', ''),4
('veu', '', ''),4
('', 'efprit', ''),4
('', 'italiens', ''),4
('', 'veut', ''),4
('', 'grece', ''),4
('', 'où', ''),4
('', '', 'ordonnances'),4
('', 'hongrie', ''),4
('part', '', ''),4
('', 'almaigne', ''),4
('', 'voila', 'quant'),4
('', 'lieu', ''),4
('', 'res', ''),4
('', '', 'grands'),4
('', 'aduis', ''),4
('', 'non', ''),4
('', 'al', ''),4
('', 'crainte', ''),4
('', 'oire', ''),4
('p', '', ''),4
('', '', 'pauureté'),4
('', 'vfure', ''),4
('', 'depuis', ''),4
('', 'fil', ''),4
('enfans', '', ''),4
('', '', 'auarice'),4
('', '', 'donner'),4
('', 'cefte', 'loy'),4
('', 'for', ''),4
('empereur', 'charle', ''),4
('', '', 'dire'),4
('', 'dire', ''),4
('', 'pourueu', ''),4
('', 'heritage', ''),4
('', 'loy', ''),4
('', 'celte', 'cause'),4
('', 'ordonnance', ''),4
('', 'bien', 'fouuent'),4
('', 'autrement', ''),4
('', 'caril', ''),4
('', 'flateurs', ''),4
('loyers', '', ''),4
('', '', 'vertu'),4
('estats', '', 'offices'),4
('entr', '', ''),4
('', '', 'exemple'),4
('', 'nes', ''),4
('bien', 'munie', ''),4
('voleurs', '', ''),4
('', '', 'ennemi'),4
('bataille', '', ''),4
('difcipline', 'militaire', ''),4
('militaire', '', ''),4
('art', 'militaire', ''),4
('pays', '', 'autruy'),4
('grands', 'estats', ''),3
('latitude', '', ''),3
('', 'latitude', ''),3
('', 'humeurs', ''),3
('f', '', ''),3
('naturelle', '', ''),3
('con', '', ''),3
('', '', 'va'),3
('plutarque', '', ''),3
('faut', 'donc', ''),3
('', 'humeur', ''),3
('', 'parauant', ''),3
('citoyens', '', ''),3
('', 'perfonnes', ''),3
('', 'quoy', 'die'),3
('', '', 'eftà'),3
('egypte', '', ''),3
('occident', '', ''),3
('', 'degré', ''),3
('', '', 'quinze'),3
('hiftoires', '', ''),3
('', 'peuples', 'septétrion'),3
('', '', 'parties'),3
('charle', '', ''),3
('peuple', 'septentrional', ''),3
('', 'grandeur', ''),3
('', 'lifons', 'és'),3
('', '', 'propres'),3
('', '', 'efprit'),3
('', '', 'lors'),3
('', 'vaincus', ''),3
('mil', 'hommes', ''),3
('forces', '', ''),3
('peuples', 'deseptentrion', ''),3
('', 'turcs', ''),3
('neant', '', 'moins'),3
('', 'afie', ''),3
('afie', '', ''),3
('europe', '', ''),3
('tartares', '', ''),3
('', 'aller', 'guerre'),3
('', 'chofe', ''),3
('', '', 'chaleur'),3
('', 'peuples', 'midy'),3
('', '', 'fin'),3
('', 'gaulois', ''),3
('', '', 'ment'),3
('efpaignols', '', ''),3
('', 'aufli', 'voyons'),3
('', 'lesautres', ''),3
('', 'experience', ''),3
('', 'difant', ''),3
('maifon', 'france', ''),3
('', 'efpaignol', ''),3
('efpaignol', '', ''),3
('', '', 'faute'),3
('', 'froid', ''),3
('', 'femble', ''),3
('', 'raifon', ''),3
('courage', '', ''),3
('', '', 'autát'),3
('', 'cognoiftre', ''),3
('', 'œil', ''),3
('anciennes', '', ''),3
('', 'anciens', ''),3
('', 'corps', ''),3
('gardes', '', ''),3
('', '', 'garde'),3
('', 'roys', ''),3
('', '', 'foyent'),3
('', 'ment', ''),3
('', 'efpai', ''),3
('', 'capitaine', ''),3
('mort', '', ''),3
('', 'cruauté', ''),3
('', '', 'mourir'),3
('almaigne', '', ''),3
('mourir', '', ''),3
('', '', 'quela'),3
('', '', 'toft'),3
('fage', '', ''),3
('', 'ble', ''),3
('ble', '', ''),3
('', 'couftumes', ''),3
('septentrional', '', ''),3
('', '', 'fçauoir'),3
('', 'peuple', 'meridional'),3
('chaud', '', ''),3
('', 'humide', ''),3
('', 'chaffe', ''),3
('terre', '', ''),3
('', 'humain', ''),3
('veut', '', ''),3
('vaut', 'beaucoup', 'mieux'),3
('', 'porte', ''),3
('', '', 'gouuerneurs'),3
('cas', 'pa', ''),3
('', '', 'enuoyer'),3
('', 'difficulté', ''),3
('', '', 'partie'),3
('', 'magistrats', ''),3
('magistrats', '', ''),3
('', 'menu', 'peuple'),3
('labeur', '', ''),3
('', 'ordonné', ''),3
('', '', 'quel'),3
('', 'foible', ''),3
('', 'bles', ''),3
('monde', '', ''),3
('particulieres', '', ''),3
('querelles', '', ''),3
('', 'guerriers', ''),3
('', '', 'peuuent'),3
('', 'be', ''),3
('plat', 'pays', ''),3
('tite', 'liue', ''),3
('', '', 'habitans'),3
('', '', 'contraints'),3
('', 'no', ''),3
('ceftuy', '', 'cy'),3
('', 'petit', ''),3
('bien', 'certain', ''),3
('', 'eaux', ''),3
('', 'terre', ''),3
('', 'cause', ''),3
('roy', 'charle', ''),3
('', 'pauureté', 'extreme'),3
('pauureté', 'extreme', ''),3
('', 'publiques', ''),3
('maifons', '', ''),3
('pauures', '', ''),3
('', '', 'part'),3
('deb', '', ''),3
('', 'amitié', ''),3
('', '', 'uoient'),3
('droit', '', 'aineeffe'),3
('', 'feditions', ''),3
('', 'guerres', 'ciuiles'),3
('', 'faut', 'faire'),3
('entre', 'vifs', ''),3
('', '', 'occasion'),3
('haut', 'poinét', ''),3
('', '', 'quelques'),3
('', '', 'pouuoit'),3
('', 'peine', ''),3
('confifquez', '', ''),3
('', 'perfonne', ''),3
('roy', '', 'angleterre'),3
('', 'remedier', ''),3
('', 'laloy', ''),3
('domaine', 'republique', ''),3
('', 'maine', ''),3
('', 'fept', 'mil'),3
('mai', '', 'fons'),3
('', 'monne', ''),3
('', '', 'colleges'),3
('', 'armenie', ''),3
('', 'onques', ''),3
('dix', 'milliures', ''),3
('mil', 'efcus', ''),3
('', '', 'ofter'),3
('', 'anjou', ''),3
('', 'biens', 'condamnez'),3
('', 'chap', ''),3
('honte', '', ''),3
('mefchans', '', ''),3
('', 'amende', ''),3
('', '', 'ac'),3
('', 'cinquiesme', ''),3
('quelque', 'chofe', ''),3
('meubles', '', ''),3
('autruy', '', ''),3
('faut', 'efperer', ''),3
('', '', 'vertueux'),3
('prix', '', 'argent'),3
('', 'iamais', 'faute'),3
('', 've', ''),3
('', 'iln', ''),3
('', '', 'peines'),3
('', 'loyers', ''),3
('ciuiles', '', ''),3
('', 'faueur', ''),3
('honneurs', '', ''),3
('', 'fit', ''),3
('ains', 'contraire', ''),3
('prix', '', 'honneur'),3
('', 'roy', 'france'),3
('', 'monarchie', ''),3
('', 'polybe', ''),3
('', 'hon', ''),3
('', '', 'onques'),3
('', 'indignes', ''),3
('', 'voyant', ''),3
('offices', '', ''),3
('', '', 'dre'),3
('', 'dre', ''),3
('faueur', '', ''),3
('toifon', '', ''),3
('', '', 'college'),3
('', 'college', ''),3
('', '', 'fera'),3
('estar', '', ''),3
('', '', 'xx'),3
('prince', 'souverain', ''),3
('certain', '', ''),3
('', 'cefte', 'caufe'),3
('mefpris', '', ''),3
('loyer', '', ''),3
('', 'lequel', 'voyant'),3
('', 'benefices', ''),3
('', '', 'veut'),3
('', 'rent', ''),3
('', 'efpargne', ''),3
('', 'enne', ''),3
('', '', 'em'),3
('', 'iacoit', ''),3
('', 'fçauoir', ''),3
('', 'eftrangers', ''),3
('eftrangers', '', ''),3
('mil', 'liures', ''),3
('sil', 'bon', ''),3
('', 'ains', 'contraire'),3
('', 'murailles', ''),3
('', 'pendant', ''),3
('vi', '', 'oire'),3
('', '', 'eftant'),3
('romains', '', 'lefquels'),3
('', 'mer', ''),3
('', 'alliez', ''),3
('alliez', '', ''),3
('fecours', 'alliez', ''),3
