token_,count
  ,847
 estat ,42
magistrats  ,40
 colleges ,33
 magistrats ,32
corps  ,29
 com ,28
  puissance,27
peuple  ,26
  autant,25
  pourquoy,25
 puissance ,24
senat  ,23
 office ,22
corps  colleges,20
 bien ,18
  non,18
 college ,18
puissance commander ,18
 aduis ,17
republique  ,17
 combien ,17
  empereur,17
 an ,17
  neantmoins,17
  colleges,17
 lieu ,17
puissance  ,17
 loy ,17
prince  ,16
  magistrats,16
  bien,16
commander  ,16
 corps ,16
 cap ,16
 senat ,15
 troisiesme ,15
estat  ,15
  euft,15
  auoient,15
 tion ,14
  faut,14
princes  ,14
colleges  ,14
roy  ,13
 toutesfois ,13
 magistrat ,13
loy  ,13
conseil  ,12
 cela ,12
 opinion ,12
 empereur ,12
an  ,12
vie  ,12
iuftice  ,12
 commander ,12
 peuple ,11
aduis  ,11
public  ,11
college  ,11
 ment ,11
 quel ,10
  rien,10
troisiesme  ,10
 honneur ,10
 estats ,10
  appelloit,10
 cas pareil,10
  faire,10
  college,10
 non ,10
 confuls ,10
officiers  ,10
 commandement ,10
office  ,10
  honneur,10
prince souverain ,10
commandement  ,10
faire  ,9
 prince ,9
  peuple,9
  senat,9
 parce ,9
 execution ,9
  ayt,9
populaires  ,9
  moins,9
  conseil,9
tite liue ,9
rome  ,9
  depuis,9
particulier  ,9
 depuis ,9
 empire ,9
  eftà,9
 appel ,9
cy deffus ,9
 tribuns ,9
loix  ,9
 ap ,9
publique  ,9
corps  college,9
 p ,9
 mander ,9
lettres iuftice ,9
  com,9
 estat populaire,8
  aduis,8
  lieu,8
estats  ,8
  charge,8
perfonnes  ,8
 accord ,8
 conseil priué,8
 roy ,8
  republique,8
publiques  ,8
  appelle,8
  fçauoir,8
 forte ,8
 iuftice ,8
charge  ,8
 dire ,8
 lors ,8
cy dessus ,8
 officiers ,8
 autrement ,8
tiltre  office,8
 particuliers ,8
particuliers  ,8
 celte cause,8
  ordonnances,8
 où ,8
  toutesfois,8
 ordonnances ,8
  communautez,8
 communautez ,8
toute republique ,7
 icelle ,7
confeil  ,7
  prince,7
 ad ,7
  doibt,7
 cour ,7
edits  ,7
 aduis senat,7
 republique ,7
  mefmement,7
 quoy ,7
  estat,7
  foit,7
 perfonnes ,7
fort  ,7
 tite liue,7
 neantmoins ,7
  confeil,7
parlement paris ,7
priué  ,7
affaires  estat,7
cour  ,7
ordinaire  ,7
lieu  ,7
  eftoient,7
 officier ,7
 celuy ,7
  voir,7
  loy,7
quelqu  ,7
  cas,7
  quand,7
  entend,7
mort  ,7
magistrat  ,7
 faire ,7
paffer outre ,7
 non feulement,7
 collegues ,7
estat populaire ,6
 auf ,6
 angleterre ,6
aduis senat ,6
 nat ,6
temps  ,6
 bien fouuent,6
  officiers,6
grecs  ,6
 moins ,6
 priuileges ,6
priuileges  ,6
 ex ,6
 là ,6
charge publique ,6
  permis,6
 ains feulement,6
voix deliberatiue ,6
