token_,count
  ,303
 estat ,49
 empire ,45
  estat,32
roy  ,22
 empereur ,21
 estat populaire,20
estat populaire ,17
 an ,16
peuple  ,14
puissance  ,14
 com ,12
estat  ,12
 honneur ,12
  autant,11
  empereur,11
sujets  ,11
 bien ,11
princes  ,11
an  ,11
 ariftocratie ,10
populaire  ,10
prince  ,10
 vertu ,10
souveraineté  ,10
prince souverain ,9
ariftocratique  ,9
  rien,9
  villes,9
roys  ,9
  neantmoins,9
  moins,9
  non,9
biens  ,9
 biens ,9
gens bien ,9
  toutesfois,9
 republique ,8
 populaire ,8
feigneurs  ,8
  republique,8
senat  ,8
 combien ,8
villes imperiales ,8
mort  ,8
 ment ,8
 princes ,8
republiques  ,7
 ariftote ,7
 quel ,7
feigneurie  ,7
 peuple ,7
 feigneurs ,7
  senat,7
 prince ,7
 moins ,7
vie  ,7
 mort ,7
  dire,7
honneur  ,7
efclaues  ,7
  pourquoy,7
 villes imperiales,7
foy  ,7
empire  ,7
citoyens  ,7
  faut,6
corps  ,6
monarchie  ,6
riches  ,6
loix  ,6
 nes ,6
 ap ,6
royal  ,6
 roy ,6
  faire,6
 senat ,6
 veu ,6
  empire,6
 puissance ,6
 angleterre ,6
 quoy ,6
 moindre partie,6
menu peuple ,6
puissance souveraine ,6
  princes,6
estats  ,6
loix nature ,6
perfonnes  ,6
  biens,6
  depuis,6
 vie ,6
 fort ,6
 p ,6
dieu  ,6
 almaigne ,6
 afin ,6
 icelle ,5
estat ariftocratique ,5
  trois,5
trois  ,5
  plusieurs,5
 riches ,5
affaires  estat,5
 peu ,5
 estat fera,5
 roys ,5
  contraire,5
  roy,5
  eftoyent,5
  combien,5
cy dessus ,5
grand confeil ,5
magistrats  ,5
iuftice  ,5
 fieft ,5
voix  ,5
dire  ,5
 attendu ,5
 hommage ,5
 non ,5
  donne,5
loy  ,5
paix  ,5
  celuy,5
 accord ,5
moins  ,5
hommes  ,5
bon  ,5
 offices ,5
donne estats ,5
 nobles ,5
  iufte,5
 neantmoins ,5
 at ,5
  vertueux,5
chef  ,5
quel  empereur,5
  offices,5
  tyran,5
bien  ,5
iufte roy ,5
fort  ,5
  vertu,5
 tyrannie ,5
  honneur,5
voye iuftice ,5
sujets  empire,5
fortes republiques ,4
moindre partie peuple,4
second  ,4
 estat ariftocratique,4
 voir ,4
 gens bien,4
 con ,4
  ariftote,4
romains  ,4
part souveraineté ,4
officiers  ,4
  peuple,4
  feigneurs,4
  peu,4
  nes,4
ariftocratie  ,4
  cinq,4
 plutarque ,4
populaires  ,4
 prince souverain,4
 femble ,4
 estat royal,4
estat royal ,4
ans  ,4
 platon ,4
lieu  ,4
 aduis ,4
 voit ,4
moindres magistrats ,4
 où ,4
 oit ,4
cy deffus ,4
quelconque  ,4
 depuis ,4
  puissance,4
forte  ,4
 femmes ,4
femmes  ,4
  cust,4
  enfans,4
 enfans ,4
enfans  ,4
premier  ,4
nobleffe  ,4
 dire ,4
 fçauoir ,4
 droit ,4
p  ,4
 plusieurs ,4
 empire romain,4
qualité  ,4
 autrement ,4
monarchie feigneuriale ,4
offices  ,4
 perfonnes ,4
 là ,4
 celuy ,4
liberté  ,4
 afie ,4
 foy ,4
force  ,4
  appellent,4
royale  ,4
 loy ,4
  ans,4
 foit ,4
  at,4
droit fucceffif ,4
 monftré cy,4
monftré cy dessus,4
  dix,4
  hommage,4
  bien,4
 tyran ,4
 euft ,4
ty  ran,4
 iufte roy,4
 vertueux ,4
  com,4
vertu  ,4
 alors ,4
  magistrats,4
tyran  ,4
cas  ,4
  eftoient,4
 sujet ,4
prince fouucrain ,4
moindre partie citoyens,4
  prefque,4
mil citoyens ,4
familles  ,4
anciennes familles ,4
 té ,4
 pu ,3
 chap ,3
partie peuple ,3
  cas,3
trois estats ,3
 ari ,3
 polybe ,3
 toutesfois ,3
 quatre cens,3
 faut donc,3
 erreur ,3
 ariftocratique ,3
  populaire,3
 difant ,3
  ordonnances,3
trois republiques ,3
ville  ,3
 officiers ,3
 efpargne ,3
  feroit,3
neantmoins  ,3
  auroit,3
impoffible  ,3
loy sujets ,3
faire loy ,3
donner loy ,3
 particulier ,3
 estat lacedemoniens,3
  roys,3
republiques populaires ,3
 villes ,3
 contraire ,3
 forme ,3
villes  ,3
 bles ,3
indiuis  ,3
 athenes ,3
  pouuoir,3
  quelquesfois,3
souverains  ,3
  iufques,3
 lifons ,3
pouuoir commander ,3
 lieu ,3
 ad ,3
  fust,3
  plaift,3
 colleges ,3
fieft  ,3
 nom ,3
 effe ,3
arifto  cratique,3
 pulaires ,3
particulier  ,3
 second ,3
fortes  ,3
 beaucoup moins,3
 forte ,3
 tres ,3
 liure ,3
faire  ,3
 publique ,3
publique  ,3
 ainsau contraire,3
  quarante,3
 quand ,3
 ains ,3
general  ,3
commander  ,3
 fin ,3
  part,3
 nobleffe ,3
  elles,3
part  estat,3
  premier,3
 if ,3
empereurs romains ,3
capitaines chef ,3
  droit,3
matiere  estat,3
  cul,3
perfonne  ,3
frere  ,3
 orient ,3
 edits ,3
  f,3
  euft,3
  appelloit,3
republique populaire ,3
  monarchie,3
gouuerné populairement ,3
  benefices,3
 gouuer ,3
 pro ,3
 monarchie feigneuriale,3
 legitime ,3
 opinion ,3
temps heroïques ,3
 feruir ,3
  prince,3
  monarque,3
afie  ,3
 homage ,3
ennemis  ,3
 force ,3
monarque feigneurial ,3
 voleur ,3
  force,3
 ble ,3
  lon,3
monarchie royale ,3
 vertueux prince,3
vertueux prince ,3
doux  ,3
 vou ,3
vices  ,3
  fera,3
  craint,3
part  ,3
france  ,3
 fez ,3
roy  angleterre,3
 pourueu ,3
plutarque  ,3
 auoyent ,3
  tenir,3
  efcriture,3
 hiftoriens ,3
 latins ,3
 cela ,3
pareil  ,3
 eftar ,3
  cela,3
 grand ,3
 couronne ,3
 souveraineté ,3
 cas pareil,3
roy dannemarc ,3
mot tyran ,3
 impofts ,3
euft  ,3
 ran ,3
nobles  ,3
  ayt,3
public  ,3
 em ,3
 donne estats,3
 hon ,3
hon  neur,3
tyrans  ,3
  ncantmoins,3
  auoyent,3
 adorer ,3
 prin ,3
 crainte ,3
  an,3
 eleétion ,3
 loy valeria,3
loy valeria ,3
  loy,3
  raifon,3
gentils  hommes,3
 auons monftré,3
  quel,3
toute puissance ,3
 có ,3
 peine ,3
 homme bien,3
ment  ,3
 eurs ,3
partie citoyens ,3
grand conseil ,3
  quatre,3
 luques ,3
luques  ,3
 nuremberg ,3
  outre,3
estat  almaigne,3
tiers voix ,3
an  p,3
estats  empire,3
 ariftocratic ,3
fera populaire ,3
nobles  riches,3
  efté,2
forme  ,2
vs  ,2
  pu,2
  ge,2
 neté ,2
  droits,2
 marques ,2
peuple part ,2
 fage ,2
 plu ,2
monarchies  ,2
 cas pa,2
 chofe ,2
 trois estats,2
  democratie,2
 democratie ,2
 monarchie ,2
fou  ucraineté,2
refte peuple ,2
peuple  foit,2
 dé ,2
quatrieme meflee trois,2
meflee trois ,2
forme republique ,2
 fept ,2
trois premieres ,2
 halycarnas ,2
ciceron  ,2
herodote  ,2
  mis,2
  ena,2
  erreur,2
 exemples ,2
 romains ,2
