token_,count
trois hautes planettes,10
monstré cy dessus,6
sept cens ans,5
mil trois cens,5
mil cinq cens,4
creation monde iufques,4
grand dieu nature,4
foy bien souvent,3
cinq mil cinq,3
bien petit nombre,3
neuf cens mil,2
cens cinquante ans,2
aduient souvent estats,2
souvent estats populaires,2
estat populaire monarchie,2
deuantle peuple romain,2
estat populaire ariftocratie,2
ariftocratie estat populaire,2
guerre civile entre,2
aduient guerre civile,2
depuis trois cens,2
remarqué cy dessus,2
confeffe merueilleux effects,2
puissance dieu monstre,2
dieu monstre ad,2
beaucoup moins effects,2
fembloit parfaite plusieurs,2
eftant refolu parles,2
refolu parles difcours,2
parles difcours secundus,2
difcours secundus philofophe,2
quiluy meit deuátles,2
atribue pasla ruine,2
defquelles copernic monstré,2
recherches fontappuyees vnehy,2
soleil eftoitau signe,2
opinion iulius maternus,2
cy mefpris fix,2
tousles animaux aage,2
animaux aage parfait,2
an commence où,2
commence où finift,2
clure soleil eftoiten,2
soleil eftoiten libure,2
laloy dieu porte,2
mois abib deflors,2
eftle moys mars,2
difficulté entre hebrieux,2
nu mois septembre,2
mois septembre pourle,2
septembre pourle premier,2
apparence iuger changemens,2
come plusieurs maifons,2
plusieurs maifons deuant,2
maifons deuant getter,2
deuant getter fondemens,2
elles nc foiét,2
nc foiét bruflees,2
faut prendre garde,2
caril veut dire,2
veut dire maifons,2
eftofes eftoyent eftimees,2
eftoyent eftimees plusieurs,2
eftimees plusieurs aages,2
coufté cent escusàbaftir,2
quarante ans eftant,2
ans eftant bruflee,2
mme ille voir,2
ille voir vitruue,2
appelle murailles detuille,2
murailles detuille cuite,2
detuille cuite feu,2
cuite feu pa,2
vnc absurdité grande,2
antimachus lyrius efcrit,2
diuersaccidensaduenus sept cens,2
áneetroifiefme fixiefme olym,2
peu deuanttrois heuresapres,2
deuanttrois heuresapres midy,2
loin peuple belliqueux,2
peuple belliqueux monde,2
caril met venus,2
met venus oppofiteau,2
venus oppofiteau soleil,2
chofe incopatible na,2
arepris caufe iulius,2
caufe iulius maternus,2
mercureloing soleil detrois,2
soleil detrois lignes,2
abfurdité grande thefme,2
grande thefme tarnu,2
met foleil taureau,2
chofe encore ridicule,2
veu auons monstré,2
souvent villes efté,2
villes efté rafees,2
mefmesil differend celuy,2
differend celuy rome,2
celuy rome thefme,2
rome thefme cri,2
arrefteray donc pointà,2
donc pointà telles,2
moins encoresau dire,2
encoresau dire cardan,2
fouftient derniere cftoille,2
caufé tousles grands,2
tousles grands empires,2
veut cíbloüirles yeux,2
cíbloüirles yeux ceu,2
getter dire parvneabfurdité,2
mouuement eftoilles fixes,2
quela fondation derome,2
fondation derome eftau,2
derome eftau xx,2
eftant meridien rome,2
sen failloit quatre,2
failloit quatre fignes,2
quatre fignes entiers,2
mil cinq cés,2
cinq cés ans,2
empire fust cranfla,2
horofcope ville conftätinople,2
trouuéenla librairie papeau,2
librairie papeau vatican,2
papeau vatican lettres,2
vatican lettres grecques,2
euefque lucas gauric,2
lune cinquiefme lyon,2
cueur ciel verfean,2
heures foleil leuät,2
trouue vnautre extrait,2
vnautre extrait varicä,2
ansapres iefus chrift,2
cinq césau parauát,2
césau parauát iefus,2
lors eftablirentle royaume,2
eftablirentle royaume thrace,2
dura royaume eftabli,2
royaume eftabli gaulois,2
eftabli gaulois iufquesau,2
gaulois iufquesau temps,2
iufquesau temps clyarus,2
depuis prife paufanias,2
trois ans entiers,2
rafa fond comble,2
donnant territoire perin,2
forcee galien empereur,2
orient continuerent iufques,2
conduite baudouin comte,2
baudouin comte flandres,2
ottroyer empires monde,2
ellea cfté verticale,2
nó feulemét verticale,2
feulemét verticale lesoleil,2
verticale lesoleil eftantau,2
lesoleil eftantau midy,2
eftantau midy mois,2
atitude douze degrez,2
douze degrez moins,2
cefte cftoile là,2
voitle iourau trauers,2
lesautres parle menu,2
efté reputatio dauoir,2
reputatio dauoir mieux,2
dauoir mieux entédu,2
mieux entédu lesiugemés,2
lonctions cardinal remarquez,2
cardinal remarquez depuis,2
remarquez depuis cent,2
quinzeansapres creation monde,2
repvbliq ve lxxxv,2
cela tire foy,2
quelque chofe foit,2
chofe foit faut,2
foit faut fuiure,2
faut fuiure cardinal,2
prend racine grandes,2
racine grandes conionétions,2
grandes conionétions temps,2
conionétions temps creation,2
temps creation monde,2
sept mil cent,2
mil cent cinquante,2
porte cinq mil,2
come celuy moyé,2
celuy moyé entre,2
moyé entre iofeph,2
tion trois hautes,2
an creation cccxx,2
dire douze césans,2
douze césans deuant,2
césans deuant mó,2
monde premier degré,2
lune troifiefme tau,2
quife trouuera toutfaux,2
continuer iufques comencemét,2
iufques comencemét mode,2
tenant côte hebrieux,2
mil neuf cés,2
degré neuficfme belier,2
mars fcioindrontau premier,2
finon neuf cens,2
neuf cens cinquante,2
tire retrogradant ans,2
quandvne grande côionction,2
trouuera quafi femblables,2
annee creation fust,2
creation fust cinq,2
fust cinq mil,2
eftceluy dephilon hebrieu,2
tirat neuf cens,2
iour quatre fois,2
lors deluge monde,2
deluge monde aduint,2
alors quetousles aftrologues,2
cés quaräte ans,2
toutesfoisila bien ofé,2
bien ofé efcrire,2
fiusà aftrologue caldean,2
quiluy conseilloit combattre,2
conseilloit combattre parthes,2
iufques lune euft,2
lune euft pañlé,2
euft pañlé scorpio,2
armec romainsauoit efté,2
romainsauoit efté defaite,2
efté defaite pleine,2
defaite pleine caldee,2
opinion cardan veritable,2
parles anciens natiôs,2
homes septentrion beaux,2
ayansles yeux verds,2
crefpus ayansles yeux,2
voit quatre cinq,2
quatre cinq ans,2
cinq ans deuant,2
ans deuant changement,2
alors arabes publiant,2
arabes publiant do,2
aauffi bien effects,2
plusieurs chágemés princes,2
sujets cotre princes,2
zadamach roy rartares,2
roy rartares chaflé,2
rartares chaflé parles,2
chaflé parles fiés,2
hongrie matthieu corbin,2
matthieu corbin roy,2
corbin roy cfleu,2
roy cfleu fils,2
cfleu fils fimple,2
fils fimple capitaine,2
roy france affiegé,2
france affiegé sujets,2
extremité perdre estat,2
mefmemét siladuiét mars,2
téps voit europeles,2
voit europeles guer,2
mort violente quatre,2
quelapresauoir tué quatre,2
tué quatre empereurs,2
arracha fuperftition payéne,2
temps toüs princes,2
toüs princes liguez,2
princes liguez contre,2
liguez contre roy,2
contre roy defrance,2
almaignearmez contre seigneurs,2
où tué cét,2
tué cét mil,2
cét mil hom,2
armee turcs contre,2
turcs contre chreftiés,2
firent plusieurs lieux,2
