token_,count
  ,2026
 an ,128
 empire ,93
 empereur ,80
an  ,63
 autruy ,55
 premier ,48
  empereur,47
 roy ,43
france  ,43
 honneur ,41
 angleterre ,41
 p ,40
  autant,38
prince souverain ,38
 prince ,37
sujets  ,36
roy france ,35
 republique ,34
 hommage ,33
p  ,32
romains  ,32
  roy,31
roy  ,31
  republique,30
  neantmoins,30
  rien,30
  depuis,30
  prince,30
  pourquoy,29
  euft,29
  an,29
premier  ,29
 estat ,28
puissance  ,28
princes  ,28
pape  ,28
 com ,27
prince  ,27
foy  hommage,27
 puissance ,26
  premier,26
enfans  ,26
peuple  ,26
  puissance,25
an  p,25
roy  angleterre,25
 combien ,24
  auoyent,24
 peuple ,24
part  ,23
  moins,23
foy  ,23
  sujets,23
 loy ,23
  peuple,22
empire  ,22
empereur charle ,22
empereur  ,21
 quoy ,21
 veu ,21
 forte ,21
 empereur charle,21
republique  ,20
 princes ,20
particulier  ,20
 efclaue ,20
 sujets ,19
autruy  ,19
  non,19
 prince souverain,19
 droit ,18
 bien ,18
 enfans ,18
 fil ,18
royaume  ,18
honneur  ,18
souverain  ,18
 arragon ,18
  faut,17
  bien,17
 alliance ,17
 particulier ,17
  faire,17
 autant ,17
loix  ,17
 fieft ,17
 con ,17
 tion ,17
  celuy,17
 celuy ,17
 pape ,17
angleterre  ,17
pays  ,17
souveraineté  ,17
  dire,16
 non ,16
 faire ,16
 attendu ,16
paix  ,16
 souveraineté ,16
  hommage,16
  toutesfois,15
 toutesfois ,15
 vray ,15
vie  ,15
 roy france,15
 afin ,15
 efpaigne ,15
  souveraineté,15
charle  ,15
 cela ,14
  princes,14
 couftumes ,14
dieu  ,14
 ment ,14
 quand ,14
efclaues  ,14
 cité ,14
 foit ,14
 em ,14
 ordonnances ,14
loy  ,14
mort  ,14
  honneur,14
droit  ,14
 contre ,14
 italie ,14
villes  ,14
 souverain ,14
roys france ,14
 charle ,14
 pourueu ,13
  quoy,13
 part ,13
  quand,13
  plusieurs,13
ville  ,13
 dire ,13
 alliez ,13
pere  mere,13
 depuis ,13
 iufques ,13
  eftoyent,13
 faut ,12
 moins ,12
bien  ,12
 force ,12
corps  ,12
eftrangers  ,12
  fust,12
 ville ,12
 sil ,12
  empire,12
  estat,12
magistrats  ,12
vie  mort,12
 mort ,12
 neantmoins ,12
pere  ,12
  loy,12
vns  ,12
 té ,12
 athenes ,12
 argent ,12
 parce ,12
roy françois ,12
alliance  ,12
 non feulement,11
 autrement ,11
 vie ,11
 loix ,11
faire  ,11
cité  ,11
 femme ,11
 res ,11
general  ,11
 cas pareil,11
 royaume ,11
 quel ,11
mari  ,11
peuples  ,11
  quel,11
forte  ,11
  combien,11
