token_,count
  ,542
 an ,25
 honneur ,23
 estat ,21
  neantmoins,21
 afrique ,20
 bien ,18
bien  ,18
 estat populaire,17
  autant,17
 cinquiesme ,15
  moins,15
  estat,14
peuple  ,13
  pourquoy,13
  peuples,13
 autruy ,13
  empereur,12
cinquiesme  ,12
 foit ,12
sujets  ,12
 ordre ,12
estat populaire ,11
  non,11
  rien,11
  bien,11
 quoy ,11
france  ,11
armes  ,11
afrique  ,10
 italie ,10
paix  ,10
ennemis  ,10
 autant ,10
populaire  ,10
princes  ,10
  peuple,9
 veu ,9
 orient ,9
  peu,9
 empereur ,9
an  ,9
dieu  ,9
 argent ,9
ville  ,9
 loix ,8
peuples septentrion ,8
septentrion  ,8
 midy ,8
 peuples septentrion,8
force  ,8
peuple meridional ,8
 empire ,8
guerre  ,8
  euft,8
vns  ,8
 com ,8
republique  ,8
 p ,8
 ennemy ,8
 ennemi ,8
hommes  ,7
 romains ,7
romains  ,7
republiques  ,7
 peuples ,7
corps  ,7
  iamais,7
 efpaigne ,7
  afrique,7
 almans ,7
 combien ,7
 non feulement,7
  eftoyent,7
estats  ,7
  republique,7
guerres ciuiles ,7
  p,7
loy dieu ,7
 offices ,7
 pays ,6
 con ,6
pays  ,6
orient  ,6
 occident ,6
 peu ,6
  faut,6
 tacite ,6
leon  afrique,6
dire  ,6
grece  ,6
 ans ,6
peuples midy ,6
almans  ,6
 neantmoins ,6
 aufli ,6
 roy ,6
  prince,6
prince  ,6
  foit,6
  contraire,6
  entre,6
 contraire ,6
 iuftice ,6
 voit ,6
 moins ,6
 angleterre ,6
 em ,6
  an,6
 eglife ,6
  cinquiesme,6
biens  ,6
  loyers,6
monarchie  ,6
  honneur,6
honneur  ,6
 forte ,5
 egypte ,5
meridional  ,5
 fieft ,5
fieft  ,5
  plusieurs,5
 hommes ,5
  appelle,5
  veu,5
  euffent,5
  italie,5
 có ,5
françois  ,5
 euft ,5
ans  ,5
 vray ,5
meurs  ,5
grande  ,5
 france ,5
  quoy,5
  faire,5
 mef ,5
empereur  ,5
 cy ,5
  moyen,5
 moyen ,5
 quin ,5
 bien certain,5
froid  ,5
  combien,5
 ac ,5
cens ans ,5
contraire  ,5
vertu  ,5
 mal ,5
  mal,5
autant  ,5
  celuy,5
empire  ,5
 peu peu,5
 enfans ,5
 villes ,5
  argent,5
debtes  ,5
menu peuple ,5
 estats ,5
  sujets,5
 empereur charle,5
 mourir ,5
 estat ariftocratique,5
estat ariftocratique ,5
royaume  ,5
gens bien ,5
  princes,5
roy france ,5
 vertu ,5
ordre  ,5
 armes ,5
 sujets ,5
liures  ,5
fortifier villes ,5
villes  ,5
places fortes ,5
murailles  ,5
 art militaire,5
 fin ,4
garde  ,4
 ville ,4
 f ,4
flateurs  ,4
  cy,4
 quel ,4
 plutarque ,4
 faut donc,4
 iceluy ,4
  naturel,4
  midy,4
  nature,4
peuples  ,4
 force ,4
pays meridional ,4
bien dire ,4
 come ,4
 per ,4
efpaigne  ,4
italie  ,4
 lors ,4
vaincus  ,4
 chafteaux ,4
  depuis,4
 europe ,4
  prefque,4
aller guerre ,4
 maisil ,4
 toft ,4
gaulois  ,4
 bien fort,4
 ad ,4
  experience,4
vertueux  ,4
là  ,4
 afin ,4
 parle moyen,4
raifon  ,4
 tions ,4
  almans,4
  anciens,4
 garde ,4
roys  ,4
 foyent ,4
roy  ,4
 prince ,4
aufli  ,4
 condamné ,4
  toutesfois,4
 toutesfois ,4
 tres ,4
couftumes  ,4
 xx ,4
 tite liue,4
femmes  ,4
 mil ,4
 dic ,4
veu  ,4
