token_,count
  ,9
loix  ,3
 moins ,2
ruine republiques ,2
 depuis ,2
 estat ,2
republiques  ,2
 iour ,2
vertueux princes ,2
an lise ,1
lise  pm,1
 pm ,1
pm  sat,1
 sat æ,1
sat æ ,1
æ  ,1
  ft,1
 ft ,1
ft  ,1
  p,1
 p ,1
p  pretage,1
 pretage uantrien,1
pretage uantrien mieux,1
uantrien mieux ,1
mieux  entrepris,1
 entrepris discours,1
entrepris discours republique,1
discours republique ,1
republique  langue,1
 langue populaire,1
langue populaire ,1
populaire  ,1
  fources,1
 fources langue,1
fources langue latine,1
langue latine ,1
latine  ,1
  tartes,1
 tartes ,1
tartes  feicheront,1
 feicheront fila,1
feicheront fila barbarie,1
fila barbarie caufce,1
barbarie caufce guerres,1
caufce guerres ciuiles,1
guerres ciuiles continue,1
ciuiles continue estre,1
continue estre mieux,1
estre mieux ,1
mieux  tendu,1
 tendu françois,1
tendu françois naturels,1
françois naturels ,1
naturels  dy,1
 dy desir,1
dy desir ,1
desir  ex,1
 ex vouloir,1
ex vouloir perpetuel,1
vouloir perpetuel voir,1
perpetuel voir ,1
voir  estat,1
 estat royaume,1
estat royaume premiere,1
royaume premiere ,1
premiere  p,1
 p endeur,1
p endeur fleurissant,1
endeur fleurissant armes,1
fleurissant armes loix,1
armes loix ,1
  efl,1
 efl afr,1
efl afr ,1
afr  ent,1
 ent onques,1
ent onques ,1
onques  ct,1
 ct ,1
ct  iamais,1
 iamais republique,1
iamais republique ff,1
republique ff excelléte,1
ff excelléte beauté,1
excelléte beauté vicilliffe,1
beauté vicilliffe ,1
vicilliffe  commesujette,1
 commesujette torrét,1
commesujette torrét nature,1
torrét nature fluide,1
nature fluide ,1
fluide  ramif,1
 ramif ,1
ramif  cho,1
 cho ,1
cho  ,1
  moins,1
moins  face,1
 face forte,1
face forte changement,1
forte changement doux,1
changement doux ,1
doux  naturel,1
 naturel sf,1
naturel sf ,1
sf  faire,1
 faire gr,1
faire gr non,1
gr non violent,1
non violent fanglant,1
violent fanglant ,1
fanglant  ,1
  points,1
 points traiclé,1
points traiclé ceft,1
traiclé ceft oeuvre,1
ceft oeuvre ,1
oeuvre  ,1
  mengant,1
 mengant famille,1
mengant famille ,1
famille  ,1
  continuant,1
 continuant ordre,1
continuant ordre ,1
ordre  ouueraineté,1
 ouueraineté ,1
ouueraineté  difcourant,1
 difcourant membre,1
difcourant membre republique,1
membre republique ,1
republique  ,1
  çauoir,1
 çauoir prince,1
çauoir prince souverain,1
prince souverain fortes,1
souverain fortes republiques,1
fortes republiques ,1
republiques  senat,1
 senat officiers,1
senat officiers ,1
officiers  magistrats,1
 magistrats corps,1
magistrats corps ,1
corps  colleges,1
 colleges estats,1
colleges estats ,1
estats  comimunantez,1
 comimunantez puissance,1
comimunantez puissance ,1
puissance  debuoir,1
 debuoir ,1
debuoir  ,1
  remarqué,1
 remarqué ,1
remarqué  origine,1
 origine ,1
origine  accroiffement,1
 accroiffement ,1
accroiffement  effat,1
 effat fleurissant,1
effat fleurissant chan,1
fleurissant chan ement,1
chan ement decadéce,1
ement decadéce ,1
decadéce  ruine,1
 ruine republiques,1
republiques  plusieurs,1
 plusieurs questions,1
plusieurs questions politiques,1
questions politiques ,1
politiques  femblent,1
 femblent ,1
femblent  nece,1
 nece ,1
nece  jaires,1
 jaires ,1
jaires  eflre,1
 eflre bien,1
eflre bien entendues,1
bien entendues ,1
entendues  conclusion,1
 conclusion ,1
conclusion  œuure,1
 œuure ,1
œuure  f,1
 f touché,1
f touché iu,1
touché iu ,1
iu  lice,1
 lice diflributiue,1
lice diflributiue ,1
diflributiue  commutatiue,1
 commutatiue ,1
commutatiue  ,1
  bar,1
 bar ,1
bar  moniquemonftrant,1
 moniquemonftrant trois,1
moniquemonftrant trois efl,1
trois efl propre,1
efl propre ,1
propre  estat,1
 estat bien,1
estat bien ordonné,1
bien ordonné ,1
ordonné  quoy,1
 quoy ,1
quoy  ,1
  femblera,1
 femblera ,1
femblera  uis,1
 uis trop,1
uis trop long,1
trop long cherchent,1
long cherchent bricueté,1
cherchent bricueté ,1
bricueté  gr,1
 gr an,1
gr an ,1
an  tresyme,1
 tresyme trouveront,1
tresyme trouveront trop,1
trouveront trop court,1
trop court ,1
court  ,1
  oeuvre,1
 oeuvre peult,1
oeuvre peult estre,1
peult estre fr,1
estre fr grand,1
fr grand ,1
grand  foit,1
 foit fort,1
foit fort petit,1
fort petit dignité,1
petit dignité sujet,1
dignité sujet ,1
sujet  presque,1
 presque infinie,1
presque infinie neantmoins,1
infinie neantmoins entre,1
neantmoins entre million,1
entre million ,1
million  aures,1
 aures voyons,1
aures voyons clences,1
voyons clences peine,1
clences peine ,1
peine  sen,1
 sen troune,1
sen troune trois,1
troune trois quatre,1
trois quatre republique,1
quatre republique ,1
republique  fois,1
 fois eff,1
fois eff princef,1
eff princef ,1
princef  detoutes,1
 detoutes sciences,1
detoutes sciences ,1
sciences  platon,1
 platon ari,1
platon ari ,1
ari  flote,1
 flote tranché,1
flote tranché court,1
tranché court difcours,1
court difcours politiques,1
difcours politiques ,1
politiques  qué,1
 qué plustost,1
qué plustost laissé,1
plustost laissé appetit,1
laissé appetit ,1
appetit  queraflafié,1
 queraflafié leux,1
queraflafié leux ,1
leux  joint,1
 joint aussi,1
joint aussi ,1
aussi  experience,1
 experience depuis,1
experience depuis mil,1
depuis mil ans,1
mil ans enuiron,1
ans enuiron efcript,1
enuiron efcript cognoisire,1
efcript cognoisire doigt,1
cognoisire doigt ,1
doigt  ,1
  œil,1
 œil science,1
œil science poli,1
science poli ,1
poli  tique,1
 tique efloit,1
