token_,count
,8723
estat,143
bien,129
roy,128
peuple,102
puissance,84
prince,82
republique,80
faire,62
empire,62
sujets,59
princes,59
estats,57
populaire,57
foit,56
roys,55
tyran,53
empereur,53
trois,45
monarchie,44
mort,42
celuy,42
souveraineté,41
senat,40
grand,39
dire,39
republiques,38
contre,37
vie,37
moins,36
biens,36
non,33
mil,32
part,31
magistrats,31
ains,30
quand,29
loy,29
ariftocratique,28
peu,28
souverain,27
plusieurs,27
rien,27
feigneurs,27
force,27
citoyens,27
dieu,27
fort,26
dix,25
fouuent,25
neantmoins,24
cy,24
royaume,24
forme,23
combien,23
toutesfois,23
confeil,23
monarque,23
an,23
villes,23
honneur,23
partie,22
vray,22
droit,22
autant,21
quel,21
ans,21
contraire,21
loix,21
vertu,21
où,21
là,21
nom,21
entre,21
faut,20
cas,20
riches,20
guerre,20
quelque,20
fust,20
perfonne,20
p,19
opinion,19
ariftote,19
romains,19
foy,19
moyen,19
fera,19
veu,19
depuis,19
forte,19
cela,19
toute,18
particulier,18
cens,18
royal,18
voix,18
iufques,18
premier,18
celte,18
lieu,18
feulement,18
iuftice,18
hommes,18
nobles,18
come,17
quatre,17
eftoyent,17
euft,17
ville,17
cinq,17
tyrannie,17
iamais,17
efté,16
fortes,16
moindre,16
donc,16
ariftocratie,16
temps,16
premiere,16
feigneurie,16
pouuoir,16
tousjours,16
nombre,16
nobleffe,16
auoient,16
chef,16
tyrans,16
fils,16
marques,15
maiefté,15
feroit,15
qualité,15
gens,15
celle,15
quoy,15
com,15
duc,15
souveraine,15
aufli,15
chofe,14
con,14
parles,14
anciennes,14
officiers,14
populaires,14
enfans,14
sujet,14
fouucrain,14
mot,14
pere,14
cefte,13
sil,13
auons,13
nature,13
mis,13
lacedemoniens,13
royale,13
és,13
affaires,13
lequel,13
appeller,13
almaigne,13
bon,13
pays,13
difference,13
vertueux,13
efclaues,13
iufte,13
mourir,13
fept,12
grands,12
anciens,12
auroit,12
rome,12
quant,12
beaucoup,12
imperiales,12
feigneur,12
vns,12
empereurs,12
toft,12
pourquoy,12
voye,12
familles,12
tiennent,11
second,11
corps,11
outre,11
donne,11
ordonnances,11
auoyent,11
monftré,11
ment,11
aucun,11
foubs,11
dessus,11
perfonnes,11
veut,11
mieux,11
charge,11
quil,11
plufpart,11
eftoient,11
enuers,11
appelle,10
voir,10
platon,10
aduis,10
priué,10
certain,10
plutarque,10
feul,10
fix,10
iuges,10
venize,10
attendu,10
mettre,10
armes,10
difoit,10
autrement,10
alors,10
offices,10
peuples,10
liberté,10
caufe,10
tuer,10
licite,10
conseil,10
lignees,10
general,9
doit,9
tenir,9
pourle,9
bourgeois,9
menu,9
donner,9
furplus,9
nes,9
ariftocratiques,9
athenes,9
fin,9
fang,9
magistrat,9
tué,9
file,9
deuant,9
pouuoit,9
cent,9
queftion,9
paix,9
ic,9
prin,9
ennemis,9
foyent,9
france,9
liure,8
mots,8
bié,8
lesautres,8
ciceron,8
pris,8
vouloir,8
quine,8
