token_,count
,21985
roy,301
bien,238
estat,208
peuple,184
republique,150
faire,142
mil,136
foit,124
royaume,119
argent,109
entre,109
princes,107
trois,106
an,104
cens,102
prince,100
sujets,95
deniers,95
loy,91
faut,89
populaire,86
grand,85
ans,84
moins,84
peu,84
tousjours,83
quand,82
quatre,81
droit,77
iuftice,76
celuy,74
depuis,73
non,73
plusieurs,73
roys,72
quoy,70
liures,70
france,69
pays,68
fort,67
lieu,66
dix,66
neantmoins,65
dire,65
fust,65
cinq,64
estats,64
autant,63
puissance,63
loix,62
finances,60
moyen,60
biens,59
contre,59
fils,59
où,58
grands,58
proportion,58
cent,57
partie,57
domaine,57
beaucoup,57
fix,56
combien,56
és,55
temps,55
dieu,55
quelque,55
empereur,54
rien,54
douze,53
efcus,52
veu,51
là,51
ains,51
euft,50
mort,50
poids,50
sixiesme,49
monarchie,49
guerre,48
forte,48
chofe,47
toutesfois,46
grande,45
cas,45
hommes,45
charle,45
nombre,44
charges,44
premier,44
mieux,44
fols,44
vns,43
romains,43
p,43
grains,43
aifné,43
nobles,43
peine,42
cy,42
feroit,42
fera,42
feigneurs,42
toute,41
couronne,41
quel,41
quant,41
vie,41
enfans,41
angleterre,41
fouuent,41
forme,41
cela,40
iufques,40
marc,39
fois,39
feulement,39
voir,39
gens,39
pauures,39
aufli,39
fin,39
celte,38
efté,38
corps,38
prix,38
caufe,38
come,38
maifon,37
anciens,37
harmonique,36
magistrats,35
millions,35
empire,35
pourquoy,35
republiques,35
parce,35
vray,34
menu,34
mal,34
doibt,34
rome,33
geometrique,33
honneur,33
loüys,33
auoyent,32
parauant,32
public,32
riches,32
com,32
quela,32
peuples,31
particulier,31
voit,31
iuges,31
quia,31
foyent,31
iamais,31
fept,31
cuiure,31
eftant,31
monnoyes,31
difoit,30
chofes,30
foubs,30
ordonnances,29
senat,29
eftoyent,29
lequel,29
deuant,29
raifon,29
duc,29
magistrat,29
villes,28
cinquante,28
liure,28
outre,28
xx,28
peines,28
homme,28
dons,28
monnoye,28
nobleffe,28
veut,28
frere,28
charge,27
ordonnance,27
laloy,27
profit,27
royne,27
nature,27
femme,27
gouuernement,27
arithmetique,27
foixante,26
main,26
mis,26
sil,26
petit,26
pere,26
ariftocratique,26
roturiers,26
faifoit,25
parle,25
afin,25
celà,25
moindre,25
auons,24
qualité,24
onques,24
ment,24
alors,24
vertu,24
lors,24
huit,24
impofts,23
certain,23
attendu,23
elles,23
perfonnes,23
contraire,23
parles,23
officiers,23
foy,23
intereft,23
bié,23
philippe,23
almaigne,23
offices,23
file,23
forger,23
equalité,23
ancien,22
affaires,22
italie,22
nom,22
donc,22
fang,22
trouua,22
françois,22
guerres,22
aduis,22
monde,22
exemple,22
payer,22
populaires,22
firent,22
quelques,22
finon,22
valeur,22
femblable,22
pieces,22
chois,22
equité,22
faifant,21
cefte,21
cause,21
cenfeurs,21
toft,21
ville,21
armes,21
mettre,21
bon,21
trouue,21
pauure,21
hongrie,21
office,20
femble,20
affin,20
romain,20
perfonne,20
garde,20
fages,20
con,20
paix,20
part,20
impoft,20
argét,20
puifné,20
couftume,19
chacune,19
vouloir,19
auroit,19
pro,19
moitié,19
amende,19
efpaigne,19
pres,19
donner,19
aucun,19
celle,19
souveraineté,19
proche,19
lesautres,18
dequoy,18
tyrannie,18
feul,18
empereurs,18
voulu,18
ayt,18
athenes,18
ennemis,18
plufpart,18
abus,18
quelquesfois,18
premiere,18
force,18
efleu,18
matiere,18
chambre,18
feigneurie,18
peuuent,18
quafi,18
riche,18
maiftre,18
auquel,18
gros,18
filles,18
bons,18
citoyens,17
publiques,17
telle,17
denier,17
quarante,17
paris,17
prendre,17
jamais,17
nc,17
ja,17
sujet,17
parties,17
pur,17
comte,17
monarque,17
iugement,17
souveraine,17
enfemble,17
tre,16
em,16
venize,16
liberté,16
porté,16
eftoient,16
cftoit,16
prefent,16
tiers,16
efgard,16
paye,16
chose,16
pa,16
puiffe,16
naturelle,16
prefque,16
aucune,16
ble,16
danger,16
auoient,16
fuffent,16
efpargne,16
feize,16
caril,16
anglois,16
eftranger,16
roturier,16
feront,16
ruine,16
mari,16
neceffité,15
reuenu,15
mefmement,15
don,15
vnc,15
grece,15
faute,15
faifoyent,15
vingt,15
hors,15
feroyent,15
nes,15
pourueu,15
fucceffeur,15
fol,15
ciuiles,15
vraye,15
faux,15
duquel,15
marchans,15
mefchans,15
grandes,15
àl,15
opinion,15
vouloit,15
pape,15
trop,15
mains,15
commeil,15
befoin,15
lettres,15
henry,15
fit,15
partage,15
haut,15
charles,15
chef,15
meilleure,15
ariftocratie,15
tué,15
mere,15
noble,15
marie,15
nombres,15
monftrer,14
donné,14
ro,14
deflus,14
femmes,14
ordinaires,14
fçauoir,14
eftrangers,14
œil,14
faits,14
pouuoit,14
met,14
quine,14
particuliers,14
fer,14
conseil,14
vertueux,14
enuers,14
tenir,14
garder,14
quil,14
gardé,14
telles,14
difant,14
tel,14
fair,14
efcu,14
autrement,14
cés,14
