token_,count
,311
princes,9
mieux,6
faire,6
republiques,6
republique,5
estat,5
bien,5
depuis,5
affaires,5
estre,4
loix,4
moins,4
grand,4
fois,4
iustice,4
ex,3
royaume,3
efl,3
nature,3
non,3
fort,3
platon,3
monde,3
cr,3
cg,3
age,3
enuers,3
terre,3
quil,3
dieu,3
hommes,3
an,2
p,2
langue,2
populaire,2
naturels,2
dy,2
fleurissant,2
forte,2
gr,2
ceft,2
oeuvre,2
prince,2
fortes,2
magistrats,2
corps,2
puissance,2
ruine,2
politiques,2
œuure,2
trois,2
trop,2
court,2
foit,2
presque,2
neantmoins,2
entre,2
sciences,2
ans,2
rien,2
maniment,2
droit,2
public,2
là,2
renuerfer,2
macciauel,2
fin,2
ennemis,2
lequel,2
mis,2
religion,2
qut,2
ur,2
ance,2
sujets,2
romains,2
bons,2
liures,2
iour,2
vertueux,2
oit,2
tref,2
anges,2
ame,2
appetits,2
commander,2
cz,2
tyrannie,2
deuant,2
contraires,2
tel,2
lise,1
pm,1
sat,1
æ,1
ft,1
pretage,1
uantrien,1
entrepris,1
discours,1
fources,1
latine,1
tartes,1
feicheront,1
fila,1
barbarie,1
caufce,1
guerres,1
ciuiles,1
continue,1
tendu,1
françois,1
desir,1
vouloir,1
perpetuel,1
voir,1
premiere,1
endeur,1
armes,1
afr,1
ent,1
onques,1
ct,1
iamais,1
ff,1
excelléte,1
beauté,1
vicilliffe,1
commesujette,1
torrét,1
fluide,1
ramif,1
cho,1
face,1
changement,1
doux,1
naturel,1
sf,1
violent,1
fanglant,1
points,1
traiclé,1
mengant,1
famille,1
continuant,1
ordre,1
ouueraineté,1
difcourant,1
membre,1
çauoir,1
souverain,1
senat,1
officiers,1
colleges,1
estats,1
comimunantez,1
debuoir,1
remarqué,1
origine,1
accroiffement,1
effat,1
chan,1
ement,1
decadéce,1
plusieurs,1
questions,1
femblent,1
nece,1
jaires,1
eflre,1
entendues,1
conclusion,1
f,1
touché,1
iu,1
lice,1
diflributiue,1
commutatiue,1
bar,1
moniquemonftrant,1
propre,1
ordonné,1
quoy,1
femblera,1
uis,1
long,1
cherchent,1
bricueté,1
tresyme,1
trouveront,1
peult,1
fr,1
petit,1
dignité,1
sujet,1
infinie,1
million,1
aures,1
voyons,1
clences,1
peine,1
sen,1
troune,1
quatre,1
eff,1
princef,1
detoutes,1
ari,1
flote,1
tranché,1
difcours,1
qué,1
plustost,1
laissé,1
appetit,1
queraflafié,1
leux,1
joint,1
aussi,1
experience,1
mil,1
enuiron,1
efcript,1
cognoisire,1
doigt,1
œil,1
science,1
poli,1
tique,1
efloit,1
temps,1
cachee,1
tenebres,1
efpeffes,1
confesse,1
obscure,1
voyoit,1
ilyen,1
quel,1
ques,1
uns,1
entendu,1
eslat,1
appelloit,1
sages,1
cellence,1
plutarque,1
cript,1
veie,1
