token_,count
 ,2444
 pourquoy,65
animaux ,58
 elles,56
grand ,41
plantes ,39
 homme,38
 où,36
 fin,35
 fois,31
 combien,30
pourquoy ,29
nature ,29
 parce,26
 quand,26
hommes ,25
homme ,25
 animaux,24
 grand,24
ans ,24
 là,23
 ment,23
fois ,23
 toutesfois,22
 moins,22
 eau,22
vie ,20
 nature,20
 autant,20
terre ,19
fin ,19
 quelle,18
 cy,18
com ,18
 contraire,18
moins ,18
 lequel,18
fortes ,17
mer ,17
où vient,17
 an,16
elles ,16
 non,16
eau ,16
 finon,15
monde ,15
dire ,15
parce ,15
 veu,15
 chose,14
 foit,14
p ,14
an ,14
 force,14
 plantes,14
 pource,14
 lefquelles,14
autant ,14
vient ,14
 euft,14
 quelques,14
mois ,14
 th,13
th ,13
 lefquels,13
 fort,13
 plusieurs,13
 dire,13
 certes,13
ment ,13
 année,13
 voilà,13
my ,13
forte ,13
 cause,13
corps ,12
 f,12
tou ,12
 air,12
manger ,12
 celà,12
mv ,12
certes ,12
durée ,12
 ailleurs,12
force ,12
oifeaux ,12
 corps,11
ailleurs ,11
 arbre,11
arbres ,11
choses ,11
lieu ,11
 mv,11
 portent,11
là ,11
efcript ,11
 my,11
 autrement,11
parties ,10
con ,10
arbre ,10
 p,10
combien ,10
encor ,10
 efcript,10
chaleur ,10
 auantage,10
 efpeces,10
 com,10
 fortes,10
femelle ,10
 k,10
def ,10
 dont,10
vns ,10
racines ,9
 partie,9
 efté,9
be ,9
 abondance,9
 telle,9
froid ,9
longue durée,9
cy ,9
contraire ,9
rien ,9
veu ,9
 quels,9
femelles ,9
 void,9
chenilles ,9
 faut,9
 quant,9
cause ,9
petits ,9
femmes ,9
f ,8
 mr,8
pource ,8
nom ,8
 arbres,8
celà ,8
feu ,8
auantage ,8
peu ,8
 longue,8
 ans,8
 appelle,8
voilà pourquoy,8
grandeur ,8
grands ,8
chose ,8
 engendrent,8
chiens ,8
rats ,8
 rien,8
 eftant,8
os ,8
serpents ,8
faire ,8
efpeces ,8
 certain,8
 ariftote,8
ariftote ,8
chien ,8
chaftrez ,8
 femmes,8
 cefte,7
 quelles,7
 quel,7
plante ,7
mr ,7
tue ,7
 tou,7
toutesfois ,7
 engendre,7
 refte,7
 finallement,7
 vfage,7
plu ,7
femence ,7
 trois,7
 petite,7
celles ,7
pieds ,7
quand ,7
ap ,7
 quelque,7
mafles ,7
efté ,7
 defquelles,7
 faire,7
coquilles ,7
 femble,7
mouches ,7
 oifeaux,7
moyen ,7
infe ,7
 fuft,7
mort ,7
vi ,7
vray ,7
grand nombre,7
 feroit,7
dieu ,7
dents ,7
 chaleur,7
 femelles,7
for ,6
 cecy,6
 defquels,6
