token_,count
 ,82
nature ,9
ordre ,5
hypostase nature,5
forme ,5
 ordre,4
com ,4
plantes ,4
mouvement ,4
 foit,4
 forme,4
naturelles ,3
 com,3
 nature,3
generation ,3
animaux ,3
 mouvement,3
 lequel,3
 combien,3
combien ,3
 air,3
air ,3
physicien ,3
 faut,3
 quelle,3
cho ,3
matiere ,3
elements ,3
vie ,3
choses ,3
 lefquelles,3
causes ,3
 hystoire,3
 telle,2
telle ,2
 ment,2
ment ,2
 femble,2
femble ,2
 fin,2
ariftote ,2
 veu,2
veu ,2
 efforce,2
 expliquer,2
 ailleurs,2
allez ,2
 uent,2
 generation,2
parties ,2
 ame,2
ame ,2
 finalement,2
finalement ,2
 toutesfois,2
 corps,2
 chose,2
preceder doétrine,2
doiuent preceder,2
foit propre,2
propre physicien,2
 ble,2
mineraux ,2
 animaux,2
celeftes ,2
 excellent,2
 mis,2
 certes,2
 doncques,2
doncques ,2
choses fimples,2
 fimple,2
nature celle,2
celle ,2
 outre,2
forte ,2
 vie,2
fentiment ,2
 fçauoir,2
 infiny,2
infiny ,2
cecy ,2
premier principe,2
principe ,2
 causes,2
 mefine,2
mefine moyen,2
 finy,2
 fommes,2
grand ,2
choses naturelles,2
propo ,2
 auoyent,2
expliquez ,2
ei ,1
 dsdbnsia,1
dsdbnsia ,1
 qvi,1
qvi propose,1
propose contenv,1
contenv tovt,1
tovt cest,1
cest oevvre,1
oevvre ,1
 où,1
où ,1
 avvtevr,1
avvtevr ,1
 tement,1
tement confondent,1
confondent doctrine,1
doctrine ,1
 fembicnt,1
fembicnt rout,1
rout fembilablesà,1
fembilablesà ,1
 mettent,1
mettent monceau,1
monceau pelle,1
pelle mefle,1
mefle froment,1
froment ,1
 orge,1
orge ,1
 mouftarde,1
mouftarde ,1
 miller,1
miller ,1
 ris,1
ris ,1
 legumes,1
legumes ,1
 peuuent,1
peuuent faire,1
faire profit,1
profit ,1
 feparement,1
feparement ,1
 monceau,1
monceau ,1
 voire,1
voire ,1
 ayent,1
ayent traicté,1
traicté fort,1
fort fobtilement,1
fobtilement quelques,1
quelques questions,1
questions parmy,1
parmy tel,1
tel defordre,1
defordre ,1
 auiquelles,1
auiquelles choses,1
choses prenans,1
prenans garde,1
garde ,1
 fuis,1
fuis propofé,1
propofé commencement,1
commencement ceft,1
ceft œuure,1
œuure monftrer,1
monftrer quel,1
quel ordre,1
ordre ic,1
ic veux,1
veux tenir,1
tenir mien,1
mien discours,1
discours ,1
fin foyons,1
foyons contraintes,1
contraintes faire,1
faire ainh,1
ainh pluficurs,1
pluficurs ,1
 lcíquels,1
lcíquels traitent,1
traitent fubieét,1
fubieét enfcignant,1
enfcignant doit,1
doit apprendre,1
apprendre ,1
 pluftoit,1
pluftoit confondant,1
confondant noir,1
noir blanc,1
blanc ,1
 auqucl,1
auqucl vice,1
vice ariftote,1
 lité,1
lité glisser,1
glisser ,1
efforce phyfique,1
phyfique ,1
expliquer ,1
 methode,1
methode faut,1
faut fuiurc,1
fuiurc ,1
 eneignant,1
eneignant ,1
 question,1
question ,1
 appartient,1
appartient dialecticien,1
dialecticien ,1
 neant,1
neant moins,1
moins laiflée,1
laiflée inditloluc,1
inditloluc ,1
ailleurs iean,1
iean pi,1
pi ,1
 cus,1
cus prince,1
prince mirandolle,1
mirandolle monftre,1
monftre allez,1
 tient,1
tient queftions,1
queftions naturelles,1
 felon,1
felon reigle,1
reigle ,1
 analyfie,1
analyfie ,1
 pofitió,1
pofitió ,1
 cieux,1
cieux fuy,1
fuy ,1
uent hui,1
hui ,1
 cy,1
cy generation,1
 metcorcs,1
metcorcs ,1
 mine,1
mine ,1
 raux,1
raux ,1
 plantes,1
generation animaux,1
 parties,1
 progrez,1
progrez ,1
 appellez,1
appellez opuícules,1
opuícules nature,1
lequel ordre,1
foit appa,1
appa ,1
 rant,1
rant vericé,1
vericé ,1
 celuy,1
celuy ,1
 aristote,1
aristote ,1
femble im,1
im clé,1
clé mt,1
mt ct,1
ct ,1
 intention,1
intention ,1
toutesfois avoir,1
avoir cefte,1
cefte incommodité,1
incommodité ,1
 failloit,1
failloit ,1
 doctrine,1
doctrine cieux,1
cieux ,1
corps celcítes,1
celcítes ge,1
ge generation,1
 manifefte,1
manifefte ,1
chose com,1
 fée,1
fée doit,1
doit preceder,1
doétrine compofirion,1
compofirion ,1
 meteores,1
meteores ,1
 doiuent,1
doétrine mi,1
mi ,1
 neraux,1
neraux ,1
 entrailles,1
entrailles terre,1
terre ,1
 doétrine,1
doétrine mouucmens,1
mouucmens celeftes,1
celeftes appartient,1
appartient physicien,1
 rien,1
rien foit,1
foit aborrét,1
aborrét mathematicien,1
mathematicien ,1
 parler,1
parler choses,1
choses mobiles,1
mobiles ,1
 deuoit,1
deuoit ,1
 sinh,1
sinh mc,1
mc femble,1
 tranfpofe,1
tranfpofe ,1
 no,1
no ,1
ble fciencé,1
fciencé celle,1
celle cieux,1
cieux duant,1
duant ,1
 ftions,1
ftions plantes,1
 mineraux,1
faut consentement,1
consentement traiét,1
traiét ,1
 premierement,1
premierement choses,1
choses faciles,1
faciles ,1
 laif,1
laif ,1
 goes,1
goes finles,1
finles choses,1
choses difficiles,1
difficiles ,1
quelle chose,1
chose pourroit,1
pourroit trouuer,1
trouuer diffici,1
diffici ,1
expliquer doctrine,1
doctrine mouvements,1
mouvements celeftes,1
foit obfcure,1
obfcure entendre,1
entendre ,1
excellent fubie,1
fubie ,1
toutesfois tiftote,1
tiftote entrepris,1
entrepris ,1
 dire,1
dire quelque,1
quelque cho,1
mis beaucoup,1
beaucoup queftions,1
queftions auant,1
auant ,1
 lef,1
lef ,1
 quelles,1
quelles apaffées,1
apaffées quatre,1
quatre liuras,1
liuras ,1
 cider,1
cider ,1
certes ,1
 merueille,1
merueille ,1
 ies,1
ies mathematiciens,1
mathematiciens ,1
 enfeignent,1
enfeignent allez,1
 aiamais,1
aiamais fçeu,1
fçeu ,1
