token_,count
('', 'pourquoy'),65
('animaux', ''),58
('', 'elles'),56
('plantes', ''),39
('', 'homme'),38
('', 'où'),36
('', 'fin'),35
('', 'combien'),30
('', 'parce'),26
('', 'quand'),26
('hommes', ''),25
('homme', ''),25
('ans', ''),24
('', 'là'),23
('', 'ment'),23
('', 'toutesfois'),22
('', 'eau'),22
('vie', ''),20
('', 'autant'),20
('', 'quelle'),18
('', 'cy'),18
('com', ''),18
('', 'contraire'),18
('', 'lequel'),18
('mer', ''),17
('où', 'vient'),17
('', 'an'),16
('', 'non'),16
('eau', ''),16
('', 'finon'),15
('monde', ''),15
('', 'veu'),15
('p', ''),14
('', 'pource'),14
('', 'lefquelles'),14
('', 'euft'),14
('mois', ''),14
('', 'th'),13
('th', ''),13
('', 'lefquels'),13
('', 'certes'),13
('', 'année'),13
('', 'voilà'),13
('my', ''),13
('', 'f'),12
('tou', ''),12
('', 'air'),12
('manger', ''),12
('mv', ''),12
('durée', ''),12
('', 'ailleurs'),12
('oifeaux', ''),12
('ailleurs', ''),11
('', 'arbre'),11
('lieu', ''),11
('', 'mv'),11
('', 'portent'),11
('', 'my'),11
('', 'autrement'),11
('con', ''),10
('arbre', ''),10
('encor', ''),10
('', 'auantage'),10
('femelle', ''),10
('', 'k'),10
('def', ''),10
('', 'dont'),10
('vns', ''),10
('racines', ''),9
('be', ''),9
('', 'abondance'),9
('froid', ''),9
('longue', 'durée'),9
('femelles', ''),9
('', 'void'),9
('chenilles', ''),9
('', 'faut'),9
('', 'quant'),9
('femmes', ''),9
('', 'mr'),8
('feu', ''),8
('auantage', ''),8
('voilà', 'pourquoy'),8
('grandeur', ''),8
('grands', ''),8
('', 'engendrent'),8
('chiens', ''),8
('rats', ''),8
('serpents', ''),8
('', 'certain'),8
('', 'ariftote'),8
('ariftote', ''),8
('chien', ''),8
('chaftrez', ''),8
('', 'femmes'),8
('', 'quelles'),7
('plante', ''),7
('mr', ''),7
('tue', ''),7
('', 'engendre'),7
('', 'finallement'),7
('', 'vfage'),7
('plu', ''),7
('femence', ''),7
('', 'petite'),7
('celles', ''),7
('pieds', ''),7
('ap', ''),7
('', 'defquelles'),7
('coquilles', ''),7
('mouches', ''),7
('infe', ''),7
('mort', ''),7
('vi', ''),7
('vray', ''),7
('grand', 'nombre'),7
('', 'feroit'),7
('for', ''),6
('', 'defquels'),6
('', 'aliment'),6
('fer', ''),6
('', 'meíme'),6
('', 'té'),6
('rochers', ''),6
('', 'ouy'),6
('là', 'vient'),6
('tref', ''),6
('', 'quil'),6
('', 'tellement'),6
('', 'mx'),6
('', 'tre'),6
('', 'humidité'),6
('', 'it'),6
('', 'appellent'),6
('rouge', ''),6
('odeur', ''),6
('', 'lors'),6
('', 'ic'),6
('h', ''),6
('', 'comment'),6
('foye', ''),6
('', 'serpent'),6
('', 'experience'),6
('cho', ''),6
('cor', ''),6
('poiffons', ''),6
('', 'ours'),6
('', 'nerfs'),6
('efprits', ''),6
('', 'ordre'),5
('pierres', ''),5
('enfemble', ''),5
('', 'ia'),5
('herbe', ''),5
('herbes', ''),5
('ra', ''),5
('', 'fuc'),5
('', 'theophrafte'),5
('theophrafte', ''),5
('', 'na'),5
('', 'vont'),5
('hom', ''),5
('', 'fo'),5
('', 'auf'),5
('na', ''),5
('', 'voyons'),5
('chaud', ''),5
('', 'tent'),5
('', 'naiffent'),5
('difficulté', ''),5
('', 'bonne'),5
('humeurs', ''),5
('', 'humeur'),5
('pin', ''),5
('', 'fonc'),5
('perfonne', ''),5
('mx', ''),5
('bas', ''),5
('', 'vnc'),5
('naturelle', ''),5
('', 'clle'),5
('marin', ''),5
('', 'quoy'),5
('', 'fçauoir'),5
('ur', ''),5
