token_,count
('', 'eau'),102
('', 'air'),94
('air', ''),60
('terre', ''),56
('feu', ''),49
('', 'combien'),46
('', 'pourquoy'),33
('nature', ''),32
('fortes', ''),31
('', 'foit'),25
('', 'autant'),24
('', 'fin'),23
('', 'là'),22
('', 'quand'),22
('combien', 'fortes'),21
('', 'parce'),21
('', 'argent'),20
('', 'fois'),19
('', 'faut'),19
('', 'ment'),18
('dire', ''),18
('froid', ''),18
('celles', ''),18
('', 'pource'),17
('', 'cy'),17
('com', ''),16
('fin', ''),16
('', 'toutesfois'),16
('', 'rien'),16
('', 'celles'),16
('', 'non'),15
('chaud', ''),15
('', 'veu'),14
('monde', ''),14
('metaux', ''),14
('', 'com'),14
('faire', ''),14
('elements', ''),13
('ment', ''),13
('ame', ''),13
('', 'animaux'),13
('animaux', ''),13
('', 'metaux'),12
('lune', ''),12
('', 'où'),12
('argent', 'vif'),12
('vie', ''),11
('', 'efté'),11
('celuy', ''),11
('pierres', ''),11
('encor', ''),11
('', 'contraire'),11
('bas', ''),11
('', 'quelle'),11
('contre', ''),11
('', 'f'),10
('', 'tn'),10
('tn', ''),10
('', 'element'),10
('', 'arc'),10
('', 'ame'),10
('', 'encor'),10
('', 'tres'),10
('tres', ''),10
('vns', ''),10
('', 'lefquelles'),10
('mouvement', ''),10
('', 'lequel'),10
('', 'eftant'),10
('', 'voilà'),10
('eaux', ''),10
('', 'clle'),10
('rouge', ''),10
('vif', ''),10
('', 'ariftote'),9
('', 'mefine'),9
('con', ''),9
('', 'th'),9
('element', ''),9
('grefle', ''),9
('ter', ''),9
('', 'contre'),9
('foy', ''),9
('', 'exhalation'),9
('neige', ''),9
('có', ''),8
('ariftote', ''),8
('opinion', ''),8
('', 'comment'),8
('th', ''),8
('', 'grefle'),8
('', 'celuy'),8
('', 'fcauoir'),8
('', 'quant'),8
('', 'elles'),8
('', 'void'),8
('mer', ''),8
('accident', ''),8
('', 'pluftoft'),8
('', 'finon'),8
('veu', ''),8
('humide', ''),8
('froidure', ''),8
('tou', ''),8
('legere', ''),8
('voilà', 'pourquoy'),8
('tref', ''),8
('', 'pierres'),8
('pierre', ''),8
('accidents', ''),7
('', 'fçauoir'),7
('forme', ''),7
('ele', ''),7
('', 'peuuent'),7
('', 'aufquels'),7
('', 'auquel'),7
('plantes', ''),7
('', 'tue'),7
('tue', ''),7
('fcauoir', ''),7
('', 'autrement'),7
('mx', ''),7
('contraire', ''),7
('', 'duquel'),7
('', 'voyons'),7
('', 'humide'),7
('chaleur', ''),7
('fer', ''),7
('', 'huile'),7
('chaude', ''),7
('', 'pourroit'),7
('', 'femble'),7
('', 'premiere'),6
('raifon', ''),6
('', 'opinion'),6
('', 'ordre'),6
('mr', ''),6
('', 'appelle'),6
('lyne', ''),6
('', 'res'),6
('plu', ''),6
('', 'mx'),6
('', 'ic'),6
('p', ''),6
('', 'mv'),6
('mv', ''),6
('', 'tre'),6
('matiere', ''),6
('', 'fuft'),6
('', 'accident'),6
('', 'fent'),6
('fu', ''),6
('', 'ui'),6
('fec', ''),6
('', 'force'),6
('place', ''),6
('', 'celà'),6
('violence', ''),6
('quelque', 'chose'),6
('flamme', ''),6
('region', ''),6
('blanc', ''),6
('mois', ''),6
('', 'plaist'),5
('plaist', ''),5
('infiny', ''),5
('animal', ''),5
('', 'dieu'),5
('', 'quelles'),5
('nuces', ''),5
('per', ''),5
('', 'mr'),5
('', 'arbre'),5
('arbre', ''),5
('', 'telle'),5
('', 'euft'),5
('', 'ent'),5
('plumes', ''),5
('lieux', ''),5
('', 'quc'),5
('fubftance', ''),5
('haut', ''),5
('my', ''),5
('', 'endroit'),5
('iii', ''),5
('ordre', ''),5
('', 'fera'),5
('principalement', ''),5
('couleurs', ''),5
('', 'lefquels'),5
('fond', ''),5
('humidité', ''),5
('', 'fer'),5
('mont', ''),5
('pefante', ''),5
('detfus', ''),5
('long', 'temps'),5
('vents', ''),5
('moyen', ''),5
('', 'lors'),5
('', 'auantage'),5
('', 'petite'),5
('', 'neige'),5
('noir', ''),5
('', 'blanc'),5
('', 'orbe'),5
('cometes', ''),5
('ix', ''),5
('', 'plomb'),5
('', 'airein'),5
('', 'h'),4
('', 'moyen'),4
('', 'my'),4
('', 'infiny'),4
('', 'difference'),4
('cor', ''),4
('fen', ''),4
('', 'homme'),4
('', 'elt'),4
('', 'difent'),4
('ap', ''),4
('', 'z'),4
('z', ''),4
('efpeces', ''),4
('', 'defquelles'),4
('neiges', ''),4
('', 'fte'),4
('', 'aire'),4
('', 'quels'),4
('fçauoir', ''),4
('', 'cít'),4
('', 'doit'),4
('', 'participe'),4
('participe', 'nature'),4
('arbres', ''),4
('', 'p'),4
('', 'cuir'),4
('feiche', ''),4
('pier', ''),4
('', 'dont'),4
('', 'part'),4
('for', ''),4
('àl', ''),4
('efcript', ''),4
('', 'fu'),4
('', 'laquel'),4
('ble', ''),4
('figure', ''),4
('', 'fec'),4
('pro', ''),4
('naturelle', ''),4
('', 'ft'),4
('', 'vi'),4
('', 'cecy'),4
('cecy', ''),4
('', 'faudroit'),4
('', 'harmonie'),4
('', 'outre'),4
('cha', ''),4
('leger', ''),4
('', 'fignifie'),4
('', 'cat'),4
('', 'cor'),4
('vuide', ''),4
('', 'hu'),4
('', 'mont'),4
('efpez', ''),4
('', 'empefche'),4
('corps', 'elementaires'),4
('', 'second'),4
('', 'nombre'),4
('nombre', ''),4
('demons', ''),4
('penfe', ''),4
('', 'taux'),4
('', 'at'),4
('', 'excite'),4
('', 'année'),4
('année', ''),4
('', 'certain'),4
('na', ''),4
('orages', ''),4
('res', ''),4
('femble', ''),4
('legeres', ''),4
('vi', ''),4
('', 'touchant'),4
('pluye', ''),4
('eau', 'douce'),4
('', 'trouue'),4
('là', 'où'),4
('', 'appellé'),4
('couleur', ''),4
('', 'exhalations'),4
('', 'foyent'),4
('fixe', ''),4
('poids', ''),4
('vinaigre', ''),4
('airein', ''),4
('rameaux', ''),4
('pommes', ''),4
('corps', 'naturels'),3
('naturels', ''),3
('', 'entendement'),3
('entendement', ''),3
('', 'voire'),3
('voire', ''),3
('corps', 'naturel'),3
('', 'der'),3
('der', ''),3
('', 'voudroit'),3
('', 'autát'),3
('', 'onc'),3
('denis', ''),3
('', 'grecs'),3
('ac', ''),3
('', 'tels'),3
('matie', ''),3
('', 'conftans'),3
('conftans', ''),3
('', 'tion'),3
('im', ''),3
('', 'bruine'),3
('bruine', ''),3
('fte', ''),3
('', 'refte'),3
('', 'rc'),3
('', 'per'),3
('ts', ''),3
('plante', ''),3
('ex', ''),3
('mefle', ''),3
('', 'differences'),3
('', 'rapportent'),3
('', 'grandes'),3
('herbes', ''),3
('doux', ''),3
('deffus', ''),3
('celeftes', ''),3
