token_,count
('', 'ame'),142
('', 'fois'),59
('', 'homme'),43
('', 'quand'),43
('', 'entendement'),39
('', 'pource'),34
('', 'où'),28
('', 'non'),27
('', 'faut'),25
('pource', ''),23
('tue', ''),22
('', 'combien'),22
('', 'rien'),21
('', 'tue'),21
('', 'ariftote'),20
('', 'elles'),20
('', 'lequel'),20
('dire', ''),20
('ariftote', ''),18
('où', 'vient'),17
('', 'quelle'),17
('forte', ''),16
('enfemble', ''),16
('com', ''),15
('', 'autant'),15
('foy', ''),15
('celuy', ''),15
('', 'autrement'),15
('', 'ens'),15
('', 'ment'),15
('', 'eau'),15
('cœur', ''),15
('', 'com'),14
('', 'opinion'),14
('con', ''),14
('anges', ''),14
('', 'quelques'),13
('', 'cy'),13
('an', ''),13
('p', ''),13
('', 'fin'),13
('corporelle', ''),12
('', 'veu'),12
('', 'pourquoy'),12
('vie', ''),12
('', 'air'),12
('', 'p'),12
('', 'tellement'),12
('efcript', ''),12
('cerueau', ''),12
('opinion', ''),12
('', 'fçauoir'),11
('ment', ''),11
('quelque', 'chose'),11
('lieu', ''),11
('th', ''),11
('', 'toutesfois'),11
('cy', ''),11
('', 'celuy'),11
('mal', ''),11
('matiere', ''),11
('', 'donne'),10
('', 'an'),10
('for', ''),10
('fen', ''),10
('soleil', ''),10
('obie', ''),10
('', 'certes'),10
('', 'beaucoup'),10
('', 'œil'),10
('parties', ''),10
('', 'encor'),9
('encor', ''),9
('', 'quant'),9
('fçauoir', ''),9
('', 'comment'),9
('', 'th'),9
('auroit', ''),9
('', 'f'),9
('', 'tion'),9
('raifon', ''),9
('mouvement', ''),9
('lumiere', ''),9
('ailleurs', ''),9
('', 'item'),9
('my', ''),9
('', 'lefquels'),9
('', 'fuft'),9
('', 'là'),9
('', 'euft'),9
('enten', ''),9
('formes', ''),9
('fubftance', ''),9
('agent', ''),9
('vegetale', ''),9
('fentiment', ''),8
('', 'grand'),8
('', 'lefquelles'),8
('terre', ''),8
('', 'fubftance'),8
('', 'my'),8
('', 'obie'),8
('', 'mv'),8
('gouft', ''),8
('odeur', ''),8
('', 'appelle'),8
('mef', ''),8
('finie', ''),8
('', 'beftes'),7
('sr', ''),7
('parfe', ''),7
('', 'finon'),7
('quant', ''),7
('beftes', ''),7
('chap', ''),7
('patible', ''),7
('quelle', 'chose'),7
('', 'ge'),7
('', 'ailleurs'),7
('item', ''),7
('tou', ''),7
('pro', ''),7
('', 'image'),7
('', 'ts'),7
('', 'tendement'),7
('fenfibles', ''),7
('', 'ouye'),7
('', 'angle'),7
('faueurs', ''),7
('', 'aide'),7
('', 'faudra'),7
('memoire', ''),7
('', 'ange'),7
('', 'ble'),6
('', 'cité'),6
('hom', ''),6
('dis', ''),6
('', 'ainf'),6
('acte', ''),6
('quelqu', ''),6
('ari', ''),6
('', 'academiciens'),6
('', 'h'),6
('h', ''),6
('', 'ayent'),6
('vigueur', ''),6
('ve', ''),6
('', 'fen'),6
('cho', ''),6
('lu', ''),6
('ge', ''),6
('', 'difference'),6
('mv', ''),6
('mi', ''),6
('fenfible', ''),6
('', 'veut'),6
('ts', ''),6
('', 'tre'),6
('ouye', ''),6
('', 'odorat'),6
('', 'odeur'),6
('', 'mef'),6
('ain', ''),6
('', 'ic'),6
('arifto', ''),6
('he', ''),6
('', 'dement'),6
('ix', ''),6
('part', ''),6
('plantes', ''),5
('peu', ''),5
('vray', ''),5
('', 'sr'),5
('', 'entendemét'),5
('mort', ''),5
('', 'aristote'),5
('naturel', ''),5
('puif', ''),5
('', 'quelqu'),5
('', 'ari'),5
('entendement', 'agent'),5
('', 'ii'),5
('', 'clle'),5
('', 'tou'),5
('', 'vifion'),5
('', 'lors'),5
('ciel', ''),5
('z', ''),5
('', 'ent'),5
('diftin', ''),5
('', 'semble'),5
('academiciens', ''),5
('place', ''),5
('', 'exemple'),5
('', 'volupté'),5
('froid', ''),5
('', 'ain'),5
('accidents', ''),5
('long', 'temps'),5
('', 'voire'),5
('doigs', ''),5
('', 'difions'),5
('faut', 'doncques'),5
('', 'dre'),5
('', 'arifto'),5
('ap', ''),5
('', 'té'),5
('', 'dis'),5
('trois', 'ames'),5
('telle', 'forte'),5
('xv', ''),5
('', 'aufsi'),4
('', 'res'),4
('ble', ''),4
('', 'hom'),4
('', 'tn'),4
('tn', ''),4
('meilleure', ''),4
('', 'toit'),4
('cha', ''),4
('neceffairement', ''),4
('', 'doutera'),4
('', 'oit'),4
('veritable', ''),4
('lifons', ''),4
('', 'icelles'),4
('', 'definy'),4
('faux', ''),4
('corps', 'naturel'),4
('age', ''),4
('', 'petit'),4
('', 'puif'),4
('precedente', ''),4
('doctrine', ''),4
('', 'auantage'),4
('auantage', ''),4
('', 'dorment'),4
('dorment', ''),4
('', 'liu'),4
('qualité', ''),4
('', 'el'),4
('el', ''),4
('lune', ''),4
('ex', ''),4
('', 'miere'),4
('', 'cit'),4
('', 'lu'),4
('difent', ''),4
('verde', ''),4
('k', ''),4
('verd', ''),4
('', 'tantoft'),4
('', 'erreur'),4
('rayons', 'yeux'),4
('images', ''),4
('', 'lifons'),4
('', 'tel'),4
('', 'autour'),4
('', 'yons'),4
('', 'peur'),4
('ra', ''),4
('', 'voilà'),4
('loing', ''),4
('ri', ''),4
('dict', ''),4
('', 'ed'),4
('aus', ''),4
('', 'fent'),4
('action', ''),4
('', 'ur'),4
('quelque', 'part'),4
('', 'ges'),4
('', 'argument'),4
('nerf', ''),4
('humain', ''),4
('odorat', ''),4
('', 'icelle'),4
('exemple', ''),4
('lin', ''),4
('faute', ''),4
('fons', ''),4
('', 'harmonie'),4
('harmonie', ''),4
('', 'main'),4
('volupté', ''),4
('celles', ''),4
('at', ''),4
('us', ''),4
('prince', ''),4
('chaud', ''),4
('', 'froid'),4
('', 'routes'),4
('', 'é'),4
('', 'ale'),4
('ale', ''),4
('', 'endroit'),4
('difions', ''),4
('dou', ''),4
('feul', ''),4
('douleur', ''),4
('', 'phantafie'),4
('cognoiffance', ''),4
('', 'thomas'),4
('fingulieres', ''),4
('', 'gré'),4
('', 'ouy'),4
('', 'entende'),4
('entende', ''),4
('limites', ''),4
('', 'iamais'),4
('', 'có'),4
('có', ''),4
('', 'quatriesme'),4
('xi', ''),4
('ame', 'vegetale'),4
('', 'enclofe'),4
('', 'embryon'),4
('demon', ''),4
('mouuoir', ''),4
('xii', ''),4
('', 'caduc'),4
('caduc', ''),4
('futures', ''),4
('terminée', ''),4
('quelques', 'vns'),3
('beau', ''),3
('', 'tur'),3
('tur', ''),3
('ame', 'plantes'),3
('', 'demande'),3
('', 'plait'),3
('plait', ''),3
('plan', ''),3
('donne', 'vie'),3
('fub', ''),3
('', 'cependant'),3
('cependant', ''),3
('viuifie', ''),3
('feparé', ''),3
('vegetante', ''),3
('', 'premiere'),3
('', 'cha'),3
('feparée', 'corps'),3
('fauffes', ''),3
('façons', ''),3
('mr', ''),3
('', 'nition'),3
('', 'puiffe'),3
('donc', ''),3
('', 'lesquelles'),3
('', 'inter'),3
('inter', ''),3
('', 'age'),3
('', 'fance'),3
('fance', ''),3
('pourquoy', 'non'),3
('mefine', 'chose'),3
('plu', ''),3
('', 'defquelles'),3
('perfonnes', ''),3
('', 'finallement'),3
('finallement', ''),3
('liu', ''),3
('', 'puitfe'),3
('', 'ui'),3
('donne', 'vigueur'),3
('', 'quoy'),3
('', 'ple'),3
('ame', 'chap'),3
('', 'pourueu'),3
('pourueu', ''),3
('', 'termine'),3
('contre', 'corps'),3
('', 'veoir'),3
('', 'mefines'),3
('', 'ariftore'),3
('ariftore', ''),3
('rayon', ''),3
('hui', ''),3
('', 'emiffion'),3
('', 'lion'),3
('yeux', 'contre'),3
('miroers', ''),3
('preuuer', ''),3
('mv', 'sr'),3
('', 'principallement'),3
('', 'cette'),3
('', 'efprits'),3
('corps', 'diaphane'),3
('', 'grande'),3
('', 'ftote'),3
('aduenu', ''),3
('', 'ri'),3
('', 'arregarde'),3
('', 'tesfois'),3
('', 'die'),3
('', 'fentir'),3
('cefte', 'cause'),3
('', 'concedons'),3
('concedons', ''),3
('', 'ques'),3
('', 'rayon'),3
('choses', 'fenfibles'),3
('moyennant', ''),3
('icelle', ''),3
('pourroit', 'faire'),3
('efgal', ''),3
('ligne', ''),3
('', 'oà'),3
('', 'voix'),3
('', 'auois'),3
('', 'autát'),3
('', 'tux'),3
('tux', ''),3
('gue', ''),3
('', 'at'),3
('', 'auftere'),3
('', 'lin'),3
('', 'accord'),3
('', 'amer'),3
('', 'fix'),3
('vi', ''),3
('apper', ''),3
('rai', ''),3
('', 'icy'),3
('exquis', ''),3
('fienne', ''),3
('', 'mm'),3
('chan', ''),3
('coups', ''),3
('', 'empefche'),3
('bale', ''),3
('', 'feul'),3
('mu', ''),3
('al', ''),3
('', 'tez'),3
('', 'obic'),3
('obic', ''),3
('', 'pourra'),3
('pourra', ''),3
('puitfance', ''),3
('pied', ''),3
('phantafie', ''),3
('', 'droit'),3
('', 'diroit'),3
('inte', ''),3
('fentence', ''),3
('', 'appetit'),3
('char', ''),3
('', 'no'),3
('no', ''),3
('', 'vv'),3
('', 'ap'),3
('thomas', ''),3
('confentement', ''),3
('choses', 'fingulieres'),3
('feconde', ''),3
('sciences', ''),3
('socrates', ''),3
('genre', ''),3
('', 'inon'),3
('doutera', ''),3
('', 'niles'),3
('', 'cer'),3
('', 'dernier'),3
('', 'éntendement'),3
('', 'alexandre'),3
('demonstration', ''),3
('verité', ''),3
('corporels', ''),3
('', 'quels'),3
('immortelle', ''),3
('', 'tement'),3
('', 'dont'),3
('propre', 'corps'),3
('intelle', ''),3
('', 'failloit'),3
('do', ''),3
('bœufs', ''),3
('gt', ''),3
('tefte', ''),3
('g', ''),3
('', 'cot'),3
('cot', ''),3
('', 'nc'),3
('', 'auoyent'),3
('infinité', ''),3
('', 'eít'),3
('xiii', ''),3
('', 'partic'),3
('pource', 'toute'),3
('', 'xiiii'),3
('xiiii', ''),3
('', 'antecedent'),3
('terminez', ''),3
('incorporel', ''),3
('', 'effence'),3
('gens', 'bien'),3
('', 'exiftence'),3
('exiftence', ''),3
