token_,count
('nature', ''),48
('forme', ''),45
('matiere', ''),43
('', 'foit'),39
('', 'quand'),38
('rien', ''),34
('', 'autant'),34
('', 'pourquoy'),31
('', 'faut'),31
('', 'eau'),28
('corps', 'naturel'),27
('', 'non'),27
('dire', ''),25
('', 'fois'),24
('lieu', ''),24
('', 'ment'),23
('naturel', ''),22
('', 'bien'),21
('quelque', 'chose'),21
('', 'là'),21
('fin', ''),20
('', 'efté'),20
('', 'pource'),20
('elements', ''),20
('foy', ''),19
('encor', ''),18
('eau', ''),18
('', 'toutesfois'),16
('com', ''),16
('', 'elles'),16
('', 'fçauoir'),16
('', 'combien'),16
('', 'encor'),15
('premiere', 'cause'),15
('temps', ''),15
('', 'com'),13
('', 'faudroit'),13
('', 'eftant'),13
('parties', ''),13
('', 'veu'),13
('', 'lequel'),13
('', 'ordre'),13
('', 'où'),13
('ciel', ''),13
('fçauoir', ''),12
('cy', ''),12
('con', ''),12
('cho', ''),12
('eternel', ''),12
('', 'air'),12
('mef', ''),11
('for', ''),11
('', 'animaux'),11
('infiny', ''),11
('', 'tre'),11
('', 'lefquelles'),11
('', 'mv'),10
('fubie', ''),10
('mv', ''),10
('', 'auantage'),10
('enfemble', ''),10
('', 'quelle'),10
('feu', ''),10
('', 'auquel'),10
('', 'pluftoft'),10
('', 'quel'),10
('femence', ''),10
('th', ''),9
('celuy', ''),9
('definition', ''),9
('mobile', ''),9
('accidents', ''),9
('raifon', ''),9
('', 'f'),9
('', 'ia'),9
('auantage', ''),9
('', 'eternel'),9
('forte', ''),9
('my', ''),9
('veu', ''),9
('tres', ''),9
('', 'tres'),9
('quel', ''),9
('plantes', ''),9
('phyfique', ''),8
('', 'th'),8
('', 'celuy'),8
('', 'dis'),8
('dis', ''),8
('', 'mobile'),8
('', 'tn'),8
('tn', ''),8
('', 'mr'),8
('accident', ''),8
('infinie', ''),8
('terre', ''),8
('', 'ble'),8
('', 'vertu'),8
('quelqu', ''),8
('', 'ic'),8
('platon', ''),8
('', 'my'),8
('air', ''),8
('', 'volonté'),8
('deuant', ''),8
('engendrées', ''),8
('', 'infiny'),8
('', 'tion'),8
('', 'certes'),7
('', 'aus'),7
('def', ''),7
('hommes', ''),7
('', 'voulu'),7
('vertu', ''),7
('', 'homme'),7
('', 'quc'),7
('opinion', ''),7
('effe', ''),7
('corruption', ''),7
('acte', ''),7
('mr', ''),7
('cau', ''),7
('', 'h'),7
('force', ''),7
('puiffance', ''),7
('natu', ''),7
('', 'engendre'),7
('engendre', ''),7
('fubftance', ''),7
('', 'tel'),7
('bas', ''),6
('', 'iceluy'),6
('', 'cóme'),6
('', 'feule'),6
('', 'exemple'),6
('cause', 'efficiente'),6
('aul', ''),6
('efficiente', ''),6
('ari', ''),6
('metaph', ''),6
('origine', ''),6
('celle', ''),6
('voulu', ''),6
('', 'res'),6
('commencement', ''),6
('prin', ''),6
('', 'effe'),6
('pro', ''),6
('mx', ''),6
('physicien', ''),6
('', 'finon'),6
('', 'z'),6
('durée', ''),6
('', 'corruption'),6
('ble', ''),6
('mouuoir', ''),6
('difference', ''),6
('', 'quant'),6
('', 'iceux'),6
('có', ''),6
('engendrée', ''),6
('', 'socrates'),6
('', 'metaux'),6
('metaux', ''),6
('vapeur', ''),6
('', 'dernier'),5
('parolles', ''),5
('', 'dif'),5
('dif', ''),5
('fub', ''),5
('ap', ''),5
('', 'uoir'),5
('el', ''),5
('mi', ''),5
('', 'elt'),5
('vi', ''),5
('', 'faudra'),5
('peur', 'faire'),5
('aucunement', ''),5
('', 'droit'),5
('', 'ett'),5
('', 'parauant'),5
('an', ''),5
('pourquoy', 'non'),5
('tref', ''),5
('', 'ame'),5
('', 'parce'),5
('garde', ''),5
('abfurde', ''),5
('mou', ''),5
('', 'té'),5
('exterieure', ''),5
('', 'lefquels'),5
('per', ''),5
('', 'pluficurs'),5
('moment', ''),5
('cle', ''),5
('demon', ''),5
('', 'empefche'),5
('empefche', ''),5
('trois', 'principes'),5
('lumiere', ''),5
('philofophes', ''),5
('bon', ''),5
('fu', ''),5
('', 'platon'),5
('cieux', ''),5
('', 'ail'),5
('', 'mx'),5
('volontaire', ''),5
('', 'deuant'),5
('loix', ''),5
('mo', ''),5
('ca', ''),5
('principes', 'nature'),5
('', 'eflence'),5
('', 'monftré'),5
('', 'autrement'),5
('mouvements', ''),5
('priuation', ''),5
('corps', 'physicien'),5
('depart', ''),5
('nie', ''),5
('', 'hors'),5
('', 'eftoyent'),5
('engendré', ''),5
('', 'ments'),5
('', 'commune'),5
('', 'quil'),5
('parfe', ''),5
('ix', ''),5
('', 'k'),4
('im', ''),4
('', 'll'),4
('', 'ap'),4
('phy', ''),4
('corporel', ''),4
('', 'finalement'),4
('queftion', ''),4
('part', ''),4
('', 'cest'),4
('', 'eit'),4
('', 'cune'),4
('', 'dre'),4
('', 'quia'),4
('ainsil', ''),4
('', 'it'),4
('cer', ''),4
('na', ''),4
('aduis', ''),4
('aucune', 'chose'),4
('', 'aufli'),4
('ge', ''),4
('finy', ''),4
('commence', ''),4
('', 'faute'),4
('va', ''),4
('', 'circulaire'),4
('', 'per'),4
('', 'ra'),4
('ouuriere', ''),4
('ze', ''),4
('', 'picus'),4
('', 'fcauoir'),4
('', 'cipe'),4
('', 'nom'),4
('iii', ''),4
('bien', 'fouuent'),4
('', 'os'),4
('os', ''),4
('diuine', ''),4
('', 'fen'),4
('veut', ''),4
('', 'animal'),4
('', 'ariftore'),4
('', 'perfonne'),4
('autrement', ''),4
('', 'croit'),4
('', 'petite'),4
('', 'vouluft'),4
('penfer', ''),4
('z', ''),4
('', 'ainf'),4
('faut', 'donc'),4
('tou', ''),4
('', 'imple'),4
('effence', ''),4
('princi', ''),4
('naturelle', ''),4
('terme', 'dont'),4
('mence', ''),4
('creé', ''),4
('aufi', ''),4
('', 'difference'),4
('vii', ''),4
('', 'metaph'),4
('', 'mis'),4
('veritable', ''),4
('premiere', 'matiere'),4
('engen', ''),4
('', 'telles'),4
('pierres', ''),4
('corps', 'naturels'),4
('naturels', ''),4
('viii', ''),4
('contenu', ''),4
('contenus', ''),4
('', 'huile'),4
('engendrent', ''),4
('xi', ''),3
('', 'mc'),3
('', 'quels'),3
('naturelles', ''),3
('matierc', ''),3
('cout', ''),3
('', 'defquelles'),3
('', 'feconde'),3
('quelle', 'fin'),3
('comprendre', ''),3
('uoir', ''),3
('naturel', 'eftant'),3
('', 'cs'),3
('', 'tels'),3
('question', ''),3
('metaphyf', ''),3
('', 'demonftrer'),3
('', 'arift'),3
('arift', ''),3
('av', ''),3
('', 'aristote'),3
('eui', ''),3
('', 'voire'),3
('', 'pofé'),3
('', 'lors'),3
('', 'parquoy'),3
('', 'tiere'),3
('', 'finale'),3
('', 'aduis'),3
('fubicét', ''),3
('chose', 'abfurde'),3
('cause', 'cfficiente'),3
('', 'roit'),3
('edifice', ''),3
('', 'peuft'),3
('faute', ''),3
('', 'admirable'),3
('routes', 'choses'),3
('milieu', ''),3
('nes', ''),3
('', 'af'),3
('af', ''),3
('beau', ''),3
('formé', ''),3
('douter', ''),3
('aucun', 'temps'),3
('pourquoy', 'donc'),3
('', 'entendement'),3
('', 'pourueu'),3
('', 'table'),3
('table', ''),3
('moyen', 'entre'),3
('', 'matie'),3
('matie', ''),3
('ensemble', ''),3
('pla', ''),3
('', 'ti'),3
('', 'ze'),3
('contrainéte', ''),3
('', 'vuide'),3
('finir', ''),3
('', 'vois'),3
('fcauoir', ''),3
('', 'delà'),3
('', 'ausi'),3
('', 'autát'),3
('', 'duquel'),3
('', 'queft'),3
('queft', ''),3
('fter', ''),3
('beaucoup', 'mieux'),3
('', 'aufquels'),3
('qua', ''),3
('', 'ailleurs'),3
('', 'pes'),3
('', 'meut'),3
('', 'befoing'),3
('auicene', ''),3
('ail', ''),3
('', 'cit'),3
('', 'ft'),3
('', 'nes'),3
('', 'uent'),3
('proclus', ''),3
('lives', ''),3
('celles', ''),3
('', 'appelles'),3
('plusieurs', 'causes'),3
('meline', ''),3
('', 'pere'),3
('effect', ''),3
('', 'entens'),3
('', 'aufi'),3
('pa', ''),3
('dicu', ''),3
('animal', ''),3
('libre', ''),3
('', 'ui'),3
('lune', ''),3
('', 'neantmoins'),3
('', 'dence'),3
('', 'file'),3
('', 'penfé'),3
('', 'fion'),3
('puif', ''),3
('ett', ''),3
('', 'autorité'),3
('confequence', ''),3
('', 'fte'),3
('', 'eternité'),3
('', 'difent'),3
('ct', ''),3
('nel', ''),3
('precedente', ''),3
('volonté', 'foit'),3
('', 'dy'),3
('', 'eltre'),3
('', 'urier'),3
('', 'ftre'),3
('accord', ''),3
('puiffant', ''),3
('ainf', ''),3
('ele', ''),3
('', 'ques'),3
