token_,count
('où', 'vient'),12
('mille', 'ans'),11
('trois', 'cents'),8
('corps', 'celeftes'),7
('voilà', 'pourquoy'),7
('estoiles', 'fixes'),7
('fois', 'grand'),7
('diametres', 'terre'),7
('cents', 'ans'),6
('long', 'temps'),6
('ombre', 'terre'),6
('quatre', 'heures'),5
('neuf', 'mille'),5
('quatre', 'cents'),5
('fix', 'cents'),5
('cinq', 'cents'),5
('diametre', 'terre'),5
('cens', 'foixante'),5
('dix', 'orbes'),4
('là', 'vient'),4
('fept', 'mille'),4
('cinq', 'cens'),4
('celuy', 'terre'),4
('dix', 'mille'),4
('cents', 'vingt'),4
('trois', 'minutes'),4
('telles', 'choses'),3
('cofté', 'septentrion'),3
('cofté', 'midy'),3
('fix', 'mille'),3
('orient', 'occident'),3
('occident', 'orient'),3
('fin', 'mieux'),3
('grand', 'nombre'),3
('trois', 'mille'),3
('fept', 'cens'),3
('efpace', 'temps'),3
('combien', 'efloigné'),3
('centre', 'monde'),3
('quelle', 'grandeur'),3
('quatre', 'diametres'),3
('quatre', 'mille'),3
('mv', 'sr'),3
('lors', 'soleil'),3
('quel', 'moyen'),3
('toute', 'terre'),3
('pourquoy', 'hebreux'),3
('pleine', 'lune'),3
