token_,count
('', ''),82
('nature', ''),9
('ordre', ''),5
('hypostase', 'nature'),5
('forme', ''),5
('', 'ordre'),4
('com', ''),4
('plantes', ''),4
('mouvement', ''),4
('', 'foit'),4
('', 'forme'),4
('naturelles', ''),3
('', 'com'),3
('', 'nature'),3
('generation', ''),3
('animaux', ''),3
('', 'mouvement'),3
('', 'lequel'),3
('', 'combien'),3
('combien', ''),3
('', 'air'),3
('air', ''),3
('phyficien', ''),3
('', 'faut'),3
('', 'quelle'),3
('cho', ''),3
('matiere', ''),3
('elements', ''),3
('vie', ''),3
('choses', ''),3
('', 'lefquelles'),3
('causes', ''),3
('', 'hystoire'),3
