token_,count
('', '', ''),769
('', '', 'pourquoy'),35
('', 'pourquoy', ''),28
('', 'homme', ''),24
('', '', 'où'),22
('', 'animaux', ''),20
('', 'fin', ''),17
('', 'où', 'vient'),17
('', '', 'elles'),16
('', 'eau', ''),16
('', '', 'fois'),16
('', 'parce', ''),14
('', '', 'autant'),14
('', 'th', ''),13
('', '', 'parce'),13
('', 'elles', ''),12
('', 'fois', ''),12
('', 'autant', ''),12
('', 'mv', ''),11
('', 'ment', ''),11
('', 'my', ''),11
('hommes', '', ''),11
('plantes', '', ''),10
('', 'combien', ''),10
('', 'grand', ''),10
('nature', '', ''),10
('animaux', '', ''),10
('', 'an', ''),9
('', '', 'quelle'),9
('', 'plantes', ''),9
('', '', 'certes'),9
('', 'certes', ''),9
('', 'com', ''),9
('', 'ailleurs', ''),9
('eau', '', ''),9
('', '', 'fin'),9
('', 'auantage', ''),8
('longue', 'durée', ''),8
('', 'cy', ''),8
('', 'contraire', ''),8
('', 'veu', ''),8
('', 'voilà', 'pourquoy'),8
('', 'moins', ''),8
('', '', 'chose'),7
('', 'mr', ''),7
('', 'pource', ''),7
('', 'toutesfois', ''),7
('', '', 'celà'),7
('homme', '', ''),7
('où', 'vient', ''),7
('', 'femmes', ''),7
('femelles', '', ''),7
('', '', 'quel'),6
('', 'p', ''),6
('vie', '', ''),6
('', '', 'f'),6
('', 'f', ''),6
('', '', 'arbre'),6
('', 'arbre', ''),6
('', 'tou', ''),6
('', 'nature', ''),6
('', 'là', 'vient'),6
('', '', 'auantage'),6
('', 'dire', ''),6
('', 'longue', 'durée'),6
('', '', 'là'),6
('', 'là', ''),6
('', 'quand', ''),6
('', '', 'grand'),6
('', '', 'rien'),6
('', 'dont', ''),6
('', '', 'quelques'),6
('', 'grand', 'nombre'),6
('', 'efcript', ''),6
('vient', '', ''),6
('', 'corps', ''),5
('', '', 'corps'),5
('', 'tue', ''),5
('', '', 'pource'),5
('', '', 'combien'),5
('', '', 'ment'),5
('', 'finon', ''),5
('', 'air', ''),5
('', 'vfage', ''),5
('', '', 'contraire'),5
('froid', '', ''),5
('arbres', '', ''),5
('', '', 'plantes'),5
('là', '', ''),5
('', '', 'appelle'),5
