token_,count
  ,769
  pourquoy,35
 pourquoy ,28
 homme ,24
  où,22
 animaux ,20
 fin ,17
 où vient,17
  elles,16
 eau ,16
  fois,16
 parce ,14
  autant,14
 th ,13
  parce,13
 elles ,12
 fois ,12
 autant ,12
 mv ,11
 ment ,11
 my ,11
hommes  ,11
plantes  ,10
 combien ,10
 grand ,10
nature  ,10
animaux  ,10
 an ,9
  quelle,9
 plantes ,9
  certes,9
 certes ,9
 com ,9
 ailleurs ,9
eau  ,9
  fin,9
 auantage ,8
longue durée ,8
 cy ,8
 contraire ,8
 veu ,8
 voilà pourquoy,8
 moins ,8
  chose,7
 mr ,7
 pource ,7
 toutesfois ,7
  celà,7
homme  ,7
où vient ,7
 femmes ,7
femelles  ,7
  quel,6
 p ,6
vie  ,6
  f,6
 f ,6
  arbre,6
 arbre ,6
 tou ,6
 nature ,6
 là vient,6
  auantage,6
 dire ,6
 longue durée,6
  là,6
 là ,6
 quand ,6
  grand,6
  rien,6
 dont ,6
  quelques,6
 grand nombre,6
 efcript ,6
vient  ,6
 corps ,5
  corps,5
 tue ,5
  pource,5
  combien,5
  ment,5
 finon ,5
 air ,5
 vfage ,5
  contraire,5
froid  ,5
arbres  ,5
  plantes,5
là  ,5
  appelle,5
 mx ,5
  tre,5
 quels ,5
  ailleurs,5
fin  ,5
grand  peine,5
  fortes,5
  animaux,5
  femble,5
 rien ,5
corps  ,5
 faut ,5
dire  ,5
chauue  fouris,5
mer  ,5
fortes  ,5
 fortes ,5
 manger ,5
 ariftote ,5
 cause ,5
efcript  ,5
  femmes,5
 femelles ,5
plantes  animaux,4
pourquoy  ,4
  quelles,4
  th,4
 non ,4
  fort,4
 partie ,4
 theophrafte ,4
 encor ,4
  ouy,4
 celà ,4
celà  ,4
grand  abondance,4
 froid ,4
 quil ,4
  portent,4
  cy,4
  quand,4
  partie,4
ailleurs  ,4
  veu,4
 k ,4
oifeaux  ,4
 def ,4
  dire,4
combien  ,4
  engendrent,4
 chenilles ,4
 mouches ,4
 puces ,4
 oifeaux ,4
infe  ,4
forte  ,4
  faut,4
 serpent ,4
faire  ,4
 el ,4
 serpents ,4
  penfe,4
 hommes ,4
  non,4
 femble ,4
 cor ,4
