token_,count
  ,1130
 ame ,65
  ame,52
  fois,26
 fois ,23
 homme ,22
 pource ,22
corps  ,22
 tue ,21
  entendement,20
  où,17
 où vient,17
 foit ,17
ame  ,17
 chose ,16
  autant,15
  non,15
 com ,14
 entendement ,14
  homme,14
chose  ,13
 non ,13
 ariftote ,12
 combien ,12
  pource,11
homme  ,11
 rien ,11
non  ,10
 cy ,10
 celuy ,10
hommes  ,10
  foit,10
sens  ,10
 moins ,10
 opinion ,10
  chose,9
 quand ,9
 an ,9
 corps ,9
dire  ,9
 p ,9
 ment ,9
  ariftote,9
  opinion,9
  elles,9
 dire ,9
  dire,9
 faire ,8
 th ,8
 autant ,8
 ames ,8
 hommes ,8
  quelques,8
 my ,8
 obie ,8
 eau ,8
 sens ,8
 faut ,7
 encor ,7
  quand,7
 fçauoir ,7
foit  ,7
  corps,7
 quelle chose,7
  quelle,7
 item ,7
 ens ,7
 efcript ,7
  tendement,7
 autrement ,7
tue  ,7
 fin ,7
 tellement ,7
 enfemble ,7
pource  ,7
 volonté ,7
opinion  ,7
 fubftance ,7
 anges ,7
mefine  ,6
foy  ,6
ariftote  ,6
  mefine,6
 mefine ,6
 fen ,6
 ge ,6
  grand,6
 elles ,6
 air ,6
ailleurs  ,6
obie  ,6
celà  ,6
où vient ,6
 ts ,6
 œil ,6
  ens,6
enfemble  ,6
 ouye ,6
lieu  ,6
 mef ,6
  obie,6
forte  ,6
fois  ,6
  rien,6
 dieu ,6
corporelle  ,5
sr  ,5
 quant ,5
 comment ,5
 veu ,5
  plusieurs,5
 lequel ,5
 quelqu ,5
 ari ,5
 h ,5
  hommes,5
quelle chose ,5
auroit  ,5
  ailleurs,5
 ailleurs ,5
 tou ,5
th  ,5
  certes,5
 certes ,5
tou  ,5
  toutesfois,5
efcript  ,5
 void ,5
 odeur ,5
vient  ,5
quelque chose ,5
 bien ,5
  sens,5
 ain ,5
  euft,5
 faut doncques,5
autrement  ,5
  enfemble,5
 arifto ,5
  nature,5
  volonté,5
  efté,5
enten  dement,5
 parties ,5
agent  ,5
  dieu,5
telle forte ,5
chap  ,5
 cerueau ,5
cerueau  ,5
 lieu ,5
  encor,4
 ble ,4
 sr ,4
 hom ,4
doncques  ,4
 beftes ,4
 celle ,4
 ainf ,4
quc  ame,4
  quelque,4
  an,4
corps naturel ,4
 puif ,4
tue  comment,4
 entendre ,4
fentiment  ,4
  auantage,4
 auantage ,4
 entendement agent,4
 dorment ,4
  force,4
 mouvement ,4
 el ,4
 lumiere ,4
 auroit ,4
 lu ,4
 pourquoy ,4
  cefte,4
  tue,4
 cefte ,4
 plusieurs ,4
 yeux ,4
  fuft,4
  beaucoup,4
  contraire,4
 forte ,4
 mv ,4
 academiciens ,4
 odorat ,4
 gouft ,4
gouft  ,4
 cecy ,4
  cy,4
 volupté ,4
  faculté,4
  aucun,4
 froid ,4
  fen,4
 ale ,4
  quel,4
 difions ,4
bien  ,4
enfemble  fois,4
  bien,4
  moins,4
moins  ,4
  f,4
f  ,4
  appelle,4
lens  ,4
  faut,4
 memoire ,4
  efcript,4
facultez  ame,4
 dis ,4
 enten ,4
ix  ,4
 entende ,4
 có ,4
 quc ,4
 forme ,4
 grand ,4
  fubftance,4
 trois ames,4
 ame vegetale,4
mal  caduc,4
 caduc ,4
  lieu,4
  anges,4
anges  ames,4
patible  ,4
 quelques vns,3
 tur ,3
  entendemét,3
hom  ,3
  quant,3
 ame plantes,3
 tn ,3
  plait,3
 plait ,3
 definition ,3
mort  ,3
 cependant ,3
faire  ,3
 cha ,3
 corporelle ,3
 inter ,3
 aristote ,3
 age ,3
 cause ,3
 acte ,3
tue  quelle,3
 pourquoy non,3
pourquoy non ,3
mefine chose ,3
 fentiment ,3
auantage  ,3
parfe  ,3
 quelle ,3
 finallement ,3
  dorment,3
 liu ,3
 force ,3
 donne vigueur,3
 ame chap,3
 pourueu ,3
ge  ,3
lune  ,3
nombre  ,3
  pluficurs,3
lu  miere,3
couleur  ,3
  pourquoy,3
  com,3
difent  ,3
 ariftore ,3
 quelques ,3
yeux  ,3
 fort ,3
ens  ,3
platon  ,3
 lifons ,3
  celuy,3
 fuft ,3
 mv sr,3
mv sr ,3
temps  ,3
soleil  ,3
 toutesfois ,3
  contre,3
 contre ,3
 ri ,3
  ent,3
 ent ,3
  tesfois,3
p  ,3
 tendement ,3
 concedons ,3
academiciens  ,3
  void,3
 doncques ,3
  gouft,3
 lefquels ,3
choses fenfibles ,3
 icelle ,3
pourroit faire ,3
 mi ,3
 exemple ,3
  th,3
  tre,3
  oà,3
  yeux,3
 entre ,3
entre  ,3
  auois,3
 z ,3
 harmonie ,3
 tux ,3
  lequel,3
  volupté,3
 at ,3
  auftere,3
quant  ,3
us  ,3
 lin ,3
 parolle ,3
  eftant,3
ain  ,3
  auroit,3
  odeur,3
accidents  ,3
fenfible  ,3
 tres ,3
  toute,3
 chaud ,3
  aide,3
 aide ,3
  difions,3
enten  dre,3
 dre ,3
 feul ,3
 choses ,3
com  bien,3
 obic ,3
  combien,3
  eau,3
ts  ,3
 he ,3
he  ,3
 f ,3
celuy  ,3
 contraire ,3
 phantafie ,3
entendement  ,3
  faire,3
 no ,3
 ap ,3
 thomas ,3
 té ,3
té  ,3
  difference,3
volonté  ,3
 accidents ,3
choses fingulieres ,3
 dement ,3
 mal ,3
ment  ,3
 doutera ,3
  parties,3
  p,3
dieu  ,3
 beaucoup ,3
part  ,3
 quatre ,3
 monde ,3
 tre ,3
diftin  ,3
fubftance  ,3
  defia,3
  failloit,3
  quatriesme,3
matiere  ,3
  trois,3
ame vegetale ,3
 matiere ,3
place  ,3
  cot,3
 cot ,3
demons  ,3
 lefquelles ,3
 demons ,3
  partic,3
cœur  cerueau,3
 cœur ,3
 pu ,3
 pource toute,3
 xiiii ,3
 fera ,3
anges  ,3
 demon ,3
 iamais ,3
 finie ,3
finie  ,3
anges  demons,3
 exiftence ,3
 xv ,3
  ange,3
entendement agent ,3
 faut douter,2
faut douter ,2
nature  ,2
  forme,2
plantes  beftes,2
 peu ,2
ame  homme,2
phyfique  ,2
 beau ,2
 ame humaine,2
tur  ,2
 fem ,2
 fau ,2
 confifte ,2
 foy ,2
ame  quand,2
 cant ,2
cant  ,2
fondement  ,2
 entendemét ,2
ame plantes ,2
celle  homme,2
  tn,2
definition  ,2
cefte  cy,2
fçauoir  ,2
 ame for,2
plan  ,2
  beftes,2
ame  donne,2
  animaux,2
comment  faire,2
entendement  homme,2
 homme eftant,2
forme viuifiante ,2
corps viuifie ,2
  sila,2
  premiere,2
choses  ,2
 consequent ,2
cha  cun,2
 quelque chose,2
corporel  ,2
th  pourquoy,2
faut  foit,2
 oit ,2
fauffes  ,2
 mr ,2
def  nition,2
 lesquelles ,2
 fauffes ,2
 faux ,2
an  ,2
inter  pretation,2
 couftume ,2
 dir ,2
tue  pourquoy,2
 veulent ,2
veulent  ,2
puiffance  ,2
enfemble acte ,2
 fance ,2
pourquoy  ,2
acte  ame,2
 actions ,2
 appellent ,2
precedente  ,2
 cor ,2
