token_,count
  ,12
 forme ,4
 com ,3
 mouvement ,3
 combien ,3
  air,3
 air ,3
cho  ,3
matiere  forme,3
 telle ,2
 ment ,2
 veu ,2
  ailleurs,2
allez  ,2
 ordre ,2
naturelles  ,2
 nature ,2
nature  ,2
  ame,2
 ame ,2
ame  ,2
 finalement ,2
nature  lequel,2
combien  foit,2
foit propre physicien,2
propre physicien ,2
 animaux ,2
  mis,2
 doncques ,2
hypostase nature celle,2
nature celle ,2
 vie ,2
choses  lefquelles,2
 infiny ,2
causes  ,2
 mefine moyen,2
expliquez  ,2
ei  ,1
  dsdbnsia,1
 dsdbnsia ,1
dsdbnsia  qvi,1
 qvi propose,1
qvi propose contenv,1
propose contenv tovt,1
contenv tovt cest,1
tovt cest oevvre,1
cest oevvre ,1
oevvre  ,1
  où,1
 où ,1
où  ,1
  avvtevr,1
 avvtevr ,1
avvtevr  tement,1
 tement confondent,1
tement confondent doctrine,1
confondent doctrine ,1
doctrine  fembicnt,1
 fembicnt rout,1
fembicnt rout fembilablesà,1
rout fembilablesà ,1
fembilablesà  mettent,1
 mettent monceau,1
mettent monceau pelle,1
monceau pelle mefle,1
pelle mefle froment,1
mefle froment ,1
froment  orge,1
 orge ,1
orge  mouftarde,1
 mouftarde ,1
mouftarde  miller,1
 miller ,1
miller  ris,1
 ris ,1
ris  legumes,1
 legumes ,1
legumes  telle,1
telle  ment,1
ment  peuuent,1
 peuuent faire,1
peuuent faire profit,1
faire profit ,1
profit  feparement,1
 feparement ,1
feparement  monceau,1
 monceau ,1
monceau  femble,1
 femble ,1
femble  voire,1
 voire ,1
voire  ayent,1
 ayent traicté,1
ayent traicté fort,1
traicté fort fobtilement,1
fort fobtilement quelques,1
fobtilement quelques questions,1
quelques questions parmy,1
questions parmy tel,1
parmy tel defordre,1
tel defordre ,1
defordre  auiquelles,1
 auiquelles choses,1
auiquelles choses prenans,1
choses prenans garde,1
prenans garde ,1
garde  fuis,1
 fuis propofé,1
fuis propofé commencement,1
propofé commencement ceft,1
commencement ceft œuure,1
ceft œuure monftrer,1
œuure monftrer quel,1
monftrer quel ordre,1
quel ordre ic,1
ordre ic veux,1
ic veux tenir,1
veux tenir mien,1
tenir mien discours,1
mien discours ,1
discours  fin,1
 fin foyons,1
fin foyons contraintes,1
foyons contraintes faire,1
contraintes faire ainh,1
faire ainh pluficurs,1
ainh pluficurs ,1
pluficurs  lcíquels,1
 lcíquels traitent,1
lcíquels traitent fubieét,1
traitent fubieét enfcignant,1
fubieét enfcignant doit,1
enfcignant doit apprendre,1
doit apprendre ,1
apprendre  pluftoit,1
 pluftoit confondant,1
pluftoit confondant noir,1
confondant noir blanc,1
noir blanc ,1
blanc  auqucl,1
 auqucl vice,1
auqucl vice ariftote,1
vice ariftote ,1
ariftote  lité,1
 lité glisser,1
lité glisser ,1
glisser  veu,1
veu  ,1
  efforce,1
 efforce phyfique,1
efforce phyfique ,1
phyfique  expliquer,1
 expliquer ,1
expliquer  methode,1
 methode faut,1
methode faut fuiurc,1
faut fuiurc ,1
fuiurc  eneignant,1
 eneignant ,1
eneignant  question,1
 question ,1
question  appartient,1
 appartient dialecticien,1
appartient dialecticien ,1
dialecticien  ,1
  neant,1
 neant moins,1
neant moins laiflée,1
moins laiflée inditloluc,1
laiflée inditloluc ,1
inditloluc  ,1
 ailleurs iean,1
ailleurs iean pi,1
iean pi ,1
pi  cus,1
 cus prince,1
cus prince mirandolle,1
prince mirandolle monftre,1
mirandolle monftre allez,1
monftre allez ,1
  ordre,1
ordre  ,1
  tient,1
 tient queftions,1
tient queftions naturelles,1
queftions naturelles ,1
  felon,1
 felon reigle,1
felon reigle ,1
reigle  analyfie,1
 analyfie ,1
analyfie  com,1
com  pofitió,1
 pofitió ,1
pofitió  ,1
  cieux,1
 cieux fuy,1
cieux fuy ,1
fuy  uent,1
 uent hui,1
uent hui ,1
hui  nature,1
  cy,1
 cy generation,1
cy generation ,1
generation  metcorcs,1
 metcorcs ,1
metcorcs  mine,1
 mine ,1
mine  raux,1
 raux ,1
raux  plantes,1
 plantes ,1
plantes  generation,1
 generation animaux,1
generation animaux ,1
animaux  parties,1
 parties ,1
parties  mouvement,1
mouvement  progrez,1
 progrez ,1
progrez  ,1
  finalement,1
finalement  appellez,1
 appellez opuícules,1
appellez opuícules nature,1
opuícules nature ,1
 lequel ordre,1
lequel ordre ,1
ordre  combien,1
 foit appa,1
foit appa ,1
appa  rant,1
 rant vericé,1
rant vericé ,1
vericé  celuy,1
 celuy ,1
celuy  aristote,1
 aristote ,1
aristote  femble,1
 femble im,1
femble im clé,1
im clé mt,1
clé mt ct,1
mt ct ,1
ct  ,1
  intention,1
 intention ,1
intention  toutesfois,1
