token_,count
,6769
eau,104
air,99
terre,92
corps,72
feu,70
nature,63
combien,57
grand,45
entre,45
pourquoy,45
fortes,44
foit,40
moins,36
choses,35
chose,35
bien,33
fois,29
fin,29
là,28
froid,28
rien,28
quand,27
autant,26
faut,26
dire,25
fort,25
argent,25
quelque,24
ment,23
cefte,23
forte,22
monde,22
toutesfois,22
elements,21
parce,21
soleil,21
foubs,20
où,20
efté,20
metaux,20
faire,20
peu,20
proportion,20
toute,19
non,19
celles,19
pource,18
encor,18
animaux,18
vns,18
partie,18
temps,18
contre,18
trois,18
cy,17
chaud,17
com,16
elles,16
donc,16
eftant,16
cause,16
fumée,16
nuée,16
veu,15
f,15
celuy,15
lune,15
bas,15
eaux,15
exhalation,15
rouge,15
vif,15
vie,14
ame,14
ciel,14
tres,14
mouvement,14
plusieurs,14
premier,13
forme,13
element,13
grefle,13
peuuent,13
pierres,13
quelle,13
quel,13
chaleur,13
genres,12
genre,12
ariftote,12
mefine,12
lieu,12
foy,12
arc,12
lefquelles,12
mer,12
qualité,12
pluftoft,12
contraire,12
force,12
humide,12
clle,12
feulement,12
tn,11
lcs,11
beaucoup,11
quant,11
an,11
parties,11
aufli,11
pefanteur,11
celà,11
compris,10
premiere,10
opinion,10
con,10
vapeur,10
void,10
plantes,10
autrement,10
ter,10
vnc,10
fuft,10
quatre,10
nombres,10
lequel,10
qualitez,10
pat,10
froidure,10
tou,10
voilà,10
iamais,10
vent,10
region,10
chaude,10
petite,10
neige,10
pierre,10
naturel,9
peur,9
icy,9
ordre,9
comment,9
th,9
pourroit,9
telle,9
routes,9
toufiours,9
haut,9
finon,9
iufques,9
voyons,9
quelques,9
va,9
place,9
aucune,9
veoir,9
flamme,9
h,8
có,8
moyen,8
raifon,8
cor,8
fonc,8
tue,8
fcauoir,8
arbres,8
plu,8
euft,8
blanche,8
p,8
ke,8
accident,8
fent,8
duquel,8
couleurs,8
cecy,8
fer,8
legere,8
tref,8
froide,8
femble,8
pluye,8
plomb,8
appellé,8
couleur,8
accidents,7
hors,7
difference,7
raison,7
dieu,7
cu,7
cela,7
propre,7
quelles,7
fçauoir,7
ele,7
neiges,7
el,7
aufquels,7
auquel,7
appelle,7
participe,7
res,7
mx,7
ic,7
mv,7
lieux,7
ja,7
entendre,7
matiere,7
quc,7
dix,7
efcript,7
ui,7
fec,7
vient,7
humidité,7
rend,7
aliment,7
violence,7
poids,7
legeres,7
fouuent,7
cendre,7
huile,7
blanc,7
vents,7
nombre,7
pu,7
ia,7
mois,7
second,6
liure,6
maintenant,6
quels,6
my,6
infiny,6
faudroit,6
grecs,6
nuces,6
cít,6
mr,6
grande,6
doit,6
arbre,6
lyne,6
ent,6
chacune,6
tre,6
enclos,6
conuenable,6
fubftance,6
fu,6
figure,6
iii,6
fera,6
principalement,6
figures,6
lefquels,6
vapeurs,6
outre,6
nom,6
pars,6
mont,6
pefante,6
foyent,6
fuperficie,6
long,6
lors,6
aduient,6
pays,6
proche,6
cometes,6
cendres,6
rameaux,6
aucunement,5
plaist,5
animal,5
elt,5
z,5
refte,5
per,5
facilement,5
herbes,5
dcs,5
deffus,5
plumes,5
feule,5
feiche,5
ainf,5
petits,5
fecond,5
ture,5
dont,5
part,5
for,5
ii,5
double,5
pro,5
naturelle,5
endroit,5
ls,5
vi,5
fond,5
voix,5
reprefente,5
cha,5
leger,5
aftres,5
feroit,5
penfe,5
iuger,5
flame,5
gran,5
certain,5
pefant,5
detfus,5
ailleurs,5
moyenne,5
hyuer,5
auantage,5
trop,5
cofté,5
diuine,5
touchant,5
demande,5
trouue,5
gelée,5
noire,5
noir,5
bois,5
orbe,5
comete,5
expirations,5
is,5
ix,5
corail,5
airein,5
naturels,4
do,4
entierement,4
dict,4
pouuoit,4
mot,4
mieux,4
fen,4
causes,4
homme,4
comprend,4
differences,4
difent,4
ap,4
cit,4
estre,4
commencé,4
ot,4
efpeces,4
tion,4
defquelles,4
fte,4
aire,4
efte,4
petites,4
celeftes,4
bonne,4
beftes,4
cuir,4
peau,4
cer,4
aupres,4
mis,4
nent,4
côme,4
da,4
pier,4
ge,4
fubfifter,4
lives,4
commence,4
premiers,4
conuient,4
deflus,4
aucun,4
dis,4
quantité,4
àl,4
raifons,4
ca,4
laquel,4
ble,4
quoy,4
vray,4
ft,4
ve,4
certes,4
dent,4
fimples,4
defpuis,4
deuant,4
yeux,4
aristote,4
auf,4
prefque,4
appellent,4
ré,4
ausi,4
pur,4
pluyes,4
neantmoins,4
cerre,4
humeur,4
demy,4
harmonie,4
fimple,4
fout,4
ti,4
fuit,4
folides,4
trouuer,4
efpeffe,4
fignifie,4
pouuons,4
cat,4
main,4
faic,4
vuide,4
hu,4
ligne,4
efpez,4
empefche,4
elementaires,4
lie,4
malle,4
celle,4
defcend,4
changer,4
nage,4
qi,4
compofez,4
demons,4
ceft,4
clement,4
é,4
nuées,4
taux,4
agitation,4
at,4
ée,4
glace,4
ferain,4
excite,4
année,4
na,4
orages,4
femblable,4
felon,4
molle,4
ordinaire,4
perdu,4
eftoyent,4
fante,4
douce,4
deuient,4
tetre,4
met,4
dé,4
iour,4
iu,4
tombe,4
foudre,4
eftendue,4
parmy,4
tantoft,4
odeur,4
quil,4
vers,4
feux,4
exhalations,4
fixe,4
racines,4
artifice,4
vinaigre,4
pommes,4
entendement,3
prendre,3
principe,3
voire,3
der,3
nier,3
voudroit,3
autát,3
abondance,3
sr,3
onc,3
denis,3
comprendre,3
indiuidus,3
ac,3
tels,3
parfe,3
matie,3
mineraux,3
conftans,3
im,3
bruine,3
longue,3
rc,3
ns,3
donné,3
terrestre,3
ani,3
ts,3
plante,3
ex,3
vfage,3
commodité,3
mefle,3
rapportent,3
grandes,3
grandeur,3
ons,3
doux,3
genies,3
pm,3
terreftres,3
aquatiques,3
nagent,3
oifeaux,3
caux,3
uc,3
fouris,3
cinq,3
chant,3
ccux,3
os,3
pluficurs,3
marine,3
fan,3
fang,3
oi,3
reftres,3
fauuages,3
cheual,3
pied,3
difpu,3
prince,3
fituation,3
trouucr,3
bon,3
continue,3
globe,3
fix,3
cou,3
actions,3
pesanteur,3
legereté,3
mobile,3
yne,3
iceux,3
mal,3
petit,3
ver,3
vertus,3
mo,3
connoiffance,3
parles,3
faict,3
natute,3
def,3
moyens,3
veux,3
physiciens,3
fcience,3
so,3
noz,3
philo,3
hommes,3
por,3
tet,3
rerre,3
limon,3
tenuité,3
cau,3
ett,3
pris,3
id,3
fà,3
fez,3
cube,3
platon,3
charbon,3
eít,3
admirable,3
formes,3
fcu,3
ariftore,3
refuté,3
effence,3
tire,3
puiffe,3
argument,3
faudra,3
monte,3
penetration,3
cauernes,3
pourueu,3
loix,3
neant,3
fontaines,3
remply,3
allumée,3
mée,3
changement,3
af,3
foic,3
allume,3
ronde,3
tour,3
sscrton,3
enfeigné,3
enfuit,3
he,3
és,3
faute,3
semblable,3
noftre,3
participant,3
pense,3
donnent,3
fouffle,3
ea,3
vertu,3
puitlance,3
cent,3
gele,3
brufle,3
fair,3
veritable,3
nuit,3
meíme,3
garde,3
difficile,3
entens,3
airain,3
leau,3
ifle,3
nes,3
parauant,3
ifles,3
fontaine,3
hautes,3
rofée,3
mi,3
defia,3
fant,3
eftce,3
glacée,3
venir,3
efleue,3
ae,3
dures,3
feconde,3
quine,3
viii,3
verre,3
solcil,3
oppofite,3
celefte,3
miroirs,3
bre,3
peine,3
vin,3
certains,3
apparuft,3
pline,3
ceftuy,3
pres,3
differentes,3
engendre,3
contiennent,3
rochers,3
confufion,3
metal,3
fouphre,3
deuiennent,3
eff,2
premierement,2
declaré,2
fondée,2
uons,2
naist,2
tát,2
g,2
limites,2
ilne,2
pourra,2
aucu,2
exprimer,2
ax,2
mee,2
mm,2
principes,2
veut,2
capacité,2
