token_,count
,7698
corps,106
choses,93
chose,87
nature,83
cause,82
monde,81
forme,79
foit,64
matiere,61
rien,58
mouvement,49
quelque,48
dieu,43
causes,40
lieu,39
quand,39
principe,39
dire,38
non,38
premiere,37
faut,36
donc,36
efté,36
fin,35
bien,35
grand,34
faire,34
autant,34
premier,33
naturel,33
pourquoy,33
aucune,31
eau,30
fois,30
elements,30
principes,29
ariftote,28
elles,28
fuft,27
ment,27
là,26
moins,26
encor,24
foy,24
toutesfois,23
ordre,23
entre,22
temps,22
plusieurs,21
eftant,21
celà,21
beaucoup,21
ciel,21
doit,20
parties,20
toute,20
pource,20
fçauoir,19
cy,19
contraire,19
telle,18
où,18
quelle,18
combien,18
cela,17
animaux,17
feu,17
com,16
feulement,16
raifon,16
f,16
cefte,16
generation,16
lequel,16
foyent,16
terme,16
formes,16
p,15
partie,15
mefine,15
eternel,15
repos,15
tres,15
fort,15
quel,15
pluftoft,15
trois,14
accidents,14
faudroit,14
cho,14
toufiours,14
veu,14
for,14
enfemble,14
forte,14
infiny,14
femence,14
entendre,13
ja,13
phyfique,13
vnc,13
air,13
fimple,13
moyen,12
fera,12
accident,12
con,12
mef,12
terre,12
vertu,12
puiffance,12
ic,12
lefquelles,12
contraires,12
peu,12
mv,11
homme,11
petit,11
dont,11
definition,11
fortes,11
propre,11
peur,11
derniere,11
h,11
infinie,11
chacune,11
quc,11
felon,11
opinion,11
tre,11
volonté,11
force,11
fubftance,11
auquel,11
plantes,11
vin,11
feroit,10
mr,10
fubie,10
aucun,10
defquels,10
celuy,10
tn,10
dcs,10
ia,10
efficiente,10
pourroit,10
mal,10
auantage,10
ble,10
pu,10
auroit,10
euft,10
my,10
corruption,10
feroyent,10
contre,10
dernier,9
ouurier,9
fcience,9
meíme,9
deuant,9
aufsi,9
aucunement,9
th,9
pourra,9
dis,9
feule,9
mobile,9
vray,9
droit,9
an,9
fuit,9
voulu,9
platon,9
res,9
commencement,9
acte,9
monftré,9
engendrées,9
pourtant,9
tel,9
fubftances,9
fang,9
haut,8
parolles,8
exemple,8
physicien,8
clle,8
parauant,8
origine,8
celle,8
def,8
voyons,8
quelqu,8
lcs,8
