document,term,tfidf
Démonomanie III_corrected,sorciers,0.4116398290220084
Démonomanie III_corrected,sathan,0.32754136932934
Démonomanie III_corrected,dieu,0.23606738811297168
Démonomanie III_corrected,diable,0.23570156262463227
Démonomanie III_corrected,sorcier,0.17262315410600354
Démonomanie III_corrected,bien,0.11637679181124076
Démonomanie III_corrected,sorciere,0.11508210273733568
Démonomanie III_corrected,faire,0.09442695524518867
Démonomanie III_corrected,malings,0.09295092913400191
Démonomanie III_corrected,esprits,0.09151245020826132
Démonomanie III_corrected,esprit,0.08999953441434334
Démonomanie III_corrected,malefice,0.07455851359590414
Démonomanie III_corrected,mal,0.06706459189122349
Démonomanie III_corrected,sorcieres,0.06639352081000136
Démonomanie III_corrected,samedy,0.06308797304268812
Démonomanie III_corrected,plusieurs,0.06026957995678391
Démonomanie III_corrected,veu,0.05917463990402073
Démonomanie III_corrected,allemaigne,0.0578916118727167
Démonomanie III_corrected,guerir,0.0578916118727167
Démonomanie III_corrected,charmes,0.05754105136866784
Démonomanie III_corrected,an,0.055629257368173875
Démonomanie III_corrected,contre,0.054767634042209426
Démonomanie III_corrected,dire,0.054767634042209426
Démonomanie III_corrected,diables,0.054361102278865314
Démonomanie III_corrected,puiflance,0.0525043768438711
Démonomanie III_corrected,malefices,0.05191971433003061
Démonomanie III_corrected,void,0.05121989299916882
Démonomanie III_corrected,fin,0.05099055583240188
Démonomanie III_corrected,faut,0.04931219992001728
Démonomanie III_corrected,quelques,0.04931219992001728
Démonomanie II_corrected,sorciers,0.3789415037227291
Démonomanie II_corrected,diable,0.3294820955435792
Démonomanie II_corrected,dieu,0.2577319251509678
Démonomanie II_corrected,sathan,0.15757963521143192
Démonomanie II_corrected,bien,0.13710224973022117
Démonomanie II_corrected,faire,0.09925080347428573
Démonomanie II_corrected,sorciere,0.09754929798802928
Démonomanie II_corrected,sorcier,0.09379740191156662
Démonomanie II_corrected,hommes,0.08694289007282319
Démonomanie II_corrected,sorcieres,0.08254171368217864
Démonomanie II_corrected,esprit,0.0821563820662324
Démonomanie II_corrected,corps,0.0816417899546544
Démonomanie II_corrected,diables,0.07899285673730255
Démonomanie II_corrected,procés,0.07683143930839013
Démonomanie II_corrected,plusieurs,0.07298212164525616
Démonomanie II_corrected,quand,0.07043605407852536
Démonomanie II_corrected,paroles,0.0646791807985601
Démonomanie II_corrected,bouc,0.05958718749192389
Démonomanie II_corrected,chose,0.05937925917515184
Démonomanie II_corrected,dire,0.059230318202396326
Démonomanie II_corrected,mort,0.057199930273042515
Démonomanie II_corrected,homme,0.05684727427838439
Démonomanie II_corrected,malins,0.05595327352225597
Démonomanie II_corrected,esprits,0.05274793423649596
Démonomanie II_corrected,faut,0.05015935965739799
Démonomanie II_corrected,veu,0.05015935965739799
Démonomanie II_corrected,mourir,0.05003319595454789
Démonomanie II_corrected,grand,0.04962540173714287
Démonomanie II_corrected,cela,0.048900566379536804
Démonomanie II_corrected,caracteres,0.048614995376967035
Démonomanie IV_corrected,sorciers,0.38367484746039865
Démonomanie IV_corrected,dieu,0.17809374758278793
Démonomanie IV_corrected,preuve,0.17725056005323783
Démonomanie IV_corrected,mort,0.14998347826790198
Démonomanie IV_corrected,sorcier,0.13913483479333136
Démonomanie IV_corrected,diable,0.13392264537355747
Démonomanie IV_corrected,bien,0.1334013467491298
Démonomanie IV_corrected,crime,0.13064858905228005
Démonomanie IV_corrected,presomption,0.12385060283018208
Démonomanie IV_corrected,sathan,0.1180537992185842
Démonomanie IV_corrected,faut,0.11649131687952177
Démonomanie IV_corrected,crimes,0.10221534641563636
Démonomanie IV_corrected,presomptions,0.09908048226414568
Démonomanie IV_corrected,faire,0.09894097087932663
Démonomanie IV_corrected,doibt,0.09888533015856743
Démonomanie IV_corrected,bald,0.09287317795626353
Démonomanie IV_corrected,loy,0.09021532251992426
Démonomanie IV_corrected,sorciere,0.08854034941393815
Démonomanie IV_corrected,peine,0.08455014934804
Démonomanie IV_corrected,puny,0.08407535540353167
Démonomanie IV_corrected,coll,0.07648379361104056
Démonomanie IV_corrected,cas,0.07586288484629994
Démonomanie IV_corrected,cap,0.07253992326270968
Démonomanie IV_corrected,foit,0.07015814298715888
Démonomanie IV_corrected,mourir,0.06793852874181522
Démonomanie IV_corrected,contre,0.06656028950063791
Démonomanie IV_corrected,quand,0.06476136275737743
Démonomanie IV_corrected,ff,0.06419668031948242
Démonomanie IV_corrected,verité,0.06213601242527367
Démonomanie IV_corrected,con,0.05887734923870182
Démonomanie I_corrected,dieu,0.4721180264356407
Démonomanie I_corrected,sorciers,0.20615761114812434
Démonomanie I_corrected,bien,0.15561853194954367
Démonomanie I_corrected,esprits,0.14613637084353576
Démonomanie I_corrected,esprit,0.10857996747508776
Démonomanie I_corrected,premier,0.10575529244284161
Démonomanie I_corrected,quand,0.09873190666905034
Démonomanie I_corrected,chose,0.09596313573517108
Démonomanie I_corrected,choses,0.09374610358406245
Démonomanie I_corrected,sathan,0.09256056010732114
Démonomanie I_corrected,anges,0.08563052781924754
Démonomanie I_corrected,dire,0.08437090206264301
Démonomanie I_corrected,faire,0.08437090206264301
Démonomanie I_corrected,fort,0.0825757764868421
Démonomanie I_corrected,hommes,0.08249657115397495
Démonomanie I_corrected,hebrieux,0.08176043205795738
Démonomanie I_corrected,efcripture,0.08002706022384101
Démonomanie I_corrected,sorcier,0.07573136736053547
Démonomanie I_corrected,diable,0.0746809888174167
Démonomanie I_corrected,diaboliques,0.07402738458534394
Démonomanie I_corrected,monde,0.07246195963676184
Démonomanie I_corrected,malins,0.0701265820740374
Démonomanie I_corrected,void,0.06918591399407407
Démonomanie I_corrected,fignifie,0.06862258267257144
Démonomanie I_corrected,fonges,0.06731677098714264
Démonomanie I_corrected,mot,0.06658666561215953
Démonomanie I_corrected,nature,0.06658666561215953
Démonomanie I_corrected,entre,0.06562227250884371
Démonomanie I_corrected,ange,0.06238416606597403
Démonomanie I_corrected,faut,0.05999750629379996
Démonomanie preface Repair_corrected,sorciers,0.5102014850709483
Démonomanie preface Repair_corrected,esprits,0.14943596647215107
Démonomanie preface Repair_corrected,diable,0.13902140784158468
Démonomanie preface Repair_corrected,sorcieres,0.13817956887338181
Démonomanie preface Repair_corrected,dieu,0.13605461480578124
Démonomanie preface Repair_corrected,choses,0.1184187351998284
Démonomanie preface Repair_corrected,corps,0.09977338419090624
Démonomanie preface Repair_corrected,faire,0.09070307653718748
Démonomanie preface Repair_corrected,bien,0.08526148934387644
Démonomanie preface Repair_corrected,lieu,0.08411132219372974
Démonomanie preface Repair_corrected,veu,0.0805247399358833
Démonomanie preface Repair_corrected,intelligences,0.0687363234699469
Démonomanie preface Repair_corrected,contre,0.06802730740289062
Démonomanie preface Repair_corrected,cens,0.0677618625654821
Démonomanie preface Repair_corrected,ariftote,0.06496648487692328
Démonomanie preface Repair_corrected,caufe,0.06473678186469904
Démonomanie preface Repair_corrected,cieux,0.06473678186469904
Démonomanie preface Repair_corrected,malings,0.06377518563386854
Démonomanie preface Repair_corrected,mouvement,0.06304222797189085
Démonomanie preface Repair_corrected,fupernaturelles,0.062446293323330675
Démonomanie preface Repair_corrected,phyficien,0.062446293323330675
Démonomanie preface Repair_corrected,homme,0.06157774230391077
Démonomanie preface Repair_corrected,nature,0.05937269801910334
Démonomanie preface Repair_corrected,voit,0.059060440797202976
Démonomanie preface Repair_corrected,esprit,0.05818767376215217
Démonomanie preface Repair_corrected,plusieurs,0.05685895308138512
Démonomanie preface Repair_corrected,faut,0.05684099289591763
Démonomanie preface Repair_corrected,demonftre,0.055090906776551915
Démonomanie preface Repair_corrected,preface,0.055090906776551915
Démonomanie preface Repair_corrected,monde,0.05442497318417807
La réponse_corrected,souz,0.32708578880885425
La réponse_corrected,escuz,0.29437720992796884
La réponse_corrected,argent,0.2615918058428823
La réponse_corrected,monnoye,0.15838704946030094
La réponse_corrected,deniers,0.13996995068584733
La réponse_corrected,cens,0.13487266599442382
La réponse_corrected,pois,0.1306120785998889
