Collocate,Count,Frequency
malade,15,0.058823529411764705
à,4,0.01568627450980392
comme,2,0.00784313725490196
dit,2,0.00784313725490196
plus,2,0.00784313725490196
puis,2,0.00784313725490196
femme,2,0.00784313725490196
mort,2,0.00784313725490196
extremité,2,0.00784313725490196
chariot,2,0.00784313725490196
or,2,0.00784313725490196
bié,2,0.00784313725490196
mourut,2,0.00784313725490196
sor,2,0.00784313725490196
finlesor,2,0.00784313725490196
dift,2,0.00784313725490196
do,2,0.00784313725490196
fici,2,0.00784313725490196
ure,2,0.00784313725490196
préd,2,0.00784313725490196
aucun,1,0.00392156862745098
confentemeht,1,0.00392156862745098
loy,1,0.00392156862745098
tellement,1,0.00392156862745098
ay,1,0.00392156862745098
tnis,1,0.00392156862745098
feulei,1,0.00392156862745098
incnt,1,0.00392156862745098
exemple,1,0.00392156862745098
grand,1,0.00392156862745098
mal,1,0.00392156862745098
quand,1,0.00392156862745098
guariffent,1,0.00392156862745098
tirer,1,0.00392156862745098
deuotion,1,0.00392156862745098
aufhi,1,0.00392156862745098
ydes,1,0.00392156862745098
fecoucha,1,0.00392156862745098
onlong,1,0.00392156862745098
fur,1,0.00392156862745098
marmottant,1,0.00392156862745098
quel,1,0.00392156862745098
quesmots,1,0.00392156862745098
garie,1,0.00392156862745098
veritas,1,0.00392156862745098
carfouuentl,1,0.00392156862745098
homme,1,0.00392156862745098
cftantau,1,0.00392156862745098
poin,1,0.00392156862745098
pro,1,0.00392156862745098
phetize,1,0.00392156862745098
jamais,1,0.00392156862745098
eftoille,1,0.00392156862745098
oule,1,0.00392156862745098
bris,1,0.00392156862745098
eftantle,1,0.00392156862745098
dansle,1,0.00392156862745098
celà,1,0.00392156862745098
fignifie,1,0.00392156862745098
void,1,0.00392156862745098
dimét,1,0.00392156862745098
horoscope,1,0.00392156862745098
oppofi,1,0.00392156862745098
tion,1,0.00392156862745098
quartier,1,0.00392156862745098
moins,1,0.00392156862745098
euft,1,0.00392156862745098
mefme,1,0.00392156862745098
prié,1,0.00392156862745098
sathan,1,0.00392156862745098
guari,1,0.00392156862745098
censfeptante,1,0.00392156862745098
fai,1,0.00392156862745098
confeffà,1,0.00392156862745098
eftär,1,0.00392156862745098
donna,1,0.00392156862745098
aü,1,0.00392156862745098
diapour,1,0.00392156862745098
ilne,1,0.00392156862745098
viédroit,1,0.00392156862745098
toft,1,0.00392156862745098
apres,1,0.00392156862745098
alla,1,0.00392156862745098
cacher,1,0.00392156862745098
doc,1,0.00392156862745098
voftre,1,0.00392156862745098
feruiteur,1,0.00392156862745098
fift,1,0.00392156862745098
confciéce,1,0.00392156862745098
nés,1,0.00392156862745098
moy,1,0.00392156862745098
refpondit,1,0.00392156862745098
iele,1,0.00392156862745098
veux,1,0.00392156862745098
eh,1,0.00392156862745098
quien,1,0.00392156862745098
recha,1,0.00392156862745098
pa,1,0.00392156862745098
cen,1,0.00392156862745098
chofe,1,0.00392156862745098
nouuelle,1,0.00392156862745098
lequelau,1,0.00392156862745098
parauant,1,0.00392156862745098
esté,1,0.00392156862745098
cinq,1,0.00392156862745098
fix,1,0.00392156862745098
ans,1,0.00392156862745098
eftro,1,0.00392156862745098
piat,1,0.00392156862745098
pere,1,0.00392156862745098
ad,1,0.00392156862745098
uerty,1,0.00392156862745098
dou,1,0.00392156862745098
mefmes,1,0.00392156862745098
galen,1,0.00392156862745098
confesse,1,0.00392156862745098
ila,1,0.00392156862745098
efte,1,0.00392156862745098
celte,1,0.00392156862745098
forte,1,0.00392156862745098
foix,1,0.00392156862745098
vie,1,0.00392156862745098
prifonniere,1,0.00392156862745098
priéle,1,0.00392156862745098
dia,1,0.00392156862745098
guefon,1,0.00392156862745098
fait,1,0.00392156862745098
refponce,1,0.00392156862745098
ileftoit,1,0.00392156862745098
impoffi,1,0.00392156862745098
