Collocate,Count,Frequency,obs/exp,p-value
malade,15,0.047619047619047616,1.0,0.574014535797724
à,4,0.012698412698412698,1.0,0.6375944589539051
plus,3,0.009523809523809525,0.9999999999999999,0.6569988057294558
bié,3,0.009523809523809525,0.9999999999999999,0.6569988057294558
sor,3,0.009523809523809525,0.9999999999999999,0.6569988057294558
comme,2,0.006349206349206349,1.0,0.68809761069823
dit,2,0.006349206349206349,1.0,0.68809761069823
puis,2,0.006349206349206349,1.0,0.68809761069823
femme,2,0.006349206349206349,1.0,0.68809761069823
mort,2,0.006349206349206349,1.0,0.68809761069823
extremité,2,0.006349206349206349,1.0,0.68809761069823
chariot,2,0.006349206349206349,1.0,0.68809761069823
or,2,0.006349206349206349,1.0,0.68809761069823
cinq,2,0.006349206349206349,1.0,0.68809761069823
refponce,2,0.006349206349206349,1.0,0.68809761069823
mourut,2,0.006349206349206349,1.0,0.68809761069823
alla,2,0.006349206349206349,1.0,0.68809761069823
confciéce,2,0.006349206349206349,1.0,0.68809761069823
finlesor,2,0.006349206349206349,1.0,0.68809761069823
dift,2,0.006349206349206349,1.0,0.68809761069823
do,2,0.006349206349206349,1.0,0.68809761069823
nés,2,0.006349206349206349,1.0,0.68809761069823
eh,2,0.006349206349206349,1.0,0.68809761069823
fici,2,0.006349206349206349,1.0,0.68809761069823
ure,2,0.006349206349206349,1.0,0.68809761069823
préd,2,0.006349206349206349,1.0,0.68809761069823
emporter,1,0.0031746031746031746,1.0,0.7503974562798092
aucun,1,0.0031746031746031746,1.0,0.7503974562798092
confentemeht,1,0.0031746031746031746,1.0,0.7503974562798092
loy,1,0.0031746031746031746,1.0,0.7503974562798092
tellement,1,0.0031746031746031746,1.0,0.7503974562798092
ay,1,0.0031746031746031746,1.0,0.7503974562798092
tnis,1,0.0031746031746031746,1.0,0.7503974562798092
feulei,1,0.0031746031746031746,1.0,0.7503974562798092
incnt,1,0.0031746031746031746,1.0,0.7503974562798092
exemple,1,0.0031746031746031746,1.0,0.7503974562798092
fera,1,0.0031746031746031746,1.0,0.7503974562798092
aduienne,1,0.0031746031746031746,1.0,0.7503974562798092
grand,1,0.0031746031746031746,1.0,0.7503974562798092
mal,1,0.0031746031746031746,1.0,0.7503974562798092
quand,1,0.0031746031746031746,1.0,0.7503974562798092
guariffent,1,0.0031746031746031746,1.0,0.7503974562798092
tirer,1,0.0031746031746031746,1.0,0.7503974562798092
deuotion,1,0.0031746031746031746,1.0,0.7503974562798092
aufhi,1,0.0031746031746031746,1.0,0.7503974562798092
ilrour,1,0.0031746031746031746,1.0,0.7503974562798092
ydes,1,0.0031746031746031746,1.0,0.7503974562798092
fecoucha,1,0.0031746031746031746,1.0,0.7503974562798092
onlong,1,0.0031746031746031746,1.0,0.7503974562798092
fur,1,0.0031746031746031746,1.0,0.7503974562798092
marmottant,1,0.0031746031746031746,1.0,0.7503974562798092
quel,1,0.0031746031746031746,1.0,0.7503974562798092
quesmots,1,0.0031746031746031746,1.0,0.7503974562798092
garie,1,0.0031746031746031746,1.0,0.7503974562798092
quoy,1,0.0031746031746031746,1.0,0.7503974562798092
fonges,1,0.0031746031746031746,1.0,0.7503974562798092
veritas,1,0.0031746031746031746,1.0,0.7503974562798092
carfouuentl,1,0.0031746031746031746,1.0,0.7503974562798092
homme,1,0.0031746031746031746,1.0,0.7503974562798092
cftantau,1,0.0031746031746031746,1.0,0.7503974562798092
poin,1,0.0031746031746031746,1.0,0.7503974562798092
pro,1,0.0031746031746031746,1.0,0.7503974562798092
phetize,1,0.0031746031746031746,1.0,0.7503974562798092
jamais,1,0.0031746031746031746,1.0,0.7503974562798092
prophetizé,1,0.0031746031746031746,1.0,0.7503974562798092
cheute,1,0.0031746031746031746,1.0,0.7503974562798092
eftoille,1,0.0031746031746031746,1.0,0.7503974562798092
oule,1,0.0031746031746031746,1.0,0.7503974562798092
bris,1,0.0031746031746031746,1.0,0.7503974562798092
eftantle,1,0.0031746031746031746,1.0,0.7503974562798092
dansle,1,0.0031746031746031746,1.0,0.7503974562798092
celà,1,0.0031746031746031746,1.0,0.7503974562798092
fignifie,1,0.0031746031746031746,1.0,0.7503974562798092
lesanciens,1,0.0031746031746031746,1.0,0.7503974562798092
remarquoient,1,0.0031746031746031746,1.0,0.7503974562798092
chose,1,0.0031746031746031746,1.0,0.7503974562798092
void,1,0.0031746031746031746,1.0,0.7503974562798092
dimét,1,0.0031746031746031746,1.0,0.7503974562798092
horoscope,1,0.0031746031746031746,1.0,0.7503974562798092
oppofi,1,0.0031746031746031746,1.0,0.7503974562798092
tion,1,0.0031746031746031746,1.0,0.7503974562798092
quartier,1,0.0031746031746031746,1.0,0.7503974562798092
lune,1,0.0031746031746031746,1.0,0.7503974562798092
guarie,1,0.0031746031746031746,1.0,0.7503974562798092
moins,1,0.0031746031746031746,1.0,0.7503974562798092
euft,1,0.0031746031746031746,1.0,0.7503974562798092
mefme,1,0.0031746031746031746,1.0,0.7503974562798092
prié,1,0.0031746031746031746,1.0,0.7503974562798092
sathan,1,0.0031746031746031746,1.0,0.7503974562798092
guari,1,0.0031746031746031746,1.0,0.7503974562798092
vaudroit,1,0.0031746031746031746,1.0,0.7503974562798092
mil,1,0.0031746031746031746,1.0,0.7503974562798092
censfeptante,1,0.0031746031746031746,1.0,0.7503974562798092
fai,1,0.0031746031746031746,1.0,0.7503974562798092
confeffà,1,0.0031746031746031746,1.0,0.7503974562798092
eftär,1,0.0031746031746031746,1.0,0.7503974562798092
donna,1,0.0031746031746031746,1.0,0.7503974562798092
aü,1,0.0031746031746031746,1.0,0.7503974562798092
diapour,1,0.0031746031746031746,1.0,0.7503974562798092
otic,1,0.0031746031746031746,1.0,0.7503974562798092
fit,1,0.0031746031746031746,1.0,0.7503974562798092
ilne,1,0.0031746031746031746,1.0,0.7503974562798092
viédroit,1,0.0031746031746031746,1.0,0.7503974562798092
toft,1,0.0031746031746031746,1.0,0.7503974562798092
apres,1,0.0031746031746031746,1.0,0.7503974562798092
cacher,1,0.0031746031746031746,1.0,0.7503974562798092
futtrouuee,1,0.0031746031746031746,1.0,0.7503974562798092
dece,1,0.0031746031746031746,1.0,0.7503974562798092
ennemis,1,0.0031746031746031746,1.0,0.7503974562798092
donnez,1,0.0031746031746031746,1.0,0.7503974562798092
doc,1,0.0031746031746031746,1.0,0.7503974562798092
voftre,1,0.0031746031746031746,1.0,0.7503974562798092
feruiteur,1,0.0031746031746031746,1.0,0.7503974562798092
fift,1,0.0031746031746031746,1.0,0.7503974562798092
moy,1,0.0031746031746031746,1.0,0.7503974562798092
refpondit,1,0.0031746031746031746,1.0,0.7503974562798092
iele,1,0.0031746031746031746,1.0,0.7503974562798092
veux,1,0.0031746031746031746,1.0,0.7503974562798092
quien,1,0.0031746031746031746,1.0,0.7503974562798092
recha,1,0.0031746031746031746,1.0,0.7503974562798092
pa,1,0.0031746031746031746,1.0,0.7503974562798092
cen,1,0.0031746031746031746,1.0,0.7503974562798092
chofe,1,0.0031746031746031746,1.0,0.7503974562798092
nouuelle,1,0.0031746031746031746,1.0,0.7503974562798092
heritier,1,0.0031746031746031746,1.0,0.7503974562798092
lequelau,1,0.0031746031746031746,1.0,0.7503974562798092
parauant,1,0.0031746031746031746,1.0,0.7503974562798092
esté,1,0.0031746031746031746,1.0,0.7503974562798092
fix,1,0.0031746031746031746,1.0,0.7503974562798092
ans,1,0.0031746031746031746,1.0,0.7503974562798092
eftro,1,0.0031746031746031746,1.0,0.7503974562798092
piat,1,0.0031746031746031746,1.0,0.7503974562798092
pere,1,0.0031746031746031746,1.0,0.7503974562798092
ad,1,0.0031746031746031746,1.0,0.7503974562798092
uerty,1,0.0031746031746031746,1.0,0.7503974562798092
auoient,1,0.0031746031746031746,1.0,0.7503974562798092
aucune,1,0.0031746031746031746,1.0,0.7503974562798092
dou,1,0.0031746031746031746,1.0,0.7503974562798092
mefmes,1,0.0031746031746031746,1.0,0.7503974562798092
galen,1,0.0031746031746031746,1.0,0.7503974562798092
confesse,1,0.0031746031746031746,1.0,0.7503974562798092
ila,1,0.0031746031746031746,1.0,0.7503974562798092
efte,1,0.0031746031746031746,1.0,0.7503974562798092
celte,1,0.0031746031746031746,1.0,0.7503974562798092
forte,1,0.0031746031746031746,1.0,0.7503974562798092
foix,1,0.0031746031746031746,1.0,0.7503974562798092
vie,1,0.0031746031746031746,1.0,0.7503974562798092
demy,1,0.0031746031746031746,1.0,0.7503974562798092
prifonniere,1,0.0031746031746031746,1.0,0.7503974562798092
