token_,count
definition dv,1
dv or,1
or cle,1
cle r,1
r chapitre,1
chapitre premier,4
premier és,1
és orrcer,1
orrcer eftceluy,1
eftceluy moyens,1
moyens tns,1
tns co,1
co diaboliques,1
diaboliques breit,1
breit effort,1
effort su,1
su parucnir,1
parucnir quelque,1
quelque chofe,18
chofe ay,1
ay pofe,1
pofe ye,1
ye cefte,1
cefte definition,1
definition neceflaire,1
neceflaire feu,1
feu rd,1
rd nonfeulémentpour,1
nonfeulémentpour entédre,1
entédre trai,1
trai re,1
re é,1
é ainsauffi,1
ainsauffi pourles,1
pourles iugemensque,1
iugemensque fault,1
fault rendre,1
rendre contre,1
contre sorciers,10
sorciers quia,1
quia cl,1
cl é,1
é ob,1
ob misiufq,1
misiufq lesicy,1
lesicy detous,1
detous cfcript,1
cfcript sorciers,1
sorciers neantmoins,1
neantmoins fondement,1
fondement fur,1
fur lequel,3
lequel faut,1
faut baftirce,1
baftirce traité,1
traité deduifàns,1
deduifàns donc,1
donc nu,1
nu noftre,1
noftre definition,1
definition premierement,1
premierement ay,1
ay mis,3
mis mot,2
mot sciemment,3
sciemment puifqu,1
puifqu sl,1
sl cít,1
cít ainfi,1
ainfi erreur,1
erreur emporter,1
emporter aucun,1
aucun confentemeht,1
confentemeht comme,1
comme dit,21
dit loy,2
loy tellement,1
tellement malade,1
malade ay,1
ay tnis,1
tnis feulei,1
feulei incnt,1
incnt exemple,1
exemple fera,1
fera plus,2
plus amplement,1
amplement declare,1
declare cy,1
cy apres,14
apres enfon,1
enfon lieu,1
lieu mbil,1
mbil dere,1
dere gui,1
gui hdyh,1
hdyh dde,1
dde att,1
att quil,1
quil penfoit,1
penfoit ho,1
ho mme,1
mme del,1
del bien,1
bien point,1
point sor,1
sor cler,2
cler iufte,1
iufte caufe,1
caufe di,1
di enorance,1
enorance non,1
non nes,1
nes sorcters,1
sorcters faut,1
faut fcauoir,1
fcauoir quels,1
quels moyens,1
moyens diaboli,1
diaboli ques,2
ques mot,1
mot diable,1
diable fignifie,1
fignifie grec,2
grec calom,1
calom é,1
é niateur,1
niateur parce,1
parce quilefpie,1
quilefpie toufioursles,1
toufioursles aétions,1
aétions td,1
td ag,1
ag gens,1
gens vertueux,1
vertueux comme,1
comme void,4
void cícripture,1
cícripture gent,1
gent lain,1
lain calomnie,1
calomnie deuant,1
deuant dieu,3
dieu etles,1
etles moyens,1
moyens diaboliques,8
diaboliques fuperftitions,1
fuperftitions impietez,1
impietez con,1
con trouuées,1
trouuées enfeignées,1
enfeignées satan,1
satan fes,1
fes feruiteurs,3
feruiteurs ruiner,1
ruiner perdition,1
perdition genre,1
genre humain,9
humain celte,1
celte cauíe,1
cauíe hebrieux,1
hebrieux appellé,1
appellé satan,1
satan cest,1
cest lib,1
lib sapient,1
sapient dire,1
dire ennemy,1
ennemy comme,1
dit salomon,5
salomon dieu,1
dieu fule,1
fule creé,1
creé homme,1
homme image,1
image immortel,1
immortel cgit,1
cgit enuie,1
enuie satan,1
satan mort,1
mort cit,1
cit entree,1
entree lobe,1
lobe monde,1
monde quieftauffi,1
quieftauffi recitéen,1
recitéen plusieurs,1
plusieurs lieux,3
lieux del,1
del icripture,1
icripture fainéte,1
fainéte enquoy,1
enquoy prefuppofe,1
prefuppofe non,1
non feule,5
feule mét,3
mét ennemy,1
ennemy genre,2
humain ainsauffi,1
ainsauffi ila,1
ila eftécreé,1
eftécreé dés,1
dés commencement,1
commencement commeileft,1
commeileft job,1
job cap,1
cap dict,1
dict eniob,1
eniob etnonfeulementlafaincte,1
etnonfeulementlafaincte efcripture,1
efcripture ains,1
ains ausl,1
ausl tous,1
tous academiciens,1
academiciens peripateticiens,1
peripateticiens stoiciens,1
stoiciens arabes,1
arabes demeurét,1
demeurét accord,4
accord exiften,1
exiften efprits,1
efprits tellement,1
tellement quele,1
quele reuoqueren,1
reuoqueren doubte,2
doubte comme,1
comme atheiítes,1
atheiítes epicuriens,1
epicuriens ceferoitnier,1
ceferoitnier lesprincipes,1
lesprincipes detoutela,1
detoutela metaphyfique,1
metaphyfique exiftence,1
exiftence her,1
her dien,1
dien demoftree,1
demoftree ariftote,1
ariftote mou,1
mou fic,1
fic meta,1
meta uemét,1
uemét corps,1
corps celeftes,9
celeftes attribue,1
attribue efprits,1
efprits intelligences,1
intelligences mot,1
mot efprits,1
efprits entend,1
entend anges,1
anges dzmons,2
dzmons combien,1
combien platon,2
platon plutarque,1
plutarque porphyre,1
porphyre iamblique,1
iamblique plotin,1
plotin tiennent,1
tiennent quil,1
quil bons,1
bons mauuais,6
mauuais demons,1
demons chre,1
chre dier,1
dier sita,1
sita ftiens,1
ftiens prennent,1
prennent toufiours,1
toufiours lemot,1
lemot demons,1
demons lib,1
lib malings,1
malings cfp,1
cfp cits,1
cits mefmes,1
mefmes determination,1
determination refoluë,1
refoluë lin,1
lin re,1
re tpremiter,1
tpremiter lasorbonnele,1
lasorbonnele septembre,1
septembre condamne,1
condamne gui,1
gui da,1
da comme,1
comme herctiques,1
herctiques tiennent,1
tiennent rdi,1
rdi bonsdemons,1
bonsdemons fuyuantl,1
fuyuantl aduis,1
aduis anciens,1
anciens docteurs,2
docteurs uk,1
uk toutainíi,1
toutainíi queles,1
queles efprits,2
efprits angeliques,1
angeliques toufiours,1
toufiours bus,1
bus estimez,1
estimez bons,1
bons quieft,1
quieft refolution,1
refolution trefbonne,1
trefbonne contra,1
contra pe,1
pe neceffaire,1
neceffaire trancher,1
trancher excufe,1
excufe impieté,1
impieté lag,1
lag ium,1
ium lib,1
lib quiappellent,1
quiappellent inuoquentles,1
inuoquentles diables,1
diables foubz,1
foubz voile,3
voile bons,1
bons dæmons,2
dæmons quant,1
quant origine,1
origine mons,1
mons eftchofe,1
eftchofe bien,1
bien fort,16
