token_,count
morbo facro,1
iefus chrift,1
paul grilland,1
thomas aquin,1
images cire,1
dia ble,1
genre humain,1
presomptions violentes,1
grecs latins,1
demeurent accord,1
ville laon,1
caufes naturelles,1
ef prit,1
mal caduc,1
bons mauuais,1
cas pareil,1
figure humaine,1
mil cinq,1
long temps,1
aage douze,1
quei ay,1
cens cinquante,1
cinq cens,1
moyens diaboliques,1
moyens naturels,1
mefme autheur,1
cy dessus,1
quel quesfois,1
malins esprits,1
li ure,1
maling esprit,1
toutes fortes,1
vertu paroles,1
fans reproche,1
malin esprit,1
malings esprits,1
moyens illicites,1
paruenir quelque,1
monstré cy,1
enla loy,1
ceftuy cy,1
exprefle auec,1
grand nombre,1
ie mettray,1
quelques parolles,1
douze ans,1
telles gens,1
dirons cy,1
premiere fois,1
livre troisiesme,1
livre quatriesme,1
livre troisieme,1
mot hebrieu,1
ie fuis,1
toute viue,1
corps celestes,1
tous vifs,1
ceste cause,1
livre qvatriesm,1
livre second,1
parlé cy,1
tefmoing fans,1
quelques uns,1
dela mirande,1
an mil,1
forte raison,1
ay leu,1
ie dy,1
pere mere,1
peut veoir,1
non feule,1
ains seulement,1
copulation auec,1
disant quelques,1
livre morbo,1
auffi toft,1
quelques paroles,1
non seulement,1
quelque chose,1
condemnation mort,1
cas femblable,1
mettray point,1
beaucoup moins,1
fes creatures,1
cest dire,1
parce moyen,1
esprit humain,1
ay remarqué,1
peu peu,1
parle moyen,1
parla loy,1
ains aufli,1
contre charmes,1
livre premier,1
faut donc,1
iours apres,1
ceste opinion,1
mil ans,1
corps ame,1
choses naturelles,1
corps humain,1
ceste caufe,1
hommes beftes,1
ceste ville,1
renier dieu,1
cy deuant,1
telles choses,1
quelques fois,1
dit salomon,1
plus deteftables,1
leurs enfans,1
maistre sorcier,1
prince dela,1
faire entendre,1
gens bien,1
plusieurs fois,1
lieu où,1
deux cens,1
peut voir,1
autres crimes,1
ceste forte,1
celle cy,1
plus eftrange,1
cy apres,1
quelque temps,1
quel esprit,1
dieu permet,1
plus grands,1
toutes choses,1
deux trois,1
prier dieu,1
tous anciens,1
autres peuples,1
parole dieu,1
dire verité,1
tous peuples,1
bien voulu,1
dela mere,1
faire croire,1
faire mourir,1
dela ville,1
laloy dieu,1
quele diable,1
fait mourir,1
oeuvres dieu,1
quand ilz,1
plus outre,1
ains auffi,1
plus haut,1
contre nature,1
dela terre,1
comme dirons,1
plus deteftable,1
merueilles dieu,1
tout cela,1
entre deux,1
quele sorcier,1
loy dieu,1
plus grande,1
ay veu,1
peu apres,1
auec sathan,1
tout ainsi,1
plus forte,1
beaucoup plus,1
bien certain,1
dela loy,1
uns autres,1
sorciers peuvent,1
plus grand,1
bien fort,1
plus certaine,1
faire preuve,1
autres choses,1
grand sorcier,1
bien souvent,1
autre lieu,1
fur peine,1
parle diable,1
puis apres,1
dela peine,1
nom dieu,1
comme fift,1
autre chose,1
peut dire,1
comme dict,1
dieu donne,1
fai re,1
peut faire,1
di cy,1
quand elles,1
com bien,1
bien mal,1
entre autres,1
auec autres,1
f f,1
contre sorciers,1
comme dit,1
cft dit,1
encores plus,1
fur tout,1
comme di,1
comme difoit,1
auec diable,1
comme cas,1
dieu veut,1
rien plus,1
quand di,1
vray dieu,1
homme bien,1
esprit dieu,1
tous autres,1
faut bien,1
faut faire,1
tous sorciers,1
non plus,1
fait bien,1
dieu parle,1
comme sorcier,1
comme quand,1
comme celuy,1
mort comme,1
dieu fai,1
point plus,1
dieu encores,1
comme peut,1
dieu celuy,1
sorciers comme,1
dit dieu,1
dire dieu,1
dieu peut,1
dieu comme,1
dieu fait,1
dieu di,1
