token_,count
naturam adit pana,1
bouuin bailly chafteau,1
felin ye nies,1
pres villiers cofterets,1
cognoift veué œil,1
vol oy feaux,1
pana non attraxerit,1
adam martin procureur,1
adit pana non,1
frappé maladie foudaine,1
aueugle pendu paris,1
bruflées toutes viues,1
vingt quatre heures,1
iln befoin efcrire,1
confirmatif dela fentence,1
maladies venues fortileges,1
procureur roy ribemont,1
diminuer nombre mefchans,1
maistre adam martin,1
iour feurier mil,1
feurier mil cinq,1
ennemys genre humain,1
és crimes atroces,1
creé ciel laterre,1
hipocrate livre morbo,1
