token_,count
dieu,640
comme,462
plus,412
sorciers,355
bien,298
livre,261
faire,232
autres,221
diable,210
di,207
peut,191
in,189
tous,177
dit,174
point,174
dela,168
fur,167
fait,167
faut,162
mort,162
sathan,160
quand,158
dire,149
tout,146
re,144
apres,143
f,143
celuy,138
sans,136
ceste,133
autre,133
ie,132
o,129
choses,129
hommes,125
loy,122
deux,120
fai,120
auec,120
encores,120
aussi,118
sorcier,117
chose,116
non,116
plusieurs,113
fort,111
cft,107
fes,102
foit,102
homme,101
dict,100
corps,100
veu,100
ay,99
contre,98
puis,97
elles,95
grand,94
or,92
an,91
esprits,90
entre,89
esprit,89
cy,87
lieu,86
ainsi,85
queles,85
sorciere,85
moyen,85
fin,84
cas,83
cela,82
quelque,80
quel,80
toutes,80
r,79
leurs,78
toute,78
ans,78
premier,77
pourquoy,76
roy,76
dift,76
mal,75
rien,75
mot,73
quelques,73
monde,72
nature,72
doit,71
mesme,71
mourir,71
co,70
con,70
er,70
depuis,70
mesmes,69
peine,69
quele,68
sorcieres,68
parle,66
preuve,66
neantmoins,65
quil,65
void,65
com,63
moyens,62
quoy,62
trois,62
deuant,61
peu,61
vie,60
moins,60
ains,59
femme,59
temps,59
q,59
b,57
verité,57
combien,56
diables,56
hebrieux,55
pre,55
li,54
difoit,54
peuple,53
del,52
forte,52
lequel,51
faict,51
efté,51
autant,51
ad,51
second,51
ilz,51
celle,50
là,50
fois,50
pa,49
ensans,49
telles,49
anges,48
lib,47
ex,47
come,47
si,47
où,47
efcript,47
toufiours,46
pres,46
euft,46
forme,46
fille,46
uns,45
laquelle,45
pere,45
ment,45
puiflance,45
souvent,45
vray,45
pe,44
u,44
chacun,44
ef,44
malins,44
diét,44
anciens,43
ap,43
fift,43
ame,43
h,43
crime,43
raison,42
faifoit,42
terre,42
iamais,42
ff,42
ila,41
appelle,41
mil,41
cens,41
dessus,41
aufli,41
perfonnes,41
veut,41
no,41
donc,40
fera,40
aduis,40
cn,40
pro,40
ur,40
tant,40
oit,40
feu,39
cap,39
quant,39
pat,39
voir,39
face,39
alors,39
ue,38
celà,38
partie,38
toutesfois,38
cinq,38
ville,38
caufe,37
fignifie,37
difent,37
certain,37
fuft,37
paroles,37
ja,37
mere,37
mis,36
opinion,36
ciel,36
nc,36
ya,36
iuges,36
és,35
malings,35
hiftoire,35
per,35
beaucoup,35
maladie,35
eftant,35
ca,35
peuples,35
naturelles,35
iufques,35
mots,35
foy,34
peuvent,34
telle,34
parles,34
maistre,33
lesautres,33
ec,33
enfant,33
it,33
procés,33
quia,32
escripture,32
bons,32
chap,32
ll,32
force,32
quelquesfois,32
fçauoir,32
iour,32
fit,32
parce,31
accord,31
at,31
parla,31
aage,31
ic,31
grande,31
tion,31
g,31
ft,31
dedans,31
res,31
al,31
ge,31
eau,31
crimes,31
humain,30
aristote,30
tiennent,30
el,30
beftes,30
disant,30
jamais,30
tre,30
seulement,30
queftion,30
naturelle,30
quatriesme,30
cest,29
impieté,29
met,29
oy,29
pareil,29
voyant,29
lors,29
ena,29
pays,29
do,29
loix,29
ho,28
prince,28
yeux,28
voix,28
humaine,28
pierre,28
main,28
honneur,28
trouua,28
iours,28
ve,28
fils,28
elt,28
iugement,28
chapitre,27
va,27
mer,27
quelle,27
empereur,27
maladies,27
parlant,27
croire,27
femble,27
ar,27
remarqué,27
ques,26
da,26
tousles,26
nombre,26
im,26
foudain,26
femmes,26
faisant,26
mettre,26
caril,26
quine,26
foubs,26
lune,26
op,26
puiffance,26
certaine,26
tel,26
nom,26
celestes,25
perfonne,25
maisil,25
parties,25
lifons,25
tres,25
ges,25
vnc,25
ordinaire,25
voulu,25
premiere,25
moyfe,25
grands,25
princes,25
creatures,25
quad,25
mieux,25
charmes,25
gens,24
cit,24
grace,24
he,24
quela,24
us,24
cause,24
bon,24
paris,24
ange,24
duquel,24
dc,24
facrifices,24
nui,24
ure,24
france,24
femblable,24
auoyent,24
voit,24
allemaigne,24
plutarque,23
matiere,23
àla,23
oeuvres,23
soleil,23
pluftoft,23
ble,23
quis,23
lon,23
contraire,23
vertu,23
sil,23
ray,23
porte,23
quatre,23
parler,23
prophetes,23
dieux,23
brufler,23
feroit,23
cc,23
noir,23
tou,23
vi,23
lo,23
peines,23
diaboliques,22
lieux,22
té,22
prendre,22
ordinairement,22
dé,22
grecs,22
ua,22
donné,22
ae,22
trouué,22
propos,22
marque,22
malin,22
avoient,22
trouue,22
heure,22
donne,22
presomptions,22
salomon,21
enl,21
iu,21
sain,21
ac,21
beau,21
lc,21
ab,21
bié,21
donner,21
dauid,21
lessorciers,21
religion,21
mary,21
ls,21
nt,21
tué,21
eftoyent,21
nes,20
quieft,20
na,20
ion,20
paul,20
mo,20
air,20
ent,20
mefchans,20
six,20
diuine,20
autrement,20
tantoft,20
fc,20
vifion,20
lay,20
ui,20
samuel,20
prieres,20
dece,20
leu,20
cent,20
outre,20
tient,20
fs,20
confefla,20
moy,19
cho,19
auquel,19
quien,19
bonne,19
appellent,19
peur,19
pierres,19
nb,19
id,19
dicu,19
dirons,19
ci,19
fonges,19
garder,19
dont,19
cha,19
celles,19
mettray,19
defendu,19
mains,19
maifon,19
po,19
so,19
recite,19
aller,19
bouc,19
fer,19
troisiesme,19
proceder,19
presomption,19
coll,19
exemple,18
platon,18
mauuais,18
dæmons,18
ceft,18
ij,18
illuy,18
ir,18
thomas,18
fain,18
figure,18
deteftable,18
deteftables,18
cs,18
iuftice,18
hebrieu,18
pris,18
iij,18
tuer,18
pr,18
veulent,18
ii,18
femblables,18
eftoient,18
uo,18
nommé,18
venir,18
poudres,18
bouche,18
douze,18
qua,18
voulut,18
guerir,18
é,17
erreur,17
payens,17
beaux,17
long,17
hom,17
plu,17
garde,17
condamné,17
cftoit,17
commeil,17
lu,17
files,17
eaux,17
ter,17
haut,17
fortes,17
humaines,17
entendre,17
feul,17
for,17
parlé,17
fu,17
filles,17
onb,17
mois,17
magie,17
vraye,17
viue,17
plein,17
ch,17
fept,17
cinquante,17
quife,17
mille,17
certaines,17
em,17
dix,17
iuge,17
puny,17
sort,17
ventre,17
clle,17
charge,17
confeflion,17
luge,17
droit,17
nu,16
cít,16
demons,16
docteurs,16
foubz,16
vengeance,16
diabolique,16
fine,16
actions,16
cieux,16
ct,16
mm,16
dequoy,16
part,16
vouloir,16
dormant,16
toft,16
aa,16
effe,16
z,16
vont,16
ts,16
vnautre,16
w,16
idolatrie,16
pu,16
attendu,16
prophete,16
entendu,16
die,16
hors,16
esté,16
monstré,16
laon,16
col,16
lasorciere,16
file,16
punition,16
parolles,16
homicide,16
malade,15
grec,15
feule,15
mou,15
voile,15
chair,15
propre,15
corruption,15
copulation,15
maling,15
pouuoit,15
plantes,15
foient,15
vfent,15
be,15
animaux,15
cftre,15
dic,15
vouloit,15
prophetie,15
eftle,15
uoir,15
prier,15
quafi,15
ant,15
che,15
cfté,15
print,15
difference,15
icy,15
quin,15
eftrange,15
merite,15
livres,15
anneau,15
royaume,15
ennemis,15
dy,15
lé,15
preftre,15
ofter,15
fang,15
aucune,15
couftume,15
illicites,15
fila,15
images,15
proces,15
pieds,15
cheual,15
cire,15
bald,15
ennemy,14
dedieu,14
oracles,14
pi,14
toit,14
ri,14
latins,14
defquels,14
foyent,14
cour,14
demeurent,14
aucc,14
fr,14
crainte,14
eftat,14
merueilles,14
hiftoires,14
confeffion,14
temple,14
pefte,14
ed,14
monftrer,14
cat,14
autheur,14
fo,14
lb,14
fortileges,14
pline,14
rs,14
pluficurs,14
village,14
nd,14
fel,14
italie,14
accusé,14
faifoyent,14
parlement,14
á,14
tt,14
dessorciers,14
reproche,14
aucun,13
genre,13
dzmons,13
rc,13
is,13
oi,13
dir,13
aquin,13
meímes,13
notoire,13
mouvement,13
auf,13
difons,13
eff,13
ia,13
dernier,13
prefence,13
cueur,13
veillant,13
voulant,13
lt,13
mourut,13
cer,13
vient,13
notable,13
plufpart,13
veritable,13
maison,13
nousavons,13
ayde,13
mi,13
cod,13
bruit,13
confeffa,13
bruflee,13
tit,13
sorcelleries,13
troisieme,13
spranger,13
ye,12
rendre,12
ob,12
tellement,12
sor,12
dés,12
entend,12
pourl,12
deuoit,12
iln,12
theologiens,12
nez,12
quiauoit,12
bles,12
laterre,12
ence,12
poinét,12
faic,12
haute,12
né,12
ra,12
moindre,12
cu,12
maymon,12
lus,12
pourle,12
cf,12
quile,12
trente,12
vifions,12
aprez,12
heures,12
diuines,12
ieune,12
cel,12
iob,12
venu,12
parauant,12
caracteres,12
ti,12
tels,12
um,12
chacune,12
os,12
có,12
attirer,12
