word,count
auoitrien,1
laiflant,1
censquaräte,1
ins,1
difent,1
appelloyent,1
ere,1
grauees,1
affoir,1
ordo,1
trapeia,1
lille,1
ocuure,1
cftant,1
ftoit,1
fauffeté,1
foible,1
ioüeur,1
nouucaux,1
mangeoyent,1
peult,1
veulét,1
medier,1
pill,1
vendoyent,1
ss,1
maleftroir,1
fai,1
eftimez,1
cotracts,1
miere,1
douziefme,1
enauoir,1
differéceaux,1
pres,1
ché,1
pluyes,1
efcripture,1
forgentla,1
ayfance,1
fau,1
fobre,1
autät,1
erain,1
debanquerou,1
vnedi,1
ucilles,1
coufiours,1
detoutes,1
efcriuent,1
braueries,1
athenceau,1
marchás,1
eftimation,1
mel,1
confifqué,1
eam,1
prouencea,1
lachaffe,1
seuere,1
paftel,1
auiourd,1
efcrits,1
anciéne,1
oy,1
quereaux,1
republiques,1
ritier,1
plusla,1
entédte,1
afoiblit,1
laroyne,1
bleds,1
necef,1
monfieur,1
eftimeecinquante,1
ouembre,1
cepoint,1
diminuee,1
verité,1
raiſon,1
prefqueen,1
defpencel,1
natu,1
cheucreau,1
hift,1
perruqueblonc,1
aia,1
premiere,1
fayfon,1
defpence,1
appellant,1
defdaignoyent,1
ofté,1
huitie,1
tirát,1
publiee,1
bailloit,1
coipelleà,1
confciéce,1
pia,1
dou,1
flateurs,1
necefsi,1
efle,1
marchéen,1
quine,1
griue,1
xx,1
arichemét,1
trouueq,1
exempleles,1
fouhaitz,1
pafsé,1
maximilian,1
sempoifonna,1
autat,1
eleétre,1
phi,1
maiftres,1
guce,1
trouue,1
pat,1
iourne,1
graces,1
i,1
vneliure,1
tiqué,1
mettray,1
deleton,1
dreen,1
censtrente,1
frâce,1
abondàce,1
batizant,1
dela,1
nouembre,1
in,1
faillirau,1
lefol,1
outrele,1
parauát,1
defpit,1
liureä,1
poif,1
altera,1
té,1
deliberc,1
nefceurentiamais,1
nopces,1
n,1
&:,1
fonnieren,1
afoiblift,1
charette,1
laguerre,1
qlefpaignol,1
lyon,1
fourfes,1
fang,1
felliers,1
prifer,1
quele,1
arreítees,1
efturgeon,1
monftré,1
netirons,1
defpens,1
quáte,1
caligula,1
antiquitez,1
duit,1
etfionn,1
difentle,1
mefure,1
abondá,1
gageureapres,1
delacs,1
autruy,1
paraifon,1
encherifttout,1
rs,1
rizé,1
rene,1
fufift,1
paratreft,1
deb,1
cau,1
nät,1
femberg,1
grandsieux,1
brouillantl,1
nofttes,1
rabaifsé,1
ven,1
quid,1
detelleconfequence,1
craignäs,1
leferuice,1
deffus,1
decoulaft,1
azoa,1
ameinele,1
eftrá,1
voyôs,1
ul,1
poura,1
pla,1
refte,1
grás,1
fentile,1
maintenät,1
infos,1
ruinees,1
pra,1
nepenfent,1
acouftumerent,1
plutarque,1
fonteines,1
viure,1
afinee,1
letonycuyure,1
iugement,1
fcauoir,1
pert,1
aegypte,1
mefmetemps,1
apauurift,1
aduis,1
veiel,1
t,1
parnozcouftu,1
laraifon,1
ierufa,1
caroluz,1
atffe,1
apercoiue,1
alteree,1
yaplus,1
fcau,1
ilsfe,1
mmm,1
auons,1
valoyent,1
ftroit,1
laiffe,1
mefserre,1
bayone,1
deleftran,1
gn,1
debrasen,1
maneu,1
prénons,1
fauchet,1
atoufiours,1
defon,1
liege,1
ept,1
laiffer,1
fournaizeil,1
plufieurs,1
vefcu,1
chacu,1
ofaften,1
stambol,1
oit,1
ftre,1
veritécft,1
eftà,1
tyrannizét,1
prifez,1
eftrefi,1
george,1
deterres,1
venuz,1
pœil,1
efcuzau,1
cat,1
£,1
punais,1
védues,1
brafsier,1
feure,1
íta,1
menager,1
réuoya,1
mmc,1
excellens,1
entreren,1
uátà,1
orleäs,1
nour,1
foit,1
depouil,1
trouuez,1
debordé,1
çons,1
iours,1
tourno,1
coftantinopole,1
ehemet,1
ouau,1
fuyuant,1
trefor,1
lumiereau,1
legions,1
m,1
commeon,1
quil,1
decarat,1
plurarque,1
ca,1
difette,1
peupleroiton,1
",(",1
ſainte,1
ferpentines,1
alüs,1
forgeat,1
alteré,1
emploirot,1
vignefans,1
derniere,1
tnenuiferie,1
eftonnez,1
obeiflan,1
picius,1
ain,1
poizon,1
flamma,1
reuendre,1
doûteur,1
fouuerains,1
cinquáte,1
neremarchent,1
ceroyaume,1
denozbiens,1
coman,1
furplusil,1
iln,1
enfemble,1
doques,1
iaçoit,1
ſons,1
iceluy,1
pay,1
iniuftice,1
deburoit,1
ila,1
maintenat,1
faifoyét,1
coipelle,1
nelaiffe,1
bondance,1
ſain,1
mettreletouten,1
———,1
rouuer,1
portoyent,1
ambaſſades,1
inftance,1
xxii,1
defruitz,1
eftén,1
croiftreny,1
iuré,1
charroy,1
oultrc,1
censansapresau,1
efcript,1
bts,1
nourir,1
gne,1
fauteen,1
monsievr,1
comei,1
indiget,1
atteflation,1
trafiq,1
intole,1
maneuure,1
hauffa,1
tion,1
perfe,1
ineſtimable,1
nal,1
falez,1
+:,1
tariffent,1
plaifir,1
trefont,1
fons,1
abufoit,1
dif,1
necefsité,1
friqueont,1
iulian,1
jl,1
eftédu,1
pefteen,1
arg,1
excel,1
femble,1
per,1
cheureau,1
geons,1
conſequent,1
payoit,1
cognoiftre,1
ains,1
conchenil,1
bouflole,1
arfenic,1
xi,1
auátage,1
fra,1
plufie,1
ietrouueque,1
"&,",1
lgaire,1
protoge,1
apresauoir,1
auoyent,1
fuffent,1
empc,1
xxxv,1
furuie,1
fuy,1
monnoyene,1
rabatu,1
toutesfoisil,1
mere,1
aporte,1
dcro,1
fueilletter,1
auroyent,1
prouen,1
empor,1
afie,1
congruité,1
neantmoins,1
für,1
iagoit,1
yalent,1
foulagé,1
apaiferla,1
ponát,1
ftatuts,1
feroyent,1
tirerles,1
fintous,1
ferotla,1
teux,1
poge,1
occafion,1
iufques,1
enfans,1
ciriq,1
alterer,1
pter,1
mune,1
cointe,1
produifit,1
damas,1
cautionerent,1
iointaufsique,1
peuttrouuer,1
auiour,1
urauld,1
derompre,1
prouence,1
farcy,1
efcuz,1
oyfeaux,1
nousenfeignent,1
marchandifes,1
cyment,1
arreft,1
empeteur,1
clcu,1
ftalie,1
donques,1
moin,1
auroit,1
hau,1
bes,1
incroy,1
todre,1
quimefla,1
rhin,1
vial,1
forgee,1
deceux,1
combié,1
lat,1
iufte,1
preiudice,1
commei,1
fcript,1
meil,1
pier,1
quenoz,1
ducatz,1
noz,1
marez,1
vfer,1
ledouble,1
annecs,1
frá,1
turcau,1
