token_,count
milieu deux vices,4
souverain bien homme,3
queles gens debien,2
ni bien ni,2
plus belle plus,2
belle plus excellente,2
plus excellente chose,2
plus beau ni,2
fin toutes choses,2
comment peut faire,2
plus grand bien,2
bien aduis aristote,2
tant foit peu,2
entre choses egales,2
moy sil plaift,2
fuir mal fuiure,2
mal fuiure bien,2
fuiure bien fans,2
quelle apparence ail,2
vertus milieu vices,2
iuftice rend chacune,2
beaucoup plus grande,2
plus grande plus,2
entre deux extremitez,2
ange sapience fcience,2
sapience fcience prudence,2
paradoxe moral jean,1
moral jean bodin,1
jean bodin angevin,1
bodin angevin u,1
angevin u ilu,1
u ilu ua,1
ilu ua pasa,1
ua pasa vnefeule,1
pasa vnefeule vertu,1
vnefeule vertu mediocrité,1
vertu mediocrité milieu,1
mediocrité milieu deux,1
deux vices forme,1
vices forme iniu,1
forme iniu pere,1
iniu pere fils,1
pere fils us,1
fils us eftrange,1
us eftrange pere,1
eftrange pere contre,1
pere contre lopinion,1
contre lopinion cómune,1
lopinion cómune quil,1
cómune quil dioc,1
quil dioc ps,1
dioc ps milieu,1
ps milieu deux,1
deux vices cfouuerairi,1
vices cfouuerairi bien,1
cfouuerairi bien hommes,1
bien hommes né,1
hommes né git,1
né git point,1
git point tà,1
point tà ion,1
tà ion dévertu,1
ion dévertu autant,1
dévertu autant quilnya,1
autant quilnya chose,1
quilnya chose plus,1
chose plus desir,1
plus desir laiolif,1
desir laiolif of,1
laiolif of souverain,1
of souverain bien,1
souverain bien icícauroisvolon,1
bien icícauroisvolon tie,1
icícauroisvolon tie sde,1
tie sde grace,1
sde grace voftte,1
grace voftte commodité,1
voftte commodité per,1
commodité per auvray,1
per auvray mis,1
auvray mis auant,1
mis auant paradoxe,1
auant paradoxe ü,1
paradoxe ü yapasvncefeulevertuen,1
ü yapasvncefeulevertuen ée,1
yapasvncefeulevertuen ée quil,1
ée quil vousen,1
quil vousen femblepour,1
vousen femblepour ene,1
femblepour ene pago,1
ene pago ivsirvas,1
pago ivsirvas trouué,1
ivsirvas trouué bien,1
trouué bien ls,1
bien ls riis,1
ls riis question,1
riis question plus,1
question plus belle,1
plus belle lesubicr,1
belle lesubicr quisepre,1
lesubicr quisepre ls,1
quisepre ls combien,1
ls combien ren,1
combien ren id,1
ren id tout,1
id tout tls,1
tout tls seule,1
tls seule àutant,1
seule àutant quele,1
àutant quele fils,1
quele fils peut,1
fils peut demanderau,1
peut demanderau pére,1
demanderau pére nile,1
pére nile pere,1
nile pere accorder,1
pere accorder fils,1
accorder fils chose,1
fils chose plus,1
chose plus raisonable,1
plus raisonable doétrine,1
raisonable doétrine belle,1
doétrine belle honcfte,1
belle honcfte git,1
honcfte git prin,1
git prin cipalementaux,1
prin cipalementaux vertusilluftres,1
cipalementaux vertusilluftres enlaco,1
vertusilluftres enlaco gnoiffance,1
enlaco gnoiffance souverain,1
gnoiffance souverain bien,1
souverain bien acorde,1
bien acorde wet,1
acorde wet volontiers,1
wet volontiers voftrerequefte,1
volontiers voftrerequefte puis,1
voftrerequefte puis plaift,1
puis plaift ainsi,1
plaift ainsi pére,1
ainsi pére pourtenir,1
pére pourtenir ordre,1
pourtenir ordre certain,1
ordre certain com,1
certain com mencemétíeraporteàla,1
com mencemétíeraporteàla fin,1
mencemétíeraporteàla fin milieu,1
fin milieu àlautre,1
milieu àlautre chacune,1
àlautre chacune partieau,1
chacune partieau total,1
partieau total enfei,1
total enfei gnez,1
enfei gnez moy,1
gnez moy vousprie,1
moy vousprie pfemier,1
vousprie pfemier lieus,1
pfemier lieus eet,1
lieus eet quebien,1
eet quebien pe,1
quebien pe quiéft,1
pe quiéft profitable,1
quiéft profitable vtile,1
profitable vtile àcel,1
vtile àcel er,1
àcel er ha,1
er ha ioüiffance,1
ha ioüiffance beaucoup,1
ioüiffance beaucoup chôfes,1
beaucoup chôfes vtiles,1
chôfes vtiles profitables,1
vtiles profitables chäcun,1
profitables chäcun ppel,1
chäcun ppel maïs,1
ppel maïs iefcaurois,1
maïs iefcaurois volótiers,1
iefcaurois volótiers eftleplusgrád,1
volótiers eftleplusgrád bé,1
eftleplusgrád bé bié,1
bé bié eftla,1
bié eftla chofé,1
eftla chofé plus,1
chofé plus vtile,1
plus vtile plus,1
vtile plus á,1
plus á ilnia,1
á ilnia neceffaire,1
ilnia neceffaire toute,1
neceffaire toute creature,1
toute creature peutiinas,1
creature peutiinas wy,1
peutiinas wy giner,1
wy giner dieu,1
giner dieu duquel,1
dieu duquel toutes,1
duquel toutes lesfources,1
toutes lesfources col,1
lesfources col debiens,1
col debiens ontiffues,1
debiens ontiffues rié,1
ontiffues rié demal,1
rié demal éft,1
demal éft celuy,1
éft celuy xad,1
celuy xad b,1
xad b pat,1
b pat pis,1
pat pis privation,1
pis privation comme,1
privation comme quid,1
comme quid di,1
quid di ons,1
di ons tenebres,1
ons tenebres efte,1
tenebres efte faute,1
efte faute lumiere,1
faute lumiere ainsi,1
lumiere ainsi mal,1
ainsi mal peut,1
mal peut dire,1
peut dire defaillance,1
dire defaillance debien,1
defaillance debien b,1
debien b carentousdiícours,1
b carentousdiícours doit,1
carentousdiícours doit premierement,1
doit premierement é,1
premierement é chercherfila,1
é chercherfila chose,1
chercherfila chose dont,1
chose dont queftioneften,1
dont queftioneften nature,1
queftioneften nature parauant,1
nature parauant fenquicte,1
parauant fenquicte quelleclle,1
fenquicte quelleclle cft,1
quelleclle cft pourquoy,1
cft pourquoy quelle,1
pourquoy quelle fnelle,1
quelle fnelle fai,1
fnelle fai sile,1
fai sile mal,1
sile mal rien,1
mal rien fait,1
rien fait mal,1
fait mal fait,1
mal fait sien,1
fait sien îleft,1
sien îleft vray,1
îleft vray cefte,1
vray cefte cafe,1
cefte cafe géul,1
cafe géul atilius,1
géul atilius difoit,1
atilius difoit fort,1
difoit fort propos,1
fort propos vaux,1
propos vaux mieux,1
vaux mieux où,1
mieux où crien,1
où crien arse,1
crien arse cena,1
arse cena di,1
cena di eio,1
di eio nii,1
eio nii pte,1
nii pte mem,1
pte mem vo,1
mem vo quay,1
vo quay eftce,1
quay eftce ift,1
eftce ift quedé,1
ift quedé coñtraireaubien,1
quedé coñtraireaubien ent,1
coñtraireaubien ent termes,1
ent termes philo,1
termes philo fophigonnefedoibt,1
philo fophigonnefedoibt jamais,1
fophigonnefedoibt jamais atrefter,1
jamais atrefter thôrité,1
atrefter thôrité maisil,1
thôrité maisil fautbaläcertoutau,1
maisil fautbaläcertoutau contres,1
fautbaläcertoutau contres pois,1
contres pois raison,1
pois raison carmefmes,1
raison carmefmes atiftotenefic,1
carmefmes atiftotenefic onques,1
atiftotenefic onques mife,1
onques mife ni,1
mife ni tecepte,1
ni tecepte tauthorité,1
tecepte tauthorité maiftre,1
tauthorité maiftre platon,1
maiftre platon non,1
platon non plusque,1
non plusque ide,1
plusque ide toüsles,1
ide toüsles siutrés,1
toüsles siutrés philofophes,1
siutrés philofophes orlonvvoidque,1
philofophes orlonvvoidque nófeu,1
orlonvvoidque nófeu jementariffote,1
nófeu jementariffote mefprisen,1
jementariffote mefprisen cequ,1
mefprisen cequ illia,1
cequ illia faitlgmalcontráireaubicn,1
illia faitlgmalcontráireaubicn ains,1
faitlgmalcontráireaubicn ains auffi,1
ains auffi hx,1
auffi hx quileftimelcbien,1
hx quileftimelcbien fire,1
quileftimelcbien fire fini,1
fire fini mal,1
fini mal infini,1
mal infini o,1
infini o quee,1
o quee mal,1
quee mal proce,1
mal proce cede,1
proce cede be,1
cede be lan,1
be lan mati,1
lan mati plaittfiie,1
mati plaittfiie ene,1
plaittfiie ene cz,1
ene cz dire,1
cz dire ntt,1
dire ntt diétoires,1
ntt diétoires feoyét,1
diétoires feoyét veritable,1
feoyét veritable avri,1
veritable avri dieu,1
avri dieu comme,1
dieu comme affeurons,1
comme affeurons eb,1
affeurons eb vientlemal,1
eb vientlemal ya,1
vientlemal ya point,1
ya point dieu,1
point dieu com,1
dieu com medifentles,1
com medifentles atheiftes,1
medifentles atheiftes vient,1
atheiftes vient bien,1
vient bien dire,1
bien dire mefchans,1
dire mefchans hommes,1
mefchans hommes valét,1
hommes valét rien,1
valét rien ceft,1
rien ceft parler,1
ceft parler impropremé,1
parler impropremé toutesfois,1
impropremé toutesfois ikfautainsi,1
