token_,count
paradoxe,23
moral,1
jean,10
bodin,14
angevin,1
u,3
ilu,1
ua,1
pasa,2
vnefeule,1
vertu,47
mediocrité,12
milieu,10
deux,30
vices,28
forme,3
iniu,1
pere,11
fils,4
us,4
eftrange,2
contre,5
lopinion,1
cómune,1
quil,20
dioc,1
ps,4
cfouuerairi,1
bien,144
hommes,11
né,4
git,22
point,29
tà,1
ion,7
dévertu,1
autant,16
quilnya,1
chofe,29
plus,149
desir,1
laiolif,1
of,2
fouuerain,27
icícauroisvolon,1
tie,2
sde,1
grace,4
voftte,1
commodité,1
per,4
auvray,1
mis,7
auant,1
ü,1
yapasvncefeulevertuen,1
ée,2
vousen,1
femblepour,1
ene,2
pago,1
ivsirvas,1
trouué,3
ls,5
riis,1
question,1
belle,9
lesubicr,1
quisepre,1
combien,9
ren,1
id,2
tout,52
tls,1
seule,1
àutant,1
quele,17
peut,66
demanderau,1
pére,2
nile,1
accorder,2
raifonable,2
doétrine,1
honcfte,2
prin,1
cipalementaux,1
vertusilluftres,1
enlaco,1
gnoiffance,1
acorde,1
wet,1
volontiers,2
voftrerequefte,1
puis,15
plaift,10
ainfi,21
pourtenir,1
ordre,2
certain,4
com,11
mencemétíeraporteàla,1
fin,24
àlautre,1
chacune,9
partieau,1
total,1
enfei,1
gnez,1
moy,8
vousprie,1
pfemier,1
lieus,1
eet,2
quebien,1
pe,10
quiéft,1
profitable,6
vtile,4
àcel,1
er,4
ha,19
ioüiffance,6
beaucoup,18
chôfes,1
vtiles,3
profitables,1
chäcun,1
ppel,1
maïs,1
iefcaurois,1
volótiers,1
eftleplusgrád,1
bé,1
bié,13
eftla,2
chofé,2
á,1
ilnia,1
neceffaire,3
toute,25
creature,4
peutiinas,1
wy,1
giner,1
dieu,113
duquel,7
toutes,41
lesfources,1
col,1
debiens,1
ontiffues,1
rié,3
demal,1
éft,1
celuy,45
xad,1
b,25
pat,3
pis,1
privation,2
comme,37
quid,2
di,12
ons,1
tenebres,3
efte,2
faute,2
lumiere,10
mal,43
dire,30
defaillance,1
debien,6
carentousdiícours,1
doit,3
premierement,2
é,5
chercherfila,1
dont,1
queftioneften,1
nature,19
parauant,1
fenquicte,1
quelleclle,1
cft,23
pourquoy,42
quelle,11
fnelle,1
fai,3
sile,1
rien,30
fait,40
sien,1
îleft,1
vray,3
cefte,11
cafe,2
géul,1
atilius,1
difoit,13
fort,19
propos,8
vaux,2
mieux,14
où,4
crien,1
arse,1
cena,1
eio,1
nii,1
pte,1
mem,2
vo,5
quay,1
eftce,6
ift,1
quedé,1
coñtraireaubien,1
ent,2
termes,1
philo,1
fophigonnefedoibt,1
jamais,10
atrefter,1
thôrité,1
maisil,2
fautbaläcertoutau,1
contres,1
pois,1
raifon,21
carmefmes,1
atiftotenefic,1
onques,4
mife,1
ni,33
tecepte,1
tauthorité,1
maiftre,8
platon,10
non,30
plusque,1
ide,2
toüsles,1
siutrés,1
philofophes,5
orlonvvoidque,1
nófeu,1
jementariffote,1
mefprisen,1
cequ,3
illia,1
faitlgmalcontráireaubicn,1
ains,24
auffi,32
hx,1
quileftimelcbien,1
fire,2
fini,4
infini,12
o,8
quee,1
proce,1
cede,2
be,3
lan,1
mati,1
plaittfiie,1
cz,1
ntt,1
diétoires,1
feoyét,1
veritable,1
avri,1
affeurons,1
eb,2
vientlemal,1
ya,7
medifentles,1
atheiftes,1
vient,9
mefchans,4
valét,1
ceft,5
parler,2
impropremé,1
toutesfois,11
ikfautainfi,1
accommoder,1
menu,3
peuple,1
faire,35
hair,1
actes,4
miechans,1
lefquels,1
damnables,1
foi,2
proprement,2
queles,9
paricides,1
voleurs,1
moins,25
bôs,1
gens,6
honneur,13
fohs,1
éloigne,1
fouucrain,4
an,5
bon,22
puifquele,2
purement,1
fimplement,2
pris,3
manque,4
aucune,4
effence,2
fubftance,2
aiplaceen,1
quine,4
imaginér,1
priuation,3
irnpoffible,1
prenne,1
origine,2
delamatierecreede,1
quiparticipe,1
defà,1
bonté,3
maticreferoit,1
pire,3
feroit,15
encor,21
lvn,1
yautre,1
cómele,1
feu,7
toufiours,11
chaud,2
quéléau,1
chaude,2
chaleur,3
ilfaut,1
donc,28
conclurre,3
matiere,2
és,6
fescompofeesdicelle,1
pes,1
epis,1
aes,2
foit,46
bonne,3
caufe,5
paxranpox,1
comprédre,2
pourquóy,1
lemal,1
côtraire,5
sil,12
con,11
traire,1
autre,25
auroit,3
certaine,5
effen,1
chofei,1
imposible,1
auons,6
monftré,2
ci,2
deffus,7
feroyent,6
tous,31
foubs,2
mefme,20
genre,2
lyne,1
ftoitinfini,1
parlanature,1
chofes,31
contraires,5
voyons,8
eftinfini,1
eü,1
oütes,1
fortes,8
reftre,1
finisni,1
eftant,2
eftoitainfi,1
ari,3
ftotepeníoit,1
füftfini,1
foible,3
ja,8
pieca,1
malice,3
eíftant,1
infinie,7
euft,2
cftaint,1
amortila,1
bontéfinie,1
renuerfé,1
feftat,1
décemonde,1
ainsi,2
ique,2
filefeu,1
longt,1
temps,3
embrázé,1
si,8
