token_,count
roy navarre,5
feu roy,4
plus fort,3
frere aisné,3
deux cens,2
celte ville,2
plus grands,2
grands princes,2
dela chreftienté,2
fes deux,2
dela maison,2
maison lorraine,2
cardinal bourbon,2
maison bourbon,2
fils charles,2
dom anthonio,2
mil liures,2
lettre monsievr,1
monsievr bodin,1
bodin sonsievr,1
sonsievr depuis,1
depuis trorsiours,1
trorsiours amis,1
amis visité,1
visité refcript,1
refcript cftiez,1
cftiez demeuré,1
demeuré fort,1
fort cftonné,1
cftonné eftois,1
eftois licvivr,1
licvivr refponce,1
refponce diray,1
diray queie,1
queie fais,1
fais tres,1
tres aife,1
aife fçauoir,1
fçauoir portez,1
portez bien,1
bien quand,1
quand ve,1
ve jie,1
jie fçaurois,1
fçaurois dire,1
dire tre,1
tre chofe,1
chofe finon,1
finon eftant,1
eftant ville,1
ville tres,1
tres neccflaire,1
neccflaire plus,1
fort party,1
party plus,1
fort ruiné,1
ruiné tour,1
tour certainement,1
certainement ray,1
ray fouftenu,1
fouftenu party,1
party feu,1
roy autant,1
autant charge,1
charge ray,1
ray honneur,1
honneur mé,1
mé per,1
per mis,1
mis iufques,1
iufques voyant,1
voyant fur,1
fur poma,1
poma eflre,1
eflre affommé,1
affommé auec,1
auec deux,1
cens autres,1
autres noient,1
noient roy,1
roy obeiffoisaux,1
obeiffoisaux arrefts,1
arrefts messieurs,1
messieurs parlement,1
parlement deux,1
deux fois,1
fois fu,1
fu rent,1
rent enuoyez,1
enuoyez monsieur,1
monsieur procureur,1
procureur general,1
general outre,1
outre deux,1
deux hommes,1
hommes faillirent,1
faillirent harque,1
harque bufer,1
bufer alors,1
alors dis,1
dis voyant,1
voyant regiment,1
regiment ca,1
ca pitaine,1
pitaine bourg,1
bourg preit,1
preit enirer,1
enirer celte,1
ville tuer,1
tuer piller,1
piller faccager,1
faccager quelon,1
quelon appelloit,1
appelloit listes,1
listes ievoous,1
ievoous coniclle,1
coniclle paffay,1
paffay carriere,1
carriere fouuenant,1
fouuenant maxime,1
maxime tant,1
tant vulgaire,1
vulgaire it,1
it falut,1
falut peuple,1
peuple loy,1
loy fouuerainetjoint,1
fouuerainetjoint visent,1
visent ot,1
ot lad,1
lad cherche,1
cherche loix,1
loix humaines,1
humaines neantmoins,1
neantmoins nou,1
nou rx,1
rx hp,1
hp waóq,1
waóq àà,1
àà cd,1
cd mn,1
mn necefsité,1
necefsité forcee,1
forcee iamais,1
iamais fujetteà,1
fujetteà re,1
re fommes,1
fommes prefques,1
prefques derniers,1
derniers deux,1
cens bon,1
bon nes,1
nes villes,1
villes fept,1
fept parlements,1
parlements france,1
france auons,1
auons entre,1
entre ouuertement,1
ouuertement party,1
party onap,1
onap pelle,1
pelle fain,1
fain catholiques,1
catholiques uk,1
uk çauez,1
çauez iurifconfultes,1
iurifconfultes accouftumé,1
accouftumé refpondre,1
refpondre felon,1
felon faic,1
faic pofé,1
pofé nor,1
nor dire,1
dire toufiours,1
toufiours semble,1
semble tout,1
tout mó,1
mó lors,1
lors eulement,1
eulement befoing,1
befoing declare,1
declare hóme,1
hóme fous,1
fous ciel,1
ciel vou,1
vou fiffe,1
fiffe plu,1
plu loft,1
loft fier,1
fier vie,1
vie hóncur,1
hóncur fçauez,1
fçauez reproches,1
reproches quetant,1
quetant perfonnes,1
perfonnes fur,1
fur tout,1
tout monsieur,1
monsieur dc,1
dc lorges,1
lorges fai,1
fai eftéle,1
eftéle plus,1
plus regalifte,1
regalifte fur,1
fur oncques,1
oncques quali,1
quali tét,1
tét appelle,1
appelle tefmoïg,1
tefmoïg messieurs,1
messieurs cour,1
cour parlement,1
parlement quand,1
quand vint,1
vint ceste,1
ceste ville,1
ville mois,1
mois apres,1
apres maffacre,1
maffacre feu,1
feu monsieur,1
monsieur guise,1
guise com,1
com meie,1
meie feisiurer,1
feisiurer fidelité,1
fidelité obeiffanceau,1
obeiffanceau feu,1
roy tous,1
tous habitás,1
habitás plus,1
plus part,1
part neantmoins,1
neantmoins ceu,1
ceu bien,1
bien faire,1
faire foit,1
foit trouué,1
trouué mefme,1
mefme temps,1
temps ligueur,1
ligueur cofté,1
cofté rega,1
rega lite,1
lite autre,1
autre obtenu,1
obtenu estat,1
estat pouuoit,1
pouuoit causes,1
causes tout,1
tout cótrairestmais,1
cótrairestmais apres,1
apres tout,1
tout bien,1
bien meurement,1
meurement confideré,1
confideré trouve,1
trouve icy,1
icy vray,1
vray iugement,1
iugement dieu,1
dieu point,1
point feulement,1
feulement particulier,1
particulier puis,1
puis mefait,1
mefait comme,1
comme eflát,1
eflát homme,1
homme general,1
general toute,1
toute france,1
france commécé,1
commécé plus,1
princes continuera,1
continuera tant,1
tant auant,1
auant ville,1
ville place,1
place cha,1
cha teau,1
teau bourgade,1
bourgade village,1
village foit,1
foit chaftié,1
chaftié vns,1
vns autres,1
autres quant,1
quant quand,1
quand remply,1
remply feditions,1
feditions maffacres,1
maffacres querelles,1
querelles inimitiez,1
