token_,count
deniers tail taillon,1
arreft deniers tail,1
fuy uant auis,1
troy xv millions,1
feurier mil cinq,1
consentir alienatió domaine,1
heure apres midy,1
decifió defdits cayers,1
prises bonne part,1
prendre bonne part,1
ledit sieur marefchal,1
fes fuiets religion,1
bodin deputé vermandois,1
roy feroit fupplie,1
iour dudit mois,1
feruice roy repos,1
dudit mois trois,1
ledit bodin deputé,1
deputez trois ordres,1
tiers estat af,1
president tiers estat,1
assemblee tiers estat,1
ledit tiers estat,1
deputez trois estats,1
deputez autres estats,1
