token_,count
roy,174
estats,119
deputez,93
estat,84
tiers,76
faire,66
france,65
fait,60
ledit,47
re,47
autres,46
fur,46
apres,44
iour,39
dudit,39
plus,36
trois,34
tous,34
bien,33
leurs,32
comme,32
president,32
dit,32
bodin,31
assemblee,31
royaume,31
paix,31
religion,30
tout,29
quelques,29
noblesse,29
auec,29
fes,28
ladite,28
mefme,26
avoyent,26
deux,26
fans,24
feroit,24
là,22
dieu,22
dela,21
part,21
faite,21
laquelle,20
dc,20
domaine,20
deputé,19
fin,19
fuft,19
tant,19
peut,19
paris,18
entendre,18
cayers,18
mois,18
lesdits,18
eftoyent,17
efte,17
autre,17
cela,17
auis,17
fit,17
seigneur,17
cayer,16
ur,16
u,16
nauarre,16
pre,15
dire,15
charge,15
mis,15
ques,14
di,14
quelque,14
douze,14
chacun,14
sieur,14
peu,13
ue,13
pays,13
dits,13
depute,13
er,13
general,13
lé,13
ordre,13
ay,13
tre,13
ia,12
vns,12
point,12
ville,12
eglife,12
bon,12
clergé,12
lequel,12
guerre,12
si,12
ii,12
refponce,12
it,12
feruice,12
qué,11
ans,11
fix,11
pat,11
donner,11
né,11
depurez,11
pe,11
clerge,11
prouinces,11
moyens,11
millions,11
an,10
roit,10
depu,10
entre,10
af,10
té,10
pout,10
fair,10
ment,10
fai,10
at,10
romaine,10
in,10
celte,10
depuis,10
catholique,10
refolu,10
con,10
plufieurs,10
cefte,10
aucuns,10
aufsi,10
ar,9
grand,9
h,9
ordres,9
où,9
no,9
eftoir,9
eh,9
quoy,9
vouloir,9
pourroit,9
audit,9
ge,9
peuple,9
tion,9
encores,9
bonne,9
ion,9
parle,8
royne,8
dautant,8
tel,8
quel,8
premier,8
vermandois,8
deuoit,8
fat,8
lés,8
für,8
pou,8
arrefte,8
oy,8
autant,8
pro,8
b,8
prendre,8
finances,8
vers,8
tour,8
mil,8
lá,8
non,8
aucune,8
ent,8
delibere,8
ainfi,8
honneur,8
deliberation,8
repos,8
xv,7
quil,7
ter,7
euft,7
tie,7
arreft,7
ve,7
ré,7
compagnie,7
article,7
cha,7
prefidét,7
moys,7
hommes,7
def,7
feroyent,7
auoyét,7
villes,7
co,7
ouyr,7
affemblec,7
prince,7
be,7
icelle,7
elles,7
prin,7
deniers,7
ez,7
cas,7
lc,7
ja,7
requefte,7
defdits,7
chofe,7
edit,7
maiefte,7
ele,7
nom,7
voir,7
fort,7
ic,7
quels,7
deuoir,7
particulier,7
bié,7
mal,7
bigot,7
moins,7
ro,7
lettres,7
mere,6
iu,6
xviii,6
furét,6
esteu,6
ceiour,6
ftat,6
cé,6
voix,6
cependant,6
el,6
bourgongne,6
arrefté,6
ed,6
requis,6
ca,6
eftant,6
dir,6
defrance,6
puis,6
duquel,6
dés,6
én,6
ef,6
ke,6
tez,6
princes,6
nc,6
rien,6
contraire,6
grandes,6
dre,6
fois,6
fr,6
vray,6
pui,6
dites,6
mains,6
autun,6
temps,6
tours,6
duc,6
toufiours,6
rapport,6
derechef,6
toute,6
ei,6
dernier,6
uoyent,6
don,6
chancelier,6
fera,6
ple,6
dont,6
viure,6
troubles,6
feurier,6
da,6
mefsieurs,6
pouuoir,6
toutes,6
puiffe,6
mareschal,6
pouuoit,6
marefchal,6
maieftez,6
é,5
orleans,5
dutiers,5
quelle,5
difoit,5
enfemble,5
leu,5
enuoyez,5
fu,5
cy,5
gou,5
do,5
fuiets,5
lee,5
outre,5
frere,5
dies,5
entendu,5
moyen,5
ya,5
nó,5
der,5
pourroyent,5
fer,5
homme,5
lefdirs,5
aduis,5
depütez,5
ut,5
chose,5
moyés,5
public,5
tres,5
auroit,5
plaintes,5
blee,5
auife,5
celle,5
eucfque,5
nt,5
res,5
pluftoft,5
main,5
aucc,5
far,5
faifoit,5
intention,5
partir,5
bonnes,5
perfonne,5
ile,5
fie,5
deliberer,5
ac,5
ilauoit,5
pu,5
esté,5
pres,5
firent,5
na,5
rs,5
peur,5
sc,5
nombre,5
mettre,5
dn,5
pi,5
obtenir,5
jour,5
iours,5
dite,5
couronne,5
principaux,5
vie,5
humble,5
vou,5
cens,5
raifons,5
cœur,5
monde,5
iamais,5
alienatió,5
tir,4
estoit,4
donne,4
ftre,4
ón,4
ot,4
volonté,4
preuoft,4
met,4
sé,4
eglise,4
iufques,4
decembre,4
ren,4
bles,4
rer,4
femblable,4
gouuernement,4
mens,4
pár,4
bre,4
guyenne,4
nement,4
dedans,4
ermandois,4
ud,4
ls,4
aa,4
etats,4
falle,4
monfieur,4
ducs,4
lon,4
grace,4
ae,4
cux,4
ers,4
propos,4
lu,4
quede,4
qe,4
eftans,4
sauueur,4
archeucfque,4
quant,4
xxvi,4
demander,4
enuoye,4
forme,4
conseil,4
gouuernemens,4
afin,4
religió,4
parti,4
fupplie,4
nu,4
vnion,4
affem,4
faites,4
donné,4
neantmoins,4
su,4
syndic,4
có,4
bordeaux,4
quelles,4
tat,4
heure,4
aucun,4
trop,4
matin,4
bi,4
qua,4
aflemblee,4
zi,4
tiets,4
pied,4
rie,4
ner,4
em,4
fte,4
am,4
he,4
veu,4
rentes,4
partie,4
resolu,4
nobleste,4
effe,4
raisons,4
vendredi,4
blec,4
affaires,4
ex,4
qni,4
ine,4
conference,4
avoir,4
uoit,4
parce,4
ouy,4
ains,4
if,4
points,4
demandoit,4
lay,4
certains,4
quand,4
toft,4
etat,4
tref,4
devant,4
pr,4
remettre,4
ons,4
aptes,4
liures,4
touchant,4
pria,4
affe,4
cinq,4
prefent,4
forte,4
quc,4
refolution,4
parler,4
pofsible,4
lieutenant,4
lefquels,4
telle,4
peuft,4
quele,4
sieurs,4
tou,4
maux,4
ain,4
precedent,4
seigneurs,4
iuger,4
quatre,4
officiers,4
droit,4
vienne,4
rant,4
voftre,4
partant,4
prie,4
affc,4
laditte,4
effet,4
li,4
congé,4
hemard,4
chal,4
biron,4
femblee,3
generale,3
lle,3
prefenterent,3
prefen,3
ij,3
lieux,3
ambrun,3
iuf,3
chacü,3
ray,3
gouuerne,3
accorder,3
cayets,3
fion,3
ifle,3
valois,3
vouloyent,3
different,3
confeil,3
auuergne,3
lyonnois,3
yeux,3
fuyuant,3
rent,3
blois,3
dimanche,3
nir,3
edi,3
ts,3
oit,3
vint,3
difner,3
mots,3
voyes,3
referue,3
cun,3
opinion,3
fift,3
contre,3
paffer,3
uoir,3
vi,3
haut,3
dextre,3
cofte,3
cardinal,3
monficur,3
montpenfier,3
bancs,3
ti,3
fils,3
qi,3
vnc,3
quefte,3
feroir,3
maicfte,3
ang,3
furquoy,3
dou,3
tont,3
cause,3
confe,3
requete,3
bailler,3
toutesfois,3
eroit,3
cc,3
xvi,3
eti,3
long,3
plu,3
aui,3
exhortant,3
articles,3
compiler,3
fup,3
exercice,3
ofté,3
miniftres,3
dirs,3
fufdits,3
fuc,3
depuré,3
collegue,3
auroyent,3
ily,3
ir,3
xi,3
z,3
ler,3
compilation,3
chambre,3
ledir,3
tn,3
ianuier,3
ss,3
parolles,3
mile,3
deuers,3
bor,3
cla,3
beaucoup,3
lere,3
per,3
eftóit,3
dea,3
bp,3
royent,3
copie,3
téps,3
vouloit,3
conde,3
bó,3
ri,3
tellement,3
euef,3
pue,3
lei,3
parles,3
vin,3
deli,3
sei,3
pa,3
dà,3
depntez,3
for,3
affociation,3
róy,3
demain,3
foyent,3
iceluy,3
dece,3
ble,3
yn,3
neur,3
enuoya,3
accord,3
reft,3
tranfporte,3
fs,3
tl,3
fuflent,3
arche,3
cest,3
refoudre,3
rouan,3
és,3
ha,3
dur,3
lundi,3
releuce,3
remis,3
premieres,3
pins,3
hi,3
guerres,3
offres,3
feule,3
sn,3
duriers,3
amples,3
ati,3
affemblce,3
ly,3
lors,3
our,3
faf,3
om,3
ab,3
prefenta,3
oc,3
leut,3
liy,3
requeftes,3
remonftrances,3
putez,3
parties,3
tables,3
ponce,3
mai,3
estire,3
auparauant,3
appaifer,3
auant,3
garder,3
pen,3
feroyét,3
releuee,3
por,3
telles,3
fuy,3
uant,3
neant,3
eftoyét,3
raifon,3
frâce,3
po,3
attendu,3
receuoir,3
patrie,3
affection,3
rai,3
fire,3
grands,3
archeuefque,3
ainf,3
combien,3
faut,3
loir,3
corps,3
ée,3
eil,3
priue,3
mefmes,3
plaine,3
ayát,3
celles,3
malheurs,3
moyé,3
royau,3
ec,3
pauure,3
maladie,3
catho,3
liques,3
veut,3
tien,3
ni,3
ilz,3
ceft,3
g,3
àla,3
rendre,3
foit,3
reque,3
decifió,3
retour,3
neceffaire,3
fecours,3
im,3
ó,3
gentil,3
alienation,3
doit,3
puiffance,3
combié,3
ice,3
necefsiré,3
venir,3
derniere,3
apporter,3
quafi,3
charges,3
cft,3
actes,3
face,3
ila,3
enl,2
bloys,2
md,2
prefentation,2
xx,2
lun,2
vendredy,2
xxiii,2
venus,2
fui,2
nouembre,2
tats,2
chacune,2
appellez,2
bréraigne,2
greffier,2
due,2
fl,2
tent,2
deputéz,2
ttois,2
bailliage,2
departit,2
particuliers,2
fean,2
iny,2
xxvii,2
ete,2
abfens,2
mar,2
jours,2
auffi,2
chafcun,2
logis,2
ues,2
remer,2
cier,2
endroit,2
xxx,2
egli,2
aflifte,2
laville,2
mante,2
clermont,2
neceffairé,2
bour,2
ftats,2
fous,2
mefine,2
voulut,2
sens,2
ect,2
priué,2
feance,2
dauphiné,2
dauphine,2
mestieurs,2
euefque,2
ba,2
nicolas,2
cham,2
picardie,2
normandie,2
maine,2
mu,2
isle,2
ileftoit,2
pleuft,2
vhe,2
tholique,2
deputéde,2
xii,2
bo,2
gil,2
í,2
ff,2
conclud,2
pacification,2
douces,2
fainétes,2
eligió,2
eur,2
futarrefté,2
maintenir,2
femble,2
fupplier,2
derriere,2
quelqu,2
former,2
prote,2
nee,2
meme,2
leudi,2
propofirion,2
cofté,2
feneftre,2
pairs,2
àu,2
premiers,2
leviers,2
br,2
dt,2
os,2
cour,2
lier,2
dura,2
vii,2
communique,2
put,2
pos,2
eie,2
elo,2
nier,2
aprés,2
mé,2
out,2
fue,2
aw,2
nes,2
nr,2
ais,2
lion,2
cftoit,2
portoit,2
ticles,2
arre,2
ficurs,2
ze,2
midi,2
conferer,2
uec,2
ori,2
fter,2
alors,2
marchans,2
deídites,2
appeller,2
ileft,2
proces,2
retirerent,2
od,2
fairé,2
oyent,2
mien,2
iouf,2
fetoit,2
cet,2
cciour,2
concile,2
generaux,2
iceux,2
effat,2
dû,2
faits,2
prouéce,2
aioufter,2
pacifiques,2
gouuer,2
emporterent,2
auoic,2
ouuerture,2
protestatiós,2
côtre,2
cheualier,2
xxviii,2
guyénne,2
gion,2
laces,2
eg,2
maire,2
ede,2
flat,2
auoyetit,2
perte,2
ht,2
réfponce,2
auvit,2
tm,2
purez,2
enuoyer,2
qualité,2
dampville,2
troys,2
cde,2
rl,2
ied,2
pons,2
delibe,2
ambaffadeurs,2
comptes,2
putes,2
dr,2
uu,2
maref,2
difans,2
det,2
piquantes,2
deaux,2
porté,2
inftruétions,2
ample,2
let,2
creance,2
dics,2
effars,2
nobleffc,2
diei,2
tier,2
leg,2
conte,2
felon,2
prefidenr,2
continué,2
stats,2
ciers,2
uis,2
che,2
ui,2
tuy,2
fo,2
lien,2
montmorin,2
rochefort,2
w,2
lanuier,2
tar,2
mic,2
go,2
boulanger,2
gi,2
ambaffadeuts,2
dü,2
cá,2
celuy,2
pei,2
tt,2
viii,2
armes,2
neuf,2
gés,2
mars,2
payement,2
fitát,2
ale,2
ü,2
propofition,2
ferait,2
route,2
tendre,2
tousles,2
cabinet,2
expo,2
befoin,2
iles,2
meilleur,2
fürplus,2
poit,2
aus,2
pourroir,2
députez,2
pf,2
sió,2
ala,2
dic,2
aucunement,2
chole,2
aflemblec,2
communiqué,2
dettes,2
abus,2
gages,2
reglement,2
gendarme,2
iit,2
chargez,2
avis,2
nô,2
ra,2
principal,2
fout,2
meine,2
audir,2
lef,2
lx,2
firét,2
fuffent,2
dudir,2
ric,2
tail,2
taillon,2
mise,2
efta,2
op,2
fcroit,2
difoir,2
ledi,2
prefidér,2
affez,2
frais,2
mier,2
anoit,2
resolution,2
finon,2
licentiez,2
comparut,2
uefque,2
accorde,2
poker,2
rap,2
fent,2
dd,2
bigor,2
aù,2
qii,2
àuec,2
nn,2
eftäts,2
pütez,2
maie,2
fori,2
ftoit,2
int,2
iy,2
ah,2
youloit,2
lefdites,2
poir,2
avoit,2
enfuyuant,2
propofe,2
enfuy,2
yent,2
auocat,2
feulement,2
tement,2
feruoit,2
cen,2
die,2
quela,2
itp,2
fonné,2
difficulté,2
lt,2
lr,2
are,2
catholiquero,2
ep,2
doux,2
maiesté,2
calamitez,2
efté,2
particu,2
recit,2
enté,2
quo,2
tic,2
nou,2
conoiftre,2
faires,2
guer,2
affauoir,2
voit,2
aufquels,2
fé,2
qüe,2
dift,2
ftoyent,2
priuilegié,2
els,2
delay,2
mid,2
commun,2
nl,2
oi,2
see,2
fir,2
xix,2
ns,2
hn,2
code,2
fn,2
oil,2
is,2
borde,2
aufdits,2
dutres,2
id,2
prefenter,2
maic,2
offices,2
requeste,2
us,2
conícil,2
samedi,2
com,2
poi,2
letout,2
bouche,2
fonds,2
pon,2
fournir,2
bourbon,2
moruillier,2
refpon,2
eftae,2
qü,2
ris,2
repliqua,2
net,2
expres,2
ores,2
lv,2
up,2
pouuoyent,2
expofa,2
faifant,2
parolle,2
ladi,2
