token_,count
('guerres', 'civiles'),44
('lettres', 'patentes'),25
('tite', 'liue'),24
('deflors', 'auant'),18
('grecs', 'latins'),16
('marc', 'antoine'),16
('hautes', 'planettes'),16
('voix', 'deliberative'),15
('philippe', 'valois'),14
('dira', 'quelqu'),13
('proportion', 'geometrique'),13
('marc', 'varron'),11
('hon', 'neur'),11
('offenfiue', 'defenfiue'),11
('chambre', 'comptes'),11
('places', 'fortes'),10
('naples', 'sicile'),10
('leon', 'afrique'),10
('di', 'ateur'),10
('difcipline', 'militaire'),10
('cours', 'souveraines'),9
('attaint', 'conuaincu'),9
('caton', 'cenfeur'),8
('thomas', 'more'),8
('diuines', 'humaines'),8
('nom', 'collectif'),8
('prefenter', 'requeste'),8
('venir', 'bout'),8
('scipion', 'africain'),7
('bonnes', 'meurs'),7
('paul', 'æmyl'),7
('peres', 'meres'),7
('na', 'ture'),7
('meurtre', 'commis'),7
('tailles', 'impofts'),7
('vi', 'oire'),7
('am', 'baffadeurs'),7
('marc', 'aurele'),7
('seigneur', 'feodal'),7
('monarque', 'seigneurial'),7
('pren', 'dre'),7
('po', 'pulaire'),7
('philippe', 'comines'),7
('repvbliq', 've'),7
('changemens', 'notables'),7
('doigt', 'œil'),6
('more', 'chancelier'),6
('pu', 'bliques'),6
('difons', 'maintenant'),6
('colle', 'if'),6
('sous', 'vmbre'),6
('puif', 'sance'),6
('fou', 'uent'),6
('efpai', 'gne'),6
('indes', 'occidentales'),6
('popu', 'laires'),6
('li', 'fons'),6
('comman', 'dement'),6
('ligue', 'offenfiue'),6
('monar', 'chies'),6
('eglife', 'romaine'),6
('do', 'maine'),6
('fauf', 'conduit'),6
('veüe', 'œil'),6
('inftituer', 'destituer'),6
('sc', 'nat'),6
('of', 'ficiers'),6
('ad', 'populum'),6
('parlemét', 'paris'),6
('popu', 'laire'),6
('monar', 'chie'),6
('agesi', 'laus'),6
('ty', 'ran'),6
('pau', 'ures'),6
('magi', 'trat'),6
('changemens', 'ruines'),6
('iefus', 'chrift'),6
('pro', 'portion'),6
('huet', 'capet'),6
('art', 'militaire'),6
('pauvreté', 'extreme'),6
('maniement', 'affaires'),5
('con', 'traint'),5
('fource', 'origine'),5
('puif', 'fance'),5
('diuin', 'humain'),5
('main', 'morte'),5
('fabius', 'maximus'),5
('vou', 'loir'),5
('fu', 'get'),5
('fu', 'ets'),5
('let', 'tres'),5
('cantons', 'catholiques'),5
('commif', 'fion'),5
('confente', 'ment'),5
('ad', 'uient'),5
('arifto', 'cratique'),5
('fou', 'uerain'),5
('fem', 'blables'),5
('iu', 'ftice'),5
('philippele', 'bel'),5
('ordi', 'nairement'),5
('ad', 'uis'),5
('pierre', 'soderin'),5
('maires', 'palais'),5
('ci', 'uiles'),5
('pa', 'reil'),5
('moin', 'dre'),5
('cha', 'cun'),5
('iournee', 'cannes'),5
('con', 'feil'),5
('magi', 'ftrat'),5
('po', 'pulaires'),5
('fond', 'comble'),5
('mau', 'uais'),5
